sentence_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
1,Apakah Melissa Brannen telah ditemukan ?,indonesian,polar,2.2,2.0,0,2.0,0.6666666666666666,7,0.0,1.0
2,Apakah Bosun sama dengan Nahkoda kapal?,indonesian,polar,1.5,2.0,0,0,0.7142857142857143,8,0,0.0
3,Apakah Baladewa seorang manusia?,indonesian,polar,1.5,3.0,0,0,0.4,6,0,0.0
4,Apakah ular sanca termasuk hewan yang dilindungi?,indonesian,polar,1.7142857142857142,3.0,1.0,2.0,0.75,9,50.0,2.0
5,apakah Plato hidup di zaman yang sama dengan Aristoteles?,indonesian,polar,1.7777777777777777,3.0,0,3.0,0.6,11,0.0,1.0
6,Apakah perakam ketikan dapat menyebabkan pencurian kata sandi?,indonesian,polar,1.875,3.0,0,4.0,0.7777777777777778,10,0.0,1.0
7,Apaakh kaset menggunakan pita magnetik?,indonesian,polar,1.25,2.0,0,3.0,1.0,6,0.0,1.0
8,Adakah monyet termasuk hominini?,indonesian,polar,1.75,2.0,1.0,2.0,0.8,6,50.0,2.0
9,"apakah Joseph Patrick ""Joe""",indonesian,polar,1.75,2.0,0,0,0.8,7,0,0.0
10,Kennedy masih hidup?,indonesian,polar,1.5,1.0,0,2.0,1.0,4,0.0,1.0
11,apakah ganja mengandung zat adiktif?,indonesian,polar,1.4,2.0,0,3.0,0.8333333333333334,7,0.0,1.0
12,Apakah serial pokemon berasal dari komik ?,indonesian,polar,1.8333333333333333,2.0,0,3.0,0.7142857142857143,8,0.0,1.0
13,apakah Spam termasuk tindakan kriminal?,indonesian,polar,1.4,2.0,0,3.0,0.8333333333333334,7,0.0,1.0
14,apakah Kriptografi digunakan untuk sistem firewall sebuah situs web?,indonesian,polar,1.5555555555555556,3.0,0,3.0,0.7,11,0.0,1.0
15,Apakah kesalahan yang dilakukan Mohammad Hatta sehingga dihukum pengasingan?,indonesian,polar,1.5555555555555556,4.0,2.0,2.5,0.7,11,100.0,2.0
16,apakah lelaki mempunyai hormon estrogen?,indonesian,polar,1.4,2.0,0,3.0,0.8333333333333334,7,0.0,1.0
17,apakah Belanda masuk dalam Perang Dunia I?,indonesian,polar,1.4285714285714286,3.0,0,3.0,0.75,9,0.0,1.0
18,Apakah penggunaan Spotify berbayar ?,indonesian,polar,2.0,2.0,0,2.0,0.8,6,0.0,1.0
19,Apakah gereja protestan berbeda dengan katolik?,indonesian,polar,1.8333333333333333,2.0,0,3.0,0.7142857142857143,8,0.0,1.0
20,apakah harimau bengal terancam punah?,indonesian,polar,1.8,2.0,0,3.0,0.8333333333333334,7,0.0,1.0
21,apakah perjalanan waktu secara ilmiah bisa dilakukan?,indonesian,polar,2.7142857142857144,3.0,0,2.0,0.625,9,0.0,1.0
22,Apakah Skizofrenia bisa diturunkan melalui gen ?,indonesian,polar,1.8333333333333333,2.0,0,3.0,0.5714285714285714,8,0.0,1.0
23,Apakah buah kawung memiliki biji?,indonesian,polar,1.8,2.0,0,3.0,0.8333333333333334,7,0.0,1.0
24,Apakah Enzim restriksi bersifat asam?,indonesian,polar,1.8,2.0,0,3.0,0.8333333333333334,7,0.0,1.0
25,Apakah Gunung Tandikat termasuk gunung api aktif ?,indonesian,polar,1.5714285714285714,3.0,0,3.0,0.875,9,0.0,1.0
26,apakah Marga Raja Basa adalah marga kerajaan?,indonesian,polar,2.142857142857143,3.0,0,0,0.75,9,0.0,1.0
27,Apakah Masjid Al-Aqsa dan Kubah Batu termasuk situs-situs suci Yerusalem?,indonesian,polar,2.3,3.0,0,3.0,0.8181818181818182,12,0.0,1.0
28,apakah Cirebon mempunyai bandara?,indonesian,polar,1.5,2.0,0,3.0,0.8,6,0.0,1.0
29,Adakah depresi bisa menyebabkan seseorang bubuh diri?,indonesian,polar,1.5714285714285714,4.0,1.0,1.6666666666666667,0.5,9,66.66666666666667,3.0
30,Apakah Hindia Belanda sekarang disebut Indonesia?,indonesian,polar,2.0,2.0,0,4.0,0.8571428571428571,8,0.0,1.0
31,Apakah lagenda Robin Hood berasal dari Nottingham?,indonesian,polar,2.0,3.0,0,3.0,0.75,9,0.0,1.0
32,apakah bakteri bisa hidup di luar angkasa?,indonesian,polar,2.0,2.0,0,3.0,0.625,9,0.0,1.0
