unique_id,text,language,avg_links_len,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score
id_polar_209,Ingin menikmati foto di layar yang lebih besar?,id,-0.527,0.0,0.167,0.625,2.303,1,2.568
id_polar_219,Apakah hubungan Rado Habeahan dan Intan berlangsung dengan mulus?,id,0.346,0.0,0.667,0.7,2.485,1,4.198
id_content_116,- Apa yang Disebut Berpikir?,id,-0.544,2.0,0.2,0.5,1.946,0,4.102
id_polar_108,"Ia bertanya, “Bisakah kita membuat sebuah mobil mewah terbaik di dunia?” Pertanyaan Eiji ini membuat Toyota memulai sebuah proyek super - rahasia yang diberi kode F1 (“Flagship” (Unggulan) + “No. 1 vehicle” (Mobil No. 1)).",id,0.813,1.333,0.4,0.657,3.989,1,7.192
id_content_144,"Pada saat itu, ia mempertanyakan apa arti MASOVU?",id,-0.449,0.0,0.6,0.5,2.398,0,3.049
id_content_180,"Lalu, mengapa para pengembang menggunakan nama ``Catfiz''?",id,0.289,0.0,0.8,0.714,2.485,0,4.288
id_polar_213,Konstankah interval PR?,id,-0.765,0.0,0.0,0.75,1.792,1,1.777
id_polar_40,``Apakah engkau memperhatikan hamba-Ku Ayub?,id,-0.598,0.0,0.5,0.571,2.303,1,2.776
id_polar_39,Apakah yang engkau serukan kepada kami?,id,-0.265,1.0,0.5,0.143,2.197,1,3.575
id_content_149,Namun apa yang terjadi?,id,-0.544,1.0,0.2,0.5,1.792,0,2.948
id_content_221,"Jika aku tidak menangis untuknya, lalu siapa lagi?",id,0.122,0.0,1.0,0.222,2.485,0,3.829
id_content_3,Siapakah sebenarnya gadis yang mirip si Cemong?,id,-0.021,0.0,0.0,0.5,2.303,0,2.782
id_content_111,"Sekarang, siapa yang menolak Partai Komunis ini?",id,-0.378,1.0,0.4,0.571,2.303,0,3.896
id_polar_98,Apa urusan NU?,id,-1.098,0.0,0.0,0.667,1.609,1,1.178
id_content_131,Sampai kapankah Aladin sanggup mempertahankan lampu ajaib tersebut di tangannya?,id,-0.06,0.0,1.0,0.583,2.639,0,4.162
id_polar_84,Apakah Azzam mampu menyelamatkan rumah tangga Husna dan Ilyas?,id,-0.432,0.0,0.5,0.7,2.485,1,3.253
id_polar_4,Apa nama lembaga yang akan melayani radio-radio ini?,id,-0.384,1.0,0.333,0.5,2.303,1,3.752
id_content_269,Kan kamu yang bilang? - Bukankah kamu yang bilang demikian?,id,0.122,1.0,0.3,0.2,2.639,0,4.261
id_polar_178,"Pergilah masak segera, apa digaduhkan masak nasi ransom?",id,-0.348,1.0,0.333,0.778,2.485,1,4.248
id_content_123,"Kenapa marah, kenapa murka?",id,-0.211,0.0,0.3,1.0,1.946,0,3.035
id_polar_235,"Bisakah Superboy mendapati cinta, menyembuhkan penyakit adiknya dan sekaligus menyelamatkan jakarta dari kejahatan?",id,-0.17,0.0,0.556,0.667,2.89,1,3.943
id_polar_206,"Lalu, ia juga mengasuh siaran kuis lain seperti Herkent u deze melodie?",id,-0.28,0.0,0.0,0.75,2.708,1,3.178
id_content_174,Bagaimana kalau pemberian lain sebagai hadiah untukmu?,id,-0.306,0.0,0.0,0.5,2.303,0,2.497
id_content_258,``Mengapa tidak memakai piano?,id,-0.544,0.0,0.6,0.75,1.946,0,2.752
id_content_160,``Mengapakah kamu tidak mau menyembah Allah SWT?,id,0.122,0.0,0.8,0.5,2.398,0,3.82
id_content_18,"Pak Douw, anda telah berusaha untuk maju menjadi Bupati, bagaimana kalau seandainya nanti anda gagal mendapatkan dukungan dan tidak terpilih di PILKADA Nabire?",id,0.622,1.5,0.6,0.652,3.296,0,6.67
id_polar_25,Bau apakah yang tercium olehku?,id,-0.432,1.0,0.333,0.429,2.197,1,3.527
id_polar_120,Kemudian muridnya itu bertanya: ``Didaerah mana Mama ingin mendirikan Pesantren itu?,id,0.538,1.0,0.583,0.417,2.773,1,5.311
id_polar_96,"Bukankah kami ini dianggapnya sebagai orang asing, karena ia telah menjual kami?",id,0.209,1.0,0.667,0.286,2.833,1,4.995
id_polar_251,"Engkau telah berzinah dengan banyak kekasih, dan mau kembali kepada-Ku?",id,0.002,0.0,0.417,0.364,2.639,1,3.422
id_polar_225,Adakah gelombang P?,id,-0.765,0.0,0.333,0.75,1.792,1,2.11
id_content_56,Apa arti globalisasi buat Lippo?,id,-0.128,0.0,0.0,0.6,1.946,0,2.418
id_content_25,"Namun, apa saja yang ditata oleh pemerintah kolonial selanjutnya?",id,-0.378,1.0,0.4,0.667,2.485,0,4.174
id_polar_260,Apakah Maria ini ``isteri'' atau ``putri'' Klopas?,id,0.045,0.0,0.0,0.5,2.639,1,3.184
id_content_271,Bagaimanakah kisah selanjutnya?,id,-0.544,0.0,0.0,0.75,1.792,0,1.998
id_content_13,Kemana impian jiwa muda ini membawa mereka?,id,0.456,0.0,0.6,0.714,2.197,0,3.967
id_polar_135,``Kalau begitu kamu memang bermaksud membohongiku?,id,-0.098,1.0,0.5,0.571,2.303,1,4.276
id_content_246,"Jadi Abah Buyut sendiri merupakan sebuah misteri terpisah, darimana beliau belajar Maenpo ini, apakah hasil perenungan sendiri atau ada yang mengajari?",id,0.17,1.0,0.44,0.591,3.258,0,5.459
id_content_256,(C) Di mana kita saat ini?,id,0.722,0.0,0.0,0.333,2.303,0,3.358
id_content_21,"Bila kita menggunakan semua ini untuk melawan musuh, musuh mana yang tak akan kalah?",id,0.43,1.0,0.6,0.357,2.833,0,5.22
id_content_27,Apa yang herus dilakukan Winnie?,id,-0.128,1.0,0.6,0.6,1.946,0,4.018
id_content_216,Isteri yang cakap siapakah akan mendapatkannya?,id,0.265,0.0,0.6,0.375,2.303,0,3.543
id_content_33,"Maka kata Pak Belalang, dari mana datang dan apakah hajat?",id,0.222,1.0,0.5,0.545,2.639,0,4.906
id_content_255,Yaksa: Siapakah yang benar-benar berbahagia?,id,0.122,1.0,0.4,0.5,2.197,0,4.219
