unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
fi_content_0,Mitä minä puhun?,finnish,content,-0.62,1.00,0.00,0.40,0.33,1.61,0.00,1.00
fi_content_1,Mitä minä ihan oikeasti puhun?,finnish,content,0.13,2.00,0.00,0.60,0.60,1.95,0.00,1.00
fi_content_2,Mitä tästä sanoisi enää?,finnish,content,-0.79,1.00,0.00,0.60,0.50,1.79,0.00,1.00
fi_content_3,"- Opettaja, missä sä oikein olet töissä?",finnish,content,1.08,1.00,0.00,0.00,0.50,2.30,0.00,1.00
fi_content_4,Miksi talvella pitää käyttää koko ajan ihan tylsiä kenkiä?,finnish,content,-0.12,3.00,0.00,0.80,0.89,2.40,0.00,1.00
fi_content_5,"Mitä saadaan, kun purkitetaan sata naista?",finnish,content,-0.52,3.00,1.00,0.40,0.50,2.20,3.93,2.00
fi_content_6,Miksi sitten takerrumme tavaroihin?,finnish,content,-0.79,1.00,0.00,0.60,1.00,1.79,0.00,1.00
fi_content_7,Mitä jos uudistuisimme kevään kynnyksellä juuri näin?,finnish,content,-0.29,2.00,0.00,0.80,0.71,2.20,0.00,1.00
fi_content_8,Mikä seksuaalinen itsetunto?,finnish,content,-0.62,1.00,0.00,0.00,0.67,1.61,0.00,0.00
fi_content_9,Onko kenellekään tullut koskaan mieli kysyä itseltään ”Miksi minun pitäisi haluta seksiä?”,finnish,content,-0.03,3.00,1.00,0.60,0.58,2.77,3.93,3.00
fi_content_10,”Mitä minun tulisi tuntea seksin aikana?”,finnish,content,-0.32,3.00,1.00,0.40,0.67,2.30,3.93,2.00
fi_content_11,”Pitäisikö minun tietää mitä kumppani tuntee tai mitä hän haluaa?”,finnish,content,-0.01,3.00,1.00,0.53,0.40,2.64,3.93,3.00
fi_content_12,Miten sitten saavuttaisimme tämän seksuaalisen itseluottamuksen?,finnish,content,-0.32,2.00,0.00,0.60,0.83,2.08,0.00,1.00
fi_content_13,"Ovatko he niitä, jotka ottavat sen jonka saavat tai eivät ota ketään, kun eivät ole varmoja, kuka on se oikea, eivätkä osaa viestittää mitään oikein tai ollenkaan?",finnish,content,0.03,8.00,1.25,0.40,0.33,3.50,4.43,8.00
fi_content_14,Miksi emme pidä seksuaalielämäämme usein kovinkaan hyvänä?,finnish,content,-0.29,2.00,0.00,0.80,0.86,2.20,0.00,1.00
fi_content_15,"Miksi emme hae itsellemme sitä nautintoa, jota kaipaamme?",finnish,content,-0.41,3.00,1.00,0.40,0.50,2.40,3.93,2.00
fi_content_16,"Miksi emme kehitä taitojamme seksin alueella, jotta pystyisimme tyydyttämään kumppanimme?",finnish,content,-0.34,3.00,2.00,0.40,0.80,2.56,4.21,3.00
fi_content_17,"Miksi tyydymme vähään ja odotamme, että se paranisi itsestään sitten joskus?",finnish,content,-0.32,4.00,1.00,0.60,0.73,2.64,3.93,3.00
fi_content_18,Miksi meidän pitäisi sitten osata olla niin vapaita seksuaalisesti?,finnish,content,0.00,2.00,1.00,0.80,0.67,2.40,3.93,2.00
fi_content_19,Kuinka se on mahdollista?,finnish,content,-0.12,1.00,0.00,0.00,0.50,1.79,0.00,1.00
fi_content_20,"En kuitenkaan ymmärrä, miksi joku ei maksaisi kymmentä tai viittä euroa kuussa järjettömän suuresta, mobiilista musiikkikirjastosta?",finnish,content,0.55,5.00,1.00,0.60,0.62,3.00,3.93,2.00
fi_content_21,Kuinka paljon ihmiset oikeasti sitten olisivat valmiita maksamaan tästä huvista?,finnish,content,0.21,3.00,1.00,0.40,0.80,2.48,3.93,2.00
fi_content_22,Ai miten kiersin bannit?,finnish,content,-0.79,1.00,0.00,0.60,0.75,1.79,0.00,1.00
fi_content_23,- ... Mutta miten ne ei ole vieläkään saanut rakennettua sitä Lepuskin tornia?,finnish,content,0.68,3.00,1.00,0.60,0.55,2.71,3.93,2.00
fi_content_24,Nimittäin miksi olisin tästä toiselle naiselle tästä vihainen?,finnish,content,1.59,2.00,0.00,0.00,0.50,2.30,0.00,1.00
fi_content_25,MIES: No miten siinä nyt pronssia varmasti muka saisi?,finnish,content,2.50,2.00,0.00,0.00,0.78,2.48,0.00,1.00
fi_content_26,PIKKUVAIMO: Mitä sä naurat?,finnish,content,0.21,2.00,0.00,0.40,0.50,1.95,0.00,1.00
fi_content_27,"Tämä setti toimi, sillä siinä vaiheessa kun avaimet oli vaihdettu, uskalsin jo kysyä, että ”mitä sä musta ajattelit, kun ekan kerran näit?”.",finnish,content,0.93,6.00,3.00,0.60,0.55,3.43,4.43,6.00
fi_content_28,Mikä on puheenjohtajavaltio Alankomaiden strategia?,finnish,content,-0.37,3.00,0.00,0.00,0.60,1.95,0.00,1.00
fi_content_29,"Miksi ne valtiot, joiden oletetaan hyväksyneen direktiivit neuvostossa, ovat sitten kuitenkin vastahakoisia soveltamaan niitä?",finnish,content,1.11,4.00,1.50,0.33,0.71,2.89,4.33,4.00
fi_content_30,"Mitä tapahtuu, jos itäeurooppalaiset ja keskieurooppalaiset vallan keskukset kerran siirtyvät?",finnish,content,0.99,5.00,1.00,0.50,0.70,2.56,3.93,2.00
fi_content_31,Milloin ryhdymme neuvottelemaan siitä?,finnish,content,-1.12,2.00,1.00,0.30,0.75,1.79,3.93,2.00
fi_content_32,Mitä teemme valmistellaksemme asiaa?,finnish,content,-1.12,2.00,1.00,0.30,0.75,1.79,3.93,2.00
fi_content_33,Mitä teemme sen lisäksi antaaksemme Ukrainan osallistua Eurooppa-konferenssiin?,finnish,content,-0.69,3.00,2.00,0.40,0.62,2.30,4.21,3.00
fi_content_34,"Miten komissio suhtautuu siihen, mitkä ovat sen näkemykset asiasta?",finnish,content,-0.50,3.00,0.00,0.80,0.56,2.48,0.00,2.00
fi_content_35,"Voiko komissio selvittää, miten se valvoo tämän säädöksen täytäntöönpanon onnistumista?",finnish,content,-0.23,5.00,1.00,0.50,0.70,2.56,3.93,2.00
fi_content_36,"Miksi minun täytyi elää kylmyydessä, miksi minä en koskaan edes elänyt?",finnish,content,0.88,2.00,0.00,0.80,0.64,2.64,0.00,2.00
fi_content_37,"Ei hän voi tietää, miten voisi, jos sinäkään et tiedä?",finnish,content,0.21,3.00,1.00,0.40,0.30,2.64,3.93,2.00
fi_content_38,"Miksi katsoessani niitä, näen vain tyhjän lumisen jalkakäytävän, sen, jota pitkin sinä et saavu?",finnish,content,0.49,5.00,1.00,0.40,0.57,2.94,4.21,3.00
fi_content_39,"Miten hän osaisi kertoa, että sama kohina tuntui hänen suonissaan?",finnish,content,-0.23,4.00,2.00,0.47,0.60,2.56,4.21,3.00
fi_content_40,"Miten hän selittäisi, että hengitti samaan tahtiin sen kanssa?",finnish,content,-0.62,4.00,1.00,0.50,0.44,2.48,3.93,2.00
fi_content_41,"Miten mies voisikaan tietää, ettei Pekulla enää edes ole puhelintaan?",finnish,content,0.18,2.00,0.00,0.60,0.64,2.64,0.00,1.00
fi_content_42,"On vain yksi, miksi?",finnish,content,0.21,2.00,0.00,0.40,0.75,1.95,0.00,1.00
fi_content_43,"Mitä sinulla nyt voisi hätänä olla, vakavasti, terveellä nuorella ihmisellä?",finnish,content,1.21,2.00,0.00,0.00,0.60,2.64,0.00,0.00
fi_content_44,Miten sitä enää jaksaa?,finnish,content,-0.12,1.00,0.00,0.60,1.00,1.79,0.00,1.00
fi_content_45,Kuka tätä ikinä näkee paitsi me?,finnish,content,-0.32,2.00,0.00,0.80,0.33,2.08,0.00,1.00
fi_content_46,"Miksi pitää kiinni kenestäkään, kun myöhemmin pakotetaan kuitenkin päästämään irti?",finnish,content,-0.23,3.00,2.00,0.60,0.80,2.56,4.21,3.00
fi_content_47,”Kuka muka pakottaa?,finnish,content,-0.62,1.00,0.00,0.40,0.67,1.79,0.00,1.00
fi_content_48,Miten joku voi täälläkin asua?,finnish,content,0.38,1.00,0.00,0.60,0.60,1.95,0.00,1.00
fi_content_49,"Tulipa tällänen väli stoori kirjotettua kesken matikan tunnin, kertokaa mitä ootte mieltä ja että pitäskö tälle seurata jatkoa? :DD",finnish,content,1.66,4.00,1.00,0.52,0.63,3.09,4.21,5.00
fi_content_50,"Miten selität Espanjan kesäillan sille, joka ei sitä tiedä?",finnish,content,0.13,3.00,1.00,0.50,0.56,2.48,3.93,2.00
fi_content_51,"""Kuinka voit tehdä meille näin kaiken yhdessä viettämämme ajan jälkeen?""",finnish,content,-0.12,3.00,1.00,0.50,0.60,2.64,3.93,2.00
