unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
id_content_0,Bagaimana sejarah berdirinya SMAN 1 Pekanbaru yang sudah berusia setengah abad itu?,indonesian,content,0.12,3.00,1.00,0.40,0.54,2.71,4.62,1.00
id_content_1,Siapa dapat memastikan apakah sebuah kenyataan itu sesungguhnya impian dan sebuah impian itu justru sesungguhnya kenyataan?,indonesian,content,0.25,4.00,0.00,0.40,0.53,2.94,0.00,1.00
id_content_2,Kamila bertanya kenapa Eyang Tini menyuruhnya naik mobil?,indonesian,content,-0.00,3.00,2.00,0.47,0.89,2.40,4.21,3.00
id_content_3,Siapakah sebenarnya gadis yang mirip si Cemong?,indonesian,content,-0.02,3.00,0.00,0.00,0.50,2.30,0.00,0.00
id_content_4,Dan bagaimanakah kamu lihat keadaannya sekarang?,indonesian,content,-0.02,2.00,0.00,0.80,0.50,2.30,0.00,1.00
id_content_5,"Jika bukan dirinya yang akan membantu Zhong memakamkan (dan menghormati) abu ayahnya, siapa lagi yang akan menolong?",indonesian,content,0.73,7.00,1.33,0.30,0.42,3.18,4.62,4.00
id_content_6,"Bagaimana nasib Maya, Naomy dan Ryan?",indonesian,content,-0.08,3.00,0.00,0.00,0.83,2.20,0.00,0.00
id_content_7,"Bagaimana Kayla menghadapi Rita sebagai madunya, sementara dirinya semakin lama menjadi semakin sehat?",indonesian,content,0.55,3.00,1.00,0.80,0.67,2.89,3.93,2.00
id_content_8,Bagaimana kisah selanjutnya?,indonesian,content,-0.88,1.00,0.00,0.00,1.00,1.61,0.00,0.00
id_content_9,Bagaimana persahabatannya dengan Aldo?,indonesian,content,-0.38,2.00,0.00,0.00,0.60,1.95,0.00,0.00
id_content_10,Bagaimana manusia sebagai individu dapat masuk ke dalam suatu hubungan dengan Allah?,indonesian,content,0.49,3.00,0.00,0.60,0.50,2.64,0.00,1.00
