unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
ar_content_0,ويعود الصائم، بعد افطاره الشهي، الى حيث تستقبله، في كل الفضائيات العربية، مشاهد المآسي التي تجري في فلسطين، والمجازر التي يرتكبها العدو الصهيوني ضد شعبنا العربي المسلم في هذه الارض العربية المغتصبة والمدماة... فماذا يفعل؟,arabic,content,1.37,10.00,1.00,0.60,0.53,3.97,4.62,5.00
ar_content_1,"فهلا اقلع المسلمون عن ""بدعة مآدب الافطار"" هذه، واكتفوا بالعادي من الافطار، ووفروا من اموالهم بعض الفرح للمليون جائع، في الضفة الغربية وغزة، أولئك الذين لم يعرفوا منذ اعوام للفرح طعما ولا للعيد بهجة؟",arabic,content,1.20,7.00,1.00,0.55,0.43,3.95,4.62,4.00
ar_content_2,"و""الوفد"" تسأل الحكومة المصرية أين الحقيقة في هذه التصريحات المعلنة يوم 16/2 الحالي من جانب إسرائيل بشأن الغاز الطبيعي؟!",arabic,content,0.47,8.00,0.00,0.60,0.64,3.33,0.00,1.00
ar_content_3,فإذن أين يكمن الخلاف؟!,arabic,content,-0.31,2.00,0.00,0.60,0.60,2.08,0.00,1.00
ar_content_4,"ألا يحق لأي فلسطيني أن يعرف الضمانات قبل أن يوافق على الهدنة، خاصة أن شارون يعلن مع بداية الحوار الفلسطيني ـ الفلسطيني في القاهرة أن إسرائيل ليست طرفاً في أي هدنة، وأن هذه الهدنة ""شأن فلسطيني داخلي""؟!",arabic,content,0.68,5.00,2.00,0.80,0.59,3.85,4.39,5.00
ar_content_5,قبل الإقدام على خطوات يعلن ـ هو نفسه ـ أنها تتناقض تماماً مع قرارات الشرعية الدولية والمبدأ الذي انطلقت منه مسيرة مدريد؟,arabic,content,-0.14,6.00,1.00,0.67,0.50,3.33,4.21,3.00
ar_content_6,حتى لا يعاني شعب مصر من تأخر وصول القمح الروماني إلى موانينا؟!,arabic,content,-0.47,4.00,0.00,0.80,0.62,2.77,0.00,1.00
ar_content_7,ماذا لو تحقق ذلك؟..,arabic,content,-1.06,2.00,1.00,0.20,0.25,2.08,4.62,1.00
ar_content_8,أليس هذا أفضل من أن نزرع القمح في رومانيا؟!,arabic,content,-0.17,3.00,1.00,0.80,0.30,2.56,3.93,2.00
ar_content_9,ما هي طبيعة المحكمة الخاصة التي شكلها مجلس الحكم لمحاكمة صدام حسين وأعضاء النظام السابق؟,arabic,content,-0.64,9.00,1.00,0.60,0.56,3.04,4.62,1.00
ar_content_10,إذن هي محكمة خاصة؟,arabic,content,-0.72,1.00,0.00,0.00,0.75,1.95,0.00,0.00
ar_content_11,ما هي التهم التي ستوجه إلى صدام حسين وأعضاء قيادته؟,arabic,content,-0.39,5.00,1.00,0.60,0.31,2.77,4.62,1.00
ar_content_12,أين سيكون مقر المحكمة؟,arabic,content,-0.81,2.00,0.00,0.40,0.60,2.08,0.00,1.00
ar_content_13,ـ لأسباب أمنية سيتم التكتم على موقعها حتى يعلن عنها؟,arabic,content,-0.22,3.00,1.00,0.60,0.46,2.77,3.93,2.00
ar_content_14,ربما أم مؤكد؟,arabic,content,-0.56,2.00,0.00,0.00,0.33,1.79,0.00,0.00
ar_content_15,وهل ستكون المحكمة علنية؟,arabic,content,-0.26,2.00,0.00,0.60,0.50,2.20,0.00,1.00
ar_content_16,متى سيحال صدام حسين وأعضاء نظامه إلى المحكمة؟,arabic,content,-0.06,4.00,0.00,0.80,0.36,2.64,0.00,1.00
ar_content_17,ما هي آلية إحالتهم إلى المحكمة؟,arabic,content,-0.56,3.00,0.00,0.00,0.43,2.30,0.00,0.00
ar_content_18,ماذا سيرتدي صدام حسين في المحكمة؟,arabic,content,-0.22,2.00,0.00,0.60,0.29,2.30,0.00,1.00
ar_content_19,وفي السجن ماذا سيرتدي؟,arabic,content,0.34,3.00,0.00,0.40,0.33,2.20,0.00,1.00
ar_content_20,تعني أنه لا يرتدي الملابس الخاصة بالسجن؟,arabic,content,-0.06,4.00,1.00,0.50,0.56,2.48,3.93,2.00
ar_content_21,ما هو الوقت الذي ستستغرقه هذه المحاكمات؟,arabic,content,-0.31,3.00,1.00,0.60,0.33,2.48,4.62,1.00
ar_content_22,كيف تنظر إلى صدام حسين؟,arabic,content,-0.31,2.00,0.00,0.40,0.20,2.08,0.00,1.00
ar_content_23,بالرغم مما عاناه الشعب العراقي من نظامهم؟,arabic,content,-0.26,3.00,1.00,0.60,0.45,2.64,4.62,1.00
ar_content_24,ومتى سيتم تسليمهم إليكم؟,arabic,content,-0.20,3.00,0.00,0.60,0.25,2.40,0.00,1.00
ar_content_25,متى بدأت مهنتك كقاض؟,arabic,content,-0.46,2.00,0.00,0.60,0.50,2.20,0.00,1.00
ar_content_26,"وماذا عن المكتبات؟. عن هذا السؤال اجاب ستيف ريجيو المسؤول عن مكتبة ""بارنيساندنوبل.كوم"" الاميركية على شبكة الانترنت بالقول ""خلال 20 عاما، ستدخل مكتبة ما وتلقم المؤلفات التى تريد على كتابك الالكتروني"".",arabic,content,0.67,7.00,1.00,0.50,0.43,3.85,4.62,4.00
ar_content_27,ماذا حصل في الحزب الديموقراطي التقدمي؟,arabic,content,-0.66,2.00,0.00,0.40,0.67,2.08,0.00,1.00
ar_content_28,لماذا لم تنطلق الحركة التجارية بعد؟,arabic,content,-0.46,2.00,0.00,0.80,0.50,2.08,0.00,1.00
ar_content_29,فهل يستطيع شيراك اقناع بوش بضرورة التحرك وممارسة الضغوط المطلوبة، لكي توافق اسرائيل على تطبيق توصيات لجنة ميتشل الأميركية؟,arabic,content,-0.39,9.00,1.00,0.60,0.59,3.22,4.62,2.00
ar_content_30,كيف يمكن الدولة ان تقيم حواراً انقاذيا تقريبا مع الدول والمؤسسات الغريبة، وهي لا تقيم حوار - الحد الادنى من التفاهم مع بعض القوى اللبنانية؟,arabic,content,0.82,6.00,1.00,0.73,0.58,3.40,4.21,3.00
ar_content_31,وكيف يمكنها ان تعزز الثقة بلبنان واوضاعه الاقتصادية، التي تستحق الدعم لانها تملك عناصر استعادة العافية والازدهار، وهي تقضي على آخر معالم الثقة بامكان التوصل داخليا الى ما يعيد توفير المنعة الى الوحدة الوطنية التي هي القاعدة الوحيدة للعافية والازدهار؟,arabic,content,0.50,15.00,1.25,0.47,0.57,4.01,4.62,6.00
ar_content_32,اذاً، انتصرت السلطة او هكذا تعتقد. انتصرت على المعارضة؟ لا، بل هي على الدولة انتصرت. فمع انتهاء ما بدا فصلاً من معركتها مع المعارضة، بات جلياً ان مفهوم الدولة سقط، بل ان الممارسات الدؤوبة للسلطة ومحاسيبها قد اسقطته.,arabic,content,2.22,8.00,1.00,0.45,0.52,3.97,4.62,8.00
ar_content_33,فما الذي دفع بهما الى قول ما قالاه؟,arabic,content,-0.56,6.00,1.00,0.30,0.27,2.56,4.62,2.00
ar_content_34,وقال سليمان الجندي ـ صاحب شركة صرافة ـ من الأفضل إغلاق أبواب الشركات والبحث عن مجال آخر للعمل خاصة أن مجال الصرافة أصبح جريمة في نظر الحكومة وتتم محاصرته بكل هذه القوانين والقرارات التي تهدف لإغلاق المزيد من الشركات؟!,arabic,content,-0.03,14.00,1.00,0.55,0.62,3.91,4.62,4.00
ar_content_35,"وتساءل الشاب في الرسالة التي بثها موقع ""الإخوان"" على الإنترنت تحت عنوان ""من شاب مقهور إلى المرشد العام: متى تظهر القوة الحقيقية للإخوان في الميدان؟",arabic,content,0.50,8.00,1.00,0.73,0.61,3.53,4.62,3.00
ar_content_36,"وانتهى مرشد ""الإخوان"" إلى القول ""علينا أن نسأل أنفسنا كم حققنا على مستوى النفس وعلى مستوى الأسرة وعلى مستوى المجتمع؟",arabic,content,-0.01,8.00,0.00,0.40,0.32,3.40,0.00,1.00
