unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
fi_polar_0,Onko ammatillinen uskottavuuteni noin pientä..?,finnish,polar,-0.01,2.00,0.00,0.00,0.80,2.08,0.00,1.00
fi_polar_1,"- Opettaja, onko sulla olemassa koti?",finnish,polar,-0.26,1.00,0.00,0.00,0.40,2.20,0.00,0.00
fi_polar_2,Eikö olekin kivaa?,finnish,polar,-0.51,1.00,0.00,0.00,0.33,1.61,0.00,1.00
fi_polar_3,Vai onko vaatekerrosten määrä asennekysymys?,finnish,polar,0.24,2.00,0.00,0.00,0.60,1.95,0.00,1.00
fi_polar_4,”Osaanko nauttia seksistä?”,finnish,polar,-1.01,2.00,1.00,0.20,1.00,1.95,3.93,2.00
fi_polar_5,Osaavatko ihmiset lukea toistensa silmistä tällaista itseluottamusta?,finnish,polar,-0.17,3.00,1.00,0.40,0.86,2.20,3.93,2.00
fi_polar_6,"Osaako mies ilmaista käytöksellään, että hän on varma taidoistaan tyydyttää nainen?",finnish,polar,-0.11,5.00,1.50,0.33,0.73,2.64,4.33,4.00
fi_polar_7,Osaako nainen lukea miehen käytöksestä tämän?,finnish,polar,-0.21,3.00,1.00,0.40,0.83,2.08,3.93,2.00
fi_polar_8,"Entä viestivätkö naisen silmät miehelle, että ”uskon sinun kykyihisi, ota minut, saat minut hulluksi himosta?”",finnish,polar,0.49,4.00,1.00,0.55,0.73,3.09,3.93,4.00
fi_polar_9,"Kahlaavatko he läpi elämän tietämättä, minkälaista seksiä itse haluavat, tai minkälaista seksiä kumppani haluaa, jos eivät osaa lukea sitä toistensa silmistä ja eleistä?",finnish,polar,0.86,5.00,2.00,0.50,0.65,3.33,4.39,6.00
fi_polar_10,"Voimmeko syyttää vanhempiamme siitä, ettemme ole seksuaalisesti kehittyneet vapaiksi, osaaviksi ja vastaanottavaisiksi?",finnish,polar,0.33,5.00,1.00,0.50,0.54,2.83,3.93,2.00
fi_polar_11,Sanoinko jo jotain tästä ravaamisesta? :D,finnish,polar,0.79,2.00,0.00,0.80,0.50,2.08,0.00,1.00
fi_polar_12,"Nää käy myös töihin, kuulostaako tutulta tää lemppariperustelu?",finnish,polar,-0.15,3.00,0.00,0.50,0.75,2.40,0.00,2.00
fi_polar_13,Tekeekö netti meistä tyhmiä?,finnish,polar,-0.01,1.00,0.00,0.60,0.75,1.79,0.00,1.00
fi_polar_14,"Ovatko naiset siis todella mustasukkaisia toisistaan, vaan yrittävätkö he vain selvitä kuolaavien käpyaivojensa kanssa minimaalisella häpeän määrällä?",finnish,polar,0.12,4.00,1.00,0.40,0.71,3.00,4.21,4.00
fi_polar_15,Mutta uskaltaako se mennä yksin jossain metroasemalla poistamaan oksennukseensa sammuneen nistin?,finnish,polar,-0.21,5.00,1.50,0.40,0.73,2.56,4.33,4.00
fi_polar_16,"PIKKUVAIMO: Jos me voitetaan tämä, niin saadaanko varmasti mitali?",finnish,polar,0.49,3.00,1.00,0.70,0.67,2.56,4.62,2.00
fi_polar_17,PIKKUVAIMO: Saadaanko sitten varmasti pronssia?,finnish,polar,-0.01,2.00,0.00,0.60,1.00,2.08,0.00,1.00
fi_polar_18,"(DE) Arvoisa puhemies, voisitteko pyytää hakemaan teknikon?",finnish,polar,0.16,2.00,1.00,0.40,0.86,2.48,3.93,2.00
fi_polar_19,Annammeko tämän jatkua sanomatta mitään?,finnish,polar,-0.26,2.00,1.00,0.27,0.60,1.95,4.21,3.00
fi_polar_20,"Mielestäni tämä keskustelu tiivistyy seuraavaan kysymykseen: uskommeko, että Göteborgin pöytäkirja oli paras tulos, jonka jäsenvaltioiden voidaan odottaa realistisesti saavuttavan?",finnish,polar,0.60,6.00,3.00,0.40,0.74,3.18,4.33,5.00
fi_polar_21,Oliko Helsingissä tehty päätös sittenkin hätiköity?,finnish,polar,-0.01,3.00,1.00,0.40,0.83,2.08,3.93,2.00
fi_polar_22,"Muistatko sinä ne kerrat, kun lahkeet olivat polviin asti märät kauppareissun jäljiltä?",finnish,polar,0.72,4.00,1.00,0.40,0.58,2.71,3.93,2.00
fi_polar_23,"Luulitko sinä, että kiinnostuisin Jonesta, kiinnostuisin niin, että kävelisin hänen kanssaan teidän vierellänne?",finnish,polar,-0.26,6.00,1.50,0.45,0.46,2.89,4.33,4.00
fi_polar_24,"Palasin, kaipasitko minua?",finnish,polar,-0.51,2.00,0.00,0.20,0.67,1.79,0.00,2.00
fi_polar_25,Tarvitsevatko ne jotain?,finnish,polar,-0.51,1.00,0.00,0.40,0.33,1.61,0.00,1.00
fi_polar_26,Pitäisikö niistä olla jotenkin erityisen huolissaan juuri siksi?,finnish,polar,0.56,2.00,0.00,0.00,0.62,2.30,0.00,1.00
fi_polar_27,Olenko minä se väärin pukeutunut?,finnish,polar,0.49,1.00,0.00,0.80,0.40,1.95,0.00,1.00
fi_polar_28,"Vai voiko tosiaan pitää paikkansa, että minun neljäs olohuoneeni, jonne tulen arki-iltana juomaan teetä ja pelaamaan lautapelejä kavereiden kanssa, on jollekin laittautumisen, aloittelun ja jatkojen väliin jäävä bilepaikka?",finnish,polar,3.07,7.00,2.00,0.52,0.64,3.53,4.39,6.00
fi_polar_29,Pitäisikö minun mennä sisälle johonkin taloista?,finnish,polar,-0.61,2.00,0.00,0.40,0.33,2.08,0.00,1.00
fi_polar_30,Toisiko Se tällä kertaa mukanaan siunauksen vai tuhon?,finnish,polar,0.42,3.00,0.00,0.80,0.62,2.30,0.00,1.00
fi_polar_31,"Kääntäisikö Se mahtavan Ahterinsa Nielun kansalle, ja siunaisi sitä ruskealla sukkulalla ja kultaisella sateella, vai laskisiko Se alas kauhistuttavan Kätensä mukanaan sininen kaikentuhoava tulva?",finnish,polar,1.08,4.00,0.00,0.87,0.71,3.33,0.00,3.00
fi_polar_32,Tässäkö se muka oli?,finnish,polar,-0.01,1.00,0.00,0.00,0.25,1.79,0.00,1.00
fi_polar_33,Mutta sopeutuivatko ne Marsin olosuhteisiin?,finnish,polar,-0.51,2.00,0.00,0.60,0.60,1.95,0.00,1.00
fi_polar_34,Vai oliko se tanga-naisia?,finnish,polar,-0.01,1.00,0.00,0.00,0.25,1.79,0.00,1.00
fi_polar_35,Menikö se ylös vai alas?,finnish,polar,-0.51,3.00,0.00,0.40,0.60,1.95,0.00,1.00
fi_polar_36,Urheiluosastolle vai ulko-ovelle?,finnish,polar,-0.51,2.00,0.00,0.00,0.67,1.61,0.00,0.00
fi_polar_37,Hetken hän tuijotti alas (kuolemaan?) ja mietti onko tämä koko paska vaivan arvoista.,finnish,polar,0.58,4.00,1.00,0.60,0.69,2.89,3.93,3.00
fi_polar_38,"""Eikö ole kaunis päivä?""",finnish,polar,-0.67,2.00,0.00,0.20,0.75,2.08,0.00,1.00
fi_polar_39,Oliko tämä unta vai todellisuutta?,finnish,polar,-0.51,2.00,0.00,0.00,0.40,1.95,0.00,1.00
fi_polar_40,Onko sulla joku toinen?,finnish,polar,-0.67,2.00,0.00,0.00,0.00,1.79,0.00,0.00
fi_polar_41,- Jos minä lähen nyt pois enkä tuu enää koskaan takas nii lähettekö isin mukaan vai jäättekö äidin luo?,finnish,polar,0.11,4.00,1.00,0.65,0.67,3.04,3.93,4.00
fi_polar_42,Pitäisikö heidän nyt oikeasti ryhtyä keksimään joitain ihan uusia huippujuttuja?,finnish,polar,0.21,4.00,1.00,0.50,0.70,2.48,3.93,2.00
fi_polar_43,– Semmoisen paperisenko?,finnish,polar,-1.01,1.00,0.00,0.00,1.00,1.61,0.00,0.00
fi_polar_44,- Eikö se ole selvää?  parrakas ryöväri ärähti.,finnish,polar,-0.01,3.00,0.00,0.20,0.57,2.40,0.00,2.00
fi_polar_45,- Piilotitko veneen hyvin?  Juho kysyi.,finnish,polar,0.24,2.00,0.00,0.40,1.00,2.20,0.00,2.00
fi_polar_46,- Haluatteko tupakkia?,finnish,polar,-1.01,1.00,0.00,0.20,1.00,1.61,0.00,1.00
fi_polar_47,Vai haluavatko kruunun miehet viedä ne veroina?,finnish,polar,-0.34,2.00,1.00,0.50,0.71,2.20,3.93,2.00
fi_polar_48,Entä olinko jo ostanut jotain jouluruokia?,finnish,polar,-0.21,2.00,0.00,0.60,0.67,2.08,0.00,1.00
fi_polar_49,Onko sinulla töitä?,finnish,polar,-1.01,1.00,0.00,0.00,0.33,1.61,0.00,0.00
fi_polar_50,Onko tämän asian tiimoilta tullut teille valituksia?,finnish,polar,-0.17,2.00,0.00,0.60,0.43,2.20,0.00,1.00
fi_polar_51,Ja sinäkö olet edelleen varma että se oli vahinko?,finnish,polar,0.49,2.00,1.00,0.00,0.33,2.40,3.93,2.00
fi_polar_52,Porvoostako he tulevat?,finnish,polar,-0.51,1.00,0.00,0.40,0.67,1.61,0.00,1.00
fi_polar_53,Onko Granfeltilta tilattu tutkimustulos vai tutkimustyö?,finnish,polar,-0.61,3.00,0.00,0.40,0.67,2.08,0.00,1.00
fi_polar_54,Ettäkö kaikki kylähulluiksi?,finnish,polar,-1.01,1.00,0.00,0.00,0.33,1.61,0.00,0.00
fi_polar_55,Tulevatko he Porvoosta?,finnish,polar,-0.51,1.00,0.00,0.40,0.67,1.61,0.00,1.00
fi_polar_56,Miks ei ne pane lapselle nimeksi Mikko?,finnish,polar,-0.01,1.00,0.00,1.00,0.71,2.20,0.00,1.00
fi_polar_57,Suostutteko keskustapuolueen uudeksi puheenjohtajaksi?,finnish,polar,-0.01,2.00,0.00,0.20,1.00,1.79,0.00,1.00
fi_polar_58,Söitkö sinä jo?,finnish,polar,-0.51,1.00,0.00,0.40,0.67,1.61,0.00,1.00
fi_polar_59,Taruako lienee vai totta?,finnish,polar,-0.34,2.00,0.00,0.00,0.50,1.79,0.00,1.00
fi_polar_60,Leikitäänkö nyt kotia?,finnish,polar,-0.51,1.00,0.00,0.40,1.00,1.61,0.00,1.00
fi_polar_61,Onko enkeli tyttö vai poika?,finnish,polar,-0.51,2.00,0.00,0.00,0.60,1.95,0.00,1.00
fi_polar_62,Tulisiko tästä yhtään mitään?,finnish,polar,-0.34,2.00,0.00,0.40,0.50,1.79,0.00,1.00
fi_polar_63,Vieläkö Bosniaan pystyy antamaan avustusta?,finnish,polar,-0.51,2.00,1.00,0.40,1.00,1.95,3.93,2.00
fi_polar_64,Tuleeko hän varmasti?,finnish,polar,-0.51,1.00,0.00,0.40,0.67,1.61,0.00,1.00
fi_polar_65,annetaanko koneiden jyskyttää puoliteholla kunnes teknikko on lennätetty paikalle?,finnish,polar,-0.01,3.00,2.00,0.53,0.78,2.40,4.21,3.00
fi_polar_66,"Onko henkilöstä annettu etsintäkuulutus, koska hänellä on laiton ase?",finnish,polar,-0.26,3.00,0.00,0.80,0.56,2.48,0.00,1.00
fi_polar_67,Onko sinne pitkä matka?,finnish,polar,-0.01,2.00,0.00,0.20,1.00,1.79,0.00,1.00
fi_polar_68,Voiko pukua käyttää häissä tai lakkiaisissa?,finnish,polar,-0.61,3.00,0.00,0.40,0.67,2.08,0.00,1.00
fi_polar_69,Voiko äiti olla omin päin ottanut sen käyttöönsä?,finnish,polar,0.56,2.00,0.00,0.80,0.62,2.30,0.00,1.00
fi_polar_70,Varastoitko ruokaa pahan päivän varalta?,finnish,polar,-0.51,2.00,0.00,0.40,0.80,1.95,0.00,1.00
fi_polar_71,Onko onni ollut tänään myötä?,finnish,polar,0.49,1.00,0.00,0.00,0.60,1.95,0.00,1.00
fi_polar_72,"Näinkö se alkaa, kivikuume?",finnish,polar,-0.01,2.00,0.00,0.40,0.75,1.95,0.00,1.00
fi_polar_73,"Eikö se, että tavoitteenani on olla onnellinen, ole kunnianhimoista?",finnish,polar,1.62,4.00,2.00,0.00,0.33,2.56,4.21,3.00
fi_polar_74,"Eikö tahdossa löytää itse se tapa, jolla eläminen tekee kaikkein onnellisimmaksi, ole kunnianhimoa kerrakseen?",finnish,polar,2.22,5.00,1.00,0.40,0.71,2.89,4.21,3.00
fi_polar_75,"Mistä tiedetään, paljonko työtä tietty kurssi on opiskelijalta vaatinut?",finnish,polar,0.74,3.00,1.00,0.50,0.78,2.48,3.93,2.00
fi_polar_76,Tai haluaisitko kokea millaista oli neuvostoajan pioneerileirillä Tallinnassa?,finnish,polar,-0.72,4.00,2.00,0.30,0.75,2.30,4.21,3.00
fi_polar_77,"”Kuulostaa kivalta, mutta eikö tuo ole aika kallista?”",finnish,polar,1.42,2.00,0.00,0.40,0.50,2.56,0.00,2.00
fi_polar_78,Onko sinun koskaan tarvinnut nettikeskustelussa esittää olevasi kännissä?,finnish,polar,-0.44,3.00,2.00,0.40,0.75,2.30,4.21,3.00
fi_polar_79,Vai oletko peräti absolutisti?,finnish,polar,-0.01,1.00,0.00,0.00,0.50,1.79,0.00,1.00
fi_polar_80,Onko tosiaan näin?,finnish,polar,-0.51,1.00,0.00,0.00,0.67,1.61,0.00,1.00
fi_polar_81,Onko lainan ottamiseen varaa?,finnish,polar,-0.34,3.00,0.00,0.20,1.00,1.79,0.00,1.00
