unique_id,text,language,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score,dataset_source
russian_polar_463,Были у Гая Юлия Це́заря дети?,ru,-0.5,0.0,0.4,0.833,2.079,1,2.812,tydi
indonesian_content_3891,Kapan cultuurstelsel diterapkan di Indonesia?,id,-0.781,0.0,0.5,0.8,1.946,0,2.465,tydi
english_content_2739,How long does a queen bee live?,en,-0.578,0.0,0.333,0.714,2.197,0,2.666,tydi
finnish_polar_1716,"Onko Ingemar ""Ingo"" Johansson nyrkkeilyt suomalaista nyrkkeilijää vastaan?",fi,0.15,0.0,0.0,0.75,2.485,1,3.385,tydi
korean_content_6616,일본의 평균 강수량은 얼마인가요?,ko,-0.816,0.0,0.2,1.0,1.792,0,2.176,tydi
arabic_polar_574,هل يمكن الإدمان على تدخين نبتة المارجوانا ؟,ar,1.175,0.0,0.167,0.571,2.197,1,4.11,tydi
russian_content_2730,Где проходило Евровидение 2018 года?,ru,0.49,0.0,0.333,1.0,1.946,0,3.769,tydi
japanese_polar_1078,チベット仏教で自殺することは罪？,ja,1.447,1.0,0.2,0.625,2.303,1,5.575,tydi
korean_content_10098,풋볼과 사커의 차이는 무엇인가?,ko,0.184,0.0,0.2,0.75,1.792,0,2.926,tydi
indonesian_polar_348,Apakah Observatorium Bosscha dibuka untuk tempat wisata?,id,-0.482,0.0,0.75,0.75,2.303,1,3.321,tydi
arabic_polar_2188,هل الحصبة مرض فيروسي؟,ar,-1.825,0.0,0.0,0.75,1.792,1,0.717,tydi
indonesian_polar_305,apakah Banksia dentata memiliki buah?,id,-0.482,0.0,0.75,0.833,2.079,1,3.18,tydi
japanese_content_2715,オスマン帝国コソボ州の主要産業は何,ja,-1.19,0.0,0.0,0.667,2.303,0,1.78,tydi
korean_polar_300,뇌와 척수는 연합 뉴런으로 이루어져 있나요?,ko,-1.136,0.0,0.5,0.667,2.079,1,2.11,tydi
indonesian_content_11310,Dimana Liu Ju lahir?,id,-0.781,0.0,0.333,1.0,1.792,0,2.344,tydi
arabic_content_9776,متى تأسست الوكالة العالمية لمكافحة المنشطات؟,ar,0.2,0.0,0.333,0.714,2.197,0,3.444,tydi
japanese_polar_1327,ウィトルウィウスとは建築家ですか？,ja,-0.553,0.0,0.0,0.429,2.197,1,2.073,tydi
indonesian_polar_9,apakah ganja mengandung zat adiktif?,id,-0.482,0.0,0.75,0.833,2.079,1,3.18,tydi
english_content_6438,Who took part in The Battle of Lesnaya?,en,0.422,0.0,0.5,0.5,2.303,0,3.725,tydi
indonesian_content_6285,kapankah novel novel Harry Potter pertama kali diciptakan?,id,1.219,0.0,0.5,0.889,2.398,0,5.006,tydi
korean_content_11135,알제리의 수도는 어디인가요?,ko,-0.816,0.0,0.2,1.0,1.609,0,1.993,tydi
russian_content_5799,Сколько людей работает в ЦЕРН?,ru,-0.51,0.0,0.333,0.6,1.946,0,2.369,tydi
arabic_polar_62,هل هناك علاج لي حمي ماربور؟,ar,0.175,0.0,0.0,0.333,2.079,1,2.587,tydi
finnish_content_7752,Milloin keisari Leo IV hallitsi?,fi,-0.051,0.0,0.333,1.0,1.946,0,3.228,tydi
arabic_polar_1668,هل مجنب الكويكبات حقيقي ؟,ar,-1.825,0.0,0.0,0.25,1.792,1,0.217,tydi
finnish_polar_1362,Onko maailmassa ollut jo öljyhuippu?,fi,-0.85,0.0,0.0,0.6,1.946,1,1.696,tydi
russian_polar_460,Есть ли экранизации по романам Э́дгара А́ллана По?,ru,1.5,0.0,0.4,0.75,2.303,1,4.953,tydi
english_content_7734,When did Romans first occupy Israel?,en,-1.578,0.0,0.667,0.833,2.079,0,2.001,tydi
russian_content_4576,В каком году были открыты римские бани?,ru,-0.51,0.0,0.5,0.571,2.197,0,2.758,tydi
russian_content_5095,Используют язык Фортра́н на апрель 2019?,ru,-0.51,0.0,0.333,0.833,2.079,0,2.735,tydi
finnish_content_661,Minkä palkinnon Geórgios Papanikoláou sai vuonna 1950?,fi,-0.051,0.0,0.5,0.714,2.197,0,3.36,tydi
english_polar_758,Is bamboo easy to care for?,en,-0.17,1.0,0.4,0.5,2.079,1,3.809,tydi
indonesian_content_10599,Dari mana asal Zainal Sabaruddin Nasution?,id,0.219,0.0,0.0,0.667,2.079,0,2.965,tydi
indonesian_content_7400,dimanakah letak Karang Penghalang Besar?,id,1.219,0.0,0.0,0.833,2.079,0,4.131,tydi
finnish_content_8847,Miten elementtitalo määritellään?,fi,-1.051,0.0,0.333,1.0,1.609,0,1.891,tydi
english_polar_580,Is a seal a cetacean?,en,-0.17,0.0,0.0,0.4,1.946,1,2.176,tydi
russian_content_2552,Какая высота самой высокой горы Памира?,ru,0.49,0.0,0.0,0.667,2.079,0,3.236,tydi
arabic_content_9642,كم يبلغ عدد الموانئ العمانية؟,ar,0.2,0.0,0.333,0.8,1.946,0,3.279,tydi
russian_content_9553,Сколько морей омывает Нидерланды?,ru,-0.51,0.0,0.333,0.75,1.792,0,2.365,tydi
arabic_polar_1052,هل قونية كانت عاصمة الدولة السلجوقية قبل الغزو المغولي؟,ar,-0.825,0.0,0.0,0.667,2.398,1,2.24,tydi
finnish_polar_2137,Löytyykö berylliumia luonnosta?,fi,-0.85,0.0,0.333,1.0,1.609,1,2.092,tydi
finnish_content_8650,Missä Liutprand Cremonalainen syntyi?,fi,-0.051,0.0,0.333,0.75,1.792,0,2.824,tydi
finnish_content_5258,Missä päin Ruotsia Strömma sijaitsee?,fi,-0.051,0.0,0.5,0.6,1.946,0,2.995,tydi
japanese_polar_28,医師免許の取得に国家試験を受ける必要がある？,ja,2.447,1.0,0.3,0.667,2.639,1,7.053,tydi
finnish_polar_2234,Onko ohjelmointi sama asia kuin koodaaminen?,fi,1.15,0.0,0.0,0.5,2.079,1,3.729,tydi
indonesian_content_10291,dimanakah Mangkunegara IX dilahirkan?,id,-0.781,0.0,0.333,0.6,1.946,0,2.098,tydi
japanese_polar_183,牧師は結婚することができますか？,ja,-0.553,0.0,0.6,0.333,2.398,1,2.778,tydi
indonesian_polar_262,Apakah kayu pohon Shorea dapat dijadikan perabot?,id,0.518,0.0,0.75,0.75,2.303,1,4.321,tydi
arabic_content_7053,متي تأسست شركة والت ديزني ؟,ar,0.2,0.0,0.333,0.4,1.946,0,2.879,tydi
russian_polar_1309,Участвовал ли великий князь Дмитрий Павлович в Гражданской войне?,ru,0.5,0.0,0.6,0.778,2.398,1,4.276,tydi
japanese_content_2964,神戸で初めて誕生したバス会社は何,ja,-0.19,1.0,0.333,0.5,2.398,0,4.041,tydi
english_content_1133,What is the climate in the Lower Nile Valley?,en,0.422,0.0,0.0,0.444,2.398,0,3.264,tydi
english_content_1643,What happens when looted art is found?,en,0.422,1.0,0.278,0.714,2.197,0,4.611,tydi
english_polar_1083,Is there a championship for stock car racing?,en,1.83,0.0,0.4,0.625,2.303,1,5.158,tydi
russian_content_4763,В какому возрасте Наполео́н I Бонапа́рт женился?,ru,-0.51,0.0,0.333,0.714,2.197,0,2.734,tydi
japanese_polar_1218,ジャック・アレヴィはユダヤ人？,ja,-0.553,0.0,0.0,0.667,2.079,1,2.193,tydi
japanese_polar_891,切り裂きジャック事件は犯人が見つかりましたか？,ja,-0.553,0.0,0.6,0.5,2.485,1,3.032,tydi
russian_polar_1041,Водится речно́й о́кунь в Австралии?,ru,-0.5,0.0,0.4,0.8,1.946,1,2.646,tydi
russian_polar_1235,Может Папа Римский отречься от престола?,ru,0.5,1.0,0.3,0.833,2.079,1,4.712,tydi
japanese_content_5320,上野動物園の創設者はだれ,ja,-1.19,0.0,0.0,0.625,2.197,0,1.632,tydi
japanese_content_3343,阪神タイガースに藤川球児が入団したのはいつ,ja,-0.19,1.0,0.667,0.417,2.565,0,4.459,tydi
korean_polar_197,오늘날의 법치주의 사상은 고대 그리스의 플라톤(Plato)의 법사상에 기원을 두고 있나요?,ko,0.864,0.0,0.75,0.75,2.708,1,5.072,tydi
russian_polar_243,Можно излечить Рассе́янный склеро́з?,ru,0.5,1.0,0.133,1.0,1.792,1,4.425,tydi
indonesian_content_3108,Berapa jumlah versi kisah Sampuraga?,id,0.219,0.0,0.0,1.0,1.946,0,3.165,tydi
english_polar_179,Did Benefits Street get a sequel?,en,-0.17,0.0,0.4,0.667,2.079,1,2.976,tydi
arabic_content_2118,متى ولد المغني جيمس براون؟,ar,0.2,0.0,0.333,0.4,1.946,0,2.879,tydi
japanese_content_3494,ウィキペディアの名前の由来は何,ja,0.81,0.0,0.0,0.429,2.079,0,3.318,tydi
arabic_polar_1394,هل اللينكس نظام تشغيل؟,ar,-1.825,0.0,0.0,0.5,1.792,1,0.467,tydi
finnish_content_14381,Kuinka monta kautta Supernatural -sarjaa on kuvattu?,fi,0.949,0.0,0.5,0.714,2.197,0,4.36,tydi
