unique_id,text,language,type_original,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent,question_type
ru_content_0,"Как защитить их, себя казня, до жуткой храня поры?",ru,content,0.057,0.91,1.0,0.333,0.667,2.565,3.932,1.193,0
ru_content_1,"В какую яму вползу, как уж, что к вилам-серпам готов?",ru,content,0.532,0.91,0.0,0.333,0.545,2.773,0.0,-0.807,0
ru_content_2,"Хоть понимаешь, сколько раз он нам отвечал?",ru,content,0.265,-0.09,0.0,0.417,0.429,2.303,0.0,0.193,0
ru_content_3,Вы вообще в курсе какой сегодня день?,ru,content,-0.401,-1.09,0.0,0.0,0.571,2.197,0.0,-1.807,0
ru_content_4,Вы за кем?,ru,content,-0.568,-2.09,0.0,0.0,0.0,1.609,0.0,-1.807,0
ru_content_5,Потом опять дышит как лошадь: - Следующая я?,ru,content,-0.068,-1.09,0.0,0.667,0.714,2.398,0.0,-0.807,0
ru_content_6,А вы не знаете как через интернет талончик взять?,ru,content,0.307,-0.09,1.0,0.583,0.556,2.398,3.932,0.193,0
ru_content_7,"13. Ну, и в завершении ой-не-нах-надо-баба: - Кто последний?",ru,content,2.478,-0.09,1.0,0.0,0.417,3.091,4.615,-0.807,0
ru_content_8,А она за кем?,ru,content,-0.068,-2.09,0.0,0.0,0.0,1.792,0.0,-1.807,0
ru_content_9,Как помочь ребенку заговорить?,ru,content,-0.735,-2.09,1.0,0.25,1.0,1.792,3.932,0.193,0
ru_content_10,Но для чего ?,ru,content,-0.568,-2.09,0.0,0.0,0.0,1.609,0.0,-1.807,0
ru_content_11,"По привычке думают, что он красный?",ru,content,-0.268,-1.09,0.0,0.333,0.5,2.197,0.0,-0.807,0
ru_content_12,Как слетать куда-нибудь почти на халяву?,ru,content,-0.268,-1.09,0.0,0.5,0.833,2.079,0.0,-0.807,0
ru_content_13,— А что это?,ru,content,-1.068,-2.09,0.0,0.0,0.0,1.792,0.0,-1.807,0
ru_content_14,УТРОМ СМОТРЮ СМС ОТ МУЖА: — 1:22 ТЫ ГДЕ?,ru,content,-0.211,0.91,0.0,0.333,0.625,2.485,0.0,-0.807,0
ru_content_15,"Что же, я буду самоутверждаться за счет своей жены?...",ru,content,0.182,-0.09,0.0,0.5,0.333,2.485,0.0,-0.807,0
ru_content_16,Какой мудак из Челябинска пообещал своей бабе звезду с неба?,ru,content,-0.29,-0.09,0.0,0.5,0.6,2.485,0.0,-0.807,0
