unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
japanese_polar_0,キリスト教はユダヤ人を迫害した？,japanese,polar,-0.20,2.00,0.00,0.40,0.56,2.40,0.00,1.00
japanese_polar_1,ミシシッピ川はミズーリ州に面していますか？,japanese,polar,0.05,2.00,1.00,0.40,0.55,2.56,3.93,2.00
japanese_polar_2,『ボラット 栄光ナル国家カザフスタンのためのアメリカ文化学習』はカザフスタンで公開された？,japanese,polar,0.11,4.00,0.00,0.40,0.59,3.04,0.00,1.00
japanese_polar_3,ソシエテ・ジェネラルは日本に支社を持つ？,japanese,polar,0.30,2.00,0.00,0.60,0.56,2.40,0.00,1.00
japanese_polar_4,スウェーデン映画『ぼくのエリ 200歳の少女』の少女は人間ですか？,japanese,polar,-0.16,6.00,0.00,0.00,0.53,2.94,0.00,1.00
japanese_polar_5,サイトカイン放出症候群は最悪死に至る？,japanese,polar,0.27,2.00,0.00,0.40,0.80,2.48,0.00,1.00
japanese_polar_6,ニシネズミザメは肉食？,japanese,polar,-0.62,2.00,0.00,0.00,0.75,1.79,0.00,0.00
japanese_polar_7,ラジウム・ガールズは会社から賠償金を受けた？,japanese,polar,0.25,2.00,0.00,0.60,0.55,2.56,0.00,1.00
japanese_polar_8,先物取引をするのに資格は必要ですか？,japanese,polar,-0.15,3.00,1.00,0.60,0.45,2.56,4.62,1.00
japanese_polar_9,日本のアイヌ語を話せる人はいますか？,japanese,polar,-0.45,5.00,1.00,0.30,0.55,2.56,3.93,2.00
japanese_polar_10,ＧＡＰの本社はアメリカ合衆国ですか？,japanese,polar,-0.20,3.00,0.00,0.00,0.56,2.40,0.00,1.00
japanese_polar_11,アルカンは自然界に存在する？,japanese,polar,-0.12,2.00,0.00,0.40,0.57,2.20,0.00,1.00
japanese_polar_12,イアペトゥスに水はある？,japanese,polar,0.05,2.00,0.00,0.40,0.60,1.95,0.00,1.00
japanese_polar_13,日本でミドルネームをつけることはできる？,japanese,polar,-0.20,4.00,1.00,0.30,0.67,2.40,3.93,2.00
japanese_polar_14,鉄道を地方自治体が経営することはある？,japanese,polar,-0.05,2.00,1.00,0.30,0.64,2.56,3.93,2.00
japanese_polar_15,現存する ロングシップはある？,japanese,polar,-0.35,3.00,1.00,0.10,0.67,2.08,3.93,2.00
japanese_polar_16,シェパーズ・ブッシュにカトリック教会はある？,japanese,polar,-0.09,2.00,0.00,0.40,0.62,2.30,0.00,1.00
japanese_polar_17,農耕社会に法律は存在した？,japanese,polar,-0.23,2.00,0.00,0.40,0.50,2.30,0.00,1.00
