sentence_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
2045,"Как защитить их, себя казня, до жуткой храня поры?",russian,content,2.125,4.0,1.0,2.0,0.6666666666666666,12,50.0,3.0
2051,"В какую яму вползу, как уж, что к вилам-серпам готов?",russian,content,2.6,4.0,0,2.0,0.5454545454545454,15,0.0,1.0
2099,"Хоть понимаешь, сколько раз он нам отвечал?",russian,content,2.3333333333333335,3.0,0,2.5,0.42857142857142855,9,0.0,2.0
6157,Вы вообще в курсе какой сегодня день?,russian,content,1.6666666666666667,2.0,0,0,0.5714285714285714,8,0,0.0
6159,Вы за кем?,russian,content,1.5,1.0,0,0,0.0,4,0,0.0
6173,Потом опять дышит как лошадь: - Следующая я?,russian,content,2.0,2.0,0,4.0,0.7142857142857143,10,0.0,1.0
6191,А вы не знаете как через интернет талончик взять?,russian,content,2.375,3.0,1.0,3.5,0.5555555555555556,10,50.0,2.0
6197,"13. Ну, и в завершении ой-не-нах-надо-баба: - Кто последний?",russian,content,4.545454545454546,3.0,1.0,0.0,0.4166666666666667,21,100.0,1.0
6199,А она за кем?,russian,content,2.0,1.0,0,0,0.0,5,0,0.0
6343,Как помочь ребенку заговорить?,russian,content,1.3333333333333333,1.0,1.0,1.5,1.0,5,50.0,2.0
6633,Но для чего ?,russian,content,1.5,1.0,0,0,0.0,4,0,0.0
6639,"По привычке думают, что он красный?",russian,content,1.8,2.0,0,2.0,0.5,8,0.0,1.0
6653,Как слетать куда-нибудь почти на халяву?,russian,content,1.8,2.0,0,3.0,0.8333333333333334,7,0.0,1.0
6733,— А что это?,russian,content,1.0,1.0,0,0,0.0,5,0,0.0
6751,УТРОМ СМОТРЮ СМС ОТ МУЖА: — 1:22 ТЫ ГДЕ?,russian,content,1.8571428571428572,4.0,0,2.0,0.625,11,0.0,1.0
6783,"Что же, я буду самоутверждаться за счет своей жены?...",russian,content,2.25,3.0,0,3.0,0.3333333333333333,11,0.0,1.0
6817,Какой мудак из Челябинска пообещал своей бабе звезду с неба?,russian,content,1.7777777777777777,3.0,0,3.0,0.6,11,0.0,1.0
6859,Сколько стоила разработка различных брендов?,russian,content,1.25,3.0,0,2.0,0.8,6,0.0,1.0
taiga-train-social-24,"А вы знаете, что это на самом деле?",russian,content,1.7142857142857142,3.0,0,2.0,0.25,10,0.0,1.0
taiga-train-social-80,Как они могли с нами так поступить?,russian,content,1.8333333333333333,3.0,1.0,2.5,0.5714285714285714,8,50.0,2.0
taiga-train-social-6152,- Кто последний?,russian,content,1.0,1.0,0,0,0.5,4,0,0.0
taiga-train-social-6154,А где ваш грудничок?,russian,content,2.0,1.0,0,0,0.5,5,0,0.0
taiga-train-social-6192,А вы а у вас что?,russian,content,1.6,2.0,0,0,0.0,7,0,0.0
taiga-train-social-6198,А вы за кем?,russian,content,2.0,1.0,0,0,0.0,5,0,0.0
taiga-train-social-6630,"А вы знали, что прямо сейчас за вами следят?",russian,content,2.625,3.0,1.0,3.0,0.3333333333333333,11,50.0,2.0
taiga-train-social-6634,и самое главное для кого?,russian,content,2.0,2.0,0,0,0.2,6,0,0.0
taiga-train-social-6642,Откуда на картине «Клятва Горациев» вскинутые руки?,russian,content,2.1666666666666665,2.0,0,0.0,0.8571428571428571,10,0,1.0
taiga-train-social-6676,— А вы откуда?,russian,content,1.5,1.0,0,0,0.3333333333333333,5,0,0.0
taiga-train-social-6684,— А какой у меня акцент?,russian,content,1.75,2.0,0,0,0.2,7,0,0.0
taiga-train-social-6752,— 3:15 ТЫ ГДЕ БЛ@ДЬ...?,russian,content,1.3333333333333333,2.0,0,0,0.5,7,0,0.0
taiga-train-social-6758,"— А почему, чем больше пьешь — тем противоположный пол «красивше»?",russian,content,4.625,2.0,1.0,2.0,0.5555555555555556,15,100.0,1.0
taiga-train-social-6782,А дома то чего?,russian,content,1.3333333333333333,1.0,0,0,0.25,5,0,0.0
taiga-train-social-6806,А сейчас что?,russian,content,1.5,1.0,0,0,0.3333333333333333,4,0,0.0
taiga-train-social-6856,Кому нужно? забираем на стену #эзотерика #аффимация #психология #мудрость #симорон #деньги #волшебство #чудо #чудеса #вера #исполнениежеланий #seemoron,russian,content,4.6875,3.0,0,2.0,0.17647058823529413,18,0,1.0
poetry-rnc-abstract-525,"ты чего, сынок, задумал?",russian,content,3.6666666666666665,1.0,0,3.0,0.5,7,0.0,1.0
poetry-rnc-abstract-532,"и качнулись тени враз на краю бездонных глаз, как разбуженные девы пеньем пропасти внизу, вопрошающие: где мы? безучастную лозу.",russian,content,2.5,4.0,1.0,2.6666666666666665,0.7894736842105263,24,50.0,3.0
poetry-rnc-a-612,"«Что, что, мусье?",russian,content,3.0,1.0,0,0,0.3333333333333333,7,0,0.0
poetry-rnc-a-627,"Ты почему бескрыл, старик, до сей поры?..",russian,content,2.3333333333333335,2.0,0,0,0.5714285714285714,10,0,0.0
poetry-rnc-a-634,"Ты с ней, а я вчера с Петрухой, Да где же ведь?",russian,content,2.3636363636363638,3.0,0,0,0.25,15,0,0.0
poetry-rnc-a-650,"И что ж? ко мне вы, други, собралися, Весельчаков бывалых сыновья!",russian,content,3.2,5.0,0,3.0,0.45454545454545453,16,0,1.0
poetry-rnc-b-678,"За то ль, cкажи, мы любим cвет cвечи (cвечу cвеpканью люcтp пpедпочитаем), что жеpтвует cобой она в ночи, когда пpи ней о пpавде мы читаем?",russian,content,3.25,5.0,2.0,3.0,0.48,32,66.66666666666667,5.0
poetry-rnc-b-700,"Иль оттого, что в памяти не стих Горячий ветр из дали многохрамной, Что гнал волну Нербадды, Ганга, Джамны Пред таборами праотцев моих?",russian,content,2.2857142857142856,6.0,1.0,3.5,0.6363636363636364,27,100.0,2.0
poetry-rnc-1830-852,"Что были в старину с тобою мы друзья, Что я на скромной лире, Бывало, воспевал талант изящный твой?",russian,content,3.4705882352941178,3.0,0,2.5,0.4444444444444444,22,0.0,3.0
poetry-rnc-1830-894,Что за кочевья чернеются Средь пылающих огней?,russian,content,1.6666666666666667,2.0,1.0,1.0,0.5714285714285714,8,50.0,2.0
r24-5-2,"Почему не запимал ещё в свои ряды,как И.Христа?",russian,content,2.2222222222222223,2.0,0,5.0,0.6,12,0.0,1.0
r24-8-8,За бабки то что не сделаешь?,russian,content,1.8,2.0,0,3.0,0.3333333333333333,7,0.0,1.0
r24-11-38,Как в этом караоке поют?,russian,content,2.0,2.0,0,2.0,0.4,6,0.0,1.0
r24-12-15,"""Саша, Саша"", - кричит, - ""что же вы так проходите?",russian,content,4.571428571428571,3.0,0,2.5,0.75,17,0.0,2.0
MorphoRuEval2017-test-vk-69,Что в мыслях у кота?,russian,content,1.5,2.0,0,0,0.4,6,0,0.0
MorphoRuEval2017-test-vk-75,"Так хочется взять и сказать, ""Ну почему же мы не вместе?""",russian,content,2.6,5.0,1.0,1.6666666666666667,0.5454545454545454,15,50.0,3.0
MorphoRuEval2017-test-vk-137,"Любви хотел налить, да вот куда?",russian,content,2.2,2.0,1.0,1.5,0.6666666666666666,8,50.0,2.0
MorphoRuEval2017-test-vk-219,А что для вас настоящее счастье?,russian,content,2.6,2.0,0,0,0.3333333333333333,7,0,0.0
MorphoRuEval2017-test-vk-250,Куда можно пойти в Сочи?,russian,content,1.5,2.0,1.0,1.5,0.8,6,50.0,2.0
MorphoRuEval2017-test-vk-262,"Слышал когда-нибудь, как один человек отучал свою собаку бегать за машинами, по совету мудрого товарища?",russian,content,2.357142857142857,4.0,2.0,2.6666666666666665,0.6666666666666666,18,66.66666666666667,3.0
MorphoRuEval2017-test-vk-276,"С ним думать не будешь: ""Что, там, за окном?""",russian,content,2.25,3.0,0,3.0,0.3333333333333333,15,0.0,1.0
MorphoRuEval2017-test-vk-310,"Кто эти доброжелатели, которые убедили вас, что без мяса вы будете хилы, голодны и вообще не проживете?",russian,content,2.75,4.0,2.0,3.0,0.4117647058823529,21,100.0,3.0
MorphoRuEval2017-test-vk-311,"Кто такой заботливый продумал для вас миф, что без натурального меха и кожи вы замерзнете и будете не элегантны?",russian,content,2.888888888888889,4.0,1.0,4.0,0.42105263157894735,21,50.0,3.0
MorphoRuEval2017-test-vk-389,Как твои дела?,russian,content,1.5,2.0,0,0,0.6666666666666666,4,0,0.0
MorphoRuEval2017-test-vk-404,Кому дали 2 года колонии-поселения за призывы убивать москалей?,russian,content,1.8888888888888888,3.0,1.0,2.0,0.7,12,50.0,2.0
MorphoRuEval2017-test-vk-405,ЗА ЧТО ВОЕВАЛИ НАШИ ДЕДЫ?,russian,content,1.25,2.0,0,2.0,0.4,6,0.0,1.0
MorphoRuEval2017-test-vk-444,"- Помните, я говорил, что всем нужны только деньги?",russian,content,2.0,4.0,0,1.5,0.5,12,0.0,2.0
MorphoRuEval2017-test-vk-458,"И после вы удивляетесь, почему она не хочет быть с вами?",russian,content,2.3,3.0,2.0,4.0,0.36363636363636365,13,66.66666666666667,3.0
MorphoRuEval2017-test-vk-460,- А что делать-то нужно?,russian,content,2.75,2.0,1.0,2.0,0.4,8,100.0,1.0
MorphoRuEval2017-test-vk-501,Почему уничтожают Луганск и Донецк?,russian,content,1.25,3.0,0,2.0,0.8,6,0.0,1.0
MorphoRuEval2017-test-jz-17,— Что?— глухо в подушку отозвался он.,russian,content,2.4,3.0,0,3.0,0.5,10,0,1.0
MorphoRuEval2017-test-jz-24,"Нервно отшвырнув на стул приготовленную было сбрую с чулками, она ринулась на кухню за подмогой:— Петя, Ирина, что мне с ним делать?",russian,content,3.238095238095238,4.0,1.0,3.25,0.5454545454545454,28,66.66666666666667,4.0
MorphoRuEval2017-test-jz-125,"Он уже протянул руку к выключателю, как вдруг, обернувшись, лукаво улыбнулся:— А что, Петрович, сдается мне, сегодня ты счастливо обделался?",russian,content,3.473684210526316,4.0,2.0,3.4,0.65,29,66.66666666666667,5.0
MorphoRuEval2017-test-jz-146,"Тут удивился Петрович: ""Почему от волка?",russian,content,2.2,2.0,0,3.0,0.8333333333333334,9,0.0,1.0
MorphoRuEval2017-test-jz-151,— А тогда почему ты сидишь со старухами на лавочке?,russian,content,2.25,2.0,0,6.0,0.5555555555555556,11,0.0,1.0
MorphoRuEval2017-test-jz-154,— Что же делать?— Она была озадачена.,russian,content,2.2,2.0,0,2.0,0.3333333333333333,10,0.0,2.0
MorphoRuEval2017-test-jz-203,"Ведь из чего складывается игра?— из предмета и воображения; чем скромнее предмет, тем больше следует добавить воображения, только и всего.",russian,content,2.6842105263157894,6.0,1.0,2.6666666666666665,0.5,26,50.0,3.0
MorphoRuEval2017-test-jz-219,Или мы вправду каждый год рождаемся заново и получаем какой-то новый шанс?,russian,content,2.272727272727273,3.0,0,4.0,0.5833333333333334,13,0.0,2.0
MorphoRuEval2017-test-jz-224,Зачем они идут на цыпочках?,russian,content,1.5,2.0,0,3.0,0.6,6,0.0,1.0
MorphoRuEval2017-test-jz-228,"— Я Петрович, а вы кто?",russian,content,2.0,2.0,0,0,0.2,8,0,0.0
MorphoRuEval2017-test-jz-254,— Что это?— перебил его Петрович.,russian,content,2.0,2.0,0,2.0,0.4,9,0,1.0
MorphoRuEval2017-test-jz-265,"— Генрих, почему ты не показывал мне его раньше?",russian,content,2.4285714285714284,1.0,0,0.0,0.5,11,0.0,1.0
MorphoRuEval2017-test-jz-289,"— Что?— спросил тот, не сбавляя шага.",russian,content,2.0,3.0,1.0,2.0,0.5,11,100.0,2.0
MorphoRuEval2017-test-jz-292,— Но почему ее никто не полечит?,russian,content,3.0,1.0,0,5.0,0.3333333333333333,8,0.0,1.0
MorphoRuEval2017-test-jz-297,— А где же ее хозяин?,russian,content,1.5,2.0,0,0,0.4,7,0,0.0
MorphoRuEval2017-test-jz-306,— Что?— Петино лицо показалось из-за журнала.,russian,content,2.0,3.0,0,2.0,0.6666666666666666,10,0,1.0
MorphoRuEval2017-test-jz-311,"""Вроде той собаки, что мы видели с Петей?""",russian,content,2.0,4.0,1.0,2.0,0.375,12,100.0,1.0
MorphoRuEval2017-test-jz-322,"Когда это было ""недолго"" ждать кого-нибудь, кроме медсестры с уколом?",russian,content,2.111111111111111,5.0,1.0,1.0,0.5,14,50.0,2.0
