sentence_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
1,Полезно ли носить кварц?,russian,polar,1.3333333333333333,2.0,1.0,1.0,0.75,5,100.0,1.0
2,Можно излечиться от наркотической зависимости полностью?,russian,polar,2.2,3.0,1.0,2.0,0.8333333333333334,7,100.0,1.0
3,Сколько раз Ли́ля Ю́рьевна Брик была замужем?,russian,polar,2.3333333333333335,2.0,0,0,0.7142857142857143,8,0.0,1.0
4,Михаи́л Алекса́ндрович Вру́бель был душевно больным человеком?,russian,polar,2.1666666666666665,3.0,0,0,0.8571428571428571,8,0.0,1.0
5,Есть ли море в Южной Осетии?,russian,polar,1.8,3.0,0,2.0,0.6666666666666666,7,0.0,1.0
6,Дэвид Марк Моррисси играл в театре?,russian,polar,1.6,3.0,0,2.0,0.8333333333333334,7,0.0,1.0
7,Выходит в Калмыкии газета на калмыцком языке на март 2019?,russian,polar,2.4444444444444446,3.0,0,3.0,0.7,11,0.0,1.0
8,Нур Моха́ммад Тараки́ был убит?,russian,polar,1.75,3.0,0,2.0,0.8,6,0.0,1.0
9,Были ли братья и сестра у Рюрика?,russian,polar,2.5,3.0,0,0,0.42857142857142855,8,0,0.0
10,Анну Каренину осуждали в обществе по роману «А́нна Каре́нина»?,russian,polar,1.625,3.0,0,3.0,0.7777777777777778,10,0.0,1.0
11,Является ли Украи́нская правосла́вная це́рковь самой большой в Украине по количеству приверженцев?,russian,polar,2.1818181818181817,3.0,0,3.0,0.75,13,0.0,1.0
12,Есть ли нефть в Удмуртии?,russian,polar,2.0,2.0,0,3.0,0.6,6,0.0,1.0
13,Герма́нское гражда́нское уложе́ние было выдающимся достижением своего времени?,russian,polar,1.7142857142857142,2.0,0,0,0.75,9,0.0,1.0
14,Погиб польский президент при полете на годовщину Катынского расстрела?,russian,polar,1.75,4.0,0,2.0,0.7777777777777778,10,0.0,1.0
15,Посещал ли Луи́ Пьер Альтюссе́р Россию?,russian,polar,2.2,2.0,0,3.0,0.8333333333333334,7,0.0,1.0
16,Женщины Византии имели равные права с мужчинами?,russian,polar,1.5,3.0,0,2.0,0.8571428571428571,8,0.0,1.0
