sentence_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
1,When did the art deco movement begin?,english,content,2.8333333333333335,3.0,0,2.0,0.7142857142857143,8,0.0,1.0
2,When was quantum field theory developed?,english,content,2.4,3.0,0,3.0,0.8333333333333334,7,0.0,1.0
3,What was the highest value of the yen in 2018?,english,content,2.2222222222222223,3.0,0,0,0.3,11,0.0,1.0
4,Where were the first dinosaur bones discovered?,english,content,3.0,2.0,0,3.0,0.7142857142857143,8,0.0,1.0
5,Who was the first Nobel prize winner for Literature?,english,content,2.375,3.0,0,0,0.5555555555555556,10,0.0,1.0
6,When did construction begin on the Sporthotel Pontresina?,english,content,2.2857142857142856,2.0,0,3.0,0.625,9,0.0,1.0
7,How many people visit Mecca each year?,english,content,1.3333333333333333,3.0,0,3.0,0.8571428571428571,8,0.0,1.0
8,How long does a philosophy degree take?,english,content,2.3333333333333335,2.0,0,2.0,0.7142857142857143,8,0.0,1.0
9,How long were the Still Game episodes?,english,content,2.0,3.0,0,0,0.7142857142857143,8,0.0,1.0
10,How many refugees escaped to the US from the Holocaust?,english,content,2.0,3.0,0,3.0,0.6,11,0.0,1.0
11,What is London known for?,english,content,2.5,2.0,0,3.0,0.4,6,0.0,1.0
12,What city has the highest population density in the U.S.?,english,content,2.0,3.0,0,2.0,0.6,11,0.0,1.0
13,How many spidermans are there?,english,content,1.0,3.0,0,0,0.6,6,0.0,0.0
14,When was Surfers Paradise established in Australia?,english,content,2.0,2.0,0,4.0,0.7142857142857143,8,0.0,1.0
15,What other games have IO Interactive made?,english,content,2.0,2.0,0,2.0,0.7142857142857143,8,0.0,1.0
16,When is the dialectical method used?,english,content,2.6,2.0,0,3.0,0.6666666666666666,7,0.0,1.0
17,Who invented Hangul?,english,content,1.0,1.0,0,2.0,0.6666666666666666,4,0.0,1.0
18,What do Grasshoppers eat?,english,content,2.0,1.0,0,2.0,0.5,5,0.0,1.0
19,What is the number one industry in the state of Guanajuato?,english,content,2.1,4.0,0,0,0.36363636363636365,12,0.0,1.0
20,How large is the Kerman province of southeastern Iran?,english,content,1.875,3.0,0,0,0.6666666666666666,10,0.0,1.0
21,When was Guitar Hero Live first released?,english,content,2.6666666666666665,3.0,0,4.0,0.8571428571428571,8,0.0,1.0
22,How much did the Chicago Central Area Transit Plan cost?,english,content,3.111111111111111,3.0,0,2.0,0.8,11,0.0,1.0
23,When were bluebonnets named the state flower of Texas?,english,content,1.875,3.0,0,4.0,0.6666666666666666,10,0.0,1.0
24,What is the largest organization of professional soccer?,english,content,2.0,3.0,0,0,0.5,9,0.0,1.0
25,Was there a male Pink Power Ranger?,english,content,2.8333333333333335,2.0,0,2.0,0.7142857142857143,8,0.0,1.0
26,How many countries are in the Arab League?,english,content,2.4285714285714284,3.0,0,0,0.625,9,0,0.0
27,What is the strongest photographic camera lense in existence?,english,content,2.5,3.0,0,0,0.5555555555555556,10,0.0,1.0
28,Who created the series Clannad?,english,content,1.75,2.0,0,2.0,0.6,6,0.0,1.0
29,Where was Euclid born?,english,content,2.0,1.0,0,3.0,0.75,5,0.0,1.0
30,What are the main ethical theories in ethics?,english,content,2.142857142857143,3.0,0,0,0.5,9,0.0,1.0
31,When was the USS,english,content,1.6666666666666667,2.0,0,0,0.5,4,0.0,1.0
32,Taylor built?,english,content,1.0,1.0,0,1.0,1.0,3,0.0,1.0
33,How many Americans suffer from acid reflux disease?,english,content,1.7142857142857142,3.0,0,2.0,0.875,9,0.0,1.0
34,"Who leads the United Nations Educational, Scientific and Cultural Organization?",english,content,4.111111111111111,4.0,0,2.0,0.7,12,0.0,1.0
35,Who is considered the founder of botany?,english,content,1.5,3.0,0,3.0,0.42857142857142855,8,0.0,1.0
36,What was the largest population of the Aztecs?,english,content,2.0,3.0,0,0,0.375,9,0.0,1.0
37,What's the difference between man-slaughter and homicide?,english,content,2.125,4.0,0,0,0.4444444444444444,11,0.0,1.0
38,How many people have gotten sick from the Armley asbestos disaster?,english,content,2.0,4.0,0,2.0,0.7272727272727273,12,0.0,1.0
39,How much do Software designers make?,english,content,2.0,2.0,0,2.0,0.8333333333333334,7,0.0,1.0
40,What is the largest laurel forest area?,english,content,2.6666666666666665,3.0,0,0,0.5714285714285714,8,0.0,1.0
41,Who is the tallest human?,english,content,2.0,2.0,0,0,0.4,6,0.0,1.0
42,When did DC comics first introduce the Guardians of the Universe?,english,content,2.2,3.0,0,4.0,0.6363636363636364,12,0.0,1.0
43,What is the difference between a jury and a grand jury?,english,content,2.1,4.0,0,0,0.36363636363636365,12,0.0,1.0
44,What is the largest parrot in New Zealand?,english,content,2.0,3.0,0,0,0.5,9,0.0,1.0
45,What is the population of Le Quesnoy?,english,content,1.5,3.0,0,0,0.42857142857142855,8,0.0,1.0
46,When was the first Assassin's Creed released?,english,content,3.142857142857143,4.0,1.0,2.0,0.625,9,100.0,1.0
47,Who are the famous sculptures in the world?,english,content,2.0,3.0,0,0,0.375,9,0.0,1.0
48,How many people live in Vietnam?,english,content,1.2,3.0,0,2.0,0.8333333333333334,7,0.0,1.0
49,How much money does Stephen King make per movie?,english,content,1.875,3.0,0,3.0,0.7777777777777778,10,0.0,1.0
50,What percentage of the Earth's atmosphere is oxygen?,english,content,2.75,4.0,0,0,0.4444444444444444,10,0.0,1.0
51,When was the X-Men cartoon television series first aired?,english,content,4.0,3.0,0,4.0,0.8,12,0.0,1.0
52,When was the Battle of Suoi Chau Pha fought?,english,content,3.625,3.0,0,3.0,0.6666666666666666,10,0.0,1.0
53,How old was Cho Namchul when he died?,english,content,2.0,2.0,1.0,2.0,0.75,9,50.0,2.0
54,What is the Navy's military mascot?,english,content,2.1666666666666665,3.0,0,0,0.42857142857142855,8,0.0,1.0
55,Where was Doris Hursley born?,english,content,2.5,2.0,0,3.0,0.8,6,0.0,1.0
56,How many permanent members of the United Nations Security Council are there?,english,content,2.8181818181818183,4.0,0,2.0,0.75,13,0.0,1.0
57,When did humans start burying the dead?,english,content,1.6666666666666667,3.0,1.0,2.0,0.7142857142857143,8,50.0,2.0
58,How long is the Odyssey?,english,content,1.5,2.0,0,0,0.6,6,0.0,1.0
59,What position does the Queen's husband hold?,english,content,2.4285714285714284,3.0,0,2.0,0.5,9,0.0,1.0
60,When was iodized table salt first introduced?,english,content,2.8333333333333335,2.0,0,2.0,0.8571428571428571,8,0.0,2.0
61,How many black villains are there?,english,content,1.2,3.0,0,0,0.6666666666666666,7,0.0,0.0
62,Who created the Gundam animated series?,english,content,2.2,2.0,0,2.0,0.6666666666666666,7,0.0,1.0
63,How many battleships are in the Navy?,english,content,2.0,3.0,0,0,0.5714285714285714,8,0,0.0
64,How old is Canada?,english,content,1.3333333333333333,1.0,0,0,0.75,5,0.0,1.0
65,When did Juan Rivera start professional wrestling?,english,content,2.1666666666666665,2.0,0,3.0,0.8571428571428571,8,0.0,1.0
66,How long has Lucha Libre been around?,english,content,2.3333333333333335,2.0,0,0,0.7142857142857143,8,0.0,1.0
67,How long do bananas last once peeled?,english,content,1.6666666666666667,2.0,1.0,2.0,0.8571428571428571,8,50.0,2.0
68,How well does the San Francisco Chronicle sell?,english,content,2.7142857142857144,3.0,0,2.0,0.75,9,0.0,1.0
69,When was special relativity developed?,english,content,2.25,2.0,0,3.0,0.8,6,0.0,1.0
70,What are the ratings for Sábado Gigante?,english,content,1.5,3.0,0,0,0.42857142857142855,8,0.0,1.0
71,What is the average age that people get married in the UK?,english,content,2.1818181818181817,4.0,1.0,4.0,0.4166666666666667,13,50.0,2.0
72,Why do witches have pointed hats?,english,content,1.8,2.0,0,3.0,0.8333333333333334,7,0.0,1.0
73,How long was the Really Achieving Your Childhood Dreams given by Randy Pausch?,english,content,1.8333333333333333,4.0,1.0,2.5,0.6923076923076923,14,50.0,2.0
74,When did Marxism develop?,english,content,2.0,1.0,0,2.0,0.75,5,0.0,1.0
75,Which Assassin's Creed is the latest released?,english,content,2.2857142857142856,3.0,0,4.0,0.5,9,0.0,1.0
76,Where is Taoism practiced today?,english,content,1.75,1.0,0,4.0,0.8,6,0.0,1.0
77,When do the Cincinnati Bengals play next?,english,content,2.3333333333333335,2.0,0,3.0,0.7142857142857143,8,0.0,1.0
78,Why is it called guerrilla?,english,content,1.75,1.0,0,4.0,0.6,6,0.0,1.0
79,What was the first film directed by Andrei Tarkovsky?,english,content,1.625,4.0,1.0,1.0,0.5555555555555556,10,50.0,2.0
80,Who was the last Han Dynasty Emperor?,english,content,2.6666666666666665,3.0,0,0,0.5714285714285714,8,0.0,1.0
81,Where is Monte Carlo?,english,content,2.0,1.0,0,0,0.75,5,0.0,1.0
82,"Who wrote the song ""Happy Days""?",english,content,1.6,3.0,0,2.0,0.6666666666666666,9,0.0,1.0
83,When was a ruling made on the case of Pacific Gas & Electric Co. v. State Energy Resources Conservation & Development Commission?,english,content,3.0952380952380953,8.0,1.0,1.0,0.6363636363636364,23,50.0,2.0
84,Who was the first ruler of the Tang dynasty?,english,content,2.25,3.0,0,0,0.4444444444444444,10,0.0,1.0
85,When was the first web page released?,english,content,3.0,3.0,1.0,2.0,0.7142857142857143,8,100.0,1.0
86,When did Freemasonry originate?,english,content,2.0,1.0,0,2.0,0.75,5,0.0,1.0
87,When did Iain M. Banks create,english,content,3.8,2.0,0,2.0,0.8333333333333334,7,0.0,1.0
88,The Culture?,english,content,1.0,1.0,0,0,0.5,3,0,0.0
89,How many people died during WW1?,english,content,1.2,3.0,0,2.0,0.8333333333333334,7,0.0,1.0
90,Where do horse flies go in the winter?,english,content,2.142857142857143,2.0,0,3.0,0.625,9,0.0,1.0
91,How old is the town of Wolfstein in Germany?,english,content,1.75,3.0,0,0,0.5555555555555556,10,0.0,1.0
92,What was the first Atlantic hurricane in 2000?,english,content,2.142857142857143,3.0,0,0,0.375,9,0.0,1.0
93,When was the the first bicycle with gearing introduced?,english,content,2.25,3.0,1.0,0.0,0.5555555555555556,10,50.0,2.0
94,What is the biggest Ram truck?,english,content,2.4,2.0,0,0,0.5,7,0.0,1.0
95,What was the first percussion instrument?,english,content,2.4,2.0,0,0,0.5,7,0.0,1.0
96,What is the main version of Islam practiced in Iraq?,english,content,1.8888888888888888,4.0,1.0,1.0,0.5,11,50.0,2.0
97,When was tin first discovered in Mexico?,english,content,2.1666666666666665,2.0,0,5.0,0.7142857142857143,8,0.0,1.0
98,What is within a nucleus of a cell?,english,content,2.2857142857142856,2.0,0,0,0.25,9,0.0,1.0
99,What is the oldest radio station in the U.S.?,english,content,2.25,3.0,0,0,0.4444444444444444,10,0.0,1.0
100,How many articles are there in the French Constitution?,english,content,1.875,3.0,0,3.0,0.6666666666666666,10,0.0,1.0
101,What is the population of emperor penguins in Antarctica?,english,content,2.125,3.0,0,0,0.4444444444444444,10,0.0,1.0
102,When did Aristagoras become leader of Miletus?,english,content,1.6666666666666667,3.0,0,3.0,0.7142857142857143,8,0.0,1.0
103,How long is the England–Wales border?,english,content,2.5,3.0,0,0,0.7142857142857143,9,0.0,1.0
104,What carbohydrates are digestible?,english,content,1.3333333333333333,2.0,0,0,0.5,5,0.0,1.0
105,How old do you have to be in order to participate in Greco-Roman wrestling?,english,content,2.7857142857142856,4.0,1.0,4.0,0.5333333333333333,17,50.0,2.0
106,What is Captain Cold's real name?,english,content,2.5,3.0,0,0,0.5714285714285714,8,0.0,1.0
107,Who started human rights?,english,content,1.3333333333333333,2.0,0,2.0,0.75,5,0.0,1.0
108,When was the first Spanish Grand Prix?,english,content,2.8333333333333335,2.0,0,0,0.7142857142857143,8,0.0,1.0
109,What was the first conflict the Loyal Regiment fought in?,english,content,1.8888888888888888,4.0,1.0,2.0,0.5,11,50.0,2.0
110,Who is the Mayor of San Francisco?,english,content,1.5,3.0,0,0,0.42857142857142855,8,0.0,1.0
111,When does Menopause start?,english,content,2.0,1.0,0,2.0,0.75,5,0.0,1.0
112,When did Alfred die?,english,content,2.0,1.0,0,2.0,0.75,5,0.0,1.0
113,How many events are held in football stadiums?,english,content,1.5714285714285714,3.0,0,3.0,0.75,9,0.0,1.0
114,What language do Chechens speak?,english,content,1.75,2.0,0,2.0,0.6,6,0.0,1.0
115,When were the Gallic Wars?,english,content,2.0,2.0,0,0,0.6,6,0.0,1.0
116,What is the oldest overseas U.S. military base?,english,content,3.2857142857142856,2.0,0,0,0.625,9,0.0,1.0
117,When did Michelangelo create the David?,english,content,1.8,2.0,0,3.0,0.6666666666666666,7,0.0,1.0
118,When was the Nazi party founded?,english,content,2.6,2.0,0,3.0,0.6666666666666666,7,0.0,1.0
119,How long was the Northeast blackout of 2003?,english,content,1.7142857142857142,3.0,0,0,0.5,9,0.0,1.0
120,Where are polycyclic aromatic hydrocarbons found?,english,content,2.6,2.0,0,3.0,0.8333333333333334,7,0.0,1.0
121,What is the latest advancement in nuclear physics?,english,content,2.0,3.0,0,0,0.5,9,0.0,1.0
122,Who was the lead designer of Total War?,english,content,2.0,3.0,0,0,0.5,9,0.0,1.0
123,Why was the atmosphere richer in oxygen during the time of the dinosaurs?,english,content,2.1666666666666665,3.0,0,0,0.46153846153846156,14,0.0,1.0
124,What was Kaiser Permanente's net income in 2018?,english,content,2.25,3.0,0,0,0.4444444444444444,10,0.0,1.0
125,When did Justin Morgan first appear as a character on Home and Away?,english,content,2.4166666666666665,3.0,0,5.0,0.6153846153846154,14,0.0,1.0
126,How many people live in china?,english,content,1.2,3.0,0,2.0,0.8333333333333334,7,0.0,1.0
127,When was the Prohibition Era in the US?,english,content,2.0,3.0,0,0,0.5,9,0.0,1.0
128,What is the northernmost habitat of the tree swallow?,english,content,2.25,3.0,0,0,0.4444444444444444,10,0.0,1.0
129,How many books are in The Princess Diaries series?,english,content,2.75,3.0,0,0,0.6666666666666666,10,0.0,1.0
130,When did the Taff Vale Junction Railway get made?,english,content,3.25,3.0,0,3.0,0.6666666666666666,10,0.0,1.0
131,What is the most common type of desert?,english,content,2.0,3.0,0,0,0.5,9,0.0,1.0
132,How many people visit the Washington Capital each year?,english,content,1.875,3.0,0,3.0,0.7777777777777778,10,0.0,1.0
133,How long does chemotherapy last?,english,content,1.75,2.0,0,2.0,0.8,6,0.0,1.0
134,Who was Hannibal?,english,content,1.5,1.0,0,0,0.3333333333333333,4,0.0,1.0
135,Who invented air conditioning?,english,content,1.3333333333333333,2.0,0,2.0,0.75,5,0.0,1.0
136,What are the top three spoken languages in India?,english,content,2.5,3.0,0,0.0,0.4444444444444444,10,0.0,2.0
137,What is the average salary in Vietnam?,english,content,1.8333333333333333,3.0,0,0,0.42857142857142855,8,0.0,1.0
138,What does the name Cairo mean?,english,content,2.6,2.0,0,2.0,0.5,7,0.0,1.0
