unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,question_type,complexity_score
ar_content_41,غير أن هذا ممكن، في أي بلد، إلا في مصر، التي يقال فيها الوزير، ولا يستقيل، دون أن يعرف أحد لماذا؟!,ar,0.263,0.905,1.0,0.667,0.435,0,3.27
ar_polar_5, هل تم تعيين القضاة؟,ar,-1.093,-2.625,0.0,0.4,0.75,1,-2.568
ar_content_42,ماذا سيفعل عندما سيعود إليها باسم الانتقام؟,ar,-0.055,-1.095,1.0,0.5,0.364,0,0.714
ar_content_6,حتى لا يعاني شعب مصر من تأخر وصول القمح الروماني إلى موانينا؟!,ar,-0.472,-1.095,0.0,0.8,0.615,0,-0.152
ar_content_62,"وماذا عن الأحزاب في ماذا, في الحقوق التاريخية؟",ar,-0.305,-2.095,0.0,0.0,0.333,0,-2.067
ar_content_58,أم أنها تكلفة قياسية أو تعرفة مسبقة الدفع؟,ar,-0.43,-2.095,0.0,0.0,0.556,0,-1.969
ar_content_46,"وأشار إلى أن ""عصبة الأمم المتحدة اعترفت قبل نحو 70 عاماً بملكية حائط البراق للمسلمين باعتباره وقفاً إسلامياً وجزءاً من الأقصى، ثم يأتي هؤلاء ليسلموه لليهود ويطلقون عليه زوراً وبهتاناً اسم حائط المبكى؟"".",ar,0.74,3.905,3.0,0.44,0.533,0,8.618
ar_polar_16,وقال للمذيع بلغة عتاب: هل فهمت كلامي ولا لسه؟,ar,0.138,-0.625,1.0,0.6,0.429,1,1.542
ar_polar_20,هل بات حقهم الإلهي بارتداء عباءة أفضل فريقٍ في العالم غير مضمون؟,ar,1.907,1.375,0.0,0.6,0.643,1,4.525
ar_content_15, وهل ستكون المحكمة علنية؟,ar,-0.255,-3.095,0.0,0.6,0.5,0,-2.25
ar_content_14, ربما أم مؤكد؟,ar,-0.555,-3.095,0.0,0.0,0.333,0,-3.317
ar_content_60,من يمكن أن يلوم من يتيح المجال لغليندا كي تؤدي بهذا الشكل الرائع؟,ar,-0.341,0.905,1.5,0.45,0.533,0,3.047
ar_content_51,"وطالب الحزب بتنظيم مسابقة مصرية تتضمن الأسئلة التالية: ""كم عدد المدرسين المصريين الذين ساهموا في محو أمية الشعب الكويتي قبل اكتشاف النفط وبعده؟",ar,-0.017,2.905,1.0,0.4,0.667,0,4.955
ar_polar_14,"ولولا قوة شخصية الريحاني، وفرضه نفسه ""بطريركا"" على وسطه وبيئته، لكان غرق في تفاهات الناس العاديين الذين خشيهم جبران (وهو على حق) في رسالته الى ذلك الـ ""منصور"" صديقه (هل من يعرف من هو؟).",ar,1.351,5.375,1.0,0.55,0.348,1,8.624
ar_content_55,فأين ذلك كله مما تعانيه البشرية اليوم من ويلات وحروب؟..,ar,-0.209,0.905,1.0,1.0,0.357,0,3.053
ar_polar_7, هل سيقف صدام حسين في قصف الاتهام؟,ar,-0.379,-2.625,0.0,0.6,0.25,1,-2.154
ar_content_49,وإذا كنا لا نريد للحوار الفلسطيني أن ينتهي لهذه النتيجة، فإن الفصائل الأثنتى عشرة ليس عليها سوى التفكير في إجابة سؤال واحد فقط هو: كيف تتحول أحرف كتابة البيانات الختامية إلى فعل حقيقي على أرض الواقع؟,ar,0.67,3.905,1.0,0.667,0.488,0,6.73
ar_polar_22,هل تقرع المنبه الخاص بك؟,ar,-0.893,-0.625,0.0,0.4,0.5,1,-0.618
ar_content_36,"وانتهى مرشد ""الإخوان"" إلى القول ""علينا أن نسأل أنفسنا كم حققنا على مستوى النفس وعلى مستوى الأسرة وعلى مستوى المجتمع؟",ar,-0.014,2.905,0.0,0.4,0.32,0,3.611
ar_content_33,فما الذي دفع بهما الى قول ما قالاه؟,ar,-0.555,0.905,1.0,0.3,0.273,0,1.923
ar_content_54,"وتساءل: ""أين دعوة المسيح الآن من سيل الهجوم على الإيمان وتحقير أهله وكيل الاتهامات لهم وتزيين الإلحاد والدفاع عنه؟""",ar,0.785,1.905,0.0,0.2,0.5,0,3.39
ar_content_30,كيف يمكن الدولة ان تقيم حواراً انقاذيا تقريبا مع الدول والمؤسسات الغريبة، وهي لا تقيم حوار - الحد الادنى من التفاهم مع بعض القوى اللبنانية؟,ar,0.825,0.905,1.0,0.733,0.577,0,4.04
ar_content_5,قبل الإقدام على خطوات يعلن ـ هو نفسه ـ أنها تتناقض تماماً مع قرارات الشرعية الدولية والمبدأ الذي انطلقت منه مسيرة مدريد؟,ar,-0.142,0.905,1.0,0.667,0.5,0,2.93
