unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
ja_polar_0,そんなことで許されるのでしょうか?,japanese,polar,-0.48,2.00,0.00,0.75,0.25,2.30,0.00,1.00
ja_polar_1,疲労回復では他に譲るか?,japanese,polar,-0.34,2.00,0.00,0.75,0.50,2.30,0.00,1.00
ja_polar_2,"貴市および貴財団では,本申入にかかる事実が判っても,今後もAPTFによる使用を許可し続けるのですか。",japanese,polar,0.70,5.00,1.00,0.20,0.52,3.50,4.39,5.00
ja_polar_3,そうですか。,japanese,polar,-0.69,1.00,0.00,0.00,0.33,1.61,0.00,0.00
ja_polar_4,では統一原理は使いますか?,japanese,polar,-0.34,2.00,0.00,0.75,0.38,2.30,0.00,1.00
ja_polar_5,ホームページもキレイな感じで女性向けなのかな?,japanese,polar,-0.19,3.00,0.00,0.00,0.46,2.71,0.00,1.00
ja_polar_6,自分たちが所属する組織の構造や社会的布置を知ることができるのではないでしょうか。,japanese,polar,0.26,6.00,1.00,0.62,0.39,3.22,3.93,2.00
ja_polar_7,1議席で連立するか?,japanese,polar,-0.79,2.00,0.00,0.50,0.33,2.08,0.00,1.00
ja_polar_8,"“シャクブくん”や“池田小作”にいたっては,別のカルト団体のネタではないでしょうか。",japanese,polar,0.44,3.00,1.00,0.00,0.45,3.30,3.93,2.00
ja_polar_9,警察は摘発しないのか?,japanese,polar,-0.03,2.00,0.00,0.75,0.29,2.20,0.00,1.00
ja_polar_10,"では,霊芝は免疫システムの病気であるリューマチにもよいのでしょうか?",japanese,polar,0.74,4.00,1.00,0.00,0.41,3.00,4.62,2.00
ja_polar_11,天ざるではちょっと多いかな?,japanese,polar,-0.48,2.00,0.00,0.00,0.50,2.30,0.00,0.00
ja_polar_12,日本の高野山カフェや坊主バーは大丈夫でしょうか。,japanese,polar,-0.47,4.00,0.00,0.00,0.58,2.64,0.00,0.00
