unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score
russian_polar_351,Иоа́нн Тобо́льский был поэтом?,ru,0.267,0.2,0.0,0.0,0.75,0.056,1,1.272
russian_polar_641,Обязательно ли психиатрическое обследование в России при приеме на работу учителем?,ru,0.48,0.4,0.0,0.0,0.636,0.444,1,1.961
russian_polar_342,Последний конфликт»?,ru,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0
russian_polar_1102,M3 поставлялся на экспорт?,ru,0.133,0.2,0.0,0.4,0.5,0.056,1,1.289
russian_content_4285,Сколько людей живет в древнем селе Лахич в 2019 году?,ru,0.249,0.125,0.0,0.5,0.7,0.171,0,1.744
russian_polar_1587,Есть древесная ширина?,ru,0.2,0.2,0.0,0.2,1.0,0.0,1,1.6
russian_content_11693,Кем был отец Ива́на Алексе́евича Бу́нина?,ru,0.09,0.25,0.0,0.0,0.667,0.073,0,1.079
russian_polar_1232,Захватил ли голод 1932 года Белоруссию?,ru,0.48,0.4,0.0,0.6,0.833,0.167,1,2.48
russian_polar_1095,Есть ли пустыня в Азербайджане?,ru,0.4,0.2,0.0,0.6,0.6,0.111,1,1.911
russian_content_1867,Сколько раз Белая акула напала на человека в 2018?,ru,0.168,0.125,0.0,0.667,0.667,0.146,0,1.773
russian_polar_291,Названа ли теорема по физике в честь Ама́лия Э́мми Нётер?,ru,0.356,0.4,0.0,0.6,0.7,0.389,1,2.444
russian_polar_762,В Переделкине жил Борис Пастернак?,ru,0.0,0.2,0.0,0.4,0.8,0.111,1,1.511
russian_content_5530,Когда был написан роман Жюля Верна «20 000 льё под водой»?,ru,0.157,0.375,0.0,0.5,0.636,0.244,0,1.912
russian_polar_1179,К Нейролептическим экстрапирамидным расстройствам относится паралич?,ru,0.24,0.2,0.0,0.4,0.833,0.167,1,1.84
russian_polar_1493,Граф Влади́мир Алекса́ндрович Соллогу́б писал водевили?,ru,0.32,0.4,0.0,0.4,1.0,0.167,1,2.287
russian_content_9935,Как зовут посла России в Аргентине на март 2019?,ru,0.196,0.25,0.0,0.5,0.778,0.146,0,1.87
russian_content_12560,В каком году была основана Рязань?,ru,0.09,0.125,0.0,0.5,0.5,0.073,0,1.288
russian_polar_238,Араньякапарва- книга о любви?,ru,0.267,0.2,0.0,0.0,0.75,0.111,1,1.328
russian_polar_1351,Остались ли в Словакии памятники времен кельтов на 2019 год?,ru,0.622,0.4,0.0,0.8,0.7,0.389,1,2.911
russian_content_10324,Где проходит граница Южной и Северной Кореи?,ru,0.224,0.5,0.0,0.333,0.857,0.098,0,2.012
russian_content_1836,На каком расстоянии от Земли пролетела Большая сентябрьская комета 1882 года?,ru,0.179,0.25,0.0,0.333,0.727,0.195,0,1.685
russian_polar_436,Служат ли женщины в военно-воздушных силах России?,ru,0.4,0.2,0.0,0.6,0.714,0.222,1,2.137
russian_content_5515,В каком городе родился Арме́н Вагина́кович,ru,0.045,0.125,0.0,0.333,0.667,0.049,0,1.219
russian_content_8526,Что такое знаки отличия в российской армии?,ru,0.187,0.25,0.0,0.0,0.571,0.098,0,1.106
russian_polar_1512,Производил ли Го́рьковский автомоби́льный заво́д жигули?,ru,0.32,0.2,0.0,0.4,0.833,0.167,1,1.92
russian_polar_233,Смогли ли предотвратить взрыв при аварии на АЭС Три-Майл-Айленд?,ru,0.2,0.6,0.5,0.4,0.667,0.333,1,2.7
russian_content_6349,Где впервые был создан искусственный клапан сердца?,ru,0.149,0.125,0.0,0.667,0.857,0.098,0,1.896
russian_content_1497,Кто написал музыку к фильму «Авата́р»?,ru,0.09,0.25,0.0,0.333,0.667,0.122,0,1.462
russian_polar_698,Возле города Курган много древних курганов на 2018 год?,ru,0.35,0.4,0.0,0.0,0.667,0.333,1,1.75
russian_polar_186,Модель в сражении на северном фасе Курской дуги?,ru,0.286,0.6,0.0,0.0,0.75,0.278,1,1.913
russian_content_5401,Кто выиграл в Сталингра́дской би́тве?,ru,0.168,0.125,0.0,0.333,0.6,0.049,0,1.275
russian_content_5966,Сколько русских проживает в Алма́-Ате в 2019 году?,ru,0.192,0.125,0.0,0.5,0.625,0.122,0,1.564
russian_content_11236,Когда в Англии появилась первая валютная биржа?,ru,0.187,0.125,0.0,0.5,0.714,0.098,0,1.623
russian_content_2377,Когда родился Алигейдар Караев?,ru,0.0,0.125,0.0,0.333,1.0,0.024,0,1.483
russian_content_9768,Как звали жену Курта Кобейна?,ru,0.0,0.25,0.0,0.333,1.0,0.049,0,1.632
russian_content_5382,Как звали мать Боэму́нда Таре́нтского?,ru,0.0,0.25,0.0,0.333,1.0,0.049,0,1.632
russian_polar_826,Пётр Леони́дович Капи́ца получил Нобелевскую премию?,ru,0.32,0.2,0.0,0.4,1.0,0.167,1,2.087
russian_polar_1617,Был ли Уистен Хью Оден лауреатом Пулитцеровской премии?,ru,0.629,0.2,0.0,0.0,0.75,0.278,1,1.856
russian_polar_865,Есть в Институ́те нау́чной информа́ции по обще́ственным нау́кам библиотека?,ru,0.5,0.6,0.0,0.0,0.667,0.333,1,2.1
russian_polar_110,Посещение художественной школы платно для детей России на март 2019?,ru,0.356,0.4,0.0,0.0,0.8,0.389,1,1.944
russian_content_6295,Есть в Дагестане рутульская школа на март 2019?,ru,0.16,0.25,0.0,0.333,0.75,0.122,0,1.615
russian_polar_1150,Во Франции регистрируют однополые браки?,ru,0.1,0.2,0.0,0.4,0.8,0.111,1,1.611
russian_polar_681,Есть падежная система в македонском языке?,ru,0.32,0.4,0.0,0.2,0.833,0.167,1,1.92
russian_content_12757,В какой стране продали больше всего компьютеров в 2018 году?,ru,0.249,0.25,0.0,0.5,0.5,0.171,0,1.669
russian_polar_415,Есть ли по сценарию в сериале «Вавилон-5» герой российского происхождения?,ru,0.756,0.4,0.0,0.8,0.7,0.556,1,3.211
russian_content_8160,Как называется самая длинная река в США?,ru,0.112,0.25,0.0,0.333,0.714,0.098,0,1.507
russian_polar_21,"Получила ли Элизабет Тейлор ""Оскар"" за роль Клеопатры?",ru,0.686,0.2,0.0,0.8,0.75,0.389,1,2.825
russian_content_7115,Где возникла гелиоцентрическая система мира?,ru,0.056,0.125,0.0,0.333,1.0,0.049,0,1.563
russian_polar_473,Николай Вавилов выступал против коллективизации?,ru,0.2,0.2,0.0,0.4,0.8,0.111,1,1.711
russian_polar_1615,В городе Иркутске бывает лето?,ru,0.1,0.2,0.0,0.4,0.8,0.111,1,1.611
russian_content_7526,На скольких островах был построен Санкт-Петербург?,ru,0.09,0.125,0.0,0.5,0.667,0.073,0,1.454
russian_content_3481,Самарка́нд был внесен в список наследия ЮНЕСКО?,ru,0.075,0.25,0.0,0.5,0.714,0.098,0,1.636
russian_content_7215,Как называется столица Осетии?,ru,0.0,0.125,0.0,0.333,1.0,0.024,0,1.483
russian_content_4603,"В скольких странах есть отделения ""Сбербанка""?",ru,0.09,0.125,0.0,0.0,0.667,0.122,0,1.003
russian_content_4428,Сколько было снято эпизодов канадского фантастического телесериала «Земля:,ru,0.192,0.25,0.0,0.333,0.75,0.146,0,1.672
russian_content_11343,В каком сражении участвовал Алексе́й Петро́вич Ермо́лов?,ru,0.075,0.125,0.0,0.333,0.714,0.098,0,1.345
russian_polar_769,Рей Аянами был пилотом в манге «Евангелион»?,ru,0.267,0.2,0.0,0.0,0.714,0.333,1,1.514
russian_content_5453,Сколько стран участвовало в Холодной войне?,ru,0.134,0.125,0.0,0.333,0.667,0.073,0,1.332
russian_content_3083,"Какая длина самого длинного нильского крокодила, живущего в неволе на март 2019?",ru,0.183,0.5,0.333,0.333,0.667,0.244,0,2.26
russian_polar_850,Есть ли семейные врачи в России на март 2019?,ru,0.6,0.2,0.0,0.8,0.667,0.333,1,2.6
russian_content_11838,Что является простейшим одноразрядным двоичным аналого-цифровой преобразователем?,ru,0.373,0.125,0.0,0.333,0.857,0.098,0,1.786
russian_polar_1026,Можно ли детям смотреть мультсериал «Футура́ма»?,ru,0.32,0.4,0.5,0.4,0.833,0.278,1,2.731
russian_content_4039,Из чего был построен первый мост через Неву?,ru,0.096,0.25,0.0,0.5,0.5,0.122,0,1.468
russian_polar_1094,M16 выпускается в США на март 2019?,ru,0.267,0.2,0.0,0.6,0.571,0.222,1,1.86
russian_content_8321,Когда открылся музей Mercedes в Штуттгарте?,ru,0.09,0.25,0.0,0.333,0.667,0.073,0,1.413
russian_polar_571,Была Кондоли́за Райс замужем?,ru,0.4,0.2,0.0,0.0,0.75,0.056,1,1.406
russian_polar_814,Описан ли в романе «1984» тоталитаризм?,ru,0.72,0.2,0.0,0.6,0.667,0.278,1,2.464
russian_polar_992,«Джойнт» была отмечена премией государства Израиль?,ru,0.16,0.4,0.0,0.6,0.833,0.278,1,2.271
russian_polar_827,Был ли Евге́ний Алексе́евич Фёдоров отличником в школе?,ru,0.629,0.2,0.0,0.0,0.625,0.278,1,1.731
russian_polar_1255,Есть ли скалы в долине Тимна?,ru,0.16,0.4,0.0,0.4,0.667,0.167,1,1.793
russian_polar_636,Был у Ла́кшми сын?,ru,0.4,0.2,0.0,0.4,0.75,0.056,1,1.806
russian_content_1329,С какого возраста призывают на военную службу в Россию?,ru,0.224,0.125,0.0,0.5,0.556,0.146,0,1.551
russian_content_5896,Сколько островов в Японии на март 2019?,ru,0.187,0.25,0.0,0.0,0.571,0.098,0,1.106
russian_polar_141,Принцесса Диана была родственницей Сэра Уи́нстона Спе́нсер-Че́рчилля?,ru,0.2,0.2,0.0,0.0,0.857,0.222,1,1.479
russian_content_2588,Где живет Янукович в 2019 году?,ru,0.179,0.125,0.0,0.5,0.833,0.073,0,1.711
russian_content_2812,Сколько больных псориазом в России на март 2019?,ru,0.256,0.125,0.0,0.0,0.625,0.122,0,1.128
russian_content_8243,Когда был основан город Ки́мры?,ru,0.056,0.125,0.0,0.5,0.8,0.049,0,1.53
russian_polar_1065,Изучают ли русский язык в школах Эстонии в 2019 году?,ru,0.667,0.2,0.0,0.8,0.7,0.389,1,2.756
russian_content_3239,Сколько детей было у Генриха Восьмого?,ru,0.179,0.125,0.0,0.0,0.5,0.073,0,0.877
russian_content_2754,Когда была выпущена Super Nintendo Entertainment System ?,ru,0.149,0.125,0.0,0.5,0.286,0.098,0,1.158
russian_polar_352,Продолжает ли дело Жака Ифа Кусто его сын?,ru,0.457,0.4,0.0,0.6,0.75,0.278,1,2.485
russian_content_4257,Когда был выпущен первый Chevrolet Camaro?,ru,0.09,0.125,0.0,0.5,0.5,0.073,0,1.288
russian_polar_1245,Существует мужское синхронное плавание в России?,ru,0.32,0.4,0.0,0.2,0.833,0.167,1,1.92
russian_content_8736,Когда была открыта станция метро Горьковская в Санкт-Петербурге?,ru,0.128,0.25,0.0,0.5,0.75,0.122,0,1.75
russian_content_2691,Когда зародился кинемато́граф Герма́нии?,ru,0.0,0.125,0.0,0.333,1.0,0.024,0,1.483
russian_polar_277,Изначально компьютерная игра была популярна среди населения?,ru,0.333,0.2,0.0,0.0,0.714,0.222,1,1.47
russian_polar_1069,Вытяжной парашю́т имеет пружину?,ru,0.0,0.2,0.0,0.4,1.0,0.056,1,1.656
russian_content_7661,Сколько лет Ге́нрих II Плантагене́т был королем?,ru,0.299,0.125,0.0,0.0,0.714,0.098,0,1.235
russian_content_4273,Сколько всего сезонов «Доктор Кто» вышло на 2019 год?,ru,0.252,0.25,0.0,0.333,0.556,0.195,0,1.586
russian_polar_1506,Максимилиан I лично участвовал в войнах?,ru,0.24,0.2,0.0,0.6,0.833,0.167,1,2.04
russian_content_9666,Сколько альбомов было записано группой My Bloody Valentine по данным на 2019 год?,ru,0.187,0.25,0.0,0.667,0.462,0.244,0,1.809
russian_polar_782,Сохранился ли оригинал книги пророка Давида?,ru,0.08,0.6,0.0,0.4,0.833,0.167,1,2.08
russian_content_11803,"Когда впервые были упомянуты в литературе ""Скифские монахи""?",ru,0.256,0.125,0.0,0.833,0.75,0.171,0,2.135
russian_content_9718,Сколько официальных языков в Албании?,ru,0.112,0.25,0.0,0.0,0.6,0.049,0,1.011
russian_content_8862,В каком возрасте Ричард Стоддерт Юэлл стал военным?,ru,0.224,0.125,0.0,0.5,0.75,0.122,0,1.721
russian_content_11946,Какая площадь Папуа — Новой Гвинеи?,ru,0.112,0.25,0.0,0.0,0.8,0.073,0,1.235
russian_content_11009,Кто был главным художником игры Freelancer?,ru,0.134,0.125,0.0,0.0,0.5,0.073,0,0.832
russian_polar_764,Был ли «Rurouni Kenshin» показан в России?,ru,0.8,0.2,0.0,0.8,0.286,0.333,1,2.419
russian_content_12375,В каком году вышла игра The Last of Us?,ru,0.112,0.25,0.0,0.333,0.333,0.146,0,1.175
russian_polar_808,Принудительные меры медицинского характера прописаны в законодательстве России?,ru,0.229,0.4,0.0,0.4,0.875,0.278,1,2.181
russian_polar_1684,Есть ли герб у Южной Осетии?,ru,0.48,0.2,0.0,0.6,0.667,0.167,1,2.113
russian_polar_282,Гу́бки обладают способностью к регенерации?,ru,0.1,0.4,0.0,0.4,0.8,0.111,1,1.811
russian_polar_722,Арабский халифат вел торговлю с Киевской Русью?,ru,0.2,0.4,0.0,0.4,0.857,0.222,1,2.079
russian_polar_72,Христо́дулос Цига́нтес посещал Россию?,ru,0.133,0.2,0.0,0.4,1.0,0.056,1,1.789
russian_content_6464,Кто создал первую видеокарту?,ru,0.075,0.125,0.0,0.333,0.75,0.024,0,1.307
russian_content_11458,Когда зародилась Парапсихоло́гия?,ru,0.0,0.0,0.0,0.333,1.0,0.0,0,1.333
russian_polar_1653,Правил ли Птолемей VIII Эвергет II в Александрии?,ru,0.571,0.2,0.0,0.6,0.75,0.278,1,2.399
