language,model_type,task,split,submetric,layer,metric,real,control1,control2,control3,control_mean,selectivity,normalized_selectivity
ar,DummyRegressor,single_submetric,test,avg_max_depth,overall,mse,0.0522785559296608,0.0522785559296608,0.0522785559296608,0.0522785559296608,0.0522785559296608,0.0,0.0
en,DummyRegressor,single_submetric,test,avg_max_depth,overall,mse,0.028998551890254,0.028998551890254,0.028998551890254,0.028998551890254,0.028998551890254,3.469446951953614e-18,1.1964207609689798e-14
fi,DummyRegressor,single_submetric,test,avg_max_depth,overall,mse,0.0352695845067501,0.0352695845067501,0.0352695845067501,0.0352695845067501,0.0352695845067501,0.0,0.0
id,DummyRegressor,single_submetric,test,avg_max_depth,overall,mse,0.0326110012829303,0.0326110012829303,0.0326110012829303,0.0326110012829303,0.0326110012829303,0.0,0.0
ja,DummyRegressor,single_submetric,test,avg_max_depth,overall,mse,0.0944695398211479,0.0944695398211479,0.0944695398211479,0.0944695398211479,0.0944695398211479,0.0,0.0
ko,DummyRegressor,single_submetric,test,avg_max_depth,overall,mse,0.0354413166642189,0.0354413166642189,0.0354413166642189,0.0354413166642189,0.0354413166642189,0.0,0.0
ru,DummyRegressor,single_submetric,test,avg_max_depth,overall,mse,0.0247595012187957,0.0247595012187957,0.0247595012187957,0.0247595012187957,0.0247595012187957,3.469446951953614e-18,1.4012588223384118e-14
ar,XGBRegressor,single_submetric,test,avg_links_len,overall,mse,0.0451553016901016,0.0596331134438514,0.0545205995440483,0.0585391595959663,0.0575642908612886,0.012408989171187,21.556748090736875
en,XGBRegressor,single_submetric,test,avg_links_len,overall,mse,0.0093499133363366,0.0121804606169462,0.011722857132554,0.0117913903668522,0.0118982360387841,0.0025483227024475,21.417651273187744
fi,XGBRegressor,single_submetric,test,avg_links_len,overall,mse,0.0215784814208745,0.022873967885971,0.021670950576663,0.0225018691271543,0.0223489291965961,0.0007704477757216,3.447358792648315
id,XGBRegressor,single_submetric,test,avg_links_len,overall,mse,0.0243570692837238,0.0352049842476844,0.0352305509150028,0.036507923156023,0.03564781943957,0.0112907501558462,31.673045738425227
ja,XGBRegressor,single_submetric,test,avg_links_len,overall,mse,0.0986155420541763,0.1047704666852951,0.1028134077787399,0.1077177450060844,0.1051005398233731,0.0064849977691968,6.170280171819488
ko,XGBRegressor,single_submetric,test,avg_links_len,overall,mse,0.017975041642785,0.0263312645256519,0.0285405851900577,0.0288127399981021,0.0278948632379372,0.0099198215951522,35.56146345131099
ru,XGBRegressor,single_submetric,test,avg_links_len,overall,mse,0.0225561112165451,0.0215910691767931,0.0215434487909078,0.0199028924107551,0.021012470126152,-0.0015436410903931,-7.3463095063340225
ar,DummyClassifier,question_type,test,overall,overall,accuracy,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.0
en,DummyClassifier,question_type,test,overall,overall,accuracy,0.5,0.5,0.5,0.5,0.5,0.0,0.0
fi,DummyClassifier,question_type,test,overall,overall,accuracy,0.5,0.5,0.5,0.5,0.5,0.0,0.0
id,DummyClassifier,question_type,test,overall,overall,accuracy,0.5,0.5,0.5,0.5,0.5,0.0,0.0
ja,DummyClassifier,question_type,test,overall,overall,accuracy,0.4021739130434782,0.4021739130434782,0.4021739130434782,0.4021739130434782,0.4021739130434782,0.0,0.0
ko,DummyClassifier,question_type,test,overall,overall,accuracy,0.5,0.5,0.5,0.5,0.5,0.0,0.0
ru,DummyClassifier,question_type,test,overall,overall,accuracy,0.5,0.5,0.5,0.5,0.5,0.0,0.0
ar,Ridge,single_submetric,test,avg_max_depth,overall,mse,0.027878701529974,0.0545536559811195,0.0511130313092803,0.0544842576476242,0.0533836483126746,0.0255049467827006,47.77670239642488
en,Ridge,single_submetric,test,avg_max_depth,overall,mse,0.0128012127455848,0.0327974307497045,0.0306688756061273,0.0318685391137806,0.0317782818232041,0.0189770690776193,59.71710233799518
fi,Ridge,single_submetric,test,avg_max_depth,overall,mse,0.0300651306229031,0.0345956647781879,0.0390045159729858,0.0330765542168897,0.0355589116560211,0.005493781033118,15.449800843912442
id,Ridge,single_submetric,test,avg_max_depth,overall,mse,0.0182645023269505,0.0346850545176945,0.0320441475747925,0.0364920736246794,0.0344070919057221,0.0161425895787716,46.9164601966463
ja,Ridge,single_submetric,test,avg_max_depth,overall,mse,0.0530596537897196,0.0835598592942734,0.0821511766577538,0.0865865015525258,0.0840991791681843,0.0310395253784647,36.90823820811717
ko,Ridge,single_submetric,test,avg_max_depth,overall,mse,0.0219654392846419,0.037944766649542,0.0407887321980772,0.0400361323392192,0.0395898770622794,0.0176244377776375,44.51753601030962
ru,Ridge,single_submetric,test,avg_max_depth,overall,mse,0.0140535594275892,0.0305808059883247,0.0247708026057784,0.0259676447632721,0.0271064177857917,0.0130528583582025,48.15412520146575
ar,DummyRegressor,complexity,test,complexity,overall,mse,0.0589210577309131,0.0589210577309131,0.0589210577309131,0.0589210577309131,0.0589210577309131,0.0,0.0
en,DummyRegressor,complexity,test,complexity,overall,mse,0.0386405438184738,0.0386405438184738,0.0386405438184738,0.0386405438184738,0.0386405438184738,0.0,0.0
fi,DummyRegressor,complexity,test,complexity,overall,mse,0.0402829088270664,0.0402829088270664,0.0402829088270664,0.0402829088270664,0.0402829088270664,0.0,0.0
id,DummyRegressor,complexity,test,complexity,overall,mse,0.0407795868813991,0.0407795868813991,0.0407795868813991,0.0407795868813991,0.0407795868813991,0.0,0.0
ja,DummyRegressor,complexity,test,complexity,overall,mse,0.0630357638001442,0.0630357638001442,0.0630357638001442,0.0630357638001442,0.0630357638001442,0.0,0.0
ko,DummyRegressor,complexity,test,complexity,overall,mse,0.0356804206967353,0.0356804206967353,0.0356804206967353,0.0356804206967353,0.0356804206967353,0.0,0.0
ru,DummyRegressor,complexity,test,complexity,overall,mse,0.0590713657438755,0.0590713657438755,0.0590713657438755,0.0590713657438755,0.0590713657438755,0.0,0.0
ar,XGBRegressor,single_submetric,test,avg_subordinate_chain_len,overall,mse,0.0574313700199127,0.0670000463724136,0.0718803033232688,0.0661921650171279,0.0683575049042701,0.0109261348843574,15.98381172580639
en,XGBRegressor,single_submetric,test,avg_subordinate_chain_len,overall,mse,0.0163177829235792,0.0292842891067266,0.0276546701788902,0.0282251797616481,0.0283880463490883,0.0120702634255091,42.51882386368143
fi,XGBRegressor,single_submetric,test,avg_subordinate_chain_len,overall,mse,0.0391304194927215,0.0519094243645668,0.0536698997020721,0.0544141307473182,0.0533311516046523,0.0142007321119308,26.62746197044817
id,XGBRegressor,single_submetric,test,avg_subordinate_chain_len,overall,mse,0.0439334921538829,0.0766122415661811,0.0788221508264541,0.059815626591444,0.0717500063280264,0.0278165141741435,38.768657450665685
ja,XGBRegressor,single_submetric,test,avg_subordinate_chain_len,overall,mse,0.0720668137073516,0.1061915755271911,0.1133792176842689,0.1165786236524581,0.112049805621306,0.0399829919139544,35.68323183806733
ko,XGBRegressor,single_submetric,test,avg_subordinate_chain_len,overall,mse,0.0546709597110748,0.0658425316214561,0.0661271512508392,0.0691906735301017,0.0670534521341323,0.0123824924230575,18.466599450074337
ru,XGBRegressor,single_submetric,test,avg_subordinate_chain_len,overall,mse,0.0406591333448886,0.0536313578486442,0.0552598536014556,0.0540330074727535,0.0543080729742844,0.0136489396293958,25.132432218426874
ar,XGBRegressor,single_submetric,test,avg_max_depth,overall,mse,0.0284759625792503,0.0503295846283435,0.0510583892464637,0.0513339713215827,0.0509073150654632,0.0224313524862129,44.06312227892557
en,XGBRegressor,single_submetric,test,avg_max_depth,overall,mse,0.0116611588746309,0.0328743383288383,0.0276489779353141,0.0291863624006509,0.0299032262216011,0.0182420673469702,61.00367636517004
fi,XGBRegressor,single_submetric,test,avg_max_depth,overall,mse,0.0172411613166332,0.0357306897640228,0.036765594035387,0.0343495942652225,0.0356152926882107,0.0183741313715775,51.59056681755053
id,XGBRegressor,single_submetric,test,avg_max_depth,overall,mse,0.0285029225051403,0.0332420319318771,0.030579961836338,0.0284854751080274,0.0307691562920808,0.0022662337869405,7.365277635265552
ja,XGBRegressor,single_submetric,test,avg_max_depth,overall,mse,0.0633264556527137,0.0878545120358467,0.0905374065041542,0.0902355536818504,0.0895424907406171,0.0262160350879034,29.27775949838709
ko,XGBRegressor,single_submetric,test,avg_max_depth,overall,mse,0.0179967172443866,0.0390049405395984,0.0373823009431362,0.0382131189107894,0.0382001201311746,0.020203402886788,52.8883229094882
ru,XGBRegressor,single_submetric,test,avg_max_depth,overall,mse,0.0149314971640706,0.0255890525877475,0.0250174757093191,0.0252894330769777,0.0252986537913481,0.0103671566272775,40.97908415515363
ar,XGBRegressor,complexity,test,complexity,overall,mse,0.0424229316413402,0.0562052428722381,0.057950984686613,0.0615024827420711,0.0585529034336407,0.0161299717923005,27.54768909210621
en,XGBRegressor,complexity,test,complexity,overall,mse,0.01533043384552,0.040159922093153,0.0398009307682514,0.0418687872588634,0.0406098800400892,0.0252794461945692,62.24949733812042
fi,XGBRegressor,complexity,test,complexity,overall,mse,0.0194283053278923,0.0379438363015651,0.0412246063351631,0.0417835526168346,0.0403173317511876,0.0208890264232953,51.81152996981252
id,XGBRegressor,complexity,test,complexity,overall,mse,0.019750302657485,0.0418473631143569,0.0405586659908294,0.0400105901062488,0.040805539737145,0.02105523707966,51.59896723653328
ja,XGBRegressor,complexity,test,complexity,overall,mse,0.0282608270645141,0.057965837419033,0.0604071915149688,0.0607750788331031,0.0597160359223683,0.0314552088578542,52.67464320429176
ko,XGBRegressor,complexity,test,complexity,overall,mse,0.0156495179980993,0.0361475422978401,0.0369026735424995,0.0378310903906822,0.0369604354103406,0.0213109174122413,57.658729329468464
ru,XGBRegressor,complexity,test,complexity,overall,mse,0.0242598485201597,0.0592613965272903,0.0608148574829101,0.0601358115673065,0.0600706885258356,0.0358108400056759,59.61449899192374
ar,XGBRegressor,single_submetric,test,lexical_density,overall,mse,0.0673727840185165,0.0674134567379951,0.0689187198877334,0.0676986053586006,0.068010260661443,0.0006374766429265,0.9373242165618504
en,XGBRegressor,single_submetric,test,lexical_density,overall,mse,0.0282840505242347,0.0339854583144187,0.0311514325439929,0.031054563820362,0.0320638182262578,0.0037797677020231,11.7882645022227
fi,XGBRegressor,single_submetric,test,lexical_density,overall,mse,0.0575177185237407,0.05014568567276,0.0569185763597488,0.0565834492444992,0.054549237092336,-0.0029684814314046,-5.44183858406658
id,XGBRegressor,single_submetric,test,lexical_density,overall,mse,0.0398102588951587,0.0617268532514572,0.0735984221100807,0.0600566416978836,0.0651273056864738,0.0253170467913151,38.87316775116214
ja,XGBRegressor,single_submetric,test,lexical_density,overall,mse,0.077939473092556,0.0636532083153724,0.0644390136003494,0.0678594186902046,0.0653172135353088,-0.0126222595572472,-19.32455301453412
ko,XGBRegressor,single_submetric,test,lexical_density,overall,mse,0.0626168400049209,0.0810392647981643,0.0793768763542175,0.0794556438922882,0.0799572616815566,0.0173404216766357,21.687112980052923
ru,XGBRegressor,single_submetric,test,lexical_density,overall,mse,0.0518310517072677,0.0603289566934108,0.0597748979926109,0.0615767985582351,0.0605602177480856,0.0087291660408179,14.414026840406866
ar,XGBRegressor,single_submetric,test,avg_verb_edges,overall,mse,0.10744109749794,0.1229071542620658,0.1257248520851135,0.1239289864897728,0.1241869976123173,0.0167459001143773,13.4844230365035
en,XGBRegressor,single_submetric,test,avg_verb_edges,overall,mse,0.050181571394205,0.0667194575071334,0.0607675164937973,0.0640795156359672,0.0638554965456326,0.0136739251514276,21.413857680451866
fi,XGBRegressor,single_submetric,test,avg_verb_edges,overall,mse,0.0664499998092651,0.0822582095861435,0.0830441415309906,0.0890615209937095,0.0847879573702812,0.0183379575610161,21.628021395693743
id,XGBRegressor,single_submetric,test,avg_verb_edges,overall,mse,0.0773122534155845,0.0700950175523758,0.0740941017866134,0.0747929140925407,0.0729940111438433,-0.0043182422717411,-5.915885706337734
ja,XGBRegressor,single_submetric,test,avg_verb_edges,overall,mse,0.0968089178204536,0.1080954894423484,0.1070510894060134,0.112199068069458,0.1091152156392732,0.0123062978188196,11.27826009115298
ko,XGBRegressor,single_submetric,test,avg_verb_edges,overall,mse,0.0371718592941761,0.0392042212188243,0.0408824197947979,0.0355036295950412,0.0385300902028878,0.0013582309087116,3.5251173863327727
ru,XGBRegressor,single_submetric,test,avg_verb_edges,overall,mse,0.0454679317772388,0.0457377359271049,0.0479658357799053,0.0513028129935264,0.0483354615668455,0.0028675297896067,5.932559029442784
ar,Ridge,complexity,test,complexity,overall,mse,0.0383486786909414,0.0624711313972201,0.0641881825050343,0.0681968445250552,0.0649520528091032,0.0266033741181618,40.95848086025892
en,Ridge,complexity,test,complexity,overall,mse,0.0202918706770314,0.0425737584398021,0.0417675411811053,0.0425237695956173,0.0422883564055082,0.0219964857284768,52.015466190148985
fi,Ridge,complexity,test,complexity,overall,mse,0.0281276106200392,0.0374426075372978,0.0435525423333653,0.0419183205435827,0.0409711568047486,0.0128435461847094,31.347775328669314
id,Ridge,complexity,test,complexity,overall,mse,0.0210186370545752,0.0445482790189448,0.0427626072124966,0.0481201091007723,0.0451436651107379,0.0241250280561626,53.44056136555094
ja,Ridge,complexity,test,complexity,overall,mse,0.0355114785647435,0.0588218669806546,0.0570572262503694,0.0701896437230243,0.0620229123180161,0.0265114337532725,42.744580611335934
ko,Ridge,complexity,test,complexity,overall,mse,0.0190589824799033,0.0366108968899961,0.0376362137950081,0.0409381401429348,0.038395083609313,0.0193361011294097,50.36087777842367
ru,Ridge,complexity,test,complexity,overall,mse,0.0260710696889433,0.0660211675589707,0.0579510807451696,0.0646503418196503,0.0628741967079302,0.0368031270189869,58.53454826619677
ar,XGBRegressor,single_submetric,test,n_tokens,overall,mse,0.0376175865530967,0.0733201801776886,0.0722022876143455,0.0771559700369834,0.0742261459430058,0.0366085593899091,49.32030206447581
en,XGBRegressor,single_submetric,test,n_tokens,overall,mse,0.0183263104408979,0.0260500591248273,0.0243929997086524,0.0265314485877752,0.0256581691404183,0.0073318586995204,28.57514368774977
fi,XGBRegressor,single_submetric,test,n_tokens,overall,mse,0.0114493938162922,0.0170996394008398,0.0189639776945114,0.0180315468460321,0.0180317213137944,0.0065823274975022,36.50415499970429
id,XGBRegressor,single_submetric,test,n_tokens,overall,mse,0.0349365174770355,0.0313070490956306,0.0330189280211925,0.0283255260437726,0.0308838343868652,-0.0040526830901702,-13.12234432876592
ja,XGBRegressor,single_submetric,test,n_tokens,overall,mse,0.0282169114798307,0.0647917687892913,0.0646638646721839,0.062894307076931,0.0641166468461354,0.0358997353663047,55.991286400948994
ko,XGBRegressor,single_submetric,test,n_tokens,overall,mse,0.0333123840391635,0.0676255598664283,0.0668108463287353,0.068296231329441,0.0675775458415348,0.0342651618023713,50.70495143863472
ru,XGBRegressor,single_submetric,test,n_tokens,overall,mse,0.0089824656024575,0.0143938418477773,0.0148400207981467,0.0152848875150084,0.0148395833869774,0.0058571177845199,39.469556737420966
ar,Ridge,single_submetric,test,avg_verb_edges,overall,mse,0.0905166101641355,0.1164934531424105,0.1309330528424253,0.1304091962502552,0.1259452340783636,0.0354286239142281,28.130182276039385
