sentence,Filename,n_sentences,n_tokens,tokens_per_sent,char_per_tok,upos_dist_ADJ,upos_dist_ADP,upos_dist_ADV,upos_dist_AUX,upos_dist_CCONJ,upos_dist_DET,upos_dist_INTJ,upos_dist_NOUN,upos_dist_NUM,upos_dist_PRON,upos_dist_PROPN,upos_dist_PUNCT,upos_dist_SCONJ,upos_dist_VERB,upos_dist_X,lexical_density,verbal_head_per_sent,verbal_root_perc,avg_verb_edges,verb_edges_dist_0,verb_edges_dist_1,verb_edges_dist_2,verb_edges_dist_3,verb_edges_dist_4,verb_edges_dist_5,verb_edges_dist_6,avg_max_depth,avg_token_per_clause,avg_max_links_len,avg_links_len,max_links_len,avg_prepositional_chain_len,n_prepositional_chains,prep_dist_1,obj_pre,obj_post,subj_pre,subj_post,dep_dist_acl,dep_dist_advcl,dep_dist_advmod,dep_dist_amod,dep_dist_appos,dep_dist_aux,dep_dist_case,dep_dist_cc,dep_dist_ccomp,dep_dist_compound,dep_dist_conj,dep_dist_cop,dep_dist_csubj,dep_dist_dep,dep_dist_det,dep_dist_discourse,dep_dist_dislocated,dep_dist_fixed,dep_dist_flat,dep_dist_iobj,dep_dist_mark,dep_dist_nmod,dep_dist_nsubj,dep_dist_nummod,dep_dist_obj,dep_dist_obl,dep_dist_punct,dep_dist_root,dep_dist_xcomp,principal_proposition_dist,subordinate_proposition_dist,subordinate_post,subordinate_pre,avg_subordinate_chain_len,subordinate_dist_1,subordinate_dist_2,base_number
그러면 인간의 육체에 영혼이 깃들어서 그 움직임을 지배하고 있다는 사고는 어디에서 생긴 것인가?,100_1.conllu,1,14,14.0,3.076923076923077,0.0,0.0,14.285714285714286,7.142857142857143,7.142857142857143,7.142857142857143,0.0,28.571428571428573,0.0,0.0,0.0,7.142857142857143,7.142857142857143,21.428571428571427,0.0,0.6923076923076923,3.0,100.0,1.6666666666666667,33.333333333333336,0.0,33.333333333333336,33.333333333333336,0.0,0.0,0.0,5.0,4.666666666666667,11.0,2.25,11,0.0,0,0.0,100.0,0.0,100.0,0.0,7.142857142857143,7.142857142857143,0.0,0.0,0.0,14.285714285714286,0.0,7.142857142857143,7.142857142857143,0.0,0.0,0.0,0.0,0.0,7.142857142857143,0.0,7.142857142857143,0.0,0.0,0.0,0.0,7.142857142857143,7.142857142857143,0.0,7.142857142857143,7.142857142857143,7.142857142857143,7.142857142857143,0.0,33.333333333333336,66.66666666666667,50.0,50.0,1.0,100.0,0.0,100
그런데 국가란 무엇인가?,43_1.conllu,1,4,4.0,3.333333333333333,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,0.6666666666666666,1.0,100.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,1.5,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,43
사랑하는 시민 여러분 세상에 큰 것을 싫어하는 사람이 어디 있겠습니까?,32_1.conllu,1,11,11.0,2.9,18.181818181818183,0.0,9.090909090909092,0.0,0.0,0.0,0.0,27.272727272727277,0.0,18.181818181818183,0.0,9.090909090909092,0.0,18.181818181818183,0.0,0.8,2.0,0.0,1.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,4.0,5.5,7.0,2.111111111111111,7,0.0,0,0.0,100.0,0.0,100.0,0.0,18.181818181818183,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,18.181818181818183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,0.0,0.0,100.0,0.0,100.0,1.0,100.0,0.0,32
혹은 어떻게 해서 자신이 자기 의식임을 자각하게끔 될까?,200_1.conllu,1,9,9.0,2.875,0.0,0.0,0.0,11.11111111111111,11.11111111111111,0.0,0.0,22.22222222222222,0.0,11.11111111111111,0.0,11.11111111111111,11.11111111111111,22.22222222222222,0.0,0.5,2.0,100.0,2.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,2.0,4.5,6.0,2.4285714285714284,6,0.0,0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,11.11111111111111,0.0,11.11111111111111,11.11111111111111,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,11.11111111111111,0.0,11.11111111111111,11.11111111111111,0.0,50.0,50.0,0.0,100.0,1.0,100.0,0.0,200
"셋째는 장 선생님 말마따나 꿈속에서 한 일 역시 내가 한 일인데, 그것에 대해서는 왜 책임을 지지 않는가?",112_1.conllu,1,19,19.0,2.411764705882353,0.0,0.0,26.31578947368421,5.2631578947368425,0.0,0.0,0.0,21.05263157894737,5.2631578947368425,5.2631578947368425,5.2631578947368425,10.526315789473683,5.2631578947368425,15.789473684210526,0.0,0.7647058823529411,3.0,100.0,2.333333333333333,0.0,66.66666666666667,0.0,0.0,0.0,33.333333333333336,0.0,5.0,6.333333333333333,16.0,2.9375,16,0.0,0,0.0,100.0,0.0,100.0,0.0,5.2631578947368425,10.526315789473683,10.526315789473683,0.0,0.0,5.2631578947368425,0.0,0.0,15.789473684210526,10.526315789473683,0.0,0.0,0.0,5.2631578947368425,0.0,0.0,5.2631578947368425,0.0,0.0,0.0,0.0,0.0,5.2631578947368425,0.0,5.2631578947368425,5.2631578947368425,10.526315789473683,5.2631578947368425,0.0,33.333333333333336,66.66666666666667,0.0,100.0,1.0,100.0,0.0,112
"그러나 ""대륙에서 온 도래인"" 이라면 과연 누구를 지칭하는 것일까?",154_1.conllu,1,12,12.0,2.888888888888889,0.0,8.333333333333334,16.666666666666668,0.0,8.333333333333334,0.0,0.0,8.333333333333334,0.0,8.333333333333334,0.0,25.0,0.0,25.0,0.0,0.6666666666666666,4.0,100.0,1.6666666666666667,33.333333333333336,33.333333333333336,0.0,0.0,33.333333333333336,0.0,0.0,3.0,3.0,9.0,2.75,9,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,8.333333333333334,8.333333333333334,0.0,0.0,8.333333333333334,0.0,8.333333333333334,16.666666666666668,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,25.0,8.333333333333334,0.0,25.0,75.0,33.333333333333336,66.66666666666667,1.5,50.0,50.0,154
"그 사람들도 하나같이 우리의 이웃이요, 우리의 형제자매인데 왜 그렇게 되었습니까?",28_1.conllu,1,12,12.0,3.4,0.0,0.0,25.0,8.333333333333334,8.333333333333334,8.333333333333334,0.0,0.0,0.0,16.666666666666668,0.0,16.666666666666668,8.333333333333334,8.333333333333334,0.0,0.4,1.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,5.0,2.333333333333333,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,16.666666666666668,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,16.666666666666668,0.0,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,0.0,0.0,0.0,0.0,16.666666666666668,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
해보지도 않고 시합에 이겼다는 주장이 대체 어디 있니?,113_1.conllu,1,9,9.0,2.75,0.0,0.0,33.333333333333336,0.0,11.11111111111111,0.0,0.0,11.11111111111111,0.0,11.11111111111111,0.0,11.11111111111111,11.11111111111111,11.11111111111111,0.0,0.625,1.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,4.0,2.142857142857143,4,0.0,0,0.0,0.0,0.0,100.0,0.0,11.11111111111111,11.11111111111111,11.11111111111111,0.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,11.11111111111111,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113
그런데 이 여인이 존재라는 속성을 갖지 않는다면 어떻게 되겠습니까?,115_1.conllu,1,10,10.0,3.111111111111111,0.0,0.0,0.0,10.0,10.0,10.0,0.0,20.0,0.0,0.0,0.0,10.0,10.0,30.0,0.0,0.5555555555555556,3.0,100.0,1.3333333333333333,33.333333333333336,33.333333333333336,0.0,33.333333333333336,0.0,0.0,0.0,2.0,3.333333333333333,7.0,2.125,7,0.0,0,0.0,100.0,0.0,100.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,50.0,50.0,0.0,100.0,1.0,100.0,0.0,115
조상들로부터 전해 내려오는 긍지가 무엇인지 알기나 하겠어요?,121_1.conllu,1,8,8.0,3.7142857142857135,0.0,0.0,25.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,12.5,25.0,12.5,0.0,0.5714285714285714,1.0,100.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,2.0,1.3333333333333333,2,0.0,0,0.0,0.0,0.0,100.0,0.0,12.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,12.5,12.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,121
