unique_id,text,language,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score
ko_polar_173,김영삼 정부는 한국 자본주의병을 치료할 수 있을까?,ko,-1.635,0.0,0.5,1.0,2.197,1,2.062
ko_polar_63,혹시 훔친 것이 아닐까?,ko,-1.635,1.0,0.0,1.0,1.792,1,2.157
ko_content_50,그러면 무엇을 전하는 신앙인가?,ko,-1.467,1.0,0.25,0.5,1.792,0,2.075
ko_polar_17,우리 사회의 안녕과 질서를 지키기 위해서 부름을 받고 존재하야 하는 경찰이 이래서 되겠습니까?,ko,5.365,1.0,0.222,0.538,2.708,1,9.833
ko_content_72,옐친의 포고령에 대해서는 어떻게 생각하는가?,ko,-0.467,0.0,0.333,0.8,1.946,0,2.612
ko_content_233,신나는 혁명 권력을 장악한 볼셰비키는 그것으로 무슨 일을 하였던가?,ko,0.533,1.0,0.222,0.889,2.398,0,5.042
ko_polar_152,우리가 그릇된 결론을 끌어내도록 결정할 수도 있지 않을까?,ko,-0.635,1.0,0.167,0.625,2.303,1,3.46
ko_polar_54,"아니면 그들은 정말로 자신들이 주장하듯, 그들이 정당한 일을 하고 있는 것으로 생각했는가?",ko,0.365,1.0,0.333,0.583,2.708,1,4.989
ko_polar_34,어떠한 계급과 어떠한 계급과의 평등이냐?,ko,-0.635,0.0,0.056,0.8,1.946,1,2.167
ko_content_99,그렇다면 대체 노자의 진짜 성은 무엇이었을까?,ko,-1.467,0.0,0.5,0.833,2.079,0,1.945
ko_content_52,우리는 어떤 근거에서 그들을 광신이라고 말할 수 있는가?,ko,-0.467,0.0,0.278,0.75,2.303,0,2.864
ko_content_206,그런데 우리들은 왜 지구와 지구의 생물들을 함께 다루어야만 할까?,ko,-0.467,0.0,0.0,0.556,2.398,0,2.487
ko_content_28,나 자신의 가치관이 변화되지 않고 어떻게 타인의 가치관을 변화시킬 수 있겠습니까?,ko,0.533,1.0,0.417,0.727,2.565,0,5.242
ko_polar_30,그것은 사회의 공적 기관으로서 사회로부터 발생하였으나 그 위에 올라서서 사회와는 더욱 더 멀어져 가는 권력이 아니던가?,ko,2.365,1.0,0.25,0.75,2.89,1,7.255
ko_content_67,"그럼, 이 종자돈 300만 원을 어떻게 활용하면 좋을 것인가?",ko,-0.467,1.0,0.0,0.556,2.485,0,3.574
ko_polar_142,아니라면 애초부터 한국 역사의 독자성을 처음부터 무시할 목적으로 위와 같은 잘못을 범한 것인가?,ko,1.365,1.0,0.389,0.846,2.708,1,6.308
ko_polar_25,비평의 기술방식에 따라 비평은 어떠한 방식으로 기술할 것인가?,ko,-0.635,1.0,0.222,0.875,2.303,1,3.765
ko_content_107,그러면 이들은 왜 관광을 하는가?,ko,-2.467,0.0,0.667,0.6,1.946,0,0.746
ko_polar_22,여러분이 지금까지 살아온 삶이 주는 자의 삶이었습니까?,ko,-0.635,1.0,0.222,0.857,2.197,1,3.641
ko_content_145,그렇다면 앞으로 산업활동에 필요한 노동력의 수요와 공급은 어떤 상황이 될 것인가?,ko,1.533,1.0,0.333,0.727,2.565,0,6.158
ko_polar_195,정신의 어떠한 형태가 등장하고 그것들이 어떠한 연결 방식으로 잇달아 나타나는가?,ko,0.365,0.0,0.111,0.7,2.485,1,3.661
ko_polar_154,그리스어로 대지의 여신을 의미하는 이 말보다 적절한 용어가 과연 있을 수 있을까?,ko,2.365,1.0,0.25,1.0,2.639,1,7.254
ko_content_14,과연 이럴 때 우리 성도들은 어떻게 처신해야 좋겠습니까?,ko,-1.467,0.0,0.0,0.625,2.303,0,1.461
ko_content_116,"자, 당신은 인간으로서 이것에 어떻게 답할 것인가?",ko,-2.467,1.0,0.5,0.571,2.303,0,1.907
ko_content_71,"고르비는 현재 어디에 있으며, 그에게 무슨 일이 있는가?",ko,-0.467,0.0,0.0,0.75,2.398,0,2.681
ko_content_61,깔끔하고 말쑥한 동화의 차림새는 무엇보다도 소년 소녀들의 마음의 빛이요 모습이라고 생각되지 않는지요?,ko,-0.467,0.0,0.167,0.667,2.639,0,3.006
ko_polar_150,시간에 종말이 있을 수 있을까?,ko,-1.635,0.0,0.0,1.0,1.946,1,1.311
ko_polar_18,그렇다고 멀쩡한 아내와 어린 두 아들을 권총으로 쏴 죽인 후에 자살을 해야 직성이 풀린단 말입니까?,ko,3.365,1.0,0.389,0.667,2.833,1,8.254
ko_polar_171,과연 문학비평이 오늘날의 문제적 상황을 외면하거나 침묵해도 좋을 것인가?,ko,-1.635,1.0,0.0,0.778,2.398,1,2.541
ko_polar_21,도대체 이게 어찌된 일입니까?,ko,-1.635,1.0,0.25,0.75,1.792,1,2.157
ko_polar_164,인물값 하느라고 치맛자락에 못된 남자들 감싸고 다니다가 순결 잃은 상처 때문에 꿈을 버린 걸까?,ko,0.365,1.0,0.278,0.786,2.773,1,5.202
ko_content_171,우리가 의미하는 순수한 물질이란 무엇인가?,ko,-0.467,1.0,0.111,0.8,1.946,0,3.39
ko_content_144,고령화 사회가 도래하면 우리사회에는 어떤 문제가 발생할 것인가?,ko,-0.467,1.0,0.333,0.625,2.303,0,3.794
ko_polar_50,이는 명백히 정부 전복행위인데 범죄가 아닌가?,ko,-1.635,0.0,0.0,0.667,2.079,1,1.111
ko_content_16,우리나라 국회의원선거가 왜 이 모양 이 꼴입니까?,ko,-1.467,0.0,0.667,0.714,2.197,0,2.111
ko_content_10,"무슨 일이든지 시작하기는 쉽지만, 끝내기는 어렵기 때문에 용두사미라는 말이 종종 쓰이는 것 아니겠습니까?",ko,3.533,1.0,0.25,0.769,2.773,0,8.325
ko_polar_72,그렇다면 일반적으로 도덕경의 주석자들은 무와 도를 동일시했던 것인가?,ko,-1.635,1.0,0.417,0.75,2.303,1,2.835
ko_content_8,시간도 지킬 줄 모르는 사람이 어떻게 국민들과의 큰 약속을 지킬 수 있겠습니까?,ko,1.533,1.0,0.333,1.0,2.639,0,6.505
ko_content_76,뿌치 지도부가 중앙아시아 출신의 이민족으로 탱크 주력군을 삼은 이유는 무엇일까?,ko,1.533,1.0,0.333,1.0,2.485,0,6.351
ko_content_212,가이아 모델은 어떤 점에서 이제까지의 생물 지구 화학적 모델들과 다를까?,ko,-0.467,0.0,0.0,0.9,2.485,0,2.918
ko_content_174,그러나 누가 아리스토텔레스와 엠페도클레스를 의심했겠는가?,ko,-1.467,0.0,0.5,0.4,1.946,0,1.379
ko_content_100,"특히 노자의 사상은 다른 무엇보다도 우선 ""도의 가르침"" 이 아닌가?",ko,-1.467,1.0,0.333,0.9,2.639,0,3.405
ko_content_82,그러면 임화가 말하는 인물과 환경의 조화란 과연 무엇인가?,ko,-1.467,1.0,0.333,0.75,2.303,0,2.919
ko_content_42,소위 남한의 PDR이란 무엇인가?,ko,-1.467,0.0,0.333,1.0,1.792,0,1.658
ko_polar_116,현재생활을 영위해나가는 데 있어서 통 반장으로부터 주민들이 어떠한 도움을 받고 있는가?,ko,-0.635,1.0,0.333,0.818,2.565,1,4.081
ko_polar_133,고대인에게는 어떠한 즐거움이 있었을까?,ko,-1.635,0.0,0.0,1.0,1.792,1,1.157
ko_content_245,이런 상태에서 어떻게 노동자들이 기업의 주인된 자세로 일을 할 수가 있다는 말인가?,ko,0.533,1.0,0.333,0.917,2.639,0,5.422
ko_polar_122,온 세계가 나의 것이 아니냐?,ko,-1.635,0.0,0.0,0.8,1.946,1,1.111
ko_polar_119,"그런 점에서 1894 년 농민전쟁을 민주주의혁명을 완결시킬 변혁주체세력이 형성, 발전하는 단계의 시점이었다고 볼 수 있지 않을까?",ko,2.365,1.0,0.292,0.812,2.944,1,7.413
ko_content_48,역사적 현실을 통해 배우지 않는다면 이론의 할 일이란 도대체 무엇이란 말인가?,ko,1.533,1.5,0.208,0.818,2.565,0,6.624
ko_content_43,왜 노동자의 꾸가에서 노동자의 상태개선이 아니라 농민의 상태개선인가?,ko,-0.467,0.0,0.5,0.875,2.303,0,3.211
ko_content_84,그러면 소설 속에서 적극적 주인공이 필요없다면 어떻게 전형성을 통해 작품의 주제를 이끌어 낼 수 있을까?,ko,-0.467,1.0,0.0,0.8,2.833,0,4.166
ko_polar_48,그런데 과연 기본 가격만으로 재정 조건을 충족시킬 수 있을까?,ko,-1.635,0.0,0.833,0.889,2.398,1,2.485
ko_polar_11,우리 정부의 능력으로는 도저히 할 수 없는 일도 해낼 수 있다고 말도 안되는 헛소리를 하는 사람이 대통령이 돼서 되겠습니까?,ko,4.365,1.0,0.25,0.895,3.045,1,9.555
ko_content_152,이 이상한 생물체가 찾고 싶어하는 게 어떤 성운입니까?,ko,0.533,2.0,0.133,0.875,2.303,0,5.844
ko_polar_60,저널리스트는 스포츠를 새로운 금전적 원천으로 개척하였는가?,ko,-1.635,0.0,0.5,1.0,2.079,1,1.944
ko_polar_160,도도하던 보옥의 자존심을 무참히 까뭉갰다는 우월감 때문이었을까?,ko,0.365,1.0,0.167,1.0,2.197,1,4.729
ko_polar_88,혹은 철학이 종교의 일종인가?,ko,-2.635,0.0,0.5,0.75,1.792,1,0.407
ko_content_13,"언제 어떤 암초에 걸릴는지 모르는데, 누가 안개 자욱한 바다를 향해하려 하겠습니까?",ko,0.533,0.0,0.25,0.636,2.639,0,4.058
ko_polar_56,그렇다면 뻬레스트로이카의 어떠한 측면이 그 반동적 성격을 강화했으며 또 어떠한 측면이 고르비를 뿌치의 반동으로부터 구해낼 수 있었는가?,ko,-0.635,0.0,0.0,0.824,2.944,1,3.133
ko_polar_166,그런데 과연 약속했던 낙원은 건설되었던가?,ko,-0.635,1.0,0.25,0.8,1.946,1,3.361
ko_content_30,그런데 여러분은 과연 어느 편에 속한 사람입니까?,ko,-0.467,1.0,0.333,0.571,2.197,0,3.634
ko_content_223,그런데 청초한 백합처럼 신성하게 보이는 까닭은 무엇 때문일까?,ko,0.533,1.0,0.278,0.625,2.303,0,4.739
ko_content_153,왜 금권선거가 한국선거의 특징이 되겠는가?,ko,-1.467,0.0,0.5,1.0,1.946,0,1.979
ko_content_33,도시의 경관을 도시의 얼굴이라고 한다면 눈빛에 해당하는 것은 무엇일까?,ko,0.533,1.0,0.25,0.778,2.398,0,4.959
ko_polar_33,하지만 이러한 사실이 사회주의적 과제를 민주주의 혁명의 과제로 혼동하거나 종속시킬 수 있는 논고가 될 여지는 조금도 없지 않은가?,ko,3.365,1.0,0.167,0.833,2.996,1,8.361
ko_polar_92,그렇다면 어음도 자금이라고 할 수 있을까?,ko,-0.635,0.0,0.333,0.833,2.079,1,2.61
ko_content_135,해보지도 않고 시합에 이겼다는 주장이 대체 어디 있니?,ko,0.533,0.0,0.167,0.625,2.303,0,3.628
ko_polar_110,그러나 우리 이집트와의 교류를 거치고 난 후에야 비로소 그리스 문명의 꽃이 피어나기 시작했다는 것을 생각해 본 적이 있습니까?,ko,6.365,2.0,0.238,0.889,2.996,1,12.488
ko_polar_28,그렇다면 사회주의적 생산에서는 어떠한 변화를 겪게 되는가?,ko,-1.635,1.0,0.222,0.857,2.197,1,2.641
ko_polar_182,오너르 콜린스 하버 쪽으로 간 펭귄들이 그렇게 남아있는 무리인가?,ko,1.365,1.0,0.222,0.889,2.398,1,5.874
ko_content_231,러시아 땅에 전기와 기계가 소나기처럼 퍼부어졌는데도 낙원의 여왕은 왜 오지 않았을까?,ko,-0.467,0.0,0.5,0.818,2.565,0,3.416
ko_content_143,대체 당신은 무엇이 해결되었다고 생각하지요?,ko,-1.467,0.0,0.333,0.6,1.946,0,1.412
ko_content_210,어떻게 생물들이 산소의 농도를 정하기 위하여 회의를 개최할 수 있겠는가?,ko,0.533,1.0,0.5,0.8,2.485,0,5.318
ko_content_232,돈키호테의 판단 착오는 어디에서 연유한 것일까?,ko,-1.467,1.0,0.25,1.0,2.079,0,2.862
ko_content_264,의식이란 어떻게 해서 자기 의식이 될까?,ko,-1.467,0.0,0.25,0.667,2.079,0,1.529
ko_content_227,무엇을 하는 여자일까?,ko,-1.467,1.0,0.167,0.667,1.609,0,1.976
ko_polar_82,난 정말로 그 애매모호한 한계를 넘어선 마땅한 범법자가 되고 만 것일까?,ko,0.365,2.0,0.167,0.727,2.565,1,5.824
ko_polar_3,자녀를 위해서 젖은 앞치마로 반평생을 사시지 않았느냐?,ko,-1.635,1.0,0.25,0.714,2.197,1,2.526
ko_polar_191,과연 영국에는 패션이 없는가?,ko,-2.635,0.0,0.0,1.0,1.792,1,0.157
ko_polar_157,"그렇다면 다른 커다란 실체, 즉 생태계나 가이아에 대해서는 어떠한가?",ko,1.365,0.0,0.0,0.667,2.485,1,4.517
ko_polar_71,그대가 왕인 나에게 복종하기를 거부하는 것은 그대가 자기자신을 너무 과신하고 있기 때문이 아니겠는가?,ko,1.365,1.0,0.278,0.692,2.708,1,6.043
ko_polar_123,당신도 잘 알지 않는가?,ko,-2.635,0.0,0.333,0.75,1.792,1,0.24
ko_content_78,그러나 우리에게 뻬레스트로이카와 자유는 누가 주었는가?,ko,-1.467,0.0,0.667,0.5,2.079,0,1.779
ko_polar_177,그러나 이것은 사람이면 당연한 일 아닌가?,ko,-0.635,0.0,0.0,0.5,2.079,1,1.944
ko_content_198,"우주는 어디서 왔으며, 어디로 가고 있는 것일까?",ko,-1.467,1.0,0.25,0.714,2.303,0,2.8
ko_content_27,"그래도 세상 사람들보다 어디가 나아도 조금은 낫다는 기독교인들 가운데도 사람 구실을 못하고 사는 사람이 많으니, 세상 사람들은 오죽 하겠습니까?",ko,2.533,1.0,0.389,0.842,3.091,0,7.855
ko_polar_45,종교에 삼위일체가 있고 우주 구성에도 삼계가 있는가 하면 불교에서는 삼세의 인연을 말하고 있지 않습니까?,ko,0.365,0.0,0.333,0.714,2.773,1,4.185
ko_polar_148,언젠가는 시간이 거꾸로 흘러 결과가 원인에 앞서 일어나는 일이 있지 않을까?,ko,0.365,1.0,0.667,0.727,2.565,1,5.324
ko_polar_51,헌법상 권한대행은 대통령 유고시 최고회의가 결정하는 것 아닌가?,ko,0.365,1.0,0.667,1.0,2.303,1,5.335
ko_content_211,어떻게 생물들이 산소의 농도를 21 퍼센트로 유지시키고 기온을 섭씨 20 도로 조절할 수 있겠는가?,ko,-0.467,0.0,0.833,0.714,2.773,0,3.853
ko_polar_159,항상성이 곧 가이아 모델에서 예측되는 논리적인 귀결일까?,ko,-0.635,1.0,0.278,1.0,2.197,1,3.84
ko_polar_75,저 한마디 말씀해도 되겠습니까?,ko,-1.635,0.0,0.333,0.5,1.792,1,0.99
