unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score
finnish_polar_500,Onko VR aina ollut monopoli Suomen matkailija junaliikenteessä?,fi,0.244,0.25,0.0,0.0,0.625,0.385,1,1.504
finnish_content_14657,Mikä on Sastamalan nykyinen väkiluku?,fi,0.173,0.167,0.0,0.0,0.5,0.118,0,0.957
finnish_content_1921,Mistä lajeista teräsmieskilpailu muodostuu?,fi,0.058,0.167,0.0,0.333,0.688,0.059,0,1.304
finnish_content_10728,Kuka Samuel Morse oli?,fi,0.115,0.167,0.0,0.0,0.375,0.059,0,0.716
finnish_content_9614,Milloin keskusjärjestö Suomen Partiolaiset perustettiin?,fi,0.173,0.167,0.0,0.333,1.0,0.118,0,1.79
finnish_polar_829,Onko Mika Salminen toiminut Nico Hülkenbergin kuntovalmentajana?,fi,0.19,0.5,0.0,0.333,0.786,0.308,1,2.117
finnish_polar_1811,Onko iowa-intiaaneja enää olemassa?,fi,0.19,0.0,0.0,0.333,0.625,0.077,1,1.225
finnish_content_8086,Kuinka suuri Intian valtameren pinta-ala?,fi,0.086,0.167,0.0,0.0,1.0,0.118,0,1.371
finnish_polar_2018,Onko Ortodoksisella kirkolla paavia vastaavaa instituutiota?,fi,0.114,0.25,0.0,0.0,0.75,0.231,1,1.345
finnish_content_3411,Kuka oli noussut Haitin presidentiksi vuonna 1902?,fi,0.115,0.167,0.0,0.5,0.464,0.235,0,1.481
finnish_content_10489,Mikä on Napoléon Bonaparten suurin saavutus hallituskautensa aikana?,fi,0.148,0.5,0.0,0.0,0.688,0.294,0,1.63
finnish_content_12724,Milloin Trine julkaistiin?,fi,0.086,0.0,0.0,0.333,1.0,0.0,0,1.42
finnish_polar_1517,Onko koirien hännän typistäminen Suomessa kiellettyä?,fi,0.19,0.5,0.0,0.333,0.75,0.231,1,2.004
finnish_content_6807,Milloin Meir Kahane kuoli?,fi,0.173,0.167,0.0,0.333,1.0,0.059,0,1.732
finnish_polar_78,Ovatko suomen kielen murteet olleet aina olemassa?,fi,0.253,0.5,0.0,0.333,0.571,0.308,1,1.966
finnish_content_3571,Miksi Maximinus Thrax luopui keisarin tittelistä?,fi,0.138,0.167,0.0,0.5,1.0,0.176,0,1.981
finnish_polar_1794,Ovatko tataarit uskonnollisia?,fi,0.095,0.0,0.0,0.0,0.5,0.0,1,0.595
finnish_content_14214,Mitkä ääniaallot ihminen kuulee?,fi,0.058,0.167,0.0,0.333,0.688,0.059,0,1.304
finnish_content_72,Mihin Karl Adam Nils Gabriel Hård af Segerstad menehtyi?,fi,0.605,0.167,0.0,0.333,0.861,0.353,0,2.319
finnish_polar_1747,Oliko Voltaire nainen?,fi,0.095,0.0,0.0,0.0,0.5,0.0,1,0.595
finnish_polar_1400,Onko Vaskiveden taistelun kunniaksi tehty muistomerkki?,fi,0.152,0.75,0.5,0.167,0.75,0.231,1,2.549
finnish_content_8617,Milloin desing määritelmä on keksitty?,fi,0.173,0.167,0.0,0.5,0.75,0.118,0,1.707
finnish_polar_965,Onko Bhutanin sisämaavaltio asuttu?,fi,0.127,0.25,0.0,0.333,0.625,0.077,1,1.412
finnish_polar_1765,Onko UV-säteily vaarallista silmille?,fi,0.063,0.0,0.0,0.0,0.625,0.077,1,0.765
finnish_content_8494,Missä Italian sosialistinen puolue perustettiin?,fi,0.173,0.167,0.0,0.333,0.75,0.118,0,1.54
finnish_content_6433,Mitä tarkoittaa esseisti?,fi,0.0,0.0,0.0,0.333,0.583,0.0,0,0.917
finnish_polar_41,Onko pastori Russelilla yksi vaimo?,fi,0.095,0.25,0.0,0.0,0.4,0.154,1,0.899
finnish_polar_626,Onko Tuhoaja lumottu ihmisenmuotoinen haarniska?,fi,0.095,0.25,0.0,0.5,0.7,0.154,1,1.699
finnish_content_3450,Miten pitkä on elokuva The Hateful Eight?,fi,0.086,0.167,0.0,0.0,0.821,0.235,0,1.31
finnish_content_5685,Kuinka paljon painavin plootu painoi?,fi,0.0,0.5,0.0,0.167,1.0,0.118,0,1.784
finnish_polar_983,Voiko Karin-mangaa löytää Suomesta?,fi,0.063,0.0,0.0,0.333,0.625,0.077,1,1.099
finnish_polar_2085,Onko Suomessa koskaan nähty vesinokkaeläintä?,fi,0.142,0.0,0.0,0.667,0.7,0.154,1,1.663
finnish_polar_435,Onko Occami oikea henkilö?,fi,0.19,0.0,0.0,0.0,0.625,0.077,1,0.892
finnish_polar_1051,Onko Ryhmä Haun johtaja Riku?,fi,0.237,0.25,0.0,0.0,0.7,0.154,1,1.341
finnish_polar_2261,Kuuluvatko jehovan todistajat kristinuskoon?,fi,0.19,0.25,0.0,0.333,1.0,0.077,1,1.85
finnish_polar_2081,Onko kastemadolla selkäjänne?,fi,0.0,0.0,0.0,0.0,0.5,0.0,1,0.5
finnish_content_2878,Miten irtisanominen määritellään?,fi,0.086,0.0,0.0,0.333,1.0,0.0,0,1.42
finnish_content_13911,Milloin Charles Ponzi jäi kiinni pyramidi huijauksestaan?,fi,0.144,0.167,0.0,0.667,1.0,0.235,0,2.213
finnish_content_2580,Kuinka monta jaksoa Kim Possiblea on julkaistu?,fi,0.144,0.333,0.0,0.5,0.643,0.235,0,1.856
finnish_content_5104,Kuinka monta minuuttia Lost -sarjan yksi jakso kestää?,fi,0.123,0.333,0.0,0.333,0.688,0.294,0,1.772
finnish_polar_1972,Oliko salaisuuksien kammio basiliskin koti?,fi,0.19,0.25,0.0,0.0,0.7,0.154,1,1.294
finnish_polar_237,Ovatko ihmiset uskoneet että minotaurukset ovat todellisia antiikin ajalla?,fi,0.19,0.5,0.5,0.333,0.5,0.462,1,2.485
finnish_content_15018,Mikä on Kuopion asukasluku?,fi,0.115,0.167,0.0,0.0,0.375,0.059,0,0.716
finnish_polar_1036,Onko alkuperäinen Julistuskirja Suomen kansalle vielä olemassa?,fi,0.285,0.25,0.0,0.5,0.786,0.308,1,2.128
finnish_content_8339,Mikä oli Akateeminen Karjala-Seura?,fi,0.115,0.167,0.0,0.0,0.375,0.059,0,0.716
finnish_polar_173,Puhuvatko vironruotsalaiset viron kieltä?,fi,0.127,0.25,0.0,0.333,1.0,0.077,1,1.787
finnish_content_12982,Mikä maa on ohran suurin valmistaja?,fi,0.173,0.167,0.0,0.0,0.583,0.176,0,1.099
finnish_polar_1145,Tarkoittaako symboli kirjainta?,fi,0.095,0.0,0.0,0.333,1.0,0.0,1,1.428
finnish_polar_753,Pelasiko Sami Salonen uransa aikana myös Ranskassa?,fi,0.253,0.25,0.0,0.5,1.0,0.308,1,2.311
