Filename	n_sentences	n_tokens	tokens_per_sent	char_per_tok	upos_dist_ADJ	upos_dist_ADP	upos_dist_ADV	upos_dist_AUX	upos_dist_CCONJ	upos_dist_DET	upos_dist_INTJ	upos_dist_NOUN	upos_dist_NUM	upos_dist_PART	upos_dist_PRON	upos_dist_PROPN	upos_dist_PUNCT	upos_dist_SCONJ	upos_dist_SYM	upos_dist_VERB	upos_dist_X	lexical_density	verbs_tense_dist_Past	verbs_tense_dist_Pres	verbs_mood_dist_Imp	verbs_mood_dist_Ind	verbs_form_dist_Fin	verbs_form_dist_Ger	verbs_form_dist_Inf	verbs_form_dist_Part	verbs_num_pers_dist_+	verbs_num_pers_dist_Sing+3	aux_tense_dist_Past	aux_tense_dist_Pres	aux_mood_dist_Ind	aux_form_dist_Fin	aux_form_dist_Inf	aux_num_pers_dist_+	aux_num_pers_dist_Sing+1	aux_num_pers_dist_Sing+3	verbal_head_per_sent	verbal_root_perc	avg_verb_edges	verb_edges_dist_0	verb_edges_dist_1	verb_edges_dist_2	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_5	verb_edges_dist_6	avg_max_depth	avg_token_per_clause	avg_max_links_len	avg_links_len	max_links_len	avg_prepositional_chain_len	n_prepositional_chains	prep_dist_1	prep_dist_2	obj_pre	obj_post	subj_pre	subj_post	dep_dist_acl	dep_dist_acl:relcl	dep_dist_advcl	dep_dist_advmod	dep_dist_amod	dep_dist_appos	dep_dist_aux	dep_dist_aux:pass	dep_dist_case	dep_dist_cc	dep_dist_ccomp	dep_dist_compound	dep_dist_compound:prt	dep_dist_conj	dep_dist_cop	dep_dist_csubj	dep_dist_det	dep_dist_det:predet	dep_dist_discourse	dep_dist_fixed	dep_dist_flat	dep_dist_iobj	dep_dist_mark	dep_dist_nmod	dep_dist_nmod:npmod	dep_dist_nmod:poss	dep_dist_nsubj	dep_dist_nsubj:pass	dep_dist_nummod	dep_dist_obj	dep_dist_obl	dep_dist_obl:npmod	dep_dist_obl:tmod	dep_dist_parataxis	dep_dist_punct	dep_dist_root	dep_dist_xcomp	principal_proposition_dist	subordinate_proposition_dist	subordinate_post	subordinate_pre	avg_subordinate_chain_len	subordinate_dist_1	subordinate_dist_2	subordinate_dist_3
100_1.conllu	1	13	13.0	3.4166666666666665	0	0	15.384615384615385	7.6923076923076925	0	0	0	7.6923076923076925	0	7.6923076923076925	23.076923076923077	0	7.6923076923076925	0	0	30.76923076923077	0	0.5833333333333334	0	100.0	0	100.0	25.0	25.0	50.0	0	0	100.0	0	0	0	100.0	0	100.0	0	0	4.0	100.0	2.25	0	25.0	50.0	0	25.0	0	0	4.0	3.25	4.0	1.9090909090909092	4	0	0	0	0	0.0	100.0	100.0	0.0	0	0	7.6923076923076925	7.6923076923076925	0	0	7.6923076923076925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.384615384615385	0	0	7.6923076923076925	15.384615384615385	0	0	7.6923076923076925	0	0	0	0	7.6923076923076925	7.6923076923076925	15.384615384615385	25.0	75.0	100.0	0.0	3.0	0	0	100.0
43_1.conllu	1	16	16.0	4.0	0	6.25	0	6.25	6.25	12.5	0	18.75	0	0	6.25	25.0	12.5	0	0	6.25	0	0.5714285714285714	0	100.0	0	0	0	0	0	100.0	0	0	0	100.0	100.0	100.0	0	100.0	0	0	1.0	100.0	5.0	0	0	0	0	0	100.0	0	3.0	16.0	6.0	2.1538461538461537	6	0	0	0	0	0.0	100.0	100.0	0.0	0	0	0	0	0	0	6.25	0	6.25	6.25	0	18.75	0	6.25	0	0	12.5	0	0	0	0	0	0	0	0	0	6.25	0	0	12.5	6.25	0	0	0	12.5	6.25	0	100.0	0.0	0	0	0	0	0	0
32_1.conllu	1	17	17.0	5.642857142857143	5.882352941176471	11.764705882352942	0	0	5.882352941176471	11.764705882352942	0	17.647058823529413	0	0	0	17.647058823529413	17.647058823529413	0	0	5.882352941176471	5.882352941176471	0.5714285714285714	0	100.0	0	100.0	100.0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	1.0	100.0	3.0	0	0	0	100.0	0	0	0	4.0	17.0	8.0	3.3076923076923075	8	1.0	1	100.0	0	0.0	100.0	100.0	0.0	0	0	0	5.882352941176471	5.882352941176471	0	0	0	11.764705882352942	5.882352941176471	0	5.882352941176471	0	5.882352941176471	0	0	11.764705882352942	0	0	0	0	0	0	5.882352941176471	0	0	5.882352941176471	0	0	5.882352941176471	5.882352941176471	0	0	0	17.647058823529413	5.882352941176471	0	100.0	0.0	0	0	0	0	0	0
200_1.conllu	1	11	11.0	3.3	0	9.090909090909092	9.090909090909092	18.181818181818183	0	0	0	0	9.090909090909092	0	27.272727272727273	0	9.090909090909092	0	0	18.181818181818183	0	0.3	0	0	0	0	0	0	100.0	0	0	0	0	100.0	100.0	100.0	0	100.0	0	0	2.0	100.0	2.5	0	0	50.0	50.0	0	0	0	4.0	5.5	3.0	1.7777777777777777	3	1.0	1	100.0	0	0.0	100.0	100.0	0.0	0	0	0	9.090909090909092	0	0	18.181818181818183	0	9.090909090909092	0	9.090909090909092	0	0	0	0	0	0	0	0	0	0	0	0	9.090909090909092	0	0	18.181818181818183	0	0	9.090909090909092	0	0	0	0	9.090909090909092	9.090909090909092	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0
112_1.conllu	1	14	14.0	3.3636363636363638	0	0	7.142857142857143	14.285714285714286	0	7.142857142857143	0	7.142857142857143	0	7.142857142857143	7.142857142857143	0	21.428571428571427	7.142857142857143	0	21.428571428571427	0	0.45454545454545453	50.0	50.0	0	0	0	0	33.333333333333336	66.66666666666667	0	0	0	100.0	100.0	50.0	50.0	0	0	100.0	3.0	100.0	2.6666666666666665	0	0	33.333333333333336	66.66666666666667	0	0	0	3.0	4.666666666666667	8.0	2.6	8	0	0	0	0	0.0	100.0	100.0	0.0	0	0	7.142857142857143	7.142857142857143	0	0	7.142857142857143	7.142857142857143	0	0	0	0	0	0	0	0	7.142857142857143	0	0	0	0	0	14.285714285714286	0	0	0	7.142857142857143	0	0	7.142857142857143	0	0	0	0	21.428571428571427	7.142857142857143	7.142857142857143	33.333333333333336	66.66666666666667	100.0	0.0	2.0	0	100.0	0
154_1.conllu	1	33	33.0	4.903225806451613	15.151515151515152	9.090909090909092	9.090909090909092	3.0303030303030303	6.0606060606060606	6.0606060606060606	0	18.181818181818183	0	3.0303030303030303	6.0606060606060606	3.0303030303030303	6.0606060606060606	0	0	15.151515151515152	0	0.6451612903225806	0	100.0	0	100.0	20.0	40.0	20.0	20.0	0	100.0	0	100.0	100.0	100.0	0	100.0	0	0	5.0	100.0	3.2	0	0	40.0	20.0	20.0	20.0	0	5.0	6.6	17.0	3.1333333333333333	17	0	0	0	0	0.0	100.0	100.0	0.0	0	0	3.0303030303030303	6.0606060606060606	12.121212121212121	0	3.0303030303030303	0	9.090909090909092	6.0606060606060606	0	3.0303030303030303	0	6.0606060606060606	0	0	6.0606060606060606	0	0	0	0	0	6.0606060606060606	0	0	3.0303030303030303	6.0606060606060606	0	0	6.0606060606060606	9.090909090909092	0	0	0	6.0606060606060606	3.0303030303030303	6.0606060606060606	25.0	75.0	100.0	0.0	1.0	100.0	0	0
28_1.conllu	1	17	17.0	3.6666666666666665	5.882352941176471	17.647058823529413	5.882352941176471	0	0	5.882352941176471	0	23.529411764705884	11.764705882352942	0	0	17.647058823529413	11.764705882352942	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	4.0	0	8.0	2.7142857142857144	8	1.0	2	100.0	0	0	0	0	0	0	0	0	0	5.882352941176471	5.882352941176471	0	0	17.647058823529413	0	0	11.764705882352942	0	0	0	0	5.882352941176471	0	0	0	0	0	0	11.764705882352942	5.882352941176471	0	0	0	11.764705882352942	0	5.882352941176471	0	0	0	11.764705882352942	5.882352941176471	0	0	0	0	0	0	0	0	0
113_1.conllu	1	6	6.0	5.6	33.333333333333336	0	0	16.666666666666668	0	0	0	0	0	0	16.666666666666668	16.666666666666668	16.666666666666668	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	100.0	100.0	100.0	0	0	0	100.0	1.0	100.0	0	0	0	0	0	0	0	0	2.0	6.0	4.0	2.0	4	0	0	0	0	0	0	0.0	100.0	0	0	0	0	33.333333333333336	0	0	0	0	0	0	0	0	0	16.666666666666668	0	0	0	0	0	0	0	0	0	0	0	16.666666666666668	0	0	0	0	0	0	0	16.666666666666668	16.666666666666668	0	100.0	0.0	0	0	0	0	0	0
115_1.conllu	1	8	8.0	3.857142857142857	0	12.5	0	12.5	0	12.5	0	12.5	0	0	25.0	0	12.5	0	0	12.5	0	0.2857142857142857	0	0	0	0	0	0	100.0	0	0	0	0	100.0	100.0	100.0	0	100.0	0	0	1.0	100.0	3.0	0	0	0	100.0	0	0	0	2.0	8.0	3.0	2.0	3	0	0	0	0	100.0	0.0	100.0	0.0	0	0	0	0	0	0	12.5	0	12.5	0	0	0	0	0	0	0	12.5	0	0	0	0	0	0	0	0	0	12.5	0	0	12.5	12.5	0	0	0	12.5	12.5	0	100.0	0.0	0	0	0	0	0	0
121_1.conllu	1	5	5.0	4.0	0	0	20.0	0	0	0	0	0	0	20.0	20.0	0	20.0	0	0	20.0	0	0.5	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	1.0	100.0	3.0	0	0	0	100.0	0	0	0	1.0	5.0	2.0	1.3333333333333333	2	0	0	0	0	0.0	100.0	0	0	0	0	0	20.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.0	0	0	0	0	0	0	20.0	0	0	0	0	20.0	20.0	0	100.0	0.0	0	0	0	0	0	0
