unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens
indonesian_content_0,berapakah jenis ras yang ada didunia?,indonesian,content,1.5,2.0,2.0,1.0,0.7142857142857143,8
indonesian_content_1,Dari manakah asal Dr. H. Shofwan Karim Elha?,indonesian,content,1.625,5.0,0,0,0.6666666666666666,12
indonesian_content_2,siapakah pastur/ketua Ibadah pertama GBI KA?,indonesian,content,1.5714285714285714,4.0,0,0,0.75,9
indonesian_content_3,Kapan Makoto Haruno lahir ?,indonesian,content,2.0,2.0,0,2.0,1.0,5
indonesian_content_4,dimanakah Dr. Ernest François Eugène Douwes Dekker meninggal?,indonesian,content,2.875,6.0,0,2.0,0.8888888888888888,11
indonesian_content_5,Siapa arsitek Balai Kota Seoul?,indonesian,content,1.0,4.0,0,0,0.8,6
indonesian_content_6,Kapan Red Hot Chili Peppers mulai menjadi pemusik?,indonesian,content,2.0,4.0,1.0,2.0,1.0,9
indonesian_content_7,Kapan PBB mulai terbentuk ?,indonesian,content,1.3333333333333333,1.0,1.0,1.5,1.0,5
indonesian_content_8,Bisakah kambing hidup di daerah kutub?,indonesian,content,1.6666666666666667,2.0,0,3.0,0.5714285714285714,8
indonesian_content_9,dimanakah Gaius Julius Caesar Augustus dilahirkan?,indonesian,content,2.3333333333333335,4.0,0,2.0,0.8571428571428571,8
indonesian_content_10,Dimana James Hepburn meninggal?,indonesian,content,2.0,2.0,0,2.0,0.75,5
indonesian_content_11,berapakah penyebab terjadi nya Pirai ?,indonesian,content,1.6,2.0,0,4.0,0.6666666666666666,7
indonesian_content_12,siapakah orang tua Raden Ayu Srimulat?,indonesian,content,1.3333333333333333,4.0,0,0,0.7142857142857143,8
indonesian_content_13,Di manakah letak Samudra Atlantik?,indonesian,content,1.6,2.0,0,0,0.5,7
indonesian_content_14,Kapan Yahoo dilancarkan menjadi mesin pencari?,indonesian,content,1.2,3.0,1.0,2.0,1.0,7
indonesian_content_15,Kapankah Alkitab Kristen pertama kali diturunkan ?,indonesian,content,2.3333333333333335,2.0,0,3.0,0.8571428571428571,8
indonesian_content_16,Dimana Jamie Richard Vardy lahir?,indonesian,content,2.25,3.0,0,2.0,1.0,6
indonesian_content_17,siapakah orang tua John Fitzgerald Kennedy?,indonesian,content,1.3333333333333333,4.0,0,0,0.7142857142857143,8
indonesian_content_18,siapakah orang tua Dr. Rui Maria de Araújo?,indonesian,content,1.375,6.0,0,0,0.7777777777777778,11
indonesian_content_19,Kapan sistem demokrasi mulai diterapkan di Italia ?,indonesian,content,1.6666666666666667,3.0,1.0,2.0,0.8571428571428571,8
indonesian_content_20,Siapa yang menciptakan komputer ?,indonesian,content,1.3333333333333333,2.0,1.0,2.0,0.5,5
indonesian_content_21,Siapa yang mengembangkan video game Pokémon pertama kali ?,indonesian,content,1.5714285714285714,4.0,1.0,2.0,0.75,9
indonesian_content_22,Berapa jumlah karakter anime Naruto?,indonesian,content,1.0,3.0,0,0,1.0,6
indonesian_content_23,berapakah luas pulau Flores?,indonesian,content,1.25,2.0,0,0,0.8,6
indonesian_content_24,berapakah jumlah negara bagian di Amerika ?,indonesian,content,1.6666666666666667,2.0,0,0,0.7142857142857143,8
indonesian_content_25,Berapa lama Pemberontakan Heij berlangsung ?,indonesian,content,2.5,2.0,0,3.0,1.0,6
indonesian_content_26,Berapa jumlah korban Operasi Gagak?,indonesian,content,1.0,3.0,0,0,1.0,6
indonesian_content_27,Siapa yang mengetuai Operation Just Cause?,indonesian,content,1.2,4.0,1.0,2.0,0.6666666666666666,7
indonesian_content_28,Dimana Kaisar Chenghua dilahirkan?,indonesian,content,2.0,2.0,0,2.0,1.0,5
indonesian_content_29,kapankah Alkitab muncul pertama kali?,indonesian,content,1.6,2.0,0,3.0,0.8333333333333334,7
indonesian_content_30,Siapakah penulis Kitab Yosua?,indonesian,content,1.25,3.0,0,0,0.6,6
