unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
ko_content_0,그렇다면 무엇이 현대인으로 하여금 이러한 새로운 물음을 묻지 않을 수 없게 만들어 주고 있는가?,korean,content,3.1538461538461537,2.0,1.0,0.0,0.7142857142857143,15,66.66666666666667,4.0
ko_content_1,그 이유는 무엇인가?,korean,content,1.0,2.0,0,1.0,0.6666666666666666,4,0.0,1.0
ko_content_2,"성경에는 하나님을 두려워하고 백성을 사랑하는 위대한 정치가들이 많이 나오는데, 한국교회에선 위대한 정치가들이 많이 나오지 못하는 이유가 어디에 있습니까?",korean,content,2.235294117647059,7.0,1.5,2.3333333333333335,0.8888888888888888,20,100.0,3.0
ko_content_3,그런 파렴치한 전과자들이 어떻게 면책특권까지 부여된 신성한 국회에 들어가서 올바른 정치를 할 수 있겠습니까?,korean,content,2.4615384615384617,4.0,1.0,1.2,0.9285714285714286,15,50.0,5.0
ko_content_4,법을 어기면서 금권타락선거를 조성하고 폭력을 앞세우는 사람이 대통령이 되면 앞으로 우리나라 꼴이 뭐가 되겠습니가?,korean,content,2.3076923076923075,5.0,0,2.5,0.7142857142857143,15,0.0,2.0
ko_content_5,일본과 같은 경제대국도 미국의 보호무역주의에 두 손을 드는 판국에 우리나라가 무슨 재주로 미국의 경제정책을 엿장수 맘대로 요리할 수 있겠습니까?,korean,content,2.4444444444444446,5.0,1.0,4.5,0.7894736842105263,20,50.0,2.0
ko_content_6,지극히 작은 약속시간도 제대로 지키지 못하는 사람이 어떻게 그보다 엄청난 큰 약속을 제대로 지킬 수 있겠습니까?,korean,content,2.0,5.0,2.0,2.6666666666666665,1.0,17,66.66666666666667,3.0
ko_content_7,상식에서 벗어난 사람이 어떻게 좋은 대통령이 될 수 있겠습니까?,korean,content,1.625,3.0,1.0,2.5,1.0,10,50.0,2.0
ko_content_8,시간도 지킬 줄 모르는 사람이 어떻게 국민들과의 큰 약속을 지킬 수 있겠습니까?,korean,content,1.7272727272727273,5.0,1.0,2.0,1.0,13,66.66666666666667,3.0
ko_content_9,경상도 사람들의 표 때문에 당선된 대통령이 경상도보다 먼저 전라도에 관심을 쏟는다면 얼마나 멋진 대통령이 될 수 있겠습니까?,korean,content,1.8125,7.0,1.0,2.0,0.9411764705882353,18,50.0,2.0
ko_content_10,"무슨 일이든지 시작하기는 쉽지만, 끝내기는 어렵기 때문에 용두사미라는 말이 종종 쓰이는 것 아니겠습니까?",korean,content,2.25,7.0,1.0,1.5,0.7692307692307693,15,100.0,2.0
