unique_id,text,language,avg_links_len,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score
ru_content_196,Как можно купить это?,ru,-1.045,1.0,0.25,0.75,1.792,0,2.747
ru_content_478,Единственными насущными вопросами были: как противостоять влиянию ночи?,ru,-0.474,0.0,0.333,0.875,2.398,0,3.132
ru_polar_134,"Мне отправляют антидепрессант, будут ли в сдэк проверять содержимое?",ru,0.211,0.0,0.6,0.556,2.485,1,3.852
ru_content_684,Что это и как от него избавиться?,ru,0.621,0.0,0.5,0.286,2.197,0,3.604
ru_polar_121,"В интернете это написано, но правда ли это?",ru,-0.021,0.0,0.6,0.375,2.398,1,3.352
ru_polar_162,"Подскажите, у кошки болит лапа, хромает, есть ли на снимке отклонения?",ru,0.236,0.0,0.4,0.727,2.773,1,4.136
ru_content_621,Что помогло Гарри получить зелье Удачи?,ru,-0.845,1.0,0.333,0.833,2.079,0,3.4
ru_content_473,"Во время первого раза почти все даже взрослые женщины обычно не испытывают оргазм, что уж говорить о 13 летней?",ru,0.177,0.0,0.667,0.579,3.091,0,4.514
ru_content_162,А как же защита персональных данных?,ru,-0.645,0.0,0.0,0.667,2.079,0,2.101
ru_polar_188,И есть ли у вас знакомые?,ru,-0.164,0.0,0.8,0.333,2.079,1,3.048
ru_polar_16,Отмечались ли случаи заражения бешенством от белки?,ru,-0.664,0.0,0.4,0.714,2.197,1,2.647
ru_polar_52,"Подскажите, будут ли проблемы с этим, или сейчас можно спокойно съездить туда-назад без всякий самоизоляций?",ru,0.236,1.0,0.533,0.562,3.045,1,5.376
ru_polar_59,"Могут ли у меня отобрать гражданство, если буду более года отсутвовать?",ru,0.836,1.0,0.467,0.545,2.639,1,5.487
ru_content_377,И почему друзей разрешается иметь только до десяти тысяч включительно?,ru,0.066,1.0,0.417,0.6,2.485,0,4.568
ru_polar_136,"Если просто разбавить водой, останется ли цвет на одежде?",ru,-0.289,1.0,0.7,0.556,2.485,1,4.452
ru_content_371,"Вот теперь, спустя ещё месяц стояния в шкафу, мне стало интересно: ""А что собственно за субстанция у меня поселилась?""",ru,0.955,0.0,0.5,0.526,3.258,0,5.239
ru_content_111,А что вы могли бы посоветовать для нормализации стула?,ru,-0.17,1.0,0.417,0.444,2.398,0,4.089
ru_polar_46,"И видел ли хоть кто-то, что кого-то не пускают из-за температуры?",ru,0.136,1.0,0.8,0.273,2.639,1,4.848
ru_content_579,Женщинам ? а тетки от 49 сидят как думаете? на них высок спрос....,ru,0.955,0.0,0.5,0.583,2.773,0,4.811
ru_polar_61,Хватит ли мне 250 тысеч тенге переехать в вам?,ru,0.211,1.0,0.5,0.444,2.398,1,4.553
ru_content_178,Солнце и море - что ещё надо для хорошего настроения?,ru,0.205,0.0,0.5,0.667,2.485,0,3.857
ru_content_137,"Щемит сердце,частичное онемение левого мизинца,потоотделение при еде или движении,если лежу то сердце как бы стучит в голове -мне 49лет -куда обратиться и что это может быть?",ru,1.61,1.0,0.472,0.633,3.611,0,7.326
ru_polar_113,Законно ли то что они мне прислали?,ru,0.002,1.0,0.6,0.286,2.197,1,4.085
ru_polar_144,Будет ли это работать?,ru,-0.164,0.0,0.4,0.25,1.792,1,2.278
ru_polar_44,Летал ли кто-то с такой температурой недавно?,ru,0.336,0.0,0.6,0.429,2.197,1,3.562
ru_polar_94,"Если азиат плохо видеть, может ли он щурится чтобы лучше видеть?",ru,-0.164,1.5,0.5,0.636,2.639,1,5.111
ru_content_388,У кого остались скрины этих видео или сами видео?,ru,-0.295,0.0,0.333,0.444,2.398,0,2.88
ru_content_505,Что может быть причиной этого и как исправить?,ru,-0.045,1.0,0.417,0.5,2.303,0,4.175
ru_content_544,Что привлекает в Ученом как в человеке каждую из них?,ru,0.288,0.0,0.667,0.3,2.485,0,3.74
ru_content_432,Как мне с ней себя вести?,ru,0.555,0.0,0.667,0.333,2.079,0,3.634
ru_content_132,"Почему считаете, что молока стало меньше и малыш не наедается?",ru,0.177,1.0,0.5,0.6,2.565,0,4.842
ru_polar_18,Используете ли пустышку?,ru,-0.664,0.0,0.4,0.667,1.609,1,2.012
ru_polar_75,"Хочу поменять его на что-то чёрное, стоит ли?",ru,-0.021,1.0,0.333,0.5,2.398,1,4.21
ru_content_86,Но почему он не слышал ее раньше?,ru,0.121,0.0,1.0,0.429,2.197,0,3.747
ru_polar_64,Аоезда скорые или автобусы идут ли?,ru,-0.164,0.0,0.4,0.667,2.079,1,2.982
ru_polar_114,И могу ли я подать заявление в прокуратуру ?,ru,-0.593,1.0,0.5,0.5,2.303,1,3.71
ru_content_361,А сам ботинок из другого материала кто подскажет?,ru,-0.331,0.0,0.167,0.375,2.303,0,2.514
ru_polar_106,Можно ли копать чермет с металлоискателем не нарушая закон?,ru,-0.414,2.0,0.4,0.667,2.398,1,5.051
ru_polar_92,Можно ли как-то сделать её чёрной?,ru,-0.564,1.0,0.5,0.667,2.079,1,3.682
ru_polar_165,Нужно ли сохранять такие цветы на зиму или выбрасывать?,ru,0.086,1.0,0.4,0.556,2.398,1,4.44
ru_polar_76,Пальто предназначено на осеннюю погоду до -10 Выглядит ли оно красиво?,ru,0.199,0.0,0.6,0.5,2.639,1,3.938
ru_polar_131,Готов ли организм девочки к сексу в таком возрасте?,ru,-0.164,0.0,0.0,0.556,2.398,1,2.79
ru_polar_39,Посадят ли его на самолёт? и что его ждёт по прилёту?,ru,0.436,0.0,0.8,0.364,2.639,1,4.239
ru_polar_142,"И правилен ли перевод предложения ""Я бегу на помощь подруге""?",ru,-0.164,0.0,0.6,0.6,2.639,1,3.675
ru_content_52,Куда можно пойти в Сочи?,ru,-0.545,1.0,0.25,0.8,1.946,0,3.451
ru_content_274,Или какая прическа мне подойдет?,ru,-0.045,0.0,0.5,0.4,1.946,0,2.801
ru_polar_5,Есть ли крыша над головой?,ru,-0.664,0.0,0.4,0.6,1.946,1,2.282
ru_content_464,"В общем как вы считаете, это нормально?",ru,-0.212,0.0,0.667,0.571,2.303,0,3.329
ru_content_529,Что мне сделать если даже запахи и остались?,ru,0.24,1.0,0.5,0.375,2.303,0,4.418
ru_polar_34,"Скажите пожалуйста, стоит ли мне идти к врачу, и чем нужно это лечить?",ru,0.252,1.5,0.45,0.462,2.833,1,5.497
ru_polar_12,Подскажите нужно ли обращаться за помощью?,ru,-0.764,1.0,0.2,0.667,2.079,1,3.182
ru_polar_105,Могу ли я выходить на работу если результаты еще не пришли?,ru,0.736,1.0,0.6,0.545,2.565,1,5.446
ru_content_635,"Если польский, украинский и русский можно сказать, что славянские языки, а японский, китайский и корейский - восточные, то как можно обьяденить французский, немецкий и английский языки?",ru,2.121,1.5,0.333,0.72,3.526,0,8.2
ru_content_96,"- Значит, что же -- они нас даже и не заметили?",ru,1.205,0.0,0.5,0.222,2.639,0,4.566
ru_polar_182,Будет ли счастье в семье разлучницы или разлучника?,ru,-0.164,0.0,0.0,0.5,2.303,1,2.639
ru_content_623,Прислужником кого был Саурон?,ru,-0.045,0.0,0.0,0.5,1.792,0,2.247
ru_content_85,"""Что с тобой случится?— сказали ему.",ru,-0.245,0.0,0.333,0.333,2.398,0,2.819
ru_content_605,Что это значит и почему это так?,ru,0.121,0.0,0.5,0.429,2.197,0,3.247
ru_polar_167,Можно ли прийти в турагентство и спросить набирают ли они группу для такого полета?,ru,-0.087,1.0,0.5,0.5,2.773,1,4.686
