sentence_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
1,Tarvitaanko neutroneja radioaktiivisten aineiden valmistamiseen?,finnish,polar,1.75,3.0,0,2.0,1.0,6,0.0,1.0
2,Onko Kalervo Kummola toiminut kansanedustajana?,finnish,polar,1.75,2.0,0,2.0,0.8,6,0.0,1.0
3,Elääkö Yellowstonen kansallispuistossa susia?,finnish,polar,2.0,2.0,0,2.0,1.0,5,0.0,1.0
4,Onko Marsissa happea?,finnish,polar,1.0,1.0,0,0,0.6666666666666666,4,0,0.0
5,Oliko William,finnish,polar,1.0,1.0,0,0,0.5,2,0.0,0.0
6,Pitt menestynyt Britannian pääministeri?,finnish,polar,1.3333333333333333,2.0,1.0,1.0,1.0,5,100.0,1.0
7,Onko elinkelpoisia kuita?,finnish,polar,1.5,2.0,0,0,0.6666666666666666,4,0.0,0.0
8,Monenneksiko suurin maa,finnish,polar,1.5,2.0,0,1.0,1.0,3,0.0,1.0
9,Kiina on pinta-alaltaan?,finnish,polar,1.5,1.0,0,0,0.6666666666666666,4,0.0,1.0
10,Oliko tyttöpop-ryhmä t.A.T.u.,finnish,polar,1.5,1.0,0,0,0.6666666666666666,4,0.0,1.0
11,venäläinen?,finnish,polar,0,0.0,0,0,1.0,2,0,0.0
12,Onko merivesi aina suolaista?,finnish,polar,2.0,1.0,0,0,0.75,5,0.0,1.0
13,Onko Eldorado oikea kaupunki?,finnish,polar,2.0,1.0,0,0,0.75,5,0.0,1.0
14,Näytteleekö Winona Ryder Stranger Things jännityssarjassa?,finnish,polar,2.6,2.0,0,3.0,1.0,7,0.0,1.0
15,Valloittiko Saksa koko Norjan vuonna 1940?,finnish,polar,2.0,2.0,0,3.0,0.8333333333333334,7,0.0,1.0
16,Ovatko pikkuruskosiipat erittäin uhanalaisia?,finnish,polar,2.0,1.0,0,0,0.75,5,0.0,1.0
17,Onko Elafónisoksen saarella asutusta?,finnish,polar,1.3333333333333333,1.0,0,0,0.75,5,0.0,1.0
18,Onko sopraano kaikista äänialoista korkein?,finnish,polar,2.25,2.0,0,0,0.6,6,0.0,1.0
19,Oliko Gunnar Nordströmilla vaimoa?,finnish,polar,1.3333333333333333,1.0,0,0,0.75,5,0,0.0
20,Perustuuko pokemon sarja mangaan?,finnish,polar,2.0,2.0,0,2.0,1.0,5,0.0,1.0
21,Moneenko valtioon Kazakstan rajoittuu?,finnish,polar,1.3333333333333333,2.0,0,2.0,0.75,5,0.0,1.0
22,Onko Tampereen linja-autoasemaa remontoitu?,finnish,polar,1.6666666666666667,2.0,0,2.0,0.75,5,0.0,1.0
23,Onko Dima Bilan venäläinen?,finnish,polar,2.0,2.0,0,0,0.75,5,0.0,1.0
24,Onko jumalana tunnettu Shiva ollut oikea henkilö?,finnish,polar,2.3333333333333335,3.0,0,0,0.7142857142857143,8,0.0,1.0
25,Onko tunkioliero vaarallinen ihmiselle?,finnish,polar,1.3333333333333333,1.0,0,0,0.75,5,0.0,1.0
26,Onko Seeley Booth erikoisagentti Bones -sarjassa?,finnish,polar,2.6,2.0,0,0,0.8333333333333334,7,0.0,1.0
27,Ovatko nokkasiilin piikit teräviä?,finnish,polar,1.6666666666666667,2.0,0,0,0.75,5,0.0,1.0
28,Ovatko Japani ja Venäjä sotineet?,finnish,polar,2.5,3.0,0,1.0,0.6,6,0.0,1.0
29,Onko Kolmisoppinen -järvellä saaria?,finnish,polar,1.3333333333333333,1.0,0,0,0.75,5,0.0,1.0
30,Onko Käärmeimuri -romaani absurdi?,finnish,polar,2.0,1.0,0,0,0.75,5,0.0,1.0
31,Onko Rachel Berry adoptoitu?,finnish,polar,2.0,2.0,0,2.0,0.75,5,0.0,1.0
32,Onko Ídan luola yksi Kreetan merkittävimmistä luolapyhäköistä?,finnish,polar,1.6666666666666667,3.0,0,0,0.7142857142857143,8,0.0,1.0
33,Ovatko Resurrection Bandin jäsenet sukua toisilleen?,finnish,polar,1.8,3.0,0,0,0.6666666666666666,7,0.0,1.0
34,Paljonko K-vitamiiniä ihminen tarvitsee päivässä?,finnish,polar,1.25,2.0,0,3.0,1.0,6,0.0,1.0
