unique_id,text,language,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score
en_polar_442,Can rabbits and chickens live together?,en,-0.034,0.0,0.333,0.667,2.079,1,3.045
en_polar_302,Do you have a tel # for Mike?,en,-0.034,0.0,0.333,0.375,2.303,1,2.977
en_content_376,What is the dress code for females at Del Frisco's Philadelphia?,en,-0.199,0.0,0.0,0.5,2.639,0,2.94
en_polar_526,I personally provided the request on four separate occasions and they claim there is a glitch in their systems ?,en,1.966,1.0,0.556,0.474,3.045,1,7.041
en_content_165,How are you making out on the revised version of the LOC?,en,-0.199,0.0,0.333,0.417,2.639,0,3.19
en_content_156,Have you decided who will be assisting tax-wise for these two countries?,en,-0.199,1.0,0.417,0.385,2.773,0,4.376
en_polar_459,In the United States?,en,-2.034,0.0,0.0,0.5,1.792,1,0.258
en_polar_472,and will these antibiotics help?,en,-1.034,0.0,0.333,0.4,1.946,1,1.645
en_polar_455,Royal Caribbean or Carnival cruise?,en,-0.034,0.0,0.0,0.8,1.946,1,2.712
en_content_147,"What correlation are you assuming, 15% flat for twenty years?",en,-0.199,0.0,0.5,0.364,2.639,0,3.304
en_content_116,What about 7:00 at the office or breakfast meeting at 7:00?,en,0.801,0.0,0.0,0.273,2.565,0,3.639
en_content_208,"Besides from Pacquiao, what else is The Philipines famous for?",en,-1.199,0.0,0.0,0.4,2.565,0,1.766
en_content_253,What are some fun things I could do while in Japan?,en,0.801,1.0,0.333,0.364,2.565,0,5.063
en_polar_73,surprise romantic cheap date night san francisco?,en,-1.034,0.0,0.0,1.0,2.197,1,2.163
en_content_89,"If mistaken, how did those reports first come about?",en,-1.199,0.0,0.833,0.556,2.485,0,2.675
en_polar_401,And do you get charged for it?,en,-1.034,0.0,0.667,0.143,2.197,1,1.973
en_polar_496,2. Have we kept up with partial water changes?,en,-1.034,0.0,0.667,0.444,2.485,1,2.562
en_content_154,What do you think?,en,-2.199,0.0,0.333,0.25,1.792,0,0.176
en_polar_347,Is there any cure for mouse poison?,en,-0.034,0.0,0.333,0.571,2.197,1,3.067
en_content_358,Is this how your clients usually evaluate these properties?,en,-0.199,1.0,0.5,0.556,2.398,0,4.255
en_polar_464,Should I just settle and book on line?,en,-0.034,0.0,0.417,0.5,2.303,1,3.186
en_polar_341,my new OLYMPUS X940 DIGITAL CAMERA...?,en,-2.034,0.0,0.0,0.833,2.197,1,0.996
en_content_362,What influenced Picasso's cubism style of painting?,en,-0.199,0.0,0.333,0.625,2.303,0,3.062
en_content_206,What manner of maniac would undertake such a dangerous course?,en,-0.199,0.0,0.333,0.5,2.485,0,3.119
en_content_395,whose better looking ?,en,-2.199,0.0,0.0,0.5,1.792,0,0.093
en_content_348,What's going on dude?,en,-2.199,0.0,0.5,0.4,1.946,0,0.647
en_polar_84,Name of specific Hibachi restaurant in Chicago?,en,-0.034,0.0,0.0,0.714,2.197,1,2.877
en_polar_453,"I've stayed in a more expensive hotel there, but you can check some travelguides or tripadvisor?",en,0.966,0.0,0.583,0.471,2.996,1,5.016
en_polar_478,Have I just fallen victim in a cultural trap?,en,-1.034,0.0,0.667,0.556,2.398,1,2.587
en_polar_481,*gasps* So I wouldn't make a good prostitute?,en,-1.034,0.0,0.417,0.556,2.565,1,2.504
en_polar_358,If you can?,en,-2.034,0.0,0.0,0.0,1.609,1,-0.425
en_content_286,What countries are the best to travel to?,en,-0.199,1.0,0.333,0.375,2.303,0,3.812
en_content_299,What to feed my dog after gastroenteritis?,en,-1.199,0.0,0.667,0.429,2.197,0,2.094
en_polar_392,Do I need a protein skimmer or any other equipment?,en,-0.034,0.0,0.333,0.5,2.485,1,3.284
en_content_24,how do you mold silicone or rubber into a mermaid tail?,en,-0.199,0.0,0.667,0.545,2.565,0,3.578
en_content_295,How do I train him to feel comfortable in his crate?,en,-0.199,1.0,0.583,0.455,2.565,0,4.404
en_polar_283,Do you think we need to do more?,en,-0.034,2.0,0.333,0.5,2.303,1,5.102
en_content_13,What is this Miramar?,en,-1.199,0.0,0.0,0.25,1.792,0,0.843
en_content_392,How are strangers supposed to know why YOU want to do that sort of job?,en,2.801,3.0,0.458,0.6,2.833,0,9.692
en_content_192,How much money does the USA give NASA per year?,en,-0.199,0.0,0.667,0.7,2.485,0,3.653
en_content_251,What are good places to eat brunch at? ?,en,-1.199,1.0,0.5,0.5,2.398,0,3.199
en_content_145,What volatilities are you using to value the options - monthly volatilities or intra-day volatilities or a blend of the two (if blending please show me what formula you using to blend the two vols)?,en,1.801,1.333,0.444,0.441,3.664,0,7.683
en_content_352,"Your father never listens to me, what can I say?",en,-1.199,0.0,0.5,0.4,2.565,0,2.266
en_content_46,how many ounces in a pint in ireland?,en,-1.199,0.0,0.0,0.625,2.303,0,1.729
en_polar_323,Has the disaster affected the way other countries view the US?,en,0.966,1.0,0.333,0.636,2.565,1,5.5
en_polar_497,3. Is there too much mineral in the water?,en,-0.034,0.0,0.5,0.556,2.485,1,3.507
en_content_359,are there any sadists out there who share the same tastes as i do ?,en,2.801,1.0,0.417,0.5,2.773,0,7.491
en_polar_96,That he didn’t show up for duty in Alabama?,en,-1.034,0.0,1.0,0.3,2.485,1,2.751
en_polar_278,Are we ready to execute?,en,-1.034,1.0,0.167,0.4,1.946,1,2.479
en_content_184,And who are you?,en,-2.199,0.0,0.0,0.0,1.792,0,-0.407
en_content_19,Who is artist Gunther Uecker;explain?,en,-1.199,0.0,0.0,0.667,2.197,0,1.665
en_content_148,Do we have someone who is watching this out there?,en,0.801,1.0,0.417,0.4,2.485,0,5.103
en_polar_567,Have you had any knowledgement about pearl pigment.?,en,-0.034,0.0,0.333,0.5,2.303,1,3.102
en_polar_228,"With regard to our annual review of this list of laws we need to comply with, do we not want to add the Canadian provinces new ""eligible swap participant"" equivalant rules?",en,3.966,1.5,0.417,0.548,3.584,1,10.015
en_content_203,When common sense takes a back seat to politics and legal mumbo jumbo what have we become?,en,1.801,1.0,0.5,0.647,2.944,0,6.892
en_polar_422,Please help with my cats bladder issue?,en,-0.034,0.0,0.333,0.5,2.303,1,3.102
en_polar_200,"Ben Taub hospital is located at 1504 Taub Loop, Houston, Texas, phone number: 713-793-2000.?",en,-0.034,0.0,0.667,0.714,2.996,1,4.343
en_polar_569,cos ill be going to baguio alone and i have tight?,en,-1.034,0.0,0.667,0.417,2.639,1,2.689
en_content_8,What's going on with the UBS weather position?,en,-1.199,0.0,0.5,0.444,2.398,0,2.143
en_polar_370,The Canadian Regenesis actress Mayko Nguyen has Japanese connection or is it her fake name?,en,-0.034,0.0,0.5,0.667,2.833,1,3.966
en_polar_173,Are either of you familiar with this project?,en,-0.034,0.0,0.0,0.25,2.303,1,2.519
en_content_37,what is a good slogan for an Argentinian restaurant?,en,-0.199,0.0,0.0,0.444,2.398,0,2.643
en_content_276,"So my true question comes to this, how can I knock the rat out?",en,-0.199,0.0,0.667,0.5,2.833,0,3.801
en_content_221,what is a kimberwick bit used for?,en,-1.199,0.0,0.5,0.429,2.197,0,1.927
en_content_39,Also how much do compact system cameras drop on boxing day?,en,-0.199,0.0,0.667,0.818,2.565,0,3.851
en_polar_147,Is that Microwave that you gave Dan really expensive?,en,-0.034,1.0,0.5,0.556,2.398,1,4.42
en_polar_110,Does this reappropriation lead to or originate from the same place?,en,-1.034,0.0,0.5,0.455,2.565,1,2.486
en_content_228,What is the best way of doing it?,en,-0.199,1.0,0.333,0.375,2.303,0,3.812
en_polar_204,Just wanted to know were we stand on the ETA and PA for Argentina?,en,1.966,2.0,0.389,0.571,2.773,1,7.699
en_polar_463,Is there any tricks I could use?,en,-0.034,1.0,0.25,0.429,2.197,1,3.842
en_polar_474,Did your vet take radiographs (x-rays)?,en,-0.034,0.0,0.333,0.714,2.485,1,3.498
en_content_399,how are vietnam and Afghanistan alike?,en,-0.199,0.0,0.0,0.667,2.079,0,2.547
en_content_67,"""Can you name the general who is in charge of Pakistan?""",en,0.801,1.0,0.333,0.364,2.708,0,5.206
en_content_25,"In the Episode ""So in Louvre Are We Two"", How many diffrent painting/scupltures are their and who are the artists?",en,0.801,0.0,0.667,0.5,3.296,0,5.264
en_content_177,What are you doing to the least of the people?,en,-0.199,0.0,0.5,0.3,2.485,0,3.086
en_content_38,Which Compact System Camera Should I Get...?,en,-0.199,0.0,0.333,0.571,2.303,0,3.008
