unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,question_type,complexity_score
russian_polar_351,Иоа́нн Тобо́льский был поэтом?,ru,-0.255,-0.5,0.0,0.0,0.75,1,-0.005
russian_polar_641,Обязательно ли психиатрическое обследование в России при приеме на работу учителем?,ru,0.278,0.5,0.0,0.0,0.636,1,1.414
russian_polar_342,Последний конфликт»?,ru,-0.922,-1.5,0.0,0.0,1.0,1,-1.422
russian_polar_1102,M3 поставлялся на экспорт?,ru,-0.588,-0.5,0.0,0.4,0.5,1,-0.188
russian_content_4285,Сколько людей живет в древнем селе Лахич в 2019 году?,ru,0.533,-0.51,0.0,0.5,0.7,0,1.223
russian_polar_1587,Есть древесная ширина?,ru,-0.422,-0.5,0.0,0.2,1.0,1,0.278
russian_content_11693,Кем был отец Ива́на Алексе́евича Бу́нина?,ru,-0.178,0.49,0.0,0.0,0.667,0,0.979
russian_polar_1232,Захватил ли голод 1932 года Белоруссию?,ru,0.278,0.5,0.0,0.6,0.833,1,2.211
russian_polar_1095,Есть ли пустыня в Азербайджане?,ru,0.078,-0.5,0.0,0.6,0.6,1,0.778
russian_content_1867,Сколько раз Белая акула напала на человека в 2018?,ru,0.172,-0.51,0.0,0.667,0.667,0,0.996
russian_polar_291,Названа ли теорема по физике в честь Ама́лия Э́мми Нётер?,ru,-0.033,0.5,0.0,0.6,0.7,1,1.767
russian_polar_762,В Переделкине жил Борис Пастернак?,ru,-0.922,-0.5,0.0,0.4,0.8,1,-0.222
russian_content_5530,Когда был написан роман Жюля Верна «20 000 льё под водой»?,ru,0.122,1.49,0.0,0.5,0.636,0,2.748
russian_polar_1179,К Нейролептическим экстрапирамидным расстройствам относится паралич?,ru,-0.322,-0.5,0.0,0.4,0.833,1,0.411
russian_polar_1493,Граф Влади́мир Алекса́ндрович Соллогу́б писал водевили?,ru,-0.122,0.5,0.0,0.4,1.0,1,1.778
russian_content_9935,Как зовут посла России в Аргентине на март 2019?,ru,0.297,0.49,0.0,0.5,0.778,0,2.065
russian_content_12560,В каком году была основана Рязань?,ru,-0.178,-0.51,0.0,0.5,0.5,0,0.312
russian_polar_238,Араньякапарва- книга о любви?,ru,-0.255,-0.5,0.0,0.0,0.75,1,-0.005
russian_polar_1351,Остались ли в Словакии памятники времен кельтов на 2019 год?,ru,0.634,0.5,0.0,0.8,0.7,1,2.634
russian_content_10324,Где проходит граница Южной и Северной Кореи?,ru,0.422,2.49,0.0,0.333,0.857,0,4.102
russian_content_1836,На каком расстоянии от Земли пролетела Большая сентябрьская комета 1882 года?,ru,0.222,0.49,0.0,0.333,0.727,0,1.772
russian_polar_436,Служат ли женщины в военно-воздушных силах России?,ru,0.078,-0.5,0.0,0.6,0.714,1,0.892
russian_content_5515,В каком городе родился Арме́н Вагина́кович,ru,-0.378,-0.51,0.0,0.333,0.667,0,0.112
russian_content_8526,Что такое знаки отличия в российской армии?,ru,0.256,0.49,0.0,0.0,0.571,0,1.317
russian_polar_1512,Производил ли Го́рьковский автомоби́льный заво́д жигули?,ru,-0.122,-0.5,0.0,0.4,0.833,1,0.611
russian_polar_233,Смогли ли предотвратить взрыв при аварии на АЭС Три-Майл-Айленд?,ru,-0.422,1.5,1.0,0.4,0.667,1,3.145
russian_content_6349,Где впервые был создан искусственный клапан сердца?,ru,0.089,-0.51,0.0,0.667,0.857,0,1.103
russian_content_1497,Кто написал музыку к фильму «Авата́р»?,ru,-0.178,0.49,0.0,0.333,0.667,0,1.312
russian_polar_698,Возле города Курган много древних курганов на 2018 год?,ru,-0.047,0.5,0.0,0.0,0.667,1,1.12
russian_polar_186,Модель в сражении на северном фасе Курской дуги?,ru,-0.207,1.5,0.0,0.0,0.75,1,2.043
russian_content_5401,Кто выиграл в Сталингра́дской би́тве?,ru,0.172,-0.51,0.0,0.333,0.6,0,0.595
russian_content_5966,Сколько русских проживает в Алма́-Ате в 2019 году?,ru,0.279,-0.51,0.0,0.5,0.625,0,0.894
russian_content_11236,Когда в Англии появилась первая валютная биржа?,ru,0.256,-0.51,0.0,0.5,0.714,0,0.96
russian_content_2377,Когда родился Алигейдар Караев?,ru,-0.578,-0.51,0.0,0.333,1.0,0,0.245
russian_content_9768,Как звали жену Курта Кобейна?,ru,-0.578,0.49,0.0,0.333,1.0,0,1.245
russian_content_5382,Как звали мать Боэму́нда Таре́нтского?,ru,-0.578,0.49,0.0,0.333,1.0,0,1.245
russian_polar_826,Пётр Леони́дович Капи́ца получил Нобелевскую премию?,ru,-0.122,-0.5,0.0,0.4,1.0,1,0.778
russian_polar_1617,Был ли Уистен Хью Оден лауреатом Пулитцеровской премии?,ru,0.65,-0.5,0.0,0.0,0.75,1,0.9
russian_polar_865,Есть в Институ́те нау́чной информа́ции по обще́ственным нау́кам библиотека?,ru,0.328,1.5,0.0,0.0,0.667,1,2.495
russian_polar_110,Посещение художественной школы платно для детей России на март 2019?,ru,-0.033,0.5,0.0,0.0,0.8,1,1.267
russian_content_6295,Есть в Дагестане рутульская школа на март 2019?,ru,0.137,0.49,0.0,0.333,0.75,0,1.71
russian_polar_1150,Во Франции регистрируют однополые браки?,ru,-0.672,-0.5,0.0,0.4,0.8,1,0.028
russian_polar_681,Есть падежная система в македонском языке?,ru,-0.122,0.5,0.0,0.2,0.833,1,1.411
russian_content_12757,В какой стране продали больше всего компьютеров в 2018 году?,ru,0.533,0.49,0.0,0.5,0.5,0,2.023
russian_polar_415,Есть ли по сценарию в сериале «Вавилон-5» герой российского происхождения?,ru,0.967,0.5,0.0,0.8,0.7,1,2.967
russian_content_8160,Как называется самая длинная река в США?,ru,-0.078,0.49,0.0,0.333,0.714,0,1.459
russian_polar_21,"Получила ли Элизабет Тейлор ""Оскар"" за роль Клеопатры?",ru,0.793,-0.5,0.0,0.8,0.75,1,1.843
russian_content_7115,Где возникла гелиоцентрическая система мира?,ru,-0.328,-0.51,0.0,0.333,1.0,0,0.495
russian_polar_473,Николай Вавилов выступал против коллективизации?,ru,-0.422,-0.5,0.0,0.4,0.8,1,0.278
