sentence_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
1,Is Creole a pidgin of French?,english,polar,1.8,2.0,0,0,0.5,7,0.0,1.0
2,Does plastic decompose at all?,english,polar,1.5,2.0,0,2.0,0.4,6,0.0,1.0
3,Can you tour The Château de Brest?,english,polar,2.1666666666666665,3.0,0,2.0,0.5714285714285714,8,0.0,1.0
4,Does Valdosta State have a lacrosse team?,english,polar,1.8333333333333333,2.0,0,2.0,0.7142857142857143,8,0.0,1.0
5,Was there a year 0?,english,polar,1.5,2.0,0,2.0,0.4,6,0.0,1.0
6,Can you prevent traumatic brain injury?,english,polar,1.8,2.0,0,2.0,0.6666666666666666,7,0.0,1.0
7,Have the Colorado Rockies won a title?,english,polar,1.8333333333333333,2.0,0,2.0,0.5714285714285714,8,0.0,1.0
8,Does China own Singapore?,english,polar,1.3333333333333333,1.0,0,2.0,0.75,5,0.0,1.0
9,Do The Rough Riders have a special patch?,english,polar,2.0,2.0,0,2.0,0.625,9,0.0,1.0
10,Are steam locomotives more powerful than diesel?,english,polar,1.8333333333333333,2.0,0,0,0.7142857142857143,8,0.0,1.0
11,Can the DC character Nightwing fly?,english,polar,2.2,2.0,0,1.0,0.6666666666666666,7,0.0,1.0
12,Did Camminetz hold an aristocratic position before being a military official?,english,polar,2.7,2.0,1.0,3.0,0.5454545454545454,12,50.0,2.0
13,Does Belgium have a mayor?,english,polar,1.5,2.0,0,2.0,0.6,6,0.0,1.0
14,Is the USS Hobson still in use?,english,polar,2.5,2.0,0,0,0.5714285714285714,8,0.0,1.0
15,Are wolves good pets?,english,polar,2.0,1.0,0,0,0.75,5,0.0,1.0
16,Are relics considered icons?,english,polar,1.3333333333333333,1.0,0,3.0,0.75,5,0.0,1.0
17,Did Lindsay,english,polar,1.0,1.0,0,0,1.0,2,0,0.0
18,Wagner audition for her role in The Bionic Woman?,english,polar,2.125,3.0,0,0,0.5555555555555556,10,0,0.0
19,Do any of the developers from GTA V work on Red Dead Redemption?,english,polar,2.9166666666666665,4.0,0,2.0,0.46153846153846156,14,0.0,1.0
20,Did the Stackhouse books get made into a show?,english,polar,2.125,2.0,0,3.0,0.4444444444444444,10,0.0,1.0
21,Are all the Clamp series connected?,english,polar,2.4,2.0,0,2.0,0.5,7,0.0,1.0
22,Can you over-water a cactus?,english,polar,2.4,2.0,0,3.0,0.5,8,0.0,1.0
23,Does Descent: FreeSpace – The Great War have a second game?,english,polar,3.3333333333333335,2.0,0,4.0,0.7,13,0.0,1.0
24,Is there a difference between personal and social identity?,english,polar,2.5,5.0,0,2.0,0.5555555555555556,10,0.0,1.0
25,Does The Metropolitan Police Department have any awards?,english,polar,2.142857142857143,2.0,0,2.0,0.625,9,0.0,1.0
26,Is there an evil spiderman?,english,polar,2.0,2.0,0,2.0,0.6,6,0.0,1.0
27,Is Abi Branning still a character on EastEnders?,english,polar,2.2857142857142856,2.0,0,0,0.625,9,0.0,1.0
28,Does the Audi S4 come with manual transmission option?,english,polar,2.125,3.0,0,2.0,0.6666666666666666,10,0.0,1.0
29,Is there a language other than Spanish spoken in Spain?,english,polar,1.7777777777777777,4.0,1.0,1.5,0.6,11,50.0,2.0
30,Do the Taensa still exist?,english,polar,2.0,2.0,0,2.0,0.6,6,0.0,1.0
31,Are mules sterile?,english,polar,1.5,1.0,0,0,0.6666666666666666,4,0.0,1.0
32,Do jelly fish have nervous systems?,english,polar,1.6,2.0,0,2.0,0.8333333333333334,7,0.0,1.0
33,Does hemp contain THC?,english,polar,1.3333333333333333,1.0,0,2.0,0.75,5,0.0,1.0
34,Is Canada part of the Common Wealth?,english,polar,2.1666666666666665,2.0,0,0,0.5714285714285714,8,0.0,1.0
35,Did the Equal Pay Act pass?,english,polar,2.2,3.0,0,1.0,0.6666666666666666,7,0.0,1.0
36,Is there a cure for agnosia?,english,polar,1.6,3.0,0,2.0,0.5,7,0.0,1.0
37,Is Indonesia a democracy?,english,polar,2.0,1.0,0,0,0.5,5,0.0,1.0
38,Is general anaesthetic dangerous?,english,polar,1.6666666666666667,2.0,0,0,0.75,5,0.0,1.0
39,Can an ex president run again for US president?,english,polar,2.0,2.0,0,3.0,0.6666666666666666,10,0.0,1.0
40,Is the warbonnet sacred?,english,polar,1.6666666666666667,2.0,0,0,0.5,5,0.0,1.0
41,Is Queen Elizabeth Queen of Australia?,english,polar,1.8,2.0,0,0,0.6666666666666666,7,0,0.0
42,Is Mike Pratt married?,english,polar,2.0,2.0,0,0,0.75,5,0.0,1.0
43,Do brains heal themselves after strokes?,english,polar,1.6,2.0,0,3.0,0.5,7,0.0,1.0
44,Did anyone ever recover Hitlers body?,english,polar,1.8,2.0,0,3.0,0.6666666666666666,7,0.0,1.0
45,Does the International Ladies' Garment Workers' Union still exist?,english,polar,2.9,3.0,0,2.0,0.6363636363636364,12,0.0,1.0
46,Is Master Chief in Halo Wars?,english,polar,2.4,2.0,0,0,0.6666666666666666,7,0,0.0
47,Is Barbra Walters retired?,english,polar,2.0,2.0,0,2.0,0.75,5,0.0,1.0
48,Is Gibraltar English territory?,english,polar,2.0,1.0,0,0,0.75,5,0.0,1.0
49,Is oral candidiasis lethal?,english,polar,1.6666666666666667,2.0,0,0,0.75,5,0.0,1.0
50,Is Cimetidine an antihistamine?,english,polar,2.0,1.0,0,0,0.5,5,0.0,1.0
51,Did Avicenna write any books?,english,polar,1.5,2.0,0,2.0,0.6,6,0.0,1.0
52,Is sperm donation safe?,english,polar,1.6666666666666667,2.0,0,0,0.75,5,0.0,1.0
53,Do colleges pay for students to pass paywalls?,english,polar,2.0,2.0,1.0,3.0,0.625,9,50.0,2.0
54,Has Ashton-Tate earned any awards?,english,polar,2.4,2.0,0,2.0,0.6666666666666666,8,0.0,1.0
55,Did Zhou Enlai have a wife?,english,polar,1.8,2.0,0,2.0,0.6666666666666666,7,0.0,1.0
56,Are blood clotting disorders hereditary?,english,polar,1.75,3.0,0,0,0.8,6,0.0,1.0
57,Was Germany part of the Hasburg Empire?,english,polar,2.1666666666666665,2.0,0,0,0.5714285714285714,8,0.0,1.0
58,Are vape pens powered by lithium batteries?,english,polar,1.8333333333333333,2.0,0,3.0,0.7142857142857143,8,0.0,1.0
59,Do other animals have different blood types like humans?,english,polar,1.75,3.0,0,2.0,0.7777777777777778,10,0.0,1.0
60,Did Last,english,polar,1.0,1.0,0,0,0.5,2,0.0,0.0
61,Exile win any awards?,english,polar,1.3333333333333333,2.0,0,2.0,0.75,5,0.0,1.0
62,Do chimps shun members who cheat?,english,polar,1.4,3.0,1.0,1.5,0.6666666666666666,7,50.0,2.0
63,Does Christianity come from Judaism?,english,polar,1.5,2.0,0,2.0,0.6,6,0.0,1.0
64,Does Fahrenheit 451 have a movie?,english,polar,1.8,2.0,0,2.0,0.5,7,0.0,1.0
65,Does the Netherlands have universal healthcare?,english,polar,1.6,2.0,0,2.0,0.6666666666666666,7,0.0,1.0
66,Is Karate a sport in the Olympics?,english,polar,2.0,2.0,0,0,0.42857142857142855,8,0.0,1.0
67,Has Charlotte been dubbed?,english,polar,2.0,1.0,0,2.0,0.5,5,0.0,1.0
68,Does Keith M.,english,polar,1.0,2.0,0,0,0.6666666666666666,3,0.0,0.0
69,Davidson practice family law?,english,polar,1.3333333333333333,2.0,0,2.0,1.0,5,0.0,1.0
70,Does Punjab still exist?,english,polar,2.0,1.0,0,2.0,0.75,5,0.0,1.0
