unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,lexical_density,n_tokens,question_type,complexity_score
indonesian_polar_265,Apakah istilah Boys' Love hanya ditujukan pada wanita?,id,0.709,0.518,0.0,0.778,2.485,1,4.49
indonesian_content_1413,Kapan Uni Soviet memulai industri pembuatan nuklir ?,id,-0.136,0.219,0.0,1.0,2.197,0,3.28
indonesian_content_9093,dimanakah Mojokerto ?,id,-0.136,-1.781,0.0,0.667,1.609,0,0.359
indonesian_content_4481,Siapakah tokoh villain dalam Harry Potter ?,id,-0.136,0.219,0.0,0.571,2.197,0,2.851
indonesian_content_5762,Siapa penguasa pertama Mesopotamia?,id,-0.303,-0.781,0.0,0.75,1.792,0,1.458
indonesian_polar_29,Apakah lagenda Robin Hood berasal dari Nottingham?,id,0.209,0.518,0.0,0.75,2.303,1,3.78
indonesian_content_10900,Berapakah UMR Jakarta tahun 2018 ?,id,-0.236,-0.781,0.0,0.667,2.079,0,1.729
indonesian_content_5738,Kapan Kongres Fasis Internasional diadakan?,id,0.614,0.219,0.0,1.0,1.946,0,3.779
indonesian_content_7437,kapankah Deforestasi pertama kali terjadi di malaysia?,id,0.364,-0.781,0.0,0.75,2.303,0,2.636
indonesian_polar_357,apakah mayoritas Iran adalah Syi'ah?,id,0.209,-0.482,0.0,0.714,2.197,1,2.638
indonesian_polar_45,Apakah Islam Nusantara mempertimbangkan unsur budaya Indonesia dalam merumuskan fikih?,id,0.009,0.518,1.0,0.818,2.565,1,4.91
indonesian_polar_198,Adakah Flash disk termasuk teknologi Informasi?,id,-0.124,0.518,1.0,0.857,2.197,1,4.448
indonesian_polar_411,Apakah kenosis terdapat di dalam alkitab?,id,0.043,-0.482,0.0,0.571,2.197,1,2.329
indonesian_content_2606,Berapa populasi Roma tahun 2017?,id,-0.386,-0.781,0.0,0.8,1.946,0,1.579
indonesian_content_6050,siapakah pendiri merek ban dunlop?,id,-0.436,1.219,0.0,0.667,2.079,0,3.529
indonesian_content_2532,Berapakah populasi penduduk Kampung Naga tahun 2010 ?,id,-0.065,0.219,0.0,0.75,2.303,0,3.207
indonesian_content_4574,Kapan Determinisme biologis pertama diterapkan?,id,0.864,-0.781,0.0,1.0,1.946,0,3.029
indonesian_content_3247,Apa yang dimaksud dengan Zaman Viking Eropa?,id,-0.303,1.219,1.0,0.571,2.197,0,4.684
indonesian_content_2365,tahun berapakah Li Baoyu dilairkan?,id,0.964,-0.781,0.0,0.833,2.079,0,3.095
indonesian_content_6782,Dimana letak daerah Jepara ?,id,-0.636,0.219,0.0,0.75,1.792,0,2.125
indonesian_polar_224,apakah homoseksualitas di thailand di legalkan?,id,0.376,0.518,0.0,0.571,2.197,1,3.662
indonesian_content_5227,Dari mana kata gilda berasal ?,id,0.114,-0.781,0.0,0.6,1.946,0,1.879
indonesian_polar_222,Apakah Seni Jaranan menggunakan musik latar?,id,-0.124,-0.482,0.0,0.857,2.197,1,2.448
indonesian_polar_231,apakah Indonesia terlibat dalam Perang Dunia II?,id,-0.362,0.518,0.0,0.625,2.303,1,3.084
indonesian_polar_3,Apakah ular sanca termasuk hewan yang dilindungi?,id,-0.076,0.518,1.0,0.75,2.303,1,4.495
indonesian_polar_146,apakah Minangkabau suku yang berasal dari Pulau Sumatra?,id,-0.416,1.518,1.0,0.667,2.398,1,5.167
indonesian_polar_331,Apakah buah melinjo baik untuk kesehatan ?,id,-0.124,-0.482,0.0,0.714,2.197,1,2.305
indonesian_content_303,dimanakah Abdullah Said dilahirkan?,id,0.364,-0.781,0.0,0.8,1.946,0,2.329
indonesian_content_1782,berapakah luas negara palestina di tahun 2009?,id,-0.065,-0.781,0.0,0.625,2.303,0,2.082
indonesian_content_4675,dimanakah Konstantinus Agung dilahirkan?,id,0.364,-0.781,0.0,0.8,1.946,0,2.329
indonesian_polar_37,apakah Edmontosaurus pemakan tumbuhan?,id,-0.541,-0.482,0.0,0.8,1.946,1,1.723
indonesian_polar_111,Apakah pemerintah menyediakan pekerjaan bagi peserta transmigrasi di daerah tujuan ?,id,-0.291,1.518,0.0,0.727,2.565,1,4.519
indonesian_content_10737,berapa lamakah Perjalanan Nabi Muhammad SAW ke Tai'f?,id,-0.065,1.219,0.0,0.875,2.303,0,4.332
indonesian_content_386,Dimana kekaisaran Jepang dibentuk?,id,0.364,-0.781,0.0,1.0,1.792,0,2.375
indonesian_content_11438,kapan teknologi nuklir pertama kali diciptakan?,id,0.764,-0.781,0.0,1.0,2.079,0,3.062
indonesian_polar_58,apakah WWE sebuah pertunjukan Gulat?,id,-0.391,-0.482,0.0,0.667,2.079,1,1.873
indonesian_polar_232,apakah ada standar pisau yang di gunakan dalam seni Lempar pisau?,id,-0.336,2.518,1.0,0.667,2.639,1,6.488
indonesian_polar_227,Apakah wabah demam Zika dapat menyebabkan kematian?,id,0.495,-0.482,0.0,0.75,2.303,1,3.066
indonesian_content_1387,Bagaimanakah sistem pemerintahan di Lebanon ?,id,-0.036,-0.781,0.0,0.667,2.079,0,1.929
