experiment_id,timestamp,status,error,language,task,model_type,task_type,dataset_config,experiment_type,control_seed,train_time,model_class,train_primary_value,train_mse,train_r2,val_primary_value,val_mse,val_r2,test_primary_value,test_mse,test_r2,train_samples,val_samples,test_samples,_raw_result,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,test_accuracy,test_precision,test_recall,test_f1
7007c9ec0020,2025-08-17T22:38:37.791386,completed,,ar,lang_norm_complexity_score,DummyRegressor,regression,base,main,,0.02641606330871582,DummyRegressor,0.03069736400893835,0.03069736400893835,0.0,0.06639388558127966,0.06639388558127966,-0.02335066369142047,0.05806863504059316,0.05806863504059316,-0.001077383099387319,995,44,77,"{'experiment_id': '7007c9ec0020', 'timestamp': '2025-08-17T22:38:37.791386', 'config': {'experiment_name': 'dummy_lang_norm_complexity_score_ar_base', 'language': 'ar', 'task': 'lang_norm_complexity_score', 'model_type': 'dummy', 'task_type': 'regression', 'config': 'base', 'experiment_type': 'main', 'features_dir': '/vsc-hard-mounts/leuven-data/371/vsc37132/qtype-eval/data/tfidf_features', 'batch_name': 'tfidf_results_20250817_223817'}, 'status': 'completed', 'error': None, 'model_type': 'DummyRegressor', 'task_type': 'regression', 'train_time': 0.02641606330871582, 'train_metrics': {'primary_metric': 'mse', 'primary_value': 0.03069736400893835, 'mse': 0.03069736400893835, 'r2': 0.0}, 'val_metrics': {'primary_metric': 'mse', 'primary_value': 0.06639388558127966, 'mse': 0.06639388558127966, 'r2': -0.02335066369142047}, 'test_metrics': {'primary_metric': 'mse', 'primary_value': 0.05806863504059316, 'mse': 0.05806863504059316, 'r2': -0.001077383099387319}, 'data_shapes': {'train': [995, 9199], 'val': [44, 9199], 'test': [77, 9199]}}",,,,,,,,,,,,
cab543834182,2025-08-17T22:38:45.593805,completed,,ar,lang_norm_complexity_score,Ridge,regression,base,main,,0.08076977729797363,Ridge,0.005919799271590654,0.005919799271590654,0.8071561040268165,0.027991207806873367,0.027991207806873367,0.568562363297427,0.04534300851198102,0.04534300851198102,0.21830674560723173,995,44,77,"{'experiment_id': 'cab543834182', 'timestamp': '2025-08-17T22:38:45.593805', 'config': {'experiment_name': 'ridge_lang_norm_complexity_score_ar_base', 'language': 'ar', 'task': 'lang_norm_complexity_score', 'model_type': 'ridge', 'task_type': 'regression', 'config': 'base', 'experiment_type': 'main', 'features_dir': '/vsc-hard-mounts/leuven-data/371/vsc37132/qtype-eval/data/tfidf_features', 'batch_name': 'tfidf_results_20250817_223817'}, 'status': 'completed', 'error': None, 'model_type': 'Ridge', 'task_type': 'regression', 'train_time': 0.08076977729797363, 'train_metrics': {'primary_metric': 'mse', 'primary_value': 0.005919799271590654, 'mse': 0.005919799271590654, 'r2': 0.8071561040268165}, 'val_metrics': {'primary_metric': 'mse', 'primary_value': 0.027991207806873367, 'mse': 0.027991207806873367, 'r2': 0.568562363297427}, 'test_metrics': {'primary_metric': 'mse', 'primary_value': 0.04534300851198102, 'mse': 0.04534300851198102, 'r2': 0.21830674560723173}, 'data_shapes': {'train': [995, 9199], 'val': [44, 9199], 'test': [77, 9199]}}",,,,,,,,,,,,
2bcac5d0a6da,2025-08-17T22:38:53.397583,completed,,ar,lang_norm_complexity_score,XGBRegressor,regression,base,main,,0.5302181243896484,XGBRegressor,0.003911957856325268,0.003911957856325268,0.8725637206117699,0.030844986778406913,0.030844986778406913,0.524576135063017,0.034391852779592114,0.034391852779592114,0.40709978878501674,995,44,77,"{'experiment_id': '2bcac5d0a6da', 'timestamp': '2025-08-17T22:38:53.397583', 'config': {'experiment_name': 'xgboost_lang_norm_complexity_score_ar_base', 'language': 'ar', 'task': 'lang_norm_complexity_score', 'model_type': 'xgboost', 'task_type': 'regression', 'config': 'base', 'experiment_type': 'main', 'features_dir': '/vsc-hard-mounts/leuven-data/371/vsc37132/qtype-eval/data/tfidf_features', 'batch_name': 'tfidf_results_20250817_223817'}, 'status': 'completed', 'error': None, 'model_type': 'XGBRegressor', 'task_type': 'regression', 'train_time': 0.5302181243896484, 'train_metrics': {'primary_metric': 'mse', 'primary_value': 0.003911957856325268, 'mse': 0.003911957856325268, 'r2': 0.8725637206117699}, 'val_metrics': {'primary_metric': 'mse', 'primary_value': 0.030844986778406913, 'mse': 0.030844986778406913, 'r2': 0.524576135063017}, 'test_metrics': {'primary_metric': 'mse', 'primary_value': 0.034391852779592114, 'mse': 0.034391852779592114, 'r2': 0.40709978878501674}, 'data_shapes': {'train': [995, 9199], 'val': [44, 9199], 'test': [77, 9199]}}",,,,,,,,,,,,
8286439429c7,2025-08-17T22:39:00.898476,completed,,ar,question_type,DummyClassifier,classification,base,main,,0.021283864974975586,DummyClassifier,0.5005025125628141,,,0.5454545454545454,,,0.7142857142857143,,,995,44,77,"{'experiment_id': '8286439429c7', 'timestamp': '2025-08-17T22:39:00.898476', 'config': {'experiment_name': 'dummy_question_type_ar_base', 'language': 'ar', 'task': 'question_type', 'model_type': 'dummy', 'task_type': 'classification', 'config': 'base', 'experiment_type': 'main', 'features_dir': '/vsc-hard-mounts/leuven-data/371/vsc37132/qtype-eval/data/tfidf_features', 'batch_name': 'tfidf_results_20250817_223817'}, 'status': 'completed', 'error': None, 'model_type': 'DummyClassifier', 'task_type': 'classification', 'train_time': 0.021283864974975586, 'train_metrics': {'primary_metric': 'accuracy', 'primary_value': 0.5005025125628141, 'accuracy': 0.5005025125628141, 'precision': 0.25050276508168984, 'recall': 0.5005025125628141, 'f1': 0.33389183021605007}, 'val_metrics': {'primary_metric': 'accuracy', 'primary_value': 0.5454545454545454, 'accuracy': 0.5454545454545454, 'precision': 0.29752066115702475, 'recall': 0.5454545454545454, 'f1': 0.3850267379679144}, 'test_metrics': {'primary_metric': 'accuracy', 'primary_value': 0.7142857142857143, 'accuracy': 0.7142857142857143, 'precision': 0.5102040816326531, 'recall': 0.7142857142857143, 'f1': 0.5952380952380952}, 'data_shapes': {'train': [995, 9199], 'val': [44, 9199], 'test': [77, 9199]}}",0.5005025125628141,0.25050276508168984,0.5005025125628141,0.33389183021605007,0.5454545454545454,0.29752066115702475,0.5454545454545454,0.3850267379679144,0.7142857142857143,0.5102040816326531,0.7142857142857143,0.5952380952380952
5a0817eb2936,2025-08-17T22:39:08.332888,completed,,ar,question_type,LogisticRegression,classification,base,main,,0.004105567932128906,LogisticRegression,1.0,,,0.9545454545454546,,,0.9090909090909091,,,995,44,77,"{'experiment_id': '5a0817eb2936', 'timestamp': '2025-08-17T22:39:08.332888', 'config': {'experiment_name': 'logistic_question_type_ar_base', 'language': 'ar', 'task': 'question_type', 'model_type': 'logistic', 'task_type': 'classification', 'config': 'base', 'experiment_type': 'main', 'features_dir': '/vsc-hard-mounts/leuven-data/371/vsc37132/qtype-eval/data/tfidf_features', 'batch_name': 'tfidf_results_20250817_223817'}, 'status': 'completed', 'error': None, 'model_type': 'LogisticRegression', 'task_type': 'classification', 'train_time': 0.004105567932128906, 'train_metrics': {'primary_metric': 'accuracy', 'primary_value': 1.0, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'val_metrics': {'primary_metric': 'accuracy', 'primary_value': 0.9545454545454546, 'accuracy': 0.9545454545454546, 'precision': 0.9586776859504131, 'recall': 0.9545454545454546, 'f1': 0.9546395633352156}, 'test_metrics': {'primary_metric': 'accuracy', 'primary_value': 0.9090909090909091, 'accuracy': 0.9090909090909091, 'precision': 0.9222222222222222, 'recall': 0.9090909090909091, 'f1': 0.9115646258503401}, 'data_shapes': {'train': [995, 9199], 'val': [44, 9199], 'test': [77, 9199]}}",1.0,1.0,1.0,1.0,0.9545454545454546,0.9586776859504131,0.9545454545454546,0.9546395633352156,0.9090909090909091,0.9222222222222222,0.9090909090909091,0.9115646258503401
affe1ca125a9,2025-08-17T22:39:15.964931,completed,,ar,question_type,XGBClassifier,classification,base,main,,0.23093414306640625,XGBClassifier,1.0,,,1.0,,,0.974025974025974,,,995,44,77,"{'experiment_id': 'affe1ca125a9', 'timestamp': '2025-08-17T22:39:15.964931', 'config': {'experiment_name': 'xgboost_question_type_ar_base', 'language': 'ar', 'task': 'question_type', 'model_type': 'xgboost', 'task_type': 'classification', 'config': 'base', 'experiment_type': 'main', 'features_dir': '/vsc-hard-mounts/leuven-data/371/vsc37132/qtype-eval/data/tfidf_features', 'batch_name': 'tfidf_results_20250817_223817'}, 'status': 'completed', 'error': None, 'model_type': 'XGBClassifier', 'task_type': 'classification', 'train_time': 0.23093414306640625, 'train_metrics': {'primary_metric': 'accuracy', 'primary_value': 1.0, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'val_metrics': {'primary_metric': 'accuracy', 'primary_value': 1.0, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'test_metrics': {'primary_metric': 'accuracy', 'primary_value': 0.974025974025974, 'accuracy': 0.974025974025974, 'precision': 0.974937343358396, 'recall': 0.974025974025974, 'f1': 0.9736394557823128}, 'data_shapes': {'train': [995, 9199], 'val': [44, 9199], 'test': [77, 9199]}}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.974025974025974,0.974937343358396,0.974025974025974,0.9736394557823128
ae7c586b8c5e,2025-08-17T22:39:23.182350,completed,,ar,avg_verb_edges,DummyRegressor,regression,base,main,,0.005669832229614258,DummyRegressor,0.040816270150753765,0.040816270150753765,0.0,0.06568979181818181,0.06568979181818181,-0.14076339507493452,0.12839881974025974,0.12839881974025974,-0.8603162027734947,995,44,77,"{'experiment_id': 'ae7c586b8c5e', 'timestamp': '2025-08-17T22:39:23.182350', 'config': {'experiment_name': 'dummy_avg_verb_edges_ar_base', 'language': 'ar', 'task': 'avg_verb_edges', 'model_type': 'dummy', 'task_type': 'regression', 'config': 'base', 'experiment_type': 'main', 'features_dir': '/vsc-hard-mounts/leuven-data/371/vsc37132/qtype-eval/data/tfidf_features', 'batch_name': 'tfidf_results_20250817_223817'}, 'status': 'completed', 'error': None, 'model_type': 'DummyRegressor', 'task_type': 'regression', 'train_time': 0.005669832229614258, 'train_metrics': {'primary_metric': 'mse', 'primary_value': 0.040816270150753765, 'mse': 0.040816270150753765, 'r2': 0.0}, 'val_metrics': {'primary_metric': 'mse', 'primary_value': 0.06568979181818181, 'mse': 0.06568979181818181, 'r2': -0.14076339507493452}, 'test_metrics': {'primary_metric': 'mse', 'primary_value': 0.12839881974025974, 'mse': 0.12839881974025974, 'r2': -0.8603162027734947}, 'data_shapes': {'train': [995, 9199], 'val': [44, 9199], 'test': [77, 9199]}}",,,,,,,,,,,,
6f131464524a,2025-08-17T22:39:30.245776,completed,,ar,avg_verb_edges,Ridge,regression,base,main,,0.003676891326904297,Ridge,0.009041214337817828,0.009041214337817828,0.7784899427501741,0.03486452791360797,0.03486452791360797,0.3945455430808049,0.09178584284833734,0.09178584284833734,-0.3298462632397885,995,44,77,"{'experiment_id': '6f131464524a', 'timestamp': '2025-08-17T22:39:30.245776', 'config': {'experiment_name': 'ridge_avg_verb_edges_ar_base', 'language': 'ar', 'task': 'avg_verb_edges', 'model_type': 'ridge', 'task_type': 'regression', 'config': 'base', 'experiment_type': 'main', 'features_dir': '/vsc-hard-mounts/leuven-data/371/vsc37132/qtype-eval/data/tfidf_features', 'batch_name': 'tfidf_results_20250817_223817'}, 'status': 'completed', 'error': None, 'model_type': 'Ridge', 'task_type': 'regression', 'train_time': 0.003676891326904297, 'train_metrics': {'primary_metric': 'mse', 'primary_value': 0.009041214337817828, 'mse': 0.009041214337817828, 'r2': 0.7784899427501741}, 'val_metrics': {'primary_metric': 'mse', 'primary_value': 0.03486452791360797, 'mse': 0.03486452791360797, 'r2': 0.3945455430808049}, 'test_metrics': {'primary_metric': 'mse', 'primary_value': 0.09178584284833734, 'mse': 0.09178584284833734, 'r2': -0.3298462632397885}, 'data_shapes': {'train': [995, 9199], 'val': [44, 9199], 'test': [77, 9199]}}",,,,,,,,,,,,
6bbd603937d5,2025-08-17T22:39:37.656213,completed,,ar,avg_verb_edges,XGBRegressor,regression,base,main,,0.3580307960510254,XGBRegressor,0.007650343216033796,0.007650343216033796,0.8125663323038224,0.03068744868528755,0.03068744868528755,0.4670843493413678,0.10412016227671689,0.10412016227671689,-0.5085530015822106,995,44,77,"{'experiment_id': '6bbd603937d5', 'timestamp': '2025-08-17T22:39:37.656213', 'config': {'experiment_name': 'xgboost_avg_verb_edges_ar_base', 'language': 'ar', 'task': 'avg_verb_edges', 'model_type': 'xgboost', 'task_type': 'regression', 'config': 'base', 'experiment_type': 'main', 'features_dir': '/vsc-hard-mounts/leuven-data/371/vsc37132/qtype-eval/data/tfidf_features', 'batch_name': 'tfidf_results_20250817_223817'}, 'status': 'completed', 'error': None, 'model_type': 'XGBRegressor', 'task_type': 'regression', 'train_time': 0.3580307960510254, 'train_metrics': {'primary_metric': 'mse', 'primary_value': 0.007650343216033796, 'mse': 0.007650343216033796, 'r2': 0.8125663323038224}, 'val_metrics': {'primary_metric': 'mse', 'primary_value': 0.03068744868528755, 'mse': 0.03068744868528755, 'r2': 0.4670843493413678}, 'test_metrics': {'primary_metric': 'mse', 'primary_value': 0.10412016227671689, 'mse': 0.10412016227671689, 'r2': -0.5085530015822106}, 'data_shapes': {'train': [995, 9199], 'val': [44, 9199], 'test': [77, 9199]}}",,,,,,,,,,,,
9d1a0318db86,2025-08-17T22:39:44.571950,completed,,ar,lexical_density,DummyRegressor,regression,base,main,,0.0056569576263427734,DummyRegressor,0.04299051876063736,0.04299051876063736,0.0,0.037514663217434824,0.037514663217434824,-0.09112220389153047,0.06706814484309559,0.06706814484309559,-0.1557406485909567,995,44,77,"{'experiment_id': '9d1a0318db86', 'timestamp': '2025-08-17T22:39:44.571950', 'config': {'experiment_name': 'dummy_lexical_density_ar_base', 'language': 'ar', 'task': 'lexical_density', 'model_type': 'dummy', 'task_type': 'regression', 'config': 'base', 'experiment_type': 'main', 'features_dir': '/vsc-hard-mounts/leuven-data/371/vsc37132/qtype-eval/data/tfidf_features', 'batch_name': 'tfidf_results_20250817_223817'}, 'status': 'completed', 'error': None, 'model_type': 'DummyRegressor', 'task_type': 'regression', 'train_time': 0.0056569576263427734, 'train_metrics': {'primary_metric': 'mse', 'primary_value': 0.04299051876063736, 'mse': 0.04299051876063736, 'r2': 0.0}, 'val_metrics': {'primary_metric': 'mse', 'primary_value': 0.037514663217434824, 'mse': 0.037514663217434824, 'r2': -0.09112220389153047}, 'test_metrics': {'primary_metric': 'mse', 'primary_value': 0.06706814484309559, 'mse': 0.06706814484309559, 'r2': -0.1557406485909567}, 'data_shapes': {'train': [995, 9199], 'val': [44, 9199], 'test': [77, 9199]}}",,,,,,,,,,,,
