unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
en_content_0,What if Google Morphed Into GoogleOS?,english,content,-0.54,3.00,1.00,0.50,0.50,2.08,4.62,1.00
en_content_1,What if Google expanded on its search-engine (and now e-mail) wares into a full-fledged operating system?,english,content,2.66,5.00,1.00,0.67,0.61,3.18,4.62,1.00
en_content_2,"(And, by the way, is anybody else just a little nostalgic for the days when that was a good thing?)",english,content,1.13,3.00,1.00,0.00,0.45,3.26,3.93,2.00
en_content_3,why do you think i should get one of those?,english,content,-0.57,4.00,1.00,0.42,0.30,2.48,3.93,2.00
en_content_4,what do you think?,english,content,-0.34,1.00,0.00,0.33,0.25,1.79,0.00,1.00
en_content_5,what happened to you?,english,content,-1.01,2.00,0.00,0.33,0.25,1.79,0.00,1.00
en_content_6,why is enron blowing up?,english,content,-0.59,1.00,0.00,0.50,0.60,1.95,0.00,1.00
en_content_7,"We just did a deal for the rest of the month for 10,000/d at meter # 1552 QE-1 @ $4.355 .... can you let me and Robert Lloyd know what the sitara # is?",english,content,0.57,5.00,2.00,0.44,0.35,3.71,4.21,4.00
en_content_8,What's going on with the UBS weather position?,english,content,0.16,2.00,0.00,0.50,0.44,2.40,0.00,1.00
en_content_9,what's your opinion?,english,content,-0.34,1.00,0.00,0.00,0.25,1.79,0.00,1.00
en_content_10,"""What?"" asks Winston, ""isn't there any one here who can give me an example of a tragedy?""",english,content,-0.23,6.00,1.00,0.50,0.39,3.26,3.93,3.00
en_content_11,"And can you tell me WHY that would be a tragedy?""",english,content,0.56,2.00,1.00,0.67,0.27,2.64,3.93,2.00
en_content_12,What language is talked in Iguazu?,english,content,-0.94,2.00,0.00,0.50,0.50,2.08,0.00,1.00
en_content_13,What is this Miramar?,english,content,-0.68,2.00,0.00,0.00,0.25,1.79,0.00,1.00
en_content_14,Which wonderful contact of mine is thumbs upping all my best answers ^^?,english,content,0.07,3.00,0.00,0.67,0.46,2.71,0.00,1.00
en_content_15,What are some Major land forms in Ireland?,english,content,-0.20,3.00,0.00,0.00,0.50,2.30,0.00,1.00
en_content_16,how fare of kolkatta?,english,content,-1.01,2.00,0.00,0.00,0.75,1.79,0.00,0.00
en_content_17,Which do you prefer Crab or Shrimp?,english,content,-0.18,4.00,0.00,0.33,0.43,2.20,0.00,1.00
en_content_18,how much does it cost to join world resorts international?,english,content,-0.57,3.00,1.00,0.42,0.70,2.48,3.93,2.00
en_content_19,Who is artist Gunther Uecker;explain?,english,content,0.06,2.00,0.00,0.00,0.67,2.20,0.00,2.00
en_content_20,How much does it cost to buy a Big Mac meal in your area?,english,content,0.04,4.00,1.00,0.50,0.57,2.77,3.93,2.00
en_content_21,which burger chain do you think is as good as in n out or better in the chicago area besides five guys and smashburger?,english,content,0.53,4.00,1.00,0.33,0.54,3.26,3.93,2.00
en_content_22,Where to buy bodybuilding supplements in Delhi?,english,content,-0.51,2.00,0.00,0.67,0.71,2.20,0.00,1.00
en_content_23,"Besides eating good foods, what else do people do in Miramar?",english,content,-0.04,3.00,1.00,0.50,0.64,2.64,3.93,2.00
en_content_24,how do you mold silicone or rubber into a mermaid tail?,english,content,-0.04,3.00,0.00,0.67,0.55,2.56,0.00,1.00
en_content_25,"In the Episode ""So in Louvre Are We Two"", How many diffrent painting/scupltures are their and who are the artists?",english,content,0.04,4.00,0.00,0.67,0.50,3.30,0.00,2.00
en_content_26,What country are we talking about?,english,content,-0.14,2.00,0.00,0.33,0.33,2.08,0.00,1.00
en_content_27,How come no one bothers to ask any questions in this section?,english,content,-0.43,3.00,1.00,0.33,0.50,2.64,4.21,3.00
en_content_28,What do you think of Air France?,english,content,-0.34,2.00,0.00,0.50,0.43,2.20,0.00,1.00
en_content_29,What's the difference between Indian and African ringnecks and alexandrine parrots? ?,english,content,0.02,5.00,0.00,0.00,0.50,2.71,0.00,1.00
en_content_30,So does anyone know what the difference is?,english,content,-0.49,3.00,1.00,0.50,0.38,2.30,3.93,2.00
en_content_31,What is the best pos system I can buy in philadelphia pa?,english,content,-0.07,3.00,1.00,0.33,0.50,2.64,3.93,2.00
en_content_32,"What are ""good"" speakers?",english,content,0.32,2.00,0.00,0.00,0.50,2.08,0.00,1.00
en_content_33,NZers: Have you decided who you're going to vote for?,english,content,0.46,4.00,2.00,0.39,0.36,2.64,4.21,3.00
en_content_34,What would you call the device that hold up your photography backdrop?,english,content,-0.53,4.00,1.00,0.50,0.42,2.64,3.93,2.00
en_content_35,and where can I find them?,english,content,-0.14,1.00,0.00,0.67,0.33,2.08,0.00,1.00
en_content_36,"out of carnival, royal caribbean, and norweigan (cruises) which is the best and why?",english,content,1.04,3.00,0.00,0.00,0.50,3.00,0.00,1.00
en_content_37,what is a good slogan for an Argentinian restaurant?,english,content,-0.09,3.00,0.00,0.00,0.44,2.40,0.00,1.00
en_content_38,Which Compact System Camera Should I Get...?,english,content,-0.51,3.00,0.00,0.33,0.57,2.30,0.00,1.00
en_content_39,Also how much do compact system cameras drop on boxing day?,english,content,0.26,3.00,0.00,0.67,0.82,2.56,0.00,1.00
en_content_40,What are some cool ideas for making a postor usint the word MAD on a white paper in a weird or artsy way?,english,content,0.38,8.00,1.00,0.42,0.52,3.22,4.21,3.00
en_content_41,what is the fall of hanoi?,english,content,-0.74,3.00,0.00,0.00,0.33,2.08,0.00,1.00
en_content_42,can anyone tell me exactly what it is and what took place?,english,content,-0.53,3.00,1.00,0.50,0.33,2.64,3.93,3.00
en_content_43,Is that what you are referring to?,english,content,-0.68,2.00,1.00,0.33,0.14,2.20,3.93,2.00
en_content_44,for the past few days she has been shivering and wont eat but she could walk now her hid legs are not working but she is back to her self .. what should i do .?,english,content,1.27,4.00,0.00,0.53,0.37,3.64,0.00,6.00
en_content_45,How much would it cost for me to take me and three friends to Andiamos restaurant for dinner?,english,content,0.38,4.00,1.00,0.75,0.42,3.04,3.93,2.00
en_content_46,how many ounces in a pint in ireland?,english,content,-0.34,2.00,0.00,0.00,0.62,2.30,0.00,0.00
en_content_47,Women's rain coat...where can I find one?,english,content,-0.22,2.00,0.00,0.50,0.56,2.48,0.00,1.00
en_content_48,I have a Kodak Camera (10.2 Megapixels)... Kodak AF 5x OPTICAL LENS... how do I pause it while recording?,english,content,0.99,3.00,1.00,0.44,0.63,3.22,3.93,3.00
en_content_49,I have a Kodak Camera (10.2 Megapixels)... Kodak AF 5x OPTICAL LENS... how do I pause it while recording?,english,content,0.99,3.00,1.00,0.44,0.63,3.22,3.93,3.00
en_content_50,Do you get what's wrong with this picture?,english,content,-0.47,3.00,1.00,0.33,0.33,2.40,3.93,2.00
en_content_51,which is the best burger chain in the chicago metro area like for example burger king portillos white castle which one do like the best?,english,content,1.14,3.00,0.00,0.33,0.58,3.33,0.00,2.00
en_content_52,What should I do?,english,content,-0.34,1.00,0.00,0.33,0.25,1.79,0.00,1.00
en_content_53,What could it be?,english,content,-0.34,1.00,0.00,0.00,0.00,1.79,0.00,1.00
en_content_54,why are there two statues of David?,english,content,-0.84,3.00,0.00,0.50,0.57,2.20,0.00,1.00
en_content_55,Michelangelo made the marble one but why did he do another if Donatello had already made one?,english,content,0.34,3.00,1.00,0.67,0.53,2.94,3.93,3.00
en_content_56,"so im a little confused , why is there two statues of David?",english,content,-0.18,4.00,0.00,0.50,0.54,2.77,0.00,2.00
en_content_57,What's the best time to start a trip around the world?,english,content,-0.53,5.00,1.00,0.33,0.42,2.64,3.93,2.00
en_content_58,"But since in my country it lasts for minimum 6 years,and I want to go aground the world,what do you think,should I do it before or after medical school?",english,content,1.17,5.00,1.00,0.63,0.34,3.61,4.21,5.00
en_content_59,Which airlines should I look into and when should I buy my ticket?,english,content,0.16,3.00,0.00,0.58,0.38,2.71,0.00,2.00
en_content_60,What is the best place to get discounts for San Francisco restaurants?,english,content,-0.16,5.00,1.00,0.33,0.58,2.64,3.93,2.00
en_content_61,Where can I go on a first date (adults)?,english,content,0.41,2.00,0.00,0.67,0.56,2.56,0.00,1.00
en_content_62,"I decided to get a 150 gal aquarium, what can I fill it with?",english,content,0.43,4.00,1.00,0.44,0.36,2.83,3.93,3.00
en_content_63,"How do you run a cafe, with no refills on coffee-?",english,content,-0.24,3.00,0.00,0.67,0.45,2.71,0.00,1.00
