unique_id,text,language,type_original,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent,question_type
ar_polar_0,هل تتعمق الأزمة السياسية والاقتصادية في لبنان؟,ar,polar,-0.352,-0.966,0.0,0.2,0.625,2.303,0.0,-0.805,1
ar_polar_1,هل دفعت الخلافات العائلية الشيخ إلى الانتحار؟,ar,polar,-0.066,-2.966,0.0,0.8,0.714,2.197,0.0,-0.805,1
ar_polar_2,رئيس الجمعية موافق وقسم هام من الاعضاء رافضون والاختلاف محوره هذه المرة قضية التطبيع وتداعياتها المعقدة المحمولة على اجنحة متعددة بين السياسي والثقافي والفكري والعلمي مشدودة الى الاشكال الحارق الوحيد: هل نقبل باسرائيل ام نصمد على خط القطيعة؟,ar,polar,0.565,6.034,0.0,0.0,0.596,3.912,0.0,-1.805,1
ar_polar_3,هل حدد القانون عدد القضاة؟,ar,polar,-0.816,-2.966,0.0,0.6,0.8,2.079,0.0,-0.805,1
ar_polar_4,هل سيكون القضاة عراقيين؟,ar,polar,-0.566,-3.966,0.0,0.6,0.6,2.079,0.0,-0.805,1
ar_polar_5,هل تم تعيين القضاة؟,ar,polar,-1.066,-2.966,0.0,0.4,0.75,1.946,0.0,-0.805,1
ar_polar_6,هل ستكون أنت ضمن القضاة باعتبارك قاضياً وعضواً في مجلس الحكم؟,ar,polar,0.148,-1.966,0.0,1.0,0.467,2.89,0.0,-0.805,1
ar_polar_7,هل سيقف صدام حسين في قصف الاتهام؟,ar,polar,-0.352,-2.966,0.0,0.6,0.25,2.398,0.0,-0.805,1
ar_polar_8,هل تتوقع أن يحكم صدام حسين بالإعدام؟,ar,polar,-0.352,-1.966,0.0,0.4,0.25,2.398,0.0,-0.805,1
ar_polar_9,هل ستشارك الأمم المتحدة في محاكمات صدام حسين وبقية أعضاء النظام السابق؟,ar,polar,-0.604,1.034,0.0,0.6,0.571,2.833,0.0,-0.805,1
ar_polar_10,هل زرتم أنتم أو أي من القضاة صدام حسين أو أياً من أعضاء نظامه؟,ar,polar,-0.709,3.034,0.0,0.4,0.4,2.89,0.0,-0.805,1
ar_polar_11,ما دام لا خلاف بين أميركا وسوريا حول لبنان هل يُعقل أن يراهن مسيحيون على واشنطن؟,ar,polar,0.122,0.034,1.0,0.333,0.353,2.944,4.215,1.195,1
ar_polar_12,"هل هناك في هذه ""اللحظة"" مشروع تغييري آخر في المنطقة؟",ar,polar,1.268,-2.966,0.0,0.0,0.4,2.639,0.0,-1.805,1
ar_polar_13,"هل لا تزال ""الوطنية العربية"" قادرة على الخروج من رجعيتها الحالية كمجرد قوة دفاع عن اوضاع قائمة مفلسة... لكي يكون ممكنا مواجهة السياسة الاميركية بما هو قادر على كسر وحدانية مشروعها التغييري؟",ar,polar,0.22,3.034,1.0,0.8,0.472,3.761,3.932,0.195,1
ar_polar_14,"ولولا قوة شخصية الريحاني، وفرضه نفسه ""بطريركا"" على وسطه وبيئته، لكان غرق في تفاهات الناس العاديين الذين خشيهم جبران (وهو على حق) في رسالته الى ذلك الـ ""منصور"" صديقه (هل من يعرف من هو؟).",ar,polar,1.379,5.034,1.0,0.55,0.348,4.078,4.615,2.195,1
ar_polar_15,وأبدى شيخ الأزهر دهشته ممن يقولون إنه لا يؤمن بالرأي الآخر وقال: إن بابي مفتوح يدخله العامل والشحات وإنني قلت لمكتبي: لا تمنعوا أحداً من الدخول، وقال ساخراً من هؤلاء: هل هناك حرية رأي أكثر من ذلك؟,ar,polar,1.034,3.034,2.0,0.533,0.451,4.043,4.615,4.195,1
ar_polar_16,وقال للمذيع بلغة عتاب: هل فهمت كلامي ولا لسه؟,ar,polar,0.165,-0.966,1.0,0.6,0.429,2.833,4.615,0.195,1
ar_polar_17,هل تشهد سيناء حرباً جديدة بين مصر وإسرائيل؟,ar,polar,-0.566,0.034,0.0,0.4,0.667,2.398,0.0,-0.805,1
ar_polar_18,حتمالات الحرب ولكن هل يمكن أن تجازف إسرائيل بشن حرب ضد مصر برغم السلام الموقع بينهما ووجود سفارة إسرائيلية في القاهرة؟,ar,polar,0.094,1.034,1.0,0.6,0.577,3.401,4.615,0.195,1
ar_polar_19,"يقول بال: ""لحسن الحظ, قال أحدهم في سوني أستراليا: 'بالمناسبة, هل لاحظتم هذا؟'"".",ar,polar,0.668,-0.966,2.0,0.6,0.562,3.296,4.215,1.195,1
ar_polar_20,هل بات حقهم الإلهي بارتداء عباءة أفضل فريقٍ في العالم غير مضمون؟,ar,polar,1.934,1.034,0.0,0.6,0.643,2.773,0.0,-0.805,1
ar_polar_21,هل المسلسل الثاني ناجحٌ حتى الآن؟,ar,polar,-0.266,-2.966,0.0,0.0,0.667,2.079,0.0,-1.805,1
ar_polar_22,هل تقرع المنبه الخاص بك؟,ar,polar,-0.866,-0.966,0.0,0.4,0.5,2.079,0.0,-0.805,1
ar_polar_23,هل يسمح للعاملين بإبقاء أغراض دينية على مكاتبهم؟,ar,polar,-0.366,-1.966,0.0,0.6,0.545,2.565,0.0,-0.805,1
ar_content_0,ويعود الصائم، بعد افطاره الشهي، الى حيث تستقبله، في كل الفضائيات العربية، مشاهد المآسي التي تجري في فلسطين، والمجازر التي يرتكبها العدو الصهيوني ضد شعبنا العربي المسلم في هذه الارض العربية المغتصبة والمدماة... فماذا يفعل؟,ar,content,1.363,5.034,1.0,0.6,0.535,3.97,4.615,3.195,0
