unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,lexical_density,n_tokens,question_type,complexity_score
arabic_polar_485,هل كان مدرب منتخب مصر السابق حسن شحاتة لاعباً لكرة القدم؟,ar,1.012,1.175,1.0,0.583,2.639,1,6.409
arabic_content_20101,كم عدد مرات فوز نادي ليدز ببطولة الدوري الانجليزي؟,ar,-0.016,3.2,0.0,0.6,2.485,0,6.269
arabic_content_1911,كم يكلف إجراء إختبار الحمض النووى في النمسا ؟,ar,0.222,1.2,0.0,0.625,2.303,0,4.35
arabic_polar_39,هل يمكن نقل الوعي البشري إلى دماغ آلي ؟,ar,-0.125,1.175,0.0,0.667,2.398,1,4.115
arabic_content_9994,متى تحصلت تونس على أول كأس إفريقيا للأمم لكرة القدم؟,ar,0.317,2.2,1.0,0.692,2.708,0,6.917
arabic_content_12131,من هو أول إنسان؟,ar,-0.016,-1.8,0.0,0.5,1.792,0,0.476
arabic_polar_1804,هل المسجد الأقصى بناه النبي سليمان عليه سلام؟,ar,0.82,-0.825,0.0,0.4,2.485,1,2.88
arabic_polar_1329,هل تحليل السلوك التطبيقي يندرج في علم النفس التطبيقي؟,ar,0.125,0.175,0.0,0.778,2.398,1,3.476
arabic_polar_658,هل تعتبر آيسلندا دولة أوروبية ؟,ar,-0.375,-0.825,0.0,0.6,1.946,1,1.346
arabic_polar_1708,هل تعتبر اليهودية ديانة توحيدية؟,ar,-0.375,-0.825,0.0,0.8,1.946,1,1.546
arabic_content_10770,متى حدثت الحرب الفرنسية البروسية؟,ar,-0.099,-0.8,0.0,0.8,1.946,0,1.847
arabic_polar_946,هل تميز الحشرات الألوان؟,ar,-0.625,-0.825,0.0,0.75,1.792,1,1.092
arabic_content_16135,من تولى رئاسة العراق بعد صدام حسين؟,ar,0.984,-0.8,0.0,0.429,2.197,0,2.81
arabic_polar_42,هل تتغذى الأناكوندا على صغار التماسيح؟,ar,-0.225,-0.825,0.0,0.5,2.079,1,1.529
arabic_polar_348,هل الربو مرض وراثي ؟,ar,-0.291,-1.825,0.0,0.75,1.792,1,0.426
arabic_polar_1119,هل هناك مصادر حيوانية للفيتامين سي؟,ar,-0.225,0.175,0.0,0.5,2.079,1,2.529
arabic_content_5628,ماهي القارى التي تنتمي اليها نيوزيلاندا؟,ar,0.317,1.2,1.0,0.143,2.197,0,4.857
arabic_polar_2278,هل يطلق لقب الشياطين الحمر على نادي مانشستر يونايتد لكرة القدم؟,ar,0.012,0.175,0.0,0.583,2.639,1,3.409
arabic_content_14790,متى كانت بداية الرباعي ورواده؟,ar,-0.349,1.2,0.0,0.5,2.079,0,3.43
arabic_content_6385,اين ولد الشاعر عبد الله البردوني؟,ar,0.251,1.2,0.0,0.333,2.079,0,3.863
arabic_polar_2125,هل انتمى الشاعر مظفر النواب للحزب الشيوعي العراقي؟,ar,0.125,0.175,0.0,0.667,2.398,1,3.365
arabic_polar_1415,هل تم اغتيال الفنان محمد رافع في سوريا؟,ar,0.09,1.175,0.0,0.375,2.303,1,3.943
arabic_polar_2397,هل يعد حيوان الكسلان من فصيلة الدببة؟,ar,-0.125,-0.825,0.0,0.714,2.197,1,1.961
arabic_polar_1007,هل مجموعة فودافون بريطانية ؟,ar,-0.291,-0.825,0.0,0.5,1.792,1,1.176
arabic_polar_18,هل ينتقل مرض السكري بالوراثة؟,ar,-0.125,-0.825,0.0,0.8,1.946,1,1.796
arabic_polar_2094,هل التمييز الإستهلاكي يندرج في علم النفس التطبيقي؟,ar,-0.053,0.175,0.0,0.75,2.303,1,3.175
arabic_content_8059,من هو رئيس كوريا الشمالية ؟,ar,-0.099,-0.8,0.0,0.4,1.946,0,1.447
arabic_polar_1874,هل يمكن أن تكون هنالك أسباب وراثية وأسرية وراء لإصابة بمرض جنون العظمة؟,ar,0.09,2.175,1.0,0.667,2.833,1,6.765
arabic_content_14513,متى تم إستخدام السفينة البخارية لأول مرة؟,ar,0.079,0.2,0.0,0.75,2.303,0,3.332
arabic_content_5229,من هو زوج سيمون بوليفار ؟,ar,0.151,0.2,0.0,0.2,1.946,0,2.497
arabic_polar_1513,هل يجرّم التحرش في قطر؟,ar,-0.375,0.175,0.0,0.6,1.946,1,2.346
arabic_polar_32,هل وباكليتاكسيل هو دواء يساعد على التخفيف من الميلانوما؟,ar,0.0,1.175,1.0,0.444,2.398,1,5.017
arabic_content_7264,متى تم إبتكار الحاسوب المحمول ؟,ar,-0.349,0.2,0.0,0.8,1.946,0,2.597
arabic_polar_1499,هل يعتبرعلم النفس التطوري من علم الأحياء؟,ar,-0.125,-0.825,0.0,0.714,2.197,1,1.961
arabic_polar_2309,هل تعتبر الخلايا العصبية قابلة للتجدد؟,ar,-0.125,0.175,0.0,0.714,2.197,1,2.961
arabic_content_1631,ما هي متلازمة تيرنر؟,ar,-0.016,-0.8,0.0,0.25,1.792,0,1.226
arabic_content_2118,متى ولد المغني جيمس براون؟,ar,-0.099,0.2,0.0,0.4,1.946,0,2.447
arabic_polar_173,هل للقنب قابلية امتصاص جيدة؟,ar,-0.125,-0.825,0.0,0.8,1.946,1,1.796
arabic_content_4448,متى عاش هاري سانت جون بريدجر فيلبي؟,ar,0.936,-0.8,0.0,0.25,2.303,0,2.689
arabic_content_558,ما اللّغات الرسمية المعتمدة في كندا؟,ar,0.051,1.2,0.0,0.5,2.079,0,3.83
arabic_content_19203,كم كانت مساحة الإمبراطورية البابلية الحديثة؟,ar,-0.149,0.2,0.0,0.667,2.079,0,2.797
arabic_content_14768,من أول من مارس علم الفلك في عصر النهضة؟,ar,0.151,0.2,0.0,0.667,2.398,0,3.416
arabic_content_8615,كم يقدر عدد النساء الألمانيات اللآئ تم إغتصابهن إبان نهاية الحرب العالمية الثانية ؟,ar,0.151,3.2,1.0,0.769,2.708,0,7.828
arabic_content_18521,متى توفي يوشيهيرو توغاشي ؟,ar,-0.016,-0.8,0.0,0.25,1.792,0,1.226
arabic_content_12442,ما هو مرض شاركو-ماري-توث؟,ar,0.651,0.2,0.0,0.167,2.303,0,3.321
arabic_content_3336,ماهو التعداد السكاني في قطر في عام 2013 ؟,ar,0.651,0.2,0.0,0.5,2.303,0,3.654
arabic_content_9776,متى تأسست الوكالة العالمية لمكافحة المنشطات؟,ar,-0.016,0.2,0.0,0.714,2.197,0,3.095
arabic_polar_3,هل مصرهي دولة نامية؟,ar,-0.625,-0.825,0.0,0.75,1.792,1,1.092
arabic_content_15103,أين وقعت أول جريمة قتل في البشرية؟,ar,0.317,0.2,0.0,0.714,2.197,0,3.428
arabic_polar_27,هل كندا تساعد في تجنب الإحتباس الحراري ؟,ar,-0.339,1.175,0.0,0.5,2.303,1,3.639
arabic_content_16676,ما هي الدول المطلة على البحر الاحمر ؟,ar,-0.016,1.2,0.0,0.571,2.197,0,3.952
arabic_content_15959,ماهي أفضل جامعة في صنعاء ؟,ar,0.151,-0.8,0.0,0.6,1.946,0,1.897
arabic_content_18074,متي تم إكتشاف عنصر الكولومبيوم ؟,ar,-0.349,0.2,0.0,0.8,1.946,0,2.597
arabic_polar_725,هل الأخدر نوع من الأنواع القريبة من خطر الانقراض؟,ar,-0.375,2.175,0.0,0.667,2.398,1,4.865
arabic_content_18625,ما هو الانقسام الخلوي؟,ar,-0.016,-0.8,0.0,0.5,1.792,0,1.476
arabic_polar_216,هل شاركت بوتسوانا في كأس إفريقيا لكرة القدم؟,ar,-0.125,0.175,0.0,0.444,2.398,1,2.892
arabic_content_5275,متى كانت الحروب الصليبية؟,ar,-0.349,-0.8,0.0,0.75,1.792,0,1.393
arabic_content_14758,كم دامت ثورة السنوات الست في تاريخ إسبانيا المعاصر؟,ar,0.276,0.2,0.0,0.556,2.398,0,3.43
arabic_content_1644,متى إنتهت فترة حكم الخلفاء الراشدين ؟,ar,-0.349,1.2,0.0,0.833,2.079,0,3.763
arabic_polar_1052,هل قونية كانت عاصمة الدولة السلجوقية قبل الغزو المغولي؟,ar,0.125,-0.825,0.0,0.667,2.398,1,2.365
arabic_polar_1688,هل أسس أسامة بن لادن تنظيم طالبان؟,ar,0.042,-0.825,0.0,0.571,2.197,1,1.985
arabic_content_21470,متى عين إسماعيل ولد الشيخ أحمد مبعوث الأمم المتحدة الخاص إلى ليبيا؟,ar,0.196,2.2,0.0,0.417,2.639,0,5.452
arabic_polar_298,هل بحيرة طبريا ذات مياه مالحة؟,ar,-0.425,0.175,0.0,0.667,2.079,1,2.496
arabic_content_6786,متى تأسست القطيف ؟,ar,-0.349,-1.8,0.0,0.667,1.609,0,0.127
arabic_content_11742,متى تأسست صحيفة تشرين السورية؟,ar,-0.099,-0.8,0.0,0.8,1.946,0,1.847
arabic_content_5774,متى تحصلت أول إمرأة عربية على ميدالية أولمبية ؟,ar,0.151,1.2,1.0,0.778,2.398,0,5.527
arabic_polar_1598,هل الإناث أكثر عرضة من الرجال للإصابة بمرض هشاشة العظام؟,ar,0.075,1.175,0.0,0.727,2.565,1,4.542
arabic_content_4937,متى نشأ علم الصيدلة؟,ar,-0.349,-0.8,0.0,0.75,1.792,0,1.393
arabic_polar_855,هل النجم القطبي يتألف من نجم واحد؟,ar,0.042,-0.825,0.0,0.714,2.197,1,2.128
arabic_polar_455,هل تقع الكروموسومات في نواة الخلية ؟,ar,-0.225,-0.825,0.0,0.667,2.079,1,1.696
