unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens
ja_polar_0,そんなことで許されるのでしょうか?,japanese,polar,1.7142857142857142,2.0,0,3.0,0.25,9
ja_polar_1,疲労回復では他に譲るか?,japanese,polar,1.8571428571428572,2.0,0,3.0,0.5,9
ja_polar_2,"貴市および貴財団では,本申入にかかる事実が判っても,今後もAPTFによる使用を許可し続けるのですか。",japanese,polar,2.892857142857143,5.0,1.0,0.8,0.5172413793103449,32
ja_polar_3,そうですか。,japanese,polar,1.5,1.0,0,0,0.3333333333333333,4
ja_polar_4,では統一原理は使いますか?,japanese,polar,1.8571428571428572,2.0,0,3.0,0.375,9
ja_polar_5,ホームページもキレイな感じで女性向けなのかな?,japanese,polar,2.0,3.0,0,0,0.46153846153846156,14
ja_polar_6,自分たちが所属する組織の構造や社会的布置を知ることができるのではないでしょうか。,japanese,polar,2.4545454545454546,6.0,1.0,2.5,0.391304347826087,24
ja_polar_7,1議席で連立するか?,japanese,polar,1.4,2.0,0,2.0,0.3333333333333333,7
ja_polar_8,"“シャクブくん”や“池田小作”にいたっては,別のカルト団体のネタではないでしょうか。",japanese,polar,2.6315789473684212,3.0,1.0,0.0,0.45,26
ja_polar_9,警察は摘発しないのか?,japanese,polar,2.1666666666666665,2.0,0,3.0,0.2857142857142857,8
ja_polar_10,"では,霊芝は免疫システムの病気であるリューマチにもよいのでしょうか?",japanese,polar,2.9375,4.0,1.0,0.0,0.4117647058823529,19
ja_polar_11,天ざるではちょっと多いかな?,japanese,polar,1.7142857142857142,2.0,0,0,0.5,9
ja_polar_12,日本の高野山カフェや坊主バーは大丈夫でしょうか。,japanese,polar,1.7272727272727273,4.0,0,0,0.5833333333333334,13
ja_polar_13,一点突破したものがあなたにあるか。,japanese,polar,2.4,3.0,1.0,2.0,0.36363636363636365,12
ja_polar_14,こんなことできない?,japanese,polar,1.0,2.0,0,1.0,0.5,5
ja_polar_15,直径30cmはあるかな?,japanese,polar,1.5,2.0,0,3.0,0.42857142857142855,8
ja_polar_16,知恵とアイディアを結集させたこの「推し面メーカー」は、最初から公開予定だったのだろうか。,japanese,polar,2.5238095238095237,5.0,1.0,0.5,0.4090909090909091,26
ja_polar_17,仕事では孤独、プライベートは意外と華やかということか。,japanese,polar,2.1666666666666665,4.0,1.0,0.0,0.5384615384615384,15
ja_polar_18,"宗教であるから,詐欺罪には当たらない?",japanese,polar,2.4444444444444446,3.0,1.0,1.0,0.5,12
ja_polar_19,私を犯罪の構成要件を満たす刑法犯として告発するために110番通報したんじゃなかったのか?,japanese,polar,2.814814814814815,6.0,1.0,3.3333333333333335,0.32142857142857145,29
ja_polar_20,テレビの都市伝説芸人ですか?,japanese,polar,1.8333333333333333,2.0,0,0,0.5714285714285714,8
ja_polar_21,それで生き方、変わりますか?,japanese,polar,2.0,2.0,1.0,1.5,0.42857142857142855,9
ja_polar_22,今後もこの教団に所属していたいですか?,japanese,polar,2.6363636363636362,2.0,1.0,2.0,0.3333333333333333,13
ja_polar_23,調達先はUK拠点のDFJ EspritとフランスのSofinnovaだとか。,japanese,polar,2.0,3.0,0,0,0.5333333333333333,16
ja_polar_24,"きちんと説明し,堂々と市長として頑張ったらいいじゃないですか。",japanese,polar,2.8666666666666667,3.0,1.0,2.5,0.3125,18
ja_polar_25,一緒に話を聞かせてもらってもいいですか?,japanese,polar,2.8333333333333335,2.0,1.0,2.5,0.3076923076923077,14
ja_polar_26,思わずつまんでみたくなるぷっくり出たおなか。,japanese,polar,2.2222222222222223,3.0,1.6666666666666667,1.0,0.6,11
ja_polar_27,"彼が誠実であれ不誠実であれ,摂理を出た以上,摂理とからめる必要があるのでしょうか?",japanese,polar,2.772727272727273,5.0,1.0,1.6,0.5217391304347826,26
ja_polar_28,"元妻である人物にたいして失礼だし,子ども達への影響を考えないのだろうか?",japanese,polar,2.2,5.0,1.0,1.3333333333333333,0.42857142857142855,23
ja_polar_29,関西ではスタンダードな部類の味ではないでしょうか。,japanese,polar,2.4166666666666665,3.0,0,0,0.3076923076923077,14
ja_polar_30,そんな夏にぴったり?,japanese,polar,1.3333333333333333,2.0,0,0,0.5,5
ja_polar_31,眼科医だって患者だって、朝鮮人じゃないか。,japanese,polar,1.9090909090909092,3.0,2.0,0,0.4166666666666667,14
ja_polar_32,他だとkawara cafeくらいでしょうか?,japanese,polar,2.0,2.0,1.0,0,0.375,9
ja_polar_33,スポーツを頑張っている子供たちにランクをつけるような言動ができるのでしょうか?,japanese,polar,1.7777777777777777,6.0,1.0,1.75,0.47368421052631576,20
ja_polar_34,同日開会の都議会で、石原氏は施政方針演説に臨むが、一歩踏み込むか。,japanese,polar,2.2222222222222223,4.0,1.0,3.5,0.631578947368421,22
ja_polar_35,未来の英雄?,japanese,polar,1.5,2.0,0,0,0.6666666666666666,4
ja_polar_36,"やはり日本の企業とビジネスで関わる上で,空気を読むことは大事なのでしょうか。",japanese,polar,2.789473684210526,4.0,1.0,2.0,0.45,22
ja_polar_37,ではJBSには“統一教会”との認識はあったということか?,japanese,polar,3.125,4.0,1.0,2.0,0.4117647058823529,20
ja_polar_38,"特に個人ページに関して言えば,今後ユビキタス社会が進んでいけば,リアルの世界の行動タイムラインに集約されていくんじゃないでしょうか。",japanese,polar,3.1818181818181817,4.0,1.25,2.1666666666666665,0.5,37
ja_polar_39,値段の安さも含め、この周辺では一番では無いでしょうか。,japanese,polar,2.3333333333333335,4.0,1.0,1.0,0.3125,18
ja_polar_40,最高裁と大マスコミはネット表現の敵ですか?,japanese,polar,1.7272727272727273,3.0,0,0,0.5833333333333334,13
ja_polar_41,もっと良く撮れた写真はなかったのか?,japanese,polar,1.5555555555555556,4.0,1.0,1.0,0.5,11
ja_polar_42,玉置氏は信者ではないのか?,japanese,polar,2.125,2.0,0,0,0.3333333333333333,10
