sentence_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
1,هل عدم القيام بجهد جسماني ممكن ان يسبب الأرق؟,arabic,polar,2.0,4.0,1.0,2.0,0.7777777777777778,10,100.0,1.0
2,هل هندسة التقنيات الطبية تدرّس في جامعة فلوريدا؟,arabic,polar,1.8571428571428572,3.0,0,3.0,0.5,9,0.0,1.0
3,هل يمكن ان ينقل البعوض الامراض ؟,arabic,polar,1.4,2.0,1.0,2.0,0.5,7,50.0,2.0
4,هل مصرهي دولة نامية؟,arabic,polar,1.0,2.0,0,0,0.75,5,0,0.0
5,هل دمرت القنبلة الذرية مدينة هيروشيما؟,arabic,polar,1.4,2.0,0,2.0,0.6666666666666666,7,0.0,1.0
6,هل القرآن من حافظ علي اللغة العربية ليومنا هذا ؟ هل تعد النعامة أكبر الطيورحجماً في العالم؟,arabic,polar,2.375,4.0,0,4.0,0.5294117647058824,19,0,1.0
7,هل رسالة بطرس الثانية هي أحد أسفار العهد الجديد؟,arabic,polar,2.0,3.0,0,0,0.6666666666666666,10,0,0.0
8,هل يسبب نقص فيتامين K خلل في تخثر الدم؟,arabic,polar,1.5,3.0,0,2.0,0.5555555555555556,10,0.0,1.0
9,هل القصف الذرّي على هيروشيما وناجازاكي هو السبب الرئيسي لإنهاء الحرب العالمية الثانية؟,arabic,polar,2.230769230769231,3.0,0,0,0.5714285714285714,15,0,0.0
10,هل النساء أكثر عرضة للإصابة بهشاشة العظام؟,arabic,polar,1.5,2.0,0,0,0.5714285714285714,8,0,0.0
11,هل يمثل الأفارقة أكثر اللّاجئين في العالم؟,arabic,polar,1.5,3.0,0,2.0,0.7142857142857143,8,0.0,1.0
12,هل تعد الانجليزية من اللغات الرسمية في الهند؟,arabic,polar,1.5714285714285714,3.0,0,3.0,0.625,9,0.0,1.0
13,الستيرويد هو مركب عضوي؟,arabic,polar,1.3333333333333333,1.0,0,0,0.5,5,0,0.0
14,هل يجب فصل الدين عن السياسة ؟ هل يعد ثاني أكسيد الكبريت أحد مكونات الأمطار الحامضية؟,arabic,polar,1.7857142857142858,5.0,0,2.5,0.8,17,0.0,2.0
15,هل الحكم للأقليّة في النظام الديكتاتوري؟,arabic,polar,1.4,2.0,0,0,0.6666666666666666,7,0,0.0
16,هل توجد احصائية رسيمة لعدد اليهود في المغرب ؟ هل ينتقل مرض السكري بالوراثة؟,arabic,polar,2.4615384615384617,3.0,0,3.0,0.7142857142857143,16,0.0,2.0
17,هل تنتج شجرة السماء ثماراً ؟ هل الهيروغليفية لغة محكية؟,arabic,polar,2.125,2.0,0,3.0,0.7777777777777778,11,0.0,1.0
18,هل يهطل الثلج في جنوب أفريقيا؟,arabic,polar,1.4,2.0,0,2.0,0.5,7,0.0,1.0
