unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
finnish_content_0,Milloin Charles Fort syntyi?,finnish,content,0.25,2.00,0.00,0.33,1.00,1.79,0.00,1.00
finnish_content_1,Mitä on altruismi?,finnish,content,-0.25,1.00,0.00,0.00,0.33,1.61,0.00,1.00
finnish_content_2,Mikä oli Wilhelm Wagner viimeinen sävellys?,finnish,content,0.45,3.00,0.00,0.00,0.67,2.08,0.00,1.00
finnish_content_3,Missä Harz sijaitsee?,finnish,content,-0.25,1.00,0.00,0.33,0.67,1.61,0.00,1.00
finnish_content_4,Miten paljon täysikasvuinen ahma painaa?,finnish,content,-0.25,2.00,0.00,0.33,1.00,1.95,0.00,1.00
finnish_content_5,Milloin Leonid Brežnev kuoli?,finnish,content,0.25,2.00,0.00,0.33,1.00,1.79,0.00,1.00
finnish_content_6,Kuka valmentaa Kiekko-Espoon joukkuetta?,finnish,content,-0.41,2.00,0.00,0.33,0.75,1.79,0.00,1.00
finnish_content_7,Missä nykyisessä valtiossa sijaitsee muinainen Pohjois-Traakia?,finnish,content,-0.35,2.00,0.00,0.33,0.83,2.08,0.00,1.00
finnish_content_8,Milloin Hopeanuoli manga on aloitettu julkaisemaan?,finnish,content,0.25,3.00,1.00,0.33,0.83,2.08,3.93,2.00
finnish_content_9,Minä vuonna HMS Ramillies -laiva romutettiin?,finnish,content,0.05,3.00,0.00,0.33,0.83,2.08,0.00,1.00
finnish_content_10,Mikä oli ensimmäinen Turtles elokuva?,finnish,content,0.25,2.00,0.00,0.00,0.60,1.95,0.00,1.00
finnish_content_11,MInkä värisiä ovat safiirit?,finnish,content,-0.41,1.00,0.00,0.00,0.50,1.79,0.00,1.00
finnish_content_12,Kuka keksi releen?,finnish,content,-0.75,1.00,0.00,0.33,0.67,1.61,0.00,1.00
finnish_content_13,Kuka Frank Mir on?,finnish,content,-0.08,2.00,0.00,0.00,0.50,1.79,0.00,1.00
finnish_content_14,Mitä tarkoittaa puritaani?,finnish,content,-0.75,1.00,0.00,0.33,0.67,1.61,0.00,1.00
finnish_content_15,Montako kuuta Saturnuksella on?,finnish,content,-0.75,2.00,0.00,0.00,0.50,1.79,0.00,0.00
finnish_content_16,Mikä maa antoi naisille ensimmäiseksi äänioikeuden?,finnish,content,-0.15,2.00,0.00,0.67,0.83,2.08,0.00,1.00
finnish_content_17,Kuinka vanha on iäkkäin vietnamilainen vuonna 2018?,finnish,content,0.09,2.00,0.00,0.00,0.71,2.20,0.00,1.00
finnish_content_18,Mitkä kaksi vesistöä Lempäälän kanava yhdistää?,finnish,content,-0.15,2.00,0.00,0.33,0.67,2.08,0.00,1.00
finnish_content_19,Milloin luuttu keksittiin?,finnish,content,-0.25,1.00,1.00,0.17,1.00,1.61,3.93,2.00
finnish_content_20,Kuka on löytänyt parasympatomimeetit?,finnish,content,-0.41,1.00,0.00,0.33,0.50,1.79,0.00,1.00
finnish_content_21,Milloin Kiina on perustettu?,finnish,content,0.25,1.00,0.00,0.50,0.75,1.79,0.00,1.00
finnish_content_22,Mikä on Gibraltarin pinta-ala?,finnish,content,-0.08,2.00,0.00,0.00,0.50,1.79,0.00,1.00
finnish_content_23,Mikä on Antestorin kuunnelluin kappale?,finnish,content,0.00,3.00,0.00,0.17,0.60,1.95,0.00,2.00
finnish_content_24,Kuka perusti Valkeakosken naiskaartin?,finnish,content,-0.41,2.00,0.00,0.33,0.75,1.79,0.00,1.00
finnish_content_25,Milloin Nancy Spungen syntyi?,finnish,content,0.25,2.00,0.00,0.33,1.00,1.79,0.00,1.00
finnish_content_26,Mikä on Texasin väkiluku?,finnish,content,-0.08,2.00,0.00,0.00,0.50,1.79,0.00,1.00
finnish_content_27,Mikä on sähkömagneettinen kenttä?,finnish,content,-0.08,2.00,0.00,0.00,0.50,1.79,0.00,1.00
finnish_content_28,Kuka Ben Parker on Marvelin sarjakuvamaailmassa?,finnish,content,0.05,2.00,0.00,0.00,0.67,2.08,0.00,1.00
finnish_content_29,Mitä voivodi tarkoittaa?,finnish,content,-0.25,1.00,0.00,0.17,0.33,1.61,0.00,1.00
finnish_content_30,Miksi Venäjällä on ollut valtionpankin konttori Helsingissä?,finnish,content,0.59,2.00,0.00,0.00,0.71,2.20,0.00,0.00
finnish_content_31,Missä Jean Sibelius syntyi?,finnish,content,0.25,2.00,0.00,0.33,0.75,1.79,0.00,1.00
finnish_content_32,Montako perustaja jäsentä oli The Clash yhtyeessä?,finnish,content,0.25,3.00,0.00,0.00,0.71,2.20,0.00,1.00
finnish_content_33,Milloin pokemon sarja julkaistiin ensimmäisen kerran?,finnish,content,-0.15,2.00,0.00,0.50,1.00,2.08,0.00,1.00
finnish_content_34,Milloin Markian Popov syntyi?,finnish,content,0.25,2.00,0.00,0.33,1.00,1.79,0.00,1.00
finnish_content_35,Kuinka pitkä Ruhnu on?,finnish,content,-0.41,1.00,0.00,0.00,0.75,1.79,0.00,1.00
finnish_content_36,Minä vuonna DC Comics on perustettu?,finnish,content,0.25,2.00,0.00,0.50,0.67,2.08,0.00,1.00
finnish_content_37,Missä 2004 iso tsunami iski?,finnish,content,0.00,2.00,0.00,0.33,0.60,1.95,0.00,1.00
finnish_content_38,Kuinka pitkä Indus joki on?,finnish,content,-0.50,2.00,0.00,0.00,0.80,1.95,0.00,0.00
finnish_content_39,Mitä tiekirkko tarkoittaa?,finnish,content,-0.25,1.00,0.00,0.33,0.67,1.61,0.00,1.00
finnish_content_40,Minä vuonna Volkswagen Transporter T3 tuotiin markkinoille?,finnish,content,0.92,2.00,0.00,0.67,0.86,2.20,0.00,1.00
finnish_content_41,Miten kauan Ruben Oskar Auervaara ehti huijata?,finnish,content,0.25,2.00,1.00,0.25,1.00,2.20,3.93,2.00
finnish_content_42,Montako elokuvaa Alfred Hitchcock ohjasi?,finnish,content,0.00,2.00,0.00,0.33,0.80,1.95,0.00,1.00
finnish_content_43,Miten korkea on Eiffel-torni?,finnish,content,-0.41,1.00,0.00,0.00,0.75,1.79,0.00,1.00
finnish_content_44,Missä oli Suomen ensimmäinen kirkko?,finnish,content,0.00,3.00,0.00,0.00,0.60,1.95,0.00,1.00
finnish_content_45,Missä Yksi lensi yli käenpesän -elokuva on kuvattu?,finnish,content,0.25,3.00,0.00,0.42,0.50,2.30,0.00,2.00
finnish_content_46,Mikä kausi alkoi kivikauden loppuessa?,finnish,content,-0.50,2.00,1.00,0.25,0.80,1.95,3.93,2.00
finnish_content_47,Kuka perusti Suomen valtion?,finnish,content,-0.41,2.00,0.00,0.33,0.75,1.79,0.00,1.00
finnish_content_48,Kuinka pitkä Miekojärvi on?,finnish,content,-0.41,1.00,0.00,0.00,0.75,1.79,0.00,1.00
finnish_content_49,Milloin Suomen selviytyjät alkoi?,finnish,content,-0.08,2.00,0.00,0.33,1.00,1.79,0.00,1.00
finnish_content_50,Minä vuonna teollistuminen alkoi?,finnish,content,0.25,1.00,0.00,0.50,0.75,1.79,0.00,1.00
finnish_content_51,Mihin mineraalivillaa käytetään?,finnish,content,-0.25,1.00,0.00,0.33,0.67,1.61,0.00,1.00
finnish_content_52,Mikä oli Bysantin valtakunnan pääkaupunki?,finnish,content,0.00,3.00,0.00,0.00,0.60,1.95,0.00,1.00
finnish_content_53,Milloin ensimmäinen Super Mario peli julkaistiin?,finnish,content,0.65,3.00,0.00,0.33,1.00,2.08,0.00,1.00
finnish_content_54,Kuka omistaa Kampin?,finnish,content,-0.75,1.00,0.00,0.33,0.67,1.61,0.00,1.00
finnish_content_55,Milloin Kalevala on kirjoitettu?,finnish,content,0.25,1.00,0.00,0.50,0.75,1.79,0.00,1.00
finnish_content_56,Mitä Peter Benenson on opiskellut?,finnish,content,0.50,2.00,0.00,0.33,0.60,1.95,0.00,1.00
finnish_content_57,Mitä nimitystä käytettiin Suomessa aiemmin psykiatriasta?,finnish,content,-0.15,2.00,0.00,0.67,0.83,2.08,0.00,1.00
finnish_content_58,Milloin Isis erosi Al-Qaidasta?,finnish,content,-0.41,1.00,0.00,0.50,1.00,1.79,0.00,1.00
finnish_content_59,Mikä on Norjan korkein kohta?,finnish,content,0.00,3.00,0.00,0.00,0.60,1.95,0.00,1.00
finnish_content_60,Montako vakoojaa Suomessa on paljastunut ja tuomittu?,finnish,content,-0.08,2.00,0.00,0.33,0.57,2.20,0.00,2.00
finnish_content_61,Milloin Aistien valtakunta -elokuvan ensiesitys oli Suomen televisiossa Yle TV2-kanavalla?,finnish,content,0.25,4.00,0.00,0.00,0.90,2.48,0.00,1.00
finnish_content_62,Milloin Cosa Nostra on perustettu?,finnish,content,0.50,2.00,0.00,0.50,0.80,1.95,0.00,1.00
