unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
ru_content_0,"Как защитить их, себя казня, до жуткой храня поры?",russian,content,0.08,4.00,1.00,0.33,0.67,2.56,3.93,3.00
ru_content_1,"В какую яму вползу, как уж, что к вилам-серпам готов?",russian,content,0.56,4.00,0.00,0.33,0.55,2.77,0.00,1.00
ru_content_2,"Хоть понимаешь, сколько раз он нам отвечал?",russian,content,0.29,3.00,0.00,0.42,0.43,2.30,0.00,2.00
ru_content_3,Вы вообще в курсе какой сегодня день?,russian,content,-0.37,2.00,0.00,0.00,0.57,2.20,0.00,0.00
ru_content_4,Вы за кем?,russian,content,-0.54,1.00,0.00,0.00,0.00,1.61,0.00,0.00
ru_content_5,Потом опять дышит как лошадь: - Следующая я?,russian,content,-0.04,2.00,0.00,0.67,0.71,2.40,0.00,1.00
ru_content_6,А вы не знаете как через интернет талончик взять?,russian,content,0.33,3.00,1.00,0.58,0.56,2.40,3.93,2.00
ru_content_7,"13. Ну, и в завершении ой-не-нах-надо-баба: - Кто последний?",russian,content,2.50,3.00,1.00,0.00,0.42,3.09,4.62,1.00
ru_content_8,А она за кем?,russian,content,-0.04,1.00,0.00,0.00,0.00,1.79,0.00,0.00
ru_content_9,Как помочь ребенку заговорить?,russian,content,-0.71,1.00,1.00,0.25,1.00,1.79,3.93,2.00
ru_content_10,Но для чего ?,russian,content,-0.54,1.00,0.00,0.00,0.00,1.61,0.00,0.00
ru_content_11,"По привычке думают, что он красный?",russian,content,-0.24,2.00,0.00,0.33,0.50,2.20,0.00,1.00
ru_content_12,Как слетать куда-нибудь почти на халяву?,russian,content,-0.24,2.00,0.00,0.50,0.83,2.08,0.00,1.00
ru_content_13,— А что это?,russian,content,-1.04,1.00,0.00,0.00,0.00,1.79,0.00,0.00
ru_content_14,УТРОМ СМОТРЮ СМС ОТ МУЖА: — 1:22 ТЫ ГДЕ?,russian,content,-0.18,4.00,0.00,0.33,0.62,2.48,0.00,1.00
ru_content_15,"Что же, я буду самоутверждаться за счет своей жены?...",russian,content,0.21,3.00,0.00,0.50,0.33,2.48,0.00,1.00
ru_content_16,Какой мудак из Челябинска пообещал своей бабе звезду с неба?,russian,content,-0.26,3.00,0.00,0.50,0.60,2.48,0.00,1.00
ru_content_17,Сколько стоила разработка различных брендов?,russian,content,-0.79,3.00,0.00,0.33,0.80,1.95,0.00,1.00
ru_content_18,"А вы знаете, что это на самом деле?",russian,content,-0.33,3.00,0.00,0.33,0.25,2.40,0.00,1.00
ru_content_19,Как они могли с нами так поступить?,russian,content,-0.21,3.00,1.00,0.42,0.57,2.20,3.93,2.00
ru_content_20,- Кто последний?,russian,content,-1.04,1.00,0.00,0.00,0.50,1.61,0.00,0.00
ru_content_21,А где ваш грудничок?,russian,content,-0.04,1.00,0.00,0.00,0.50,1.79,0.00,0.00
ru_content_22,А вы а у вас что?,russian,content,-0.44,2.00,0.00,0.00,0.00,2.08,0.00,0.00
ru_content_23,А вы за кем?,russian,content,-0.04,1.00,0.00,0.00,0.00,1.79,0.00,0.00
ru_content_24,"А вы знали, что прямо сейчас за вами следят?",russian,content,0.58,3.00,1.00,0.50,0.33,2.48,3.93,2.00
ru_content_25,и самое главное для кого?,russian,content,-0.04,2.00,0.00,0.00,0.20,1.95,0.00,0.00
ru_content_26,Откуда на картине «Клятва Горациев» вскинутые руки?,russian,content,0.13,2.00,0.00,0.00,0.86,2.40,0.00,1.00
ru_content_27,— А вы откуда?,russian,content,-0.54,1.00,0.00,0.00,0.33,1.79,0.00,0.00
ru_content_28,— А какой у меня акцент?,russian,content,-0.29,2.00,0.00,0.00,0.20,2.08,0.00,0.00
ru_content_29,— 3:15 ТЫ ГДЕ БЛ@ДЬ...?,russian,content,-0.71,2.00,0.00,0.00,0.50,2.08,0.00,0.00
ru_content_30,"— А почему, чем больше пьешь — тем противоположный пол «красивше»?",russian,content,2.58,2.00,1.00,0.33,0.56,2.77,4.62,1.00
ru_content_31,А дома то чего?,russian,content,-0.71,1.00,0.00,0.00,0.25,1.79,0.00,0.00
ru_content_32,А сейчас что?,russian,content,-0.54,1.00,0.00,0.00,0.33,1.61,0.00,0.00
ru_content_33,Кому нужно? забираем на стену #эзотерика #аффимация #психология #мудрость #симорон #деньги #волшебство #чудо #чудеса #вера #исполнениежеланий #seemoron,russian,content,2.65,3.00,0.00,0.33,0.18,2.94,0.00,1.00
ru_content_34,"ты чего, сынок, задумал?",russian,content,1.63,1.00,0.00,0.50,0.50,2.08,0.00,1.00
ru_content_35,"и качнулись тени враз на краю бездонных глаз, как разбуженные девы пеньем пропасти внизу, вопрошающие: где мы? безучастную лозу.",russian,content,0.46,4.00,1.00,0.44,0.79,3.22,3.93,3.00
ru_content_36,"«Что, что, мусье?",russian,content,0.96,1.00,0.00,0.00,0.33,2.08,0.00,0.00
ru_content_37,"Ты почему бескрыл, старик, до сей поры?..",russian,content,0.29,2.00,0.00,0.00,0.57,2.40,0.00,0.00
ru_content_38,"Ты с ней, а я вчера с Петрухой, Да где же ведь?",russian,content,0.32,3.00,0.00,0.00,0.25,2.77,0.00,0.00
ru_content_39,"И что ж? ко мне вы, други, собралися, Весельчаков бывалых сыновья!",russian,content,1.16,5.00,0.00,0.50,0.45,2.83,0.00,1.00
ru_content_40,"За то ль, cкажи, мы любим cвет cвечи (cвечу cвеpканью люcтp пpедпочитаем), что жеpтвует cобой она в ночи, когда пpи ней о пpавде мы читаем?",russian,content,1.21,5.00,2.00,0.50,0.48,3.50,4.21,5.00
ru_content_41,"Иль оттого, что в памяти не стих Горячий ветр из дали многохрамной, Что гнал волну Нербадды, Ганга, Джамны Пред таборами праотцев моих?",russian,content,0.24,6.00,1.00,0.58,0.64,3.33,4.62,2.00
ru_content_42,"Что были в старину с тобою мы друзья, Что я на скромной лире, Бывало, воспевал талант изящный твой?",russian,content,1.43,3.00,0.00,0.42,0.44,3.14,0.00,3.00
ru_content_43,Что за кочевья чернеются Средь пылающих огней?,russian,content,-0.37,2.00,1.00,0.17,0.57,2.20,3.93,2.00
ru_content_44,"Почему не запимал ещё в свои ряды,как И.Христа?",russian,content,0.18,2.00,0.00,0.83,0.60,2.56,0.00,1.00
ru_content_45,За бабки то что не сделаешь?,russian,content,-0.24,2.00,0.00,0.50,0.33,2.08,0.00,1.00
ru_content_46,Как в этом караоке поют?,russian,content,-0.04,2.00,0.00,0.33,0.40,1.95,0.00,1.00
ru_content_47,"""Саша, Саша"", - кричит, - ""что же вы так проходите?",russian,content,2.53,3.00,0.00,0.42,0.75,2.89,0.00,2.00
ru_content_48,Что в мыслях у кота?,russian,content,-0.54,2.00,0.00,0.00,0.40,1.95,0.00,0.00
ru_content_49,"Так хочется взять и сказать, ""Ну почему же мы не вместе?""",russian,content,0.56,5.00,1.00,0.28,0.55,2.77,3.93,3.00
ru_content_50,"Любви хотел налить, да вот куда?",russian,content,0.16,2.00,1.00,0.25,0.67,2.20,3.93,2.00
ru_content_51,А что для вас настоящее счастье?,russian,content,0.56,2.00,0.00,0.00,0.33,2.08,0.00,0.00
ru_content_52,Куда можно пойти в Сочи?,russian,content,-0.54,2.00,1.00,0.25,0.80,1.95,3.93,2.00
ru_content_53,"Слышал когда-нибудь, как один человек отучал свою собаку бегать за машинами, по совету мудрого товарища?",russian,content,0.32,4.00,2.00,0.44,0.67,2.94,4.21,3.00
ru_content_54,"С ним думать не будешь: ""Что, там, за окном?""",russian,content,0.21,3.00,0.00,0.50,0.33,2.77,0.00,1.00
ru_content_55,"Кто эти доброжелатели, которые убедили вас, что без мяса вы будете хилы, голодны и вообще не проживете?",russian,content,0.71,4.00,2.00,0.50,0.41,3.09,4.62,3.00
ru_content_56,"Кто такой заботливый продумал для вас миф, что без натурального меха и кожи вы замерзнете и будете не элегантны?",russian,content,0.85,4.00,1.00,0.67,0.42,3.09,3.93,3.00
ru_content_57,Как твои дела?,russian,content,-0.54,2.00,0.00,0.00,0.67,1.61,0.00,0.00
ru_content_58,Кому дали 2 года колонии-поселения за призывы убивать москалей?,russian,content,-0.15,3.00,1.00,0.33,0.70,2.56,3.93,2.00
ru_content_59,ЗА ЧТО ВОЕВАЛИ НАШИ ДЕДЫ?,russian,content,-0.79,2.00,0.00,0.33,0.40,1.95,0.00,1.00
ru_content_60,"- Помните, я говорил, что всем нужны только деньги?",russian,content,-0.04,4.00,0.00,0.25,0.50,2.56,0.00,2.00
ru_content_61,"И после вы удивляетесь, почему она не хочет быть с вами?",russian,content,0.26,3.00,2.00,0.67,0.36,2.64,4.21,3.00
ru_content_62,- А что делать-то нужно?,russian,content,0.71,2.00,1.00,0.33,0.40,2.20,4.62,1.00
ru_content_63,Почему уничтожают Луганск и Донецк?,russian,content,-0.79,3.00,0.00,0.33,0.80,1.95,0.00,1.00
ru_content_64,— Что?— глухо в подушку отозвался он.,russian,content,0.36,3.00,0.00,0.50,0.50,2.40,0.00,1.00
ru_content_65,"Нервно отшвырнув на стул приготовленную было сбрую с чулками, она ринулась на кухню за подмогой:— Петя, Ирина, что мне с ним делать?",russian,content,1.20,4.00,1.00,0.54,0.55,3.37,4.21,4.00
ru_content_66,"Он уже протянул руку к выключателю, как вдруг, обернувшись, лукаво улыбнулся:— А что, Петрович, сдается мне, сегодня ты счастливо обделался?",russian,content,1.43,4.00,2.00,0.57,0.65,3.40,4.21,5.00
ru_content_67,"Тут удивился Петрович: ""Почему от волка?",russian,content,0.16,2.00,0.00,0.50,0.83,2.30,0.00,1.00
ru_content_68,— А тогда почему ты сидишь со старухами на лавочке?,russian,content,0.21,2.00,0.00,1.00,0.56,2.48,0.00,1.00
ru_content_69,— Что же делать?— Она была озадачена.,russian,content,0.16,2.00,0.00,0.33,0.33,2.40,0.00,2.00
ru_content_70,"Ведь из чего складывается игра?— из предмета и воображения; чем скромнее предмет, тем больше следует добавить воображения, только и всего.",russian,content,0.64,6.00,1.00,0.44,0.50,3.30,3.93,3.00
ru_content_71,Или мы вправду каждый год рождаемся заново и получаем какой-то новый шанс?,russian,content,0.23,3.00,0.00,0.67,0.58,2.64,0.00,2.00
ru_content_72,Зачем они идут на цыпочках?,russian,content,-0.54,2.00,0.00,0.50,0.60,1.95,0.00,1.00
ru_content_73,"— Я Петрович, а вы кто?",russian,content,-0.04,2.00,0.00,0.00,0.20,2.20,0.00,0.00
ru_content_74,— Что это?— перебил его Петрович.,russian,content,-0.04,2.00,0.00,0.33,0.40,2.30,0.00,1.00
ru_content_75,"— Генрих, почему ты не показывал мне его раньше?",russian,content,0.39,1.00,0.00,0.00,0.50,2.48,0.00,1.00
ru_content_76,"— Что?— спросил тот, не сбавляя шага.",russian,content,-0.04,3.00,1.00,0.33,0.50,2.48,4.62,2.00
ru_content_77,— Но почему ее никто не полечит?,russian,content,0.96,1.00,0.00,0.83,0.33,2.20,0.00,1.00
ru_content_78,— А где же ее хозяин?,russian,content,-0.54,2.00,0.00,0.00,0.40,2.08,0.00,0.00
ru_content_79,— Что?— Петино лицо показалось из-за журнала.,russian,content,-0.04,3.00,0.00,0.33,0.67,2.40,0.00,1.00
ru_content_80,"""Вроде той собаки, что мы видели с Петей?""",russian,content,-0.04,4.00,1.00,0.33,0.38,2.56,4.62,1.00
ru_content_81,"Когда это было ""недолго"" ждать кого-нибудь, кроме медсестры с уколом?",russian,content,0.07,5.00,1.00,0.17,0.50,2.71,3.93,2.00
ru_content_82,"Или она забыла, где его искать?",russian,content,-0.04,2.00,1.00,0.42,0.50,2.20,3.93,2.00
ru_content_83,"Где твоя мама?""...",russian,content,-0.54,2.00,0.00,0.00,0.67,1.95,0.00,0.00
ru_content_84,— А ты где была?,russian,content,-0.71,1.00,0.00,0.00,0.25,1.95,0.00,1.00
ru_content_85,"""Что с тобой случится?— сказали ему.",russian,content,-0.24,2.00,0.00,0.33,0.33,2.40,0.00,2.00
ru_content_86,Но почему он не слышал ее раньше?,russian,content,0.13,1.00,0.00,1.00,0.43,2.20,0.00,1.00
ru_content_87,Кого они хотели сбить с толку своим дурацким маскарадом?,russian,content,-0.04,3.00,1.00,0.42,0.56,2.40,3.93,2.00
ru_content_88,"Где они теперь, подлые заговорщики?",russian,content,-0.04,3.00,0.00,0.00,0.80,2.08,0.00,0.00
ru_content_89,"Услышав опять, что он взрослый, Петрович насторожился: что они затеяли на сей раз?",russian,content,0.54,3.00,1.00,0.44,0.54,2.89,3.93,3.00
ru_content_90,Что же они так скатились-то?,russian,content,-0.04,2.00,0.00,0.67,0.50,2.20,0.00,1.00
ru_content_91,Спросили у немца: что за мот у вас?,russian,content,0.39,3.00,0.00,0.33,0.38,2.40,0.00,1.00
ru_content_92,А что за мотик у тебя?,russian,content,0.16,2.00,0.00,0.00,0.17,2.08,0.00,0.00
ru_content_93,Как по подвеске ведет себя мот?,russian,content,-0.44,2.00,0.00,0.67,0.67,2.08,0.00,1.00
ru_content_94,И какая марка модель мотоцикла?,russian,content,-0.54,1.00,0.00,0.00,0.60,1.95,0.00,0.00
ru_content_95,"– Что вас связывало с генералом Влодзимирским?– первое, что спросил меня следователь Федотов.",russian,content,-0.13,4.00,1.00,0.58,0.58,2.89,3.93,2.00
