experiment_type,language,task,submetric,control_index,layer_index,metric,value
probe,ar,complexity,,,1,mse,0.0339929051697254
probe,ar,complexity,,1.0,1,mse,0.0721085667610168
probe,ar,complexity,,2.0,1,mse,0.0633872598409652
probe,ar,complexity,,3.0,1,mse,0.0766769498586654
probe,ar,complexity,,,2,mse,0.0333805195987224
probe,ar,complexity,,1.0,2,mse,0.0661258995532989
probe,ar,complexity,,2.0,2,mse,0.0640599057078361
probe,ar,complexity,,3.0,2,mse,0.0659149810671806
probe,ar,complexity,,,3,mse,0.0306976158171892
probe,ar,complexity,,1.0,3,mse,0.0690528079867363
probe,ar,complexity,,2.0,3,mse,0.0634197145700454
probe,ar,complexity,,3.0,3,mse,0.065080352127552
probe,ar,complexity,,,4,mse,0.0301980506628751
probe,ar,complexity,,1.0,4,mse,0.0687718391418457
probe,ar,complexity,,2.0,4,mse,0.0686962530016899
probe,ar,complexity,,3.0,4,mse,0.0626580119132995
probe,ar,complexity,,,5,mse,0.0347760245203971
probe,ar,complexity,,1.0,5,mse,0.0589479580521583
probe,ar,complexity,,2.0,5,mse,0.0585415959358215
probe,ar,complexity,,3.0,5,mse,0.0579464100301265
probe,ar,complexity,,,6,mse,0.0347245000302791
probe,ar,complexity,,1.0,6,mse,0.0561731457710266
probe,ar,complexity,,2.0,6,mse,0.05544925481081
probe,ar,complexity,,3.0,6,mse,0.0581730306148529
probe,ar,complexity,,,7,mse,0.0376363806426525
probe,ar,complexity,,1.0,7,mse,0.0558058246970176
probe,ar,complexity,,2.0,7,mse,0.0565455295145511
probe,ar,complexity,,3.0,7,mse,0.0606973767280578
probe,ar,complexity,,,8,mse,0.0317660756409168
probe,ar,complexity,,1.0,8,mse,0.0547249540686607
probe,ar,complexity,,2.0,8,mse,0.0562374182045459
probe,ar,complexity,,3.0,8,mse,0.0560819022357463
probe,ar,complexity,,,9,mse,0.0356102660298347
probe,ar,complexity,,1.0,9,mse,0.0607852861285209
probe,ar,complexity,,2.0,9,mse,0.0582519508898258
probe,ar,complexity,,3.0,9,mse,0.0593746677041053
probe,ar,complexity,,,10,mse,0.0420287624001503
probe,ar,complexity,,1.0,10,mse,0.0650877356529235
probe,ar,complexity,,2.0,10,mse,0.0720729902386665
probe,ar,complexity,,3.0,10,mse,0.0584994405508041
probe,ar,complexity,,,11,mse,0.0406727008521556
probe,ar,complexity,,1.0,11,mse,0.0665829181671142
probe,ar,complexity,,2.0,11,mse,0.0588073059916496
probe,ar,complexity,,3.0,11,mse,0.0581520982086658
probe,ar,complexity,,,12,mse,0.0573121793568134
probe,ar,complexity,,1.0,12,mse,0.0618091188371181
probe,ar,complexity,,2.0,12,mse,0.0598206892609596
probe,ar,complexity,,3.0,12,mse,0.0608618967235088
probe,ar,question_type,,,1,accuracy,0.8571428571428571
probe,ar,question_type,,1.0,1,accuracy,0.7142857142857143
probe,ar,question_type,,2.0,1,accuracy,0.7142857142857143
probe,ar,question_type,,3.0,1,accuracy,0.7142857142857143
probe,ar,question_type,,,2,accuracy,0.8571428571428571
probe,ar,question_type,,1.0,2,accuracy,0.7142857142857143
probe,ar,question_type,,2.0,2,accuracy,0.7142857142857143
probe,ar,question_type,,3.0,2,accuracy,0.7142857142857143
probe,ar,question_type,,,3,accuracy,0.7662337662337663
probe,ar,question_type,,1.0,3,accuracy,0.7142857142857143
probe,ar,question_type,,2.0,3,accuracy,0.7142857142857143
probe,ar,question_type,,3.0,3,accuracy,0.7142857142857143
probe,ar,question_type,,,4,accuracy,0.7792207792207793
probe,ar,question_type,,1.0,4,accuracy,0.7142857142857143
probe,ar,question_type,,2.0,4,accuracy,0.7142857142857143
probe,ar,question_type,,3.0,4,accuracy,0.7142857142857143
probe,ar,question_type,,,5,accuracy,0.7272727272727273
probe,ar,question_type,,1.0,5,accuracy,0.7142857142857143
probe,ar,question_type,,2.0,5,accuracy,0.7142857142857143
probe,ar,question_type,,3.0,5,accuracy,0.7142857142857143
probe,ar,question_type,,,6,accuracy,0.7662337662337663
probe,ar,question_type,,1.0,6,accuracy,0.7142857142857143
probe,ar,question_type,,2.0,6,accuracy,0.7142857142857143
probe,ar,question_type,,3.0,6,accuracy,0.7142857142857143
probe,ar,question_type,,,7,accuracy,0.7662337662337663
probe,ar,question_type,,1.0,7,accuracy,0.7142857142857143
probe,ar,question_type,,2.0,7,accuracy,0.7142857142857143
probe,ar,question_type,,3.0,7,accuracy,0.7142857142857143
probe,ar,question_type,,,8,accuracy,0.7662337662337663
probe,ar,question_type,,1.0,8,accuracy,0.7142857142857143
probe,ar,question_type,,2.0,8,accuracy,0.7142857142857143
probe,ar,question_type,,3.0,8,accuracy,0.7142857142857143
probe,ar,question_type,,,9,accuracy,0.7792207792207793
probe,ar,question_type,,1.0,9,accuracy,0.7142857142857143
probe,ar,question_type,,2.0,9,accuracy,0.7142857142857143
probe,ar,question_type,,3.0,9,accuracy,0.7142857142857143
probe,ar,question_type,,,10,accuracy,0.7142857142857143
probe,ar,question_type,,1.0,10,accuracy,0.7142857142857143
