unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score,lang_norm_complexity_score,complexity_score_destroyed
finnish_polar_360,Onko Tampereen rantatunneli Suomen pisin maantietunneli?,fi,0.228,0.25,0.0,0.0,0.75,0.231,1,1.459,0.360751124041259,0.3422375033060037
russian_content_3904,В каком фильме снимался Дзюн Фукуяма?,ru,0.045,0.125,0.0,0.333,0.667,0.073,0,1.243,0.25359116022099454,0.4091160220994476
finnish_content_10111,Kuka oli Mary Jane Watsonin lempisukulainen perheen ulkopuolelta?,fi,0.296,0.333,0.0,0.0,0.531,0.294,0,1.455,0.35969320285638723,0.4242263951335626
finnish_content_13146,Milloin HMS Castleton tilattiin?,fi,0.173,0.167,0.0,0.333,1.0,0.059,0,1.732,0.43295424490875434,0.2919862470245967
korean_content_4335,6.25전쟁 당시 남한 편에서 싸운 나라는 몇 개국인가?,ko,0.143,0.3,0.5,0.4,1.0,0.128,0,2.471,0.5104557640750671,0.2868632707774799
english_polar_885,Did Nvidia skip the 800 series for graphics cards?,en,0.286,0.25,0.0,0.6,0.389,0.462,1,1.986,0.5150214592274679,0.7702211951138989
russian_content_11675,Чем закончилась Сви́рско-Петрозаво́дская опера́ция?,ru,0.075,0.125,0.0,0.333,0.75,0.024,0,1.307,0.27127071823204424,0.250828729281768
indonesian_polar_23,Apakah Gunung Tandikat termasuk gunung api aktif ?,id,0.157,0.5,0.0,0.75,0.792,0.5,1,2.698,0.624780316344464,0.12975981253661395
russian_content_1776,Когда сделали в России первую пересадку сердца человеку?,ru,0.288,0.125,0.0,0.667,0.875,0.122,0,2.076,0.48370165745856364,0.5596685082872929
finnish_content_10035,Milloin Mosambik itsenäistyi?,fi,0.086,0.0,0.0,0.333,1.0,0.0,0,1.42,0.35043639248875963,0.4482941020893944
korean_content_6611,2018년 프랑스를 방문한 관광객은 몇 명인가?,ko,0.133,0.2,0.5,0.4,1.0,0.077,0,2.31,0.4672922252010725,0.5249329758713137
japanese_polar_1295,温井ダム建設時に地域住民から反対はあった？,ja,0.207,0.167,0.0,0.6,0.524,0.391,1,1.889,0.4993084370677731,0.28077455048409394
russian_content_418,Сколько национальностей живет в Париже на 2019 год?,ru,0.192,0.125,0.0,0.5,0.625,0.122,0,1.564,0.3422651933701658,0.5870165745856354
english_polar_929,Do you need to get wills notarized?,en,0.114,0.25,1.0,0.333,0.411,0.308,1,2.416,0.6569825024760647,0.4308352591614395
english_content_4048,When was Kulothunga Chola III born?,en,0.372,0.143,0.0,0.5,0.667,0.143,0,1.824,0.4615384615384616,0.3582040277319247
korean_content_836,가와카미 데쓰하루의 생일은 언제인가요?,ko,0.111,0.2,0.0,0.2,1.0,0.026,0,1.537,0.26005361930294907,0.3815013404825738
arabic_polar_2142,هل النمر العربي معرض للانقراض؟,ar,0.321,0.143,0.0,0.0,0.9,0.111,1,1.475,0.41602465331278893,0.31771956856702616
indonesian_content_3091,abad berapakah alat batu pertama kali diciptakan?,id,0.368,0.111,0.0,0.667,0.833,0.294,0,2.274,0.5005858230814294,0.3898652606912712
english_polar_1136,Is Starscream a Decepticon?,en,0.229,0.0,0.0,0.0,0.312,0.077,1,0.618,0.06338725652030373,0.4189501485638825
japanese_polar_1016,韓国光復軍は日本と戦った？,ja,0.108,0.167,0.0,0.4,0.464,0.217,1,1.357,0.3153526970954356,0.21196403872752417
finnish_content_800,Mikä on Kuninkaantien pituus?,fi,0.115,0.167,0.0,0.0,0.375,0.059,0,0.716,0.16424226395133565,0.26553821740280353
japanese_polar_1291,政治家将軍は戦闘に参加した？,ja,0.116,0.167,0.0,0.4,0.365,0.261,1,1.309,0.29875518672199164,0.5878284923928077
finnish_polar_15,Onko sopraano kaikista äänialoista korkein?,fi,0.237,0.25,0.0,0.0,0.4,0.154,1,1.041,0.25019836022216346,0.10711451996826238
indonesian_content_7557,Berapa lama Kerusuhan Poso terjadi?,id,0.276,0.111,0.0,0.5,1.0,0.118,0,2.005,0.42179261862917394,0.39191564147627417
indonesian_content_1709,Siapakah William Monahan?,id,0.061,0.111,0.0,0.0,0.333,0.059,0,0.565,0.0,0.27709431751611013
finnish_content_11018,Kuinka vanha soitin rumpu on?,fi,0.086,0.0,0.0,0.0,0.75,0.118,0,0.954,0.2271885744512034,0.6252314202591908
english_polar_363,Is seaweed a form of algae?,en,0.183,0.25,0.0,0.0,0.312,0.231,1,0.976,0.18157807857378674,0.7121162099702872
arabic_polar_74,هل يساعد الكالسيوم في تقوية العظام؟,ar,0.171,0.143,0.0,0.333,0.562,0.167,1,1.377,0.38582434514637903,0.04869029275808936
indonesian_content_8379,Kapan orangtua Kaisar Konstantinus Agung menikah?,id,0.258,0.333,0.0,0.333,1.0,0.176,0,2.101,0.44991212653778556,0.3362624487404804
japanese_polar_1011,ダットサンとは現在でも発売されていますか？,ja,0.299,0.167,0.5,0.4,0.082,0.478,1,1.925,0.5117565698478561,0.18845089903181184
indonesian_content_9204,Siapa nama orang tua Dion Momongan?,id,0.037,0.333,0.0,0.0,0.778,0.176,0,1.324,0.2223198594024605,0.11218512009373169
finnish_polar_339,Onko Coco Bandicoot Crashin sisko?,fi,0.285,0.25,0.0,0.0,0.7,0.154,1,1.389,0.3422375033060037,0.3094419465749802
japanese_content_5297,ヨーロッパ人がアメリカに到着したのはいつ,ja,0.266,0.286,0.5,0.667,0.258,0.35,0,2.326,0.650414937759336,0.3381742738589211
russian_content_11626,На скольких языках говорят в Хойа́не?,ru,0.09,0.125,0.0,0.333,0.667,0.073,0,1.288,0.26602209944751387,0.38618784530386746
english_polar_1063,Can China feed itself?,en,0.076,0.0,0.0,0.4,0.312,0.077,1,0.866,0.14526246285902938,0.44767249917464513
indonesian_polar_256,apakah Kerajaan Medang sebuah kerajaan Hindu?,id,0.127,0.25,0.0,0.0,0.524,0.4,1,1.3,0.21528998242530759,0.6397188049209139
english_content_3707,When did the UK adopt the metric system?,en,0.213,0.143,0.0,0.5,0.625,0.238,0,1.719,0.4268735556289205,0.6576427863981513
english_content_1868,How good was Mass Effect 2?,en,0.074,0.143,0.0,0.0,0.667,0.143,0,1.027,0.1984153185869924,0.2720369758996369
indonesian_polar_381,Apakah Material butiran berwujud zat cair?,id,0.197,0.25,0.0,0.75,0.762,0.4,1,2.359,0.5254833040421792,0.4762741652021089
english_content_2388,How does agnosia affect the brain?,en,0.149,0.143,0.0,0.5,0.667,0.143,0,1.601,0.38791680422581715,0.1432816110927699
english_polar_168,Do ambassadors have to speak the language?,en,0.114,0.5,0.5,0.4,0.411,0.308,1,2.233,0.5965665236051503,0.6817431495543084
russian_polar_1612,Алиенора Аквитанская была красивой женщиной?,ru,0.4,0.2,0.0,0.0,0.8,0.111,1,1.511,0.3276243093922652,0.4400552486187846
korean_polar_343,고려 시대 김부식은 고려 숙종대 문과를 나왔나요?,ko,0.145,0.25,0.0,0.5,1.0,0.089,1,1.984,0.37989276139410194,0.364343163538874
russian_content_6749,"Когда была основана команда ""Челси""?",ru,0.112,0.125,0.0,0.5,0.8,0.098,0,1.635,0.3618784530386741,0.45386740331491715
indonesian_content_6906,Siapakah yang membunuh Muhammad Nadir Shah?,id,0.061,0.333,0.5,0.333,0.429,0.235,0,1.892,0.3886936145284124,0.4071470415934388
english_polar_584,Is there really a yellow brick road in Kansas?,en,0.257,0.5,0.0,0.6,0.542,0.462,1,2.36,0.6384945526576428,0.43941895014856386
russian_content_12757,В какой стране продали больше всего компьютеров в 2018 году?,ru,0.249,0.25,0.0,0.5,0.5,0.171,0,1.669,0.3712707182320443,0.40552486187845305
finnish_polar_640,Onko sijoitusrahasto yksityinen?,fi,0.095,0.0,0.0,0.0,0.5,0.0,1,0.595,0.1322401481089659,0.21079079608569165
english_content_102,How old do you have to be in order to participate in Greco-Roman wrestling?,en,0.332,0.429,0.5,0.667,0.533,0.619,0,3.08,0.8761967646087818,0.3892373720699901
indonesian_content_11824,boleh kah sarjana Ilmu politik melanjutkan S2 manajemen bisnis?,id,0.207,0.222,0.0,0.5,0.704,0.353,0,1.986,0.4162272993555946,0.1751611013473931
russian_content_11233,В каком году был написан роман «Битва королей»?,ru,0.096,0.25,0.0,0.5,0.625,0.171,0,1.642,0.3638121546961326,0.20414364640883984
arabic_content_21285,أين انتشرت اللغات الكنعانية؟,ar,0.0,0.125,0.0,0.333,0.75,0.059,0,1.267,0.35192604006163325,0.5417565485362096
arabic_polar_2212,هل توجد طائفة يهودية في المغرب ؟,ar,0.257,0.143,0.0,0.5,0.75,0.167,1,1.817,0.5214175654853621,0.38058551617873654
finnish_polar_1915,Onko kungfutselaisuus uskonto?,fi,0.095,0.0,0.0,0.0,0.5,0.0,1,0.595,0.1322401481089659,0.46284051838138063
indonesian_content_7566,Siapa yang menandatangani Peraturan Presiden Republik Indonesia No. 10 tahun 1959?,id,0.184,0.444,0.5,0.333,0.515,0.529,0,2.507,0.5688342120679555,0.7252489748096075
english_polar_1023,Is ferrofluid unique?,en,0.114,0.0,0.0,0.0,0.542,0.0,1,0.656,0.07593265103994719,0.2357213601848795
finnish_content_1921,Mistä lajeista teräsmieskilpailu muodostuu?,fi,0.058,0.167,0.0,0.333,0.688,0.059,0,1.304,0.31975667812747954,0.20259190690293574
japanese_content_1648,マイケル・ムアコックの小説でメルニボネが登場する作品は何？,ja,0.12,0.571,0.5,0.333,0.474,0.55,0,2.548,0.7271784232365145,0.5314661134163208
korean_content_5123,로마는 왜 분열 되었는가?,ko,0.333,0.0,0.0,0.6,1.0,0.026,0,1.959,0.37319034852546923,0.2868632707774799
english_polar_1159,Did Emmylou Harris go to college?,en,0.183,0.25,0.0,0.4,0.542,0.231,1,1.605,0.3892373720699901,0.21294156487289537
indonesian_content_343,tahun berapakah Indonesia merdeka?,id,0.23,0.111,0.0,0.5,0.733,0.118,0,1.692,0.3301113063854716,0.3892794376098418
finnish_content_760,Kuka rakensi ensimmäisen massaspektrometrin?,fi,0.058,0.167,0.0,0.333,0.688,0.059,0,1.304,0.31975667812747954,0.329542449087543
russian_content_12738,В каком году кандидат искусствоведения А. И.,ru,0.075,0.25,0.0,0.0,0.714,0.098,0,1.136,0.22403314917127073,0.369060773480663
japanese_polar_352,ミュンスターに美術館はある？,ja,0.169,0.167,0.0,0.4,0.524,0.13,1,1.39,0.3267634854771783,0.10684647302904562
arabic_polar_663,هل لبنان دولة مسيحية؟,ar,0.143,0.0,0.0,0.0,0.844,0.056,1,1.042,0.28258859784283513,0.28258859784283513
korean_polar_231,초전도는 양자 역학적인 현상인가요?,ko,0.145,0.125,0.5,0.375,1.0,0.022,1,2.167,0.4289544235924933,0.5273458445040214
japanese_content_1952,アメリカ航空宇宙局の初代機関長は誰？,ja,0.148,0.286,0.0,0.0,0.789,0.35,0,1.573,0.3900414937759335,0.7320193637621023
