unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,question_type,complexity_score
en_polar_442,Can rabbits and chickens live together?,en,0.007,-0.034,0.0,0.333,0.667,1,0.973
en_polar_302,Do you have a tel # for Mike?,en,-0.479,-0.034,0.0,0.333,0.375,1,0.195
en_content_30,So does anyone know what the difference is?,en,-0.487,-0.199,1.0,0.5,0.375,0,1.189
en_polar_526,I personally provided the request on four separate occasions and they claim there is a glitch in their systems ?,en,0.14,1.966,1.0,0.556,0.474,1,4.136
en_content_19,Who is artist Gunther Uecker;explain?,en,0.056,-1.199,0.0,0.0,0.667,0,-0.476
en_content_94,Can you recommend where these companies each fit within the new organization?,en,0.02,-0.199,1.0,0.5,0.5,0,1.821
en_polar_459,In the United States?,en,-0.193,-2.034,0.0,0.0,0.5,1,-1.727
en_polar_472,and will these antibiotics help?,en,0.057,-1.034,0.0,0.333,0.4,1,-0.244
en_polar_455,Royal Caribbean or Carnival cruise?,en,-0.443,-0.034,0.0,0.0,0.8,1,0.323
en_content_275,"My Snake's meal is TOO big, what can I do?",en,-0.244,-0.199,0.0,0.333,0.455,0,0.345
en_content_132,Which do you prefer?,en,-0.344,-2.199,0.0,0.333,0.25,0,-1.96
en_content_335,"After you are elected in 2004, what will your memoirs say about you, what will the title be, and what will the main theme say?",en,0.864,-0.199,1.0,0.722,0.28,0,2.667
en_content_3,why do you think i should get one of those?,en,-0.566,0.801,1.0,0.417,0.3,0,1.952
en_polar_73,surprise romantic cheap date night san francisco?,en,-0.36,-1.034,0.0,0.0,1.0,1,-0.394
en_content_352,"Your father never listens to me, what can I say?",en,-0.122,-1.199,0.0,0.5,0.4,0,-0.421
en_polar_401,And do you get charged for it?,en,-0.027,-1.034,0.0,0.667,0.143,1,-0.251
en_polar_496,2. Have we kept up with partial water changes?,en,0.182,-1.034,0.0,0.667,0.444,1,0.259
en_content_37,what is a good slogan for an Argentinian restaurant?,en,-0.094,-0.199,0.0,0.0,0.444,0,0.151
en_polar_347,Is there any cure for mouse poison?,en,-0.36,-0.034,0.0,0.333,0.571,1,0.51
en_content_219,How do I take care of my newborn baby fish?,en,0.212,-1.199,0.0,0.667,0.6,0,0.28
en_polar_464,Should I just settle and book on line?,en,-0.622,-0.034,0.0,0.417,0.5,1,0.261
en_polar_341,my new OLYMPUS X940 DIGITAL CAMERA...?,en,0.807,-2.034,0.0,0.0,0.833,1,-0.394
en_content_116,What about 7:00 at the office or breakfast meeting at 7:00?,en,-0.244,0.801,0.0,0.0,0.273,0,0.83
en_content_61,Where can I go on a first date (adults)?,en,0.406,-1.199,0.0,0.667,0.556,0,0.43
en_content_38,Which Compact System Camera Should I Get...?,en,-0.511,-0.199,0.0,0.333,0.571,0,0.194
en_content_8,What's going on with the UBS weather position?,en,0.156,-1.199,0.0,0.5,0.444,0,-0.099
en_polar_84,Name of specific Hibachi restaurant in Chicago?,en,-0.027,-0.034,0.0,0.0,0.714,1,0.653
en_polar_453,"I've stayed in a more expensive hotel there, but you can check some travelguides or tripadvisor?",en,0.682,0.966,0.0,0.583,0.471,1,2.702
en_polar_478,Have I just fallen victim in a cultural trap?,en,0.057,-1.034,0.0,0.667,0.556,1,0.246
en_polar_481,*gasps* So I wouldn't make a good prostitute?,en,0.557,-1.034,0.0,0.417,0.556,1,0.496
en_polar_358,If you can?,en,-0.693,-2.034,0.0,0.0,0.0,1,-2.727
en_content_138,"Thinking about that, what's your title?",en,-0.344,-0.199,1.0,0.167,0.286,0,0.91
en_content_367,"What is the nearest National Park to Birmingham, UK?",en,-0.219,-0.199,0.0,0.0,0.556,0,0.138
en_polar_392,Do I need a protein skimmer or any other equipment?,en,-0.082,-0.034,0.0,0.333,0.5,1,0.717
en_content_395,whose better looking ?,en,-0.344,-2.199,0.0,0.0,0.5,0,-2.043
en_content_195,Blue Planet: Who's afraid of Big Bad Wolf?,en,-0.094,-0.199,0.0,0.0,0.667,0,0.374
en_polar_283,Do you think we need to do more?,en,-0.765,-0.034,2.0,0.333,0.5,1,2.034
en_content_14,Which wonderful contact of mine is thumbs upping all my best answers ^^?,en,0.073,-0.199,0.0,0.667,0.462,0,1.003
en_content_331,"Hmmm, she says, Then why are you calling here, we don't go past broad?",en,0.656,-0.199,0.0,0.222,0.467,0,1.146
en_content_270,what are some unique customs in ireland?,en,-0.511,-0.199,0.0,0.0,0.429,0,-0.281
en_content_24,how do you mold silicone or rubber into a mermaid tail?,en,-0.044,-0.199,0.0,0.667,0.545,0,0.969
en_content_305,When you feed him how many pinkies do you feed him?,en,-0.344,-0.199,1.0,0.583,0.545,0,1.585
en_content_177,What are you doing to the least of the people?,en,-0.344,-0.199,0.0,0.5,0.3,0,0.257
en_content_152,What do I need to do?,en,-0.144,-1.199,1.0,0.333,0.333,0,0.323
en_polar_323,Has the disaster affected the way other countries view the US?,en,-0.593,0.966,1.0,0.333,0.636,1,2.342
en_polar_497,3. Is there too much mineral in the water?,en,-0.318,-0.034,0.0,0.5,0.556,1,0.704
en_content_358,Is this how your clients usually evaluate these properties?,en,-0.594,-0.199,1.0,0.5,0.556,0,1.263
en_polar_96,That he didn’t show up for duty in Alabama?,en,0.14,-1.034,0.0,1.0,0.3,1,0.406
en_polar_278,Are we ready to execute?,en,-0.693,-1.034,1.0,0.167,0.4,1,-0.16
en_content_181,I say why not?,en,-1.011,-1.199,0.0,0.333,0.5,0,-1.377
en_content_251,What are good places to eat brunch at? ?,en,-0.63,-1.199,1.0,0.5,0.5,0,0.171
en_content_300,I have tryed to give him water but he wont take it.. what should i do?,en,0.781,-1.199,1.0,0.542,0.294,0,1.418
