experiment_id,language,task,layer_index,hidden_size,dropout,learning_rate,metric,value
1,ar,question_type,1,10,0.01,1e-4,loss,0.733720850944519
1,ar,question_type,1,10,0.01,1e-4,accuracy,0.7272727272727273
1,ar,question_type,1,10,0.01,1e-4,f1,0.676923076923077
1,ar,question_type,1,10,0.01,1e-4,precision,0.5116279069767442
1,ar,question_type,1,10,0.01,1e-4,recall,1.0
2,ar,question_type,1,10,0.01,2e-5,loss,0.7752621412277222
2,ar,question_type,1,10,0.01,2e-5,accuracy,0.6493506493506493
2,ar,question_type,1,10,0.01,2e-5,f1,0.5423728813559322
2,ar,question_type,1,10,0.01,2e-5,precision,0.43243243243243246
2,ar,question_type,1,10,0.01,2e-5,recall,0.7272727272727273
3,ar,question_type,1,10,0.1,1e-4,loss,0.7583544015884399
3,ar,question_type,1,10,0.1,1e-4,accuracy,0.7012987012987013
3,ar,question_type,1,10,0.1,1e-4,f1,0.6567164179104478
3,ar,question_type,1,10,0.1,1e-4,precision,0.4888888888888889
3,ar,question_type,1,10,0.1,1e-4,recall,1.0
4,ar,question_type,1,10,0.1,2e-5,loss,0.7639688968658447
4,ar,question_type,1,10,0.1,2e-5,accuracy,0.7402597402597403
4,ar,question_type,1,10,0.1,2e-5,f1,0.5454545454545454
4,ar,question_type,1,10,0.1,2e-5,precision,0.5454545454545454
4,ar,question_type,1,10,0.1,2e-5,recall,0.5454545454545454
5,ar,question_type,1,10,0.25,1e-4,loss,0.7767042756080628
5,ar,question_type,1,10,0.25,1e-4,accuracy,0.6623376623376623
5,ar,question_type,1,10,0.25,1e-4,f1,0.6176470588235294
5,ar,question_type,1,10,0.25,1e-4,precision,0.45652173913043476
5,ar,question_type,1,10,0.25,1e-4,recall,0.9545454545454546
6,ar,question_type,1,10,0.25,2e-5,loss,0.718420660495758
6,ar,question_type,1,10,0.25,2e-5,accuracy,0.7142857142857143
6,ar,question_type,1,10,0.25,2e-5,f1,0.0
6,ar,question_type,1,10,0.25,2e-5,precision,0.0
6,ar,question_type,1,10,0.25,2e-5,recall,0.0
7,ar,question_type,1,50,0.01,1e-4,loss,0.6989427089691163
7,ar,question_type,1,50,0.01,1e-4,accuracy,0.8051948051948052
7,ar,question_type,1,50,0.01,1e-4,f1,0.7368421052631579
7,ar,question_type,1,50,0.01,1e-4,precision,0.6
7,ar,question_type,1,50,0.01,1e-4,recall,0.9545454545454546
8,ar,question_type,1,50,0.01,2e-5,loss,0.763512122631073
8,ar,question_type,1,50,0.01,2e-5,accuracy,0.7272727272727273
8,ar,question_type,1,50,0.01,2e-5,f1,0.676923076923077
8,ar,question_type,1,50,0.01,2e-5,precision,0.5116279069767442
8,ar,question_type,1,50,0.01,2e-5,recall,1.0
9,ar,question_type,1,50,0.1,1e-4,loss,0.723057496547699
9,ar,question_type,1,50,0.1,1e-4,accuracy,0.7792207792207793
9,ar,question_type,1,50,0.1,1e-4,f1,0.7213114754098361
9,ar,question_type,1,50,0.1,1e-4,precision,0.5641025641025641
9,ar,question_type,1,50,0.1,1e-4,recall,1.0
10,ar,question_type,1,50,0.1,2e-5,loss,0.7740531086921691
10,ar,question_type,1,50,0.1,2e-5,accuracy,0.6623376623376623
10,ar,question_type,1,50,0.1,2e-5,f1,0.6176470588235294
10,ar,question_type,1,50,0.1,2e-5,precision,0.45652173913043476
10,ar,question_type,1,50,0.1,2e-5,recall,0.9545454545454546
11,ar,question_type,1,50,0.25,1e-4,loss,0.759835946559906
11,ar,question_type,1,50,0.25,1e-4,accuracy,0.7142857142857143
11,ar,question_type,1,50,0.25,1e-4,f1,0.6666666666666666
11,ar,question_type,1,50,0.25,1e-4,precision,0.5
11,ar,question_type,1,50,0.25,1e-4,recall,1.0
12,ar,question_type,1,50,0.25,2e-5,loss,0.7679092049598694
12,ar,question_type,1,50,0.25,2e-5,accuracy,0.7532467532467533
12,ar,question_type,1,50,0.25,2e-5,f1,0.6885245901639344
12,ar,question_type,1,50,0.25,2e-5,precision,0.5384615384615384
12,ar,question_type,1,50,0.25,2e-5,recall,0.9545454545454546
13,ar,question_type,1,96,0.01,1e-4,loss,0.7200944542884826
13,ar,question_type,1,96,0.01,1e-4,accuracy,0.7402597402597403
13,ar,question_type,1,96,0.01,1e-4,f1,0.6875
13,ar,question_type,1,96,0.01,1e-4,precision,0.5238095238095238
13,ar,question_type,1,96,0.01,1e-4,recall,1.0
14,ar,question_type,1,96,0.01,2e-5,loss,0.7774233937263488
14,ar,question_type,1,96,0.01,2e-5,accuracy,0.6753246753246753
14,ar,question_type,1,96,0.01,2e-5,f1,0.6376811594202898
14,ar,question_type,1,96,0.01,2e-5,precision,0.46808510638297873
14,ar,question_type,1,96,0.01,2e-5,recall,1.0
15,ar,question_type,1,96,0.1,1e-4,loss,0.7229929327964782
15,ar,question_type,1,96,0.1,1e-4,accuracy,0.7402597402597403
15,ar,question_type,1,96,0.1,1e-4,f1,0.6875
15,ar,question_type,1,96,0.1,1e-4,precision,0.5238095238095238
15,ar,question_type,1,96,0.1,1e-4,recall,1.0
16,ar,question_type,1,96,0.1,2e-5,loss,0.8168156385421753
16,ar,question_type,1,96,0.1,2e-5,accuracy,0.5844155844155844
16,ar,question_type,1,96,0.1,2e-5,f1,0.5789473684210527
16,ar,question_type,1,96,0.1,2e-5,precision,0.4074074074074074
16,ar,question_type,1,96,0.1,2e-5,recall,1.0
17,ar,question_type,1,96,0.25,1e-4,loss,0.7682417035102844
17,ar,question_type,1,96,0.25,1e-4,accuracy,0.6883116883116883
