unique_id,text,language,avg_links_len,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score
finnish_polar_360,Onko Tampereen rantatunneli Suomen pisin maantietunneli?,fi,0.407,0.0,0.0,0.833,2.079,1,3.319
russian_content_3904,В каком фильме снимался Дзюн Фукуяма?,ru,-0.378,0.0,0.333,0.667,2.079,0,2.701
finnish_content_10111,Kuka oli Mary Jane Watsonin lempisukulainen perheen ulkopuolelta?,fi,0.958,0.0,0.0,0.625,2.303,0,3.886
finnish_content_13146,Milloin HMS Castleton tilattiin?,fi,0.244,0.0,0.333,1.0,1.792,0,3.369
korean_content_4335,6.25전쟁 당시 남한 편에서 싸운 나라는 몇 개국인가?,ko,-0.044,1.0,0.4,1.0,2.303,0,4.659
english_polar_885,Did Nvidia skip the 800 series for graphics cards?,en,0.23,0.0,0.6,0.556,2.398,1,3.784
russian_content_11675,Чем закончилась Сви́рско-Петрозаво́дская опера́ция?,ru,-0.244,0.0,0.333,0.75,1.792,0,2.631
indonesian_polar_23,Apakah Gunung Tandikat termasuk gunung api aktif ?,id,-0.219,0.0,0.75,0.875,2.303,1,3.709
russian_content_1776,Когда сделали в России первую пересадку сердца человеку?,ru,0.708,0.0,0.667,0.875,2.303,0,4.553
finnish_content_10035,Milloin Mosambik itsenäistyi?,fi,-0.256,0.0,0.333,1.0,1.609,0,2.686
korean_content_6611,2018년 프랑스를 방문한 관광객은 몇 명인가?,ko,-0.073,1.0,0.4,1.0,2.079,0,4.406
japanese_polar_1295,温井ダム建設時に地域住民から反対はあった？,ja,0.233,0.0,0.6,0.667,2.639,1,4.139
russian_content_418,Сколько национальностей живет в Париже на 2019 год?,ru,0.279,0.0,0.5,0.625,2.303,0,3.707
english_polar_929,Do you need to get wills notarized?,en,-0.52,2.0,0.333,0.571,2.197,1,4.581
english_content_4048,When was Kulothunga Chola III born?,en,0.852,0.0,0.5,0.667,2.079,0,4.098
korean_content_836,가와카미 데쓰하루의 생일은 언제인가요?,ko,-0.14,0.0,0.2,1.0,1.792,0,2.852
arabic_polar_2142,هل النمر العربي معرض للانقراض؟,ar,0.125,0.0,0.0,0.8,1.946,1,2.871
indonesian_content_3091,abad berapakah alat batu pertama kali diciptakan?,id,1.364,0.0,0.667,0.875,2.303,0,5.209
english_polar_1136,Is Starscream a Decepticon?,en,-0.02,0.0,0.0,0.5,1.792,1,2.272
japanese_polar_1016,韓国光復軍は日本と戦った？,ja,-0.235,0.0,0.4,0.625,2.303,1,3.093
finnish_content_800,Mikä on Kuninkaantien pituus?,fi,-0.09,0.0,0.0,0.5,1.792,0,2.202
japanese_polar_1291,政治家将軍は戦闘に参加した？,ja,-0.199,0.0,0.4,0.556,2.398,1,3.155
finnish_polar_15,Onko sopraano kaikista äänialoista korkein?,fi,0.457,0.0,0.0,0.6,1.946,1,3.003
indonesian_content_7557,Berapa lama Kerusuhan Poso terjadi?,id,0.864,0.0,0.5,1.0,1.946,0,4.31
indonesian_content_1709,Siapakah William Monahan?,id,-0.303,0.0,0.0,0.5,1.792,0,1.989
finnish_content_11018,Kuinka vanha soitin rumpu on?,fi,-0.256,0.0,0.0,0.8,1.946,0,2.49
english_polar_363,Is seaweed a form of algae?,en,-0.22,0.0,0.0,0.5,2.079,1,2.359
arabic_polar_74,هل يساعد الكالسيوم في تقوية العظام؟,ar,-0.225,0.0,0.333,0.5,2.079,1,2.687
indonesian_content_8379,Kapan orangtua Kaisar Konstantinus Agung menikah?,id,0.764,0.0,0.333,1.0,2.079,0,4.176
japanese_polar_1011,ダットサンとは現在でも発売されていますか？,ja,0.666,1.0,0.4,0.357,2.773,1,5.196
indonesian_content_9204,Siapa nama orang tua Dion Momongan?,id,-0.436,0.0,0.0,0.833,2.079,0,2.476
finnish_polar_339,Onko Coco Bandicoot Crashin sisko?,fi,0.707,0.0,0.0,0.8,1.946,1,3.453
japanese_content_5297,ヨーロッパ人がアメリカに到着したのはいつ,ja,0.435,1.0,0.667,0.364,2.485,0,4.951
russian_content_11626,На скольких языках говорят в Хойа́не?,ru,-0.178,0.0,0.333,0.667,2.079,0,2.901
english_polar_1063,Can China feed itself?,en,-0.687,0.0,0.4,0.5,1.792,1,2.005
indonesian_polar_256,apakah Kerajaan Medang sebuah kerajaan Hindu?,id,-0.291,0.0,0.0,0.714,2.197,1,2.62
english_content_3707,When did the UK adopt the metric system?,en,-0.005,0.0,0.5,0.625,2.303,0,3.423
english_content_1868,How good was Mass Effect 2?,en,-0.748,0.0,0.0,0.667,2.079,0,1.998
indonesian_polar_381,Apakah Material butiran berwujud zat cair?,id,-0.124,0.0,0.75,0.857,2.197,1,3.68
english_content_2388,How does agnosia affect the brain?,en,-0.348,0.0,0.5,0.667,2.079,0,2.898
english_polar_168,Do ambassadors have to speak the language?,en,-0.52,1.0,0.4,0.571,2.197,1,3.648
russian_polar_1612,Алиенора Аквитанская была красивой женщиной?,ru,0.078,0.0,0.0,0.8,1.946,1,2.824
korean_polar_343,고려 시대 김부식은 고려 숙종대 문과를 나왔나요?,ko,-0.413,0.0,0.5,1.0,2.197,1,3.284
russian_content_6749,"Когда была основана команда ""Челси""?",ru,-0.078,0.0,0.5,0.8,2.197,0,3.419
indonesian_content_6906,Siapakah yang membunuh Muhammad Nadir Shah?,id,-0.303,1.0,0.333,0.571,2.197,0,3.798
english_polar_584,Is there really a yellow brick road in Kansas?,en,0.105,0.0,0.6,0.667,2.398,1,3.77
russian_content_12757,В какой стране продали больше всего компьютеров в 2018 году?,ru,0.533,0.0,0.5,0.5,2.485,0,4.018
finnish_polar_640,Onko sijoitusrahasto yksityinen?,fi,-0.293,0.0,0.0,0.667,1.609,1,1.983
english_content_102,How old do you have to be in order to participate in Greco-Roman wrestling?,en,0.638,1.0,0.667,0.533,2.89,0,5.728
indonesian_content_11824,boleh kah sarjana Ilmu politik melanjutkan S2 manajemen bisnis?,id,0.489,0.0,0.5,0.778,2.398,0,4.165
russian_content_11233,В каком году был написан роман «Битва королей»?,ru,-0.149,0.0,0.5,0.625,2.485,0,3.461
arabic_content_21285,أين انتشرت اللغات الكنعانية؟,ar,-0.349,0.0,0.333,0.75,1.792,0,2.526
arabic_polar_2212,هل توجد طائفة يهودية في المغرب ؟,ar,-0.025,0.0,0.5,0.667,2.079,1,3.221
finnish_polar_1915,Onko kungfutselaisuus uskonto?,fi,-0.293,0.0,0.0,0.667,1.609,1,1.983
indonesian_content_7566,Siapa yang menandatangani Peraturan Presiden Republik Indonesia No. 10 tahun 1959?,id,0.364,1.0,0.333,0.636,2.639,0,4.972
english_polar_1023,Is ferrofluid unique?,en,-0.52,0.0,0.0,0.667,1.609,1,1.756
finnish_content_1921,Mistä lajeista teräsmieskilpailu muodostuu?,fi,-0.423,0.0,0.333,0.75,1.792,0,2.452
japanese_content_1648,マイケル・ムアコックの小説でメルニボネが登場する作品は何？,ja,-0.196,1.0,0.333,0.5,2.773,0,4.41
korean_content_5123,로마는 왜 분열 되었는가?,ko,0.527,0.0,0.6,1.0,1.792,0,3.919
english_polar_1159,Did Emmylou Harris go to college?,en,-0.22,0.0,0.4,0.667,2.079,1,2.926
indonesian_content_343,tahun berapakah Indonesia merdeka?,id,0.614,0.0,0.5,0.8,1.946,0,3.86
finnish_content_760,Kuka rakensi ensimmäisen massaspektrometrin?,fi,-0.423,0.0,0.333,0.75,1.792,0,2.452
russian_content_12738,В каком году кандидат искусствоведения А. И.,ru,-0.244,0.0,0.0,0.714,2.197,0,2.667
japanese_polar_352,ミュンスターに美術館はある？,ja,0.051,0.0,0.4,0.667,2.079,1,3.197
arabic_polar_663,هل لبنان دولة مسيحية؟,ar,-0.291,0.0,0.0,0.75,1.792,1,2.251
korean_polar_231,초전도는 양자 역학적인 현상인가요?,ko,-0.413,1.0,0.375,1.0,1.792,1,3.754
japanese_content_1952,アメリカ航空宇宙局の初代機関長は誰？,ja,-0.076,0.0,0.0,0.7,2.485,0,3.109
arabic_polar_702,هل القسم الشرقي من الأناضول يسمى هضبة أرمينيا ؟,ar,0.661,0.0,0.5,0.625,2.303,1,4.089
japanese_content_168,自由民主党の初代党首は誰,ja,-0.394,0.0,0.0,0.625,2.197,0,2.428
arabic_polar_124,هل نوع الخط الفارسي هو أحد الخطوط العربية؟,ar,0.375,0.0,0.0,0.75,2.303,1,3.428
arabic_polar_1878,هل يعد جورج واشنطن من مؤسسي الولايات المتحدة الأميركية؟,ar,-0.125,0.0,0.5,0.556,2.398,1,3.329
indonesian_polar_67,Apakah Hirohito masih hidup?,id,0.209,0.0,0.75,0.8,1.946,1,3.705
