unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens
korean_content_0,2019년까지 월드컵은 몇개국에서 개최되었는가?,korean,content,2.0,1.0,0,3.0,1.0,5
korean_content_1,헤이안 시대는 몇 년간 지속되었는가?,korean,content,1.5,2.0,0,2.0,1.0,6
korean_content_2,로마 가톨릭교회 초대 추기경은 누구인가?,korean,content,1.25,3.0,0,1.0,1.0,6
korean_content_3,N2게임즈 창립일은 언제인가요?,korean,content,1.0,2.0,0,1.0,1.0,4
korean_content_4,한국에서 가장 많은 이용자를 기록한 웹사이트는 무엇인가?,korean,content,1.5,5.0,1.0,1.5,1.0,8
korean_content_5,예루살렘 도시 면적은 얼마나 되나요?,korean,content,1.25,3.0,0,2.0,1.0,6
korean_content_6,동아시아에는 총 몇개읜 ㅏ라가 있나요?,korean,content,1.75,3.0,0,2.0,1.0,6
korean_content_7,합성생물학을 연구하는 방식은 탑다운 외 다른 방식은 무엇이 있나요?,korean,content,1.75,4.0,1.0,2.0,0.8888888888888888,10
korean_content_8,철학적 자연주의의 이론이 처음으로 등장한 것은 언제인가요?,korean,content,1.1666666666666667,5.0,1.0,1.5,1.0,8
korean_content_9,이릉 대전에서 누가 패배했나요?,korean,content,1.3333333333333333,2.0,0,2.0,0.75,5
korean_content_10,Tcl은 무엇인가?,korean,content,1.0,1.0,0,1.0,1.0,3
korean_content_11,2019년 애완으로 가장 많이 키워지는 야생동물은 무엇인가?,korean,content,2.0,4.0,1.0,2.0,1.0,8
korean_content_12,세상에서 가장 반응성이 적은 금속은 무엇인가?,korean,content,1.6,3.0,0,1.0,1.0,7
korean_content_13,러시아의 국립 발레단은 몇개인가요?,korean,content,1.3333333333333333,2.0,0,1.0,1.0,5
korean_content_14,로비 윌리엄스는 언제 가수로 데뷔했나요?,korean,content,2.0,2.0,0,3.0,1.0,6
korean_content_15,성경은 몇 권으로 이루어져있는가?,korean,content,1.6666666666666667,2.0,0,2.0,1.0,5
korean_content_16,애드호크라시가 처음 조직된 해는 언제인가?,korean,content,1.25,3.0,1.0,1.5,1.0,6
korean_content_17,세상에서 가장 오랫동안 촬영된 사진은 무엇인가?,korean,content,1.6,3.0,1.0,2.0,1.0,7
korean_content_18,마릉 전투는 언제 종료되나요?,korean,content,1.3333333333333333,2.0,0,2.0,1.0,5
korean_content_19,1865년 이탈리아 대통령은 누구인가요?,korean,content,1.6666666666666667,2.0,0,2.0,1.0,5
korean_content_20,룩셈부르크의 수도는 어디인가?,korean,content,1.0,2.0,0,1.0,1.0,4
korean_content_21,미국이 건국된 년도는 언제인가?,korean,content,1.0,3.0,1.0,1.0,1.0,5
korean_content_22,제 1차 아편전쟁은 언제 일었났나요?,korean,content,1.25,3.0,0,2.0,1.0,6
korean_content_23,히틀러는 몇 년도에 사망했는가?,korean,content,1.6666666666666667,2.0,0,2.0,1.0,5
