unique_id,text,language,type_original,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent,question_type,complexity_score
id_polar_0,Dibintangi oleh sepuluh orang pemain utama yang didapat melalui proses audisi dan masa karantina dalam acara AAdC?,id,polar,-0.294,2.709,1.0,0.25,0.647,2.944,3.932,0.442,1,1.022
id_polar_1,``Apabila di kemudian hari anak-anakmu bertanya kepada ayahnya: Apakah arti batu-batu ini?,id,polar,0.089,0.709,0.0,0.833,0.467,2.944,0.0,-0.558,1,-0.329
id_polar_2,Dia terdiam lama kemudian berkata ``Apakah dia itu nabi yang pernah kamu katakan pada kami yang akan membenarkan kebenaran dakwah para nabi terdahulu?,id,polar,0.409,1.709,1.0,0.458,0.5,3.296,4.331,2.442,1,1.497
id_polar_3,yang merupakan drama sempalan dari drama televisi Megutan tte Mahou Tsukaeru no?,id,polar,-0.709,3.709,0.0,0.333,0.833,2.639,0.0,-0.558,1,0.004
id_polar_4,Apa nama lembaga yang akan melayani radio-radio ini?,id,polar,-0.268,-0.291,1.0,0.333,0.5,2.303,4.615,-0.558,1,0.266
id_polar_5,Akankah Mat Bunglon dan Dul Bajing berhasil mendapatkan patung yang diinginkannya?,id,polar,0.518,0.709,1.0,0.333,0.615,2.708,4.215,1.442,1,1.005
id_polar_6,Akankah kebahagian mereka terwujud?,id,polar,0.518,-1.291,0.0,0.333,0.4,1.946,0.0,-0.558,1,-0.922
id_polar_7,Mau tau rute yang dilalui angkutan di jakarta lewat SMS?,id,polar,-0.204,0.709,1.0,0.417,0.6,2.485,3.932,0.442,1,0.596
id_polar_8,"Ditanya mengenainya Minogue menjawab, ``Saya pikir BB adalah seorang simbol sex, bukan?",id,polar,0.351,0.709,1.0,0.389,0.538,2.89,4.215,2.442,1,1.193
id_polar_9,Apakah orang-orang yang telah engkau tangkap dengan pedang dan panahmu itu harus engkau bunuh?,id,polar,1.418,1.709,1.0,0.5,0.375,2.89,3.932,0.442,1,1.142
id_polar_10,Apa hubungannya dengan masa lalu Bunga?,id,polar,-0.315,-1.291,0.0,0.0,0.571,2.197,0.0,-1.558,1,-1.252
id_polar_11,Erlangga yang angkuh dan dicintai mati-matian oleh Janet?,id,polar,-0.411,0.709,0.0,0.5,0.625,2.303,0.0,-0.558,1,-0.578
id_polar_12,Dia lalu bertanya apakah negeri kita pernah berperang?,id,polar,0.518,-0.291,1.0,0.5,0.667,2.398,3.932,0.442,1,0.556
id_polar_13,"Apakah benar Neo adalah cinta sejatinya, seperti yang selama ini diyakininya?",id,polar,0.557,-1.291,1.0,0.833,0.5,2.833,3.932,0.442,1,0.488
id_polar_14,Apakah Anda ingin perilaku besar dari seseorang bernama Gaga?,id,polar,-0.538,0.709,1.0,0.333,0.6,2.485,3.932,0.442,1,0.518
id_polar_15,Apa aku harus memukul engkau sampai jatuh?,id,polar,-0.149,-1.291,1.0,0.417,0.429,2.197,3.932,0.442,1,0.142
id_polar_16,Akankah Ajeng dkk bisa melewati itu semua dan dapat terus menjalin persahabatan yang tulus?,id,polar,0.304,0.709,0.0,0.583,0.467,2.833,0.0,0.442,1,-0.168
id_polar_17,"Apakah Kevin cs bisa memenangkan pertaruhan dengan Mike, yaitu membawa seorang gadis cantik ke pesta dan mendapatkan hati Jessica kembali?",id,polar,0.268,0.709,1.0,0.458,0.667,3.178,3.932,2.442,1,1.215
id_polar_18,Apakah SAFIRA akan berhasil dengan segala rencana liciknya?,id,polar,-0.204,-0.291,0.0,0.5,0.5,2.485,0.0,-0.558,1,-0.717
id_polar_19,Begitu mudahkah semua itu berdiri di kompleks Regina Pacis?,id,polar,-0.426,-0.291,0.0,0.5,0.6,2.485,0.0,-0.558,1,-0.74
id_polar_20,"Mungkinkah, nama wuku Kuningan mengilhami atau mendorong pemberian nama bagi daerah ini?",id,polar,0.403,0.709,0.0,0.417,0.571,2.833,0.0,0.442,1,-0.161
id_polar_21,Apakah ada perkembangan perbaikan?,id,polar,-0.732,-1.291,0.0,0.333,0.8,1.946,0.0,-0.558,1,-1.083
id_polar_22,"Tetapi Abram berkata, ``Allah Tuhanku, aku mempunyai banyak kekayaan dan kepunyaan tetapi apakah gunanya bagiku?",id,polar,0.185,1.709,0.0,0.5,0.526,3.178,0.0,0.442,1,0.059
id_polar_23,Apakah MAT PEI sampai hati menolak cinta SAFINA yang begitu dekat dengan kedua orang tuanya?,id,polar,-0.107,2.709,0.0,0.667,0.647,2.944,0.0,-0.558,1,0.014
id_polar_24,"Dan meskipun aku mungkin tidak dimakamkan secara besar-besaran, haruskah aku mati di atas jalan?",id,polar,0.661,-0.291,1.0,0.75,0.333,2.89,3.932,0.442,1,0.66
id_polar_25,Bau apakah yang tercium olehku?,id,polar,-0.315,-0.291,1.0,0.333,0.429,2.197,4.615,-0.558,1,0.224
id_polar_26,Jenis / merk apa?,id,polar,0.518,-2.291,0.0,0.0,0.667,1.792,0.0,-1.558,1,-1.342
id_polar_27,"Mayumi Thyme adalah karakter pendukung dalam Shuffle!, dan salah satu tokoh utama dalam Really?",id,polar,0.249,-0.291,0.0,0.0,0.643,2.89,0.0,-0.558,1,-0.623
id_polar_28,"Titahnya, apakah kabar Juragan?",id,polar,0.018,-0.291,0.0,0.0,0.667,2.197,0.0,-1.558,1,-0.982
id_polar_29,- agak boros ga kira2?,id,polar,-0.649,-2.291,0.0,0.0,0.75,1.946,0.0,-1.558,1,-1.518
id_polar_30,Apakah Angkatan Balai Pustaka sama dengasn Angkatan Pujangga Baru?,id,polar,-0.204,-0.291,0.0,0.0,0.8,2.485,0.0,-1.558,1,-0.944
id_polar_31,"Ketika ditangkap dan dihadirkannya dalam tenda sang Sheik, dan ditanyai soal namanya, ia menjawabnya dengan kalimat: ``Namaku?",id,polar,0.768,1.709,1.0,0.542,0.476,3.296,3.932,2.442,1,1.501
id_polar_32,"Yesus membuat rujukan pada kalimat-kalimat dari Kitab Kejadian dalam khotbah-khotbahnya mengenai pernikahan di dalam Kitab Matius 19:4-6: ``Tidakkah kamu baca, bahwa Ia yang menciptakan manusia sejak semula menjadikan mereka laki-laki dan perempuan?",id,polar,0.564,3.709,1.0,0.5,0.529,3.664,3.932,2.442,1,1.912
id_polar_33,"Tuh, kamu lupa lagi kan? - Lihat, kamu lupa lagi bukan?",id,polar,0.685,-1.291,0.0,0.5,0.5,2.773,0.0,1.442,1,-0.306
id_polar_34,Apakah layak sesuatu disebut pengasih akan tetapi sebenarnya merupakan penghukum atau penyiksa?,id,polar,-0.065,0.709,0.0,0.667,0.615,2.708,0.0,0.442,1,-0.217
id_polar_35,Apakah yang akan terjadi selanjutnya?,id,polar,-0.182,-1.291,1.0,0.333,0.333,2.079,4.615,-0.558,1,0.02
id_polar_36,Gimana toh ini?,id,polar,-0.482,-2.291,0.0,0.0,0.0,1.609,0.0,-1.558,1,-1.691
id_polar_37,Berpalingkah engkau dari kepercayaan dan persembahanku?,id,polar,-0.268,-0.291,0.0,0.5,0.375,2.303,0.0,-0.558,1,-0.787
id_polar_38,"Seperti banyak kaum sofis lain, Hippias mencurahkan perhatian terhadap pertanyaan, ``Apakah yang menentukan tingkah laku manusia?",id,polar,-0.107,0.709,1.0,0.5,0.647,3.091,3.932,0.442,1,0.754
id_polar_39,Apakah yang engkau serukan kepada kami?,id,polar,-0.149,-0.291,1.0,0.5,0.143,2.197,4.615,-0.558,1,0.233
id_polar_40,``Apakah engkau memperhatikan hamba-Ku Ayub?,id,polar,-0.482,-1.291,0.0,0.5,0.571,2.303,0.0,-0.558,1,-0.98
id_polar_41,"-- 180.254.8.5 13 September 2012 14.35 (UTC) Setelah kita melihat dan membaca mengenai penjelasan hak serta jenis-jenisnya, sekarang apakah ada hak yang bersifat absolut?",id,polar,2.893,2.709,1.0,0.292,0.52,3.434,4.615,2.442,1,2.208
id_polar_42,"Apakah pada akhirnya, ia betul-betul bisa mengeluarkan tenaga dalamnya seperti yang diajarkan Sam selama ini?",id,polar,0.393,0.709,1.0,0.583,0.471,2.996,3.932,0.442,1,0.813
id_polar_43,"Martha menanyakan pada Edo, apa benar Kamila keguguran?",id,polar,-0.268,-0.291,0.0,0.5,0.75,2.398,0.0,-0.558,1,-0.698
id_polar_44,Sanggupkah ia mengalahkannya?,id,polar,-0.482,-1.291,0.0,0.5,0.4,1.946,0.0,-0.558,1,-1.08
id_polar_45,Apakah UMMI mampu menghadapi kerasnya hidup di usia senjanya ya yang datang silih berganti tanpa henti?,id,polar,0.351,1.709,3.0,0.375,0.579,3.045,4.331,2.442,1,1.816
id_polar_46,Setelah itu Rianti bermain dalam Inikah Rasanya Cinta?,id,polar,-0.315,-0.291,0.0,0.667,0.4,2.485,0.0,-0.558,1,-0.726
id_polar_47,"Atau, apa Engkau sudah membuang kami sama sekali?",id,polar,0.161,-1.291,0.0,0.833,0.5,2.398,0.0,-0.558,1,-0.791
id_polar_48,"Di hiruk pikuk kemajuan dan keblinger manusia, tidakkah mengucapkan serupa ini merupakan pengucapan yang sangat pedih dan dengan cara sederhana sekalipun, mengingatkan dan mendidik kita akan harga sebuah kehidupan?",id,polar,0.518,2.709,1.0,0.5,0.581,3.555,3.932,2.442,1,1.703
id_polar_49,apakah Alya akan sadar dari komanya?,id,polar,-0.149,-1.291,0.0,0.5,0.571,2.197,0.0,-0.558,1,-0.937
id_polar_50,Lalu kata Yusuf kepada mereka: ``Bukankah Allah yang menerangkan arti mimpi?,id,polar,0.018,0.709,1.0,0.5,0.5,2.773,3.932,0.442,1,0.69
id_polar_51,"Iye, wah foto kopian-ku, mau kalian lihat saya?",id,polar,0.018,-0.291,0.0,0.5,0.333,2.565,0.0,-0.558,1,-0.692
id_polar_52,Apakah gelasnya setengah kosong atau setengah penuh?,id,polar,-0.232,0.709,0.0,0.0,0.556,2.398,0.0,-1.558,1,-0.823
id_polar_53,Akankah Farah tetap bertahan hidup?,id,polar,0.218,-2.291,1.0,0.333,0.667,2.079,3.932,0.442,1,0.029
id_polar_54,Akan kah pertemanan sepihak ini dapat berubah menjadi Cinta?,id,polar,0.643,-1.291,1.0,0.333,0.556,2.398,4.215,1.442,1,0.58
id_polar_55,Apakah ia akan menjadi ``superstar''?,id,polar,0.018,-1.291,0.0,0.5,0.5,2.303,0.0,-0.558,1,-0.899
id_polar_56,Akankah dia masih mengingat Ibu dan kampung halamannya?,id,polar,-0.204,0.709,0.0,0.667,0.5,2.485,0.0,-0.558,1,-0.497
id_polar_57,Sejauh mana ilmu berupaya mencapai perubahan sosial?,id,polar,-0.815,-0.291,1.0,0.333,0.714,2.197,3.932,0.442,1,0.243
id_polar_58,``Apakah engkau juga orang Galilea?,id,polar,-0.582,-1.291,0.0,0.0,0.5,2.197,0.0,-1.558,1,-1.316
id_polar_59,``Untuk apakah kamu pergi ke padang gurun?,id,polar,-0.553,-1.291,0.0,0.5,0.375,2.398,0.0,-0.558,1,-1.012
id_polar_60,"Akankah RICHARD, MENEER JAIM dan MARCO terus melawan HERU?",id,polar,1.907,-0.291,0.0,0.667,0.7,2.565,0.0,-0.558,1,-0.234
id_polar_61,ADA apa dengan SMU Kharisma?,id,polar,-0.482,-1.291,0.0,0.333,0.6,1.946,0.0,-0.558,1,-1.073
id_polar_62,"Sekarang, apakah emulation itu legal dan tidak melanggar hukum?",id,polar,-0.093,-0.291,0.0,0.5,0.5,2.565,0.0,-0.558,1,-0.681
id_polar_63,"Berhasilkah Jessy, Jovan dan Titaz mengatasi masalah makhluk gaib tersebut?",id,polar,0.618,0.709,1.0,0.333,0.727,2.639,3.932,0.442,1,0.789
id_polar_64,Akankah pertemanan sepihak ini dapat berubah menjadi Cinta?,id,polar,0.518,-0.291,1.0,0.333,0.556,2.398,3.932,0.442,1,0.503
id_polar_65,Apakah kamu hendak menangkap jiwa orang yang termasuk umat - Ku dan membiarkan orang-orang lain hidup untuk kepentinganmu?,id,polar,-0.204,2.709,1.0,0.5,0.684,3.091,3.932,1.442,1,1.31
id_polar_66,Kalian berani menantangku bertaruhan?,id,polar,-0.482,-2.291,0.0,0.667,0.6,1.946,0.0,-0.558,1,-1.199
id_polar_67,"Singel Jepang TVXQ, ``Why?",id,polar,0.351,-1.291,0.0,0.0,1.0,2.079,0.0,-1.558,1,-1.067
id_polar_68,Lalu akankah Maya menyadari gadis yang selama ini selalu jadi bulan-bulanan kekesalannya adalah buah hatinya sendiri?,id,polar,0.462,2.709,1.0,0.75,0.474,3.045,4.215,1.442,1,1.488
id_polar_69,Apakah ini bukan rohmat dari Allah SWT?,id,polar,-0.268,-1.291,0.0,0.0,0.5,2.303,0.0,-1.558,1,-1.236
id_polar_70,Membatu oleh ayahnya?,id,polar,-0.649,-1.291,0.0,0.167,0.5,1.792,0.0,-0.558,1,-1.184
id_polar_71,"Apakah dia tetap akan mempertahankan hubungannya dengan Jelita, ataukah berubah membencinya?",id,polar,0.232,-0.291,0.0,0.667,0.467,2.89,0.0,0.442,1,-0.344
id_polar_72,Apakah letak kampung Silungkang di sana juga diapit oleh bukit-bukit yang tinggi dan apakah juga hadiah dari Kerajaan di Periangan Padang Pajang?,id,polar,0.409,1.709,0.0,0.833,0.667,3.258,0.0,-0.558,1,0.017
id_polar_73,Akankah cinta Melody pada Elang akan berakhir bahagia?,id,polar,1.143,-0.291,0.0,0.5,0.556,2.398,0.0,-0.558,1,-0.469
id_polar_74,Kira kira antara Tadase dan Ikuto mana yang Amu pilih?,id,polar,0.574,-0.291,1.0,0.5,0.6,2.485,4.615,-0.558,1,0.51
id_polar_75,Akankah Tamon akan kembali kepada Mika?,id,polar,0.185,-1.291,0.0,0.5,0.429,2.197,0.0,-0.558,1,-0.901
id_polar_76,"Sering orang bertanya, apa cita-cita Amek kelak?",id,polar,-0.482,-0.291,0.0,0.5,0.857,2.303,0.0,-0.558,1,-0.737
id_polar_77,"Rasul Paulus dalam Surat Roma melukiskannya demikian: ``Atau tidak tahukah kamu, bahwa kita semua yang telah dibaptis dalam Kristus, telah dibaptis dalam kematian-Nya?",id,polar,0.858,2.709,1.0,0.583,0.385,3.466,4.215,2.442,1,1.783
id_polar_78,"Beras merah dari Hailing akan memenuhi gudang-gudang kita dan begitu bendera-bendera kuning berkibar di tepi Sungai Yangtze, seberapa jauh restorasi akan berlangsung?",id,polar,0.78,0.709,1.0,0.5,0.682,3.219,4.215,1.442,1,1.195
id_polar_79,"Musa bertanya Samiri, seperti diceritakan dalam al-Quran: ``Berkata Musa; apakah yang mendorongmu berbuat demikian Samiri?",id,polar,0.418,0.709,1.0,0.375,0.688,3.091,4.215,2.442,1,1.269
id_polar_80,"``Jadi, apakah Ia berbicara secara rahasia kepada seorang perempuan, dan bukan kepada kita, dan bukan secara terbuka?",id,polar,1.136,-0.291,0.0,1.0,0.333,3.178,0.0,-0.558,1,-0.27
id_polar_81,"Bukankah (keadaannya) sama kami dengan anda, tidak bisa jauh dari air?",id,polar,0.351,-0.291,0.0,0.0,0.308,2.89,0.0,-1.558,1,-0.856
id_polar_82,"Prospero menghadapi dilema yang sulit, apakah ia akan menggunakan kemampuan sihirnya untuk memperoleh kembali jabatannya, atau ia akan membalas dendam kepada musuhnya?",id,polar,0.378,1.709,2.0,0.467,0.538,3.401,4.215,3.442,1,1.876
id_polar_83,Dan apakah sesungguhnya isi koper tersebut?,id,polar,-0.149,-1.291,0.0,0.0,0.571,2.197,0.0,-1.558,1,-1.22
id_polar_84,Apakah Azzam mampu menyelamatkan rumah tangga Husna dan Ilyas?,id,polar,-0.315,0.709,0.0,0.5,0.7,2.485,0.0,-0.558,1,-0.511
id_polar_85,"``Apakah (Tuhan) berniat mencegah kejahatan, namun tidak dapat?",id,polar,0.393,-1.291,1.0,0.389,0.667,2.708,3.932,1.442,1,0.57
id_polar_86,Apakah dapat ahlun nujum mengembalikan balik daripada jin itu?,id,polar,0.018,-1.291,0.0,0.667,0.6,2.485,0.0,-0.558,1,-0.814
id_polar_87,``Kang mas apa menangis?,id,polar,-0.315,-1.291,0.0,0.333,1.0,1.946,0.0,-0.558,1,-0.966
id_polar_88,Apakah kita semua harus berbalik dan semuanya mendengarkan dia?,id,polar,0.218,-0.291,0.0,0.5,0.273,2.565,0.0,0.442,1,-0.476
id_polar_89,Dan apakah akhirnya kehidupan bermurah hati pada mereka yang terus berusaha menggapai mimpi?,id,polar,0.018,0.709,2.0,0.556,0.643,2.773,4.215,1.442,1,1.159
id_polar_90,Apakah Nina rela menjual semua prinsip hidupnya demi popularitas di sekolah?,id,polar,-0.065,-0.291,0.0,0.833,0.615,2.708,0.0,-0.558,1,-0.564
id_polar_91,Dengan berbagai aktivitasnya itu apakah Anin juga berambisi pada jabatan politis?,id,polar,0.101,-1.291,0.0,0.833,0.538,2.708,0.0,-0.558,1,-0.736
id_polar_92,Apa nama yang mereka akan berikan pada hal malang yang tidak diinginkan?,id,polar,0.018,1.709,1.0,0.417,0.417,2.639,4.615,0.442,1,0.951
id_polar_93,"MBC berkata, ``Anda, apakah Anda akan menonton 'Home Alone' di rumah lagi?",id,polar,0.935,-0.291,1.0,0.583,0.615,2.996,3.932,0.442,1,0.754
id_polar_94,Mampukah Banua menggapai angan-angannya?,id,polar,-0.382,-1.291,0.0,0.5,0.5,2.079,0.0,-0.558,1,-1.017
id_polar_95,Kemunduran atau kemajuankah?,id,polar,-0.649,-1.291,0.0,0.0,0.5,1.792,0.0,-1.558,1,-1.405
id_polar_96,"Bukankah kami ini dianggapnya sebagai orang asing, karena ia telah menjual kami?",id,polar,0.326,-1.291,1.0,0.667,0.286,2.833,3.932,0.442,1,0.372
id_polar_97,Apakah Aku mau mereka meminta petunjuk dari pada-Ku?,id,polar,-0.538,0.709,1.0,0.417,0.5,2.485,3.932,0.442,1,0.514
id_polar_98,Apa urusan NU?,id,polar,-0.982,-1.291,0.0,0.0,0.667,1.609,0.0,-1.558,1,-1.471
id_polar_99,Apakah mereka berhasil melakukan 'reformasi sepak bola'?,id,polar,-0.553,0.709,1.0,0.333,0.75,2.485,3.932,0.442,1,0.543
id_polar_100,"Jika seorang mempunyai seratus ekor domba, dan seekor di antaranya sesat, tidakkah ia akan meninggalkan yang sembilan puluh sembilan ekor di pegunungan dan pergi mencari yang sesat itu?",id,polar,0.742,1.709,1.0,0.5,0.367,3.526,4.215,2.442,1,1.564
id_polar_101,Apakah Syilvie nantinya yang akan berjodoh dengan Syamsul ataukah Zizi yang bakal jadi pendamping hidupnya?,id,polar,0.783,1.709,1.0,0.75,0.556,2.996,4.615,0.442,1,1.252
id_polar_102,Jadi apa hubungan antara anarkisme dan sikap tanpa kekerasan?,id,polar,-0.607,1.709,0.0,0.0,0.444,2.398,0.0,-1.558,1,-0.726
