unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
id_polar_0,Dibintangi oleh sepuluh orang pemain utama yang didapat melalui proses audisi dan masa karantina dalam acara AAdC?,indonesian,polar,-0.41,6.00,1.00,0.25,0.65,2.94,3.93,2.00
id_polar_1,``Apabila di kemudian hari anak-anakmu bertanya kepada ayahnya: Apakah arti batu-batu ini?,indonesian,polar,-0.03,4.00,0.00,0.83,0.47,2.94,0.00,1.00
id_polar_2,Dia terdiam lama kemudian berkata ``Apakah dia itu nabi yang pernah kamu katakan pada kami yang akan membenarkan kebenaran dakwah para nabi terdahulu?,indonesian,polar,0.29,5.00,1.00,0.46,0.50,3.30,4.33,4.00
id_polar_3,yang merupakan drama sempalan dari drama televisi Megutan tte Mahou Tsukaeru no?,indonesian,polar,-0.83,7.00,0.00,0.33,0.83,2.64,0.00,1.00
id_polar_4,Apa nama lembaga yang akan melayani radio-radio ini?,indonesian,polar,-0.38,3.00,1.00,0.33,0.50,2.30,4.62,1.00
id_polar_5,Akankah Mat Bunglon dan Dul Bajing berhasil mendapatkan patung yang diinginkannya?,indonesian,polar,0.40,4.00,1.00,0.33,0.62,2.71,4.21,3.00
id_polar_6,Akankah kebahagian mereka terwujud?,indonesian,polar,0.40,2.00,0.00,0.33,0.40,1.95,0.00,1.00
id_polar_7,Mau tau rute yang dilalui angkutan di jakarta lewat SMS?,indonesian,polar,-0.32,4.00,1.00,0.42,0.60,2.48,3.93,2.00
id_polar_8,"Ditanya mengenainya Minogue menjawab, ``Saya pikir BB adalah seorang simbol sex, bukan?",indonesian,polar,0.24,4.00,1.00,0.39,0.54,2.89,4.21,4.00
id_polar_9,Apakah orang-orang yang telah engkau tangkap dengan pedang dan panahmu itu harus engkau bunuh?,indonesian,polar,1.30,5.00,1.00,0.50,0.38,2.89,3.93,2.00
id_polar_10,Apa hubungannya dengan masa lalu Bunga?,indonesian,polar,-0.43,2.00,0.00,0.00,0.57,2.20,0.00,0.00
id_polar_11,Erlangga yang angkuh dan dicintai mati-matian oleh Janet?,indonesian,polar,-0.53,4.00,0.00,0.50,0.62,2.30,0.00,1.00
id_polar_12,Dia lalu bertanya apakah negeri kita pernah berperang?,indonesian,polar,0.40,3.00,1.00,0.50,0.67,2.40,3.93,2.00
id_polar_13,"Apakah benar Neo adalah cinta sejatinya, seperti yang selama ini diyakininya?",indonesian,polar,0.44,2.00,1.00,0.83,0.50,2.83,3.93,2.00
id_polar_14,Apakah Anda ingin perilaku besar dari seseorang bernama Gaga?,indonesian,polar,-0.65,4.00,1.00,0.33,0.60,2.48,3.93,2.00
id_polar_15,Apa aku harus memukul engkau sampai jatuh?,indonesian,polar,-0.26,2.00,1.00,0.42,0.43,2.20,3.93,2.00
id_polar_16,Akankah Ajeng dkk bisa melewati itu semua dan dapat terus menjalin persahabatan yang tulus?,indonesian,polar,0.19,4.00,0.00,0.58,0.47,2.83,0.00,2.00
id_polar_17,"Apakah Kevin cs bisa memenangkan pertaruhan dengan Mike, yaitu membawa seorang gadis cantik ke pesta dan mendapatkan hati Jessica kembali?",indonesian,polar,0.15,4.00,1.00,0.46,0.67,3.18,3.93,4.00
id_polar_18,Apakah SAFIRA akan berhasil dengan segala rencana liciknya?,indonesian,polar,-0.32,3.00,0.00,0.50,0.50,2.48,0.00,1.00
