unique_id,text,language,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score
korean_content_10491,2018년 사법고시에 합격한 사람은 몇 명인가?,ko,1.184,1.0,0.3,1.0,2.079,0,5.563
korean_content_7488,누가 첫번째 활을 발명했는가?,ko,-0.816,0.0,0.4,0.75,1.792,0,2.126
korean_polar_342,양반은 보통 유학을 업(業)으로 하고 아무 제한 없이 관료로 승진할 수 있나요?,ko,0.864,1.0,0.5,0.75,2.708,1,5.822
korean_polar_25,DNA는 이중나선 구조로 되어 있나요?,ko,-1.136,0.0,0.5,0.8,1.946,1,2.11
korean_polar_23,16세기 이탈리아의 신학자인 조르다노 부르노(코페르니쿠스의 태양중심설을 옹호했음)는 붙박이별들은 태양과 비슷하며 그 주위는 우리 태양계처럼 행성들이 돌고 있다고 주장했나요?,ko,3.864,1.0,0.5,0.7,3.135,1,9.199
korean_content_3105,말레이시아에서 세금 부과되는 최저 월급은 얼마인가?,ko,0.184,1.0,0.3,1.0,2.079,0,4.563
korean_polar_13,아서왕 이야기는 실제로 있었던 이야기인가?,ko,-1.136,0.0,0.5,1.0,1.946,1,2.31
korean_content_5925,소크라테스는 언제 태어났는가?,ko,-1.816,0.0,0.4,1.0,1.609,0,1.193
korean_content_4015,그리스어로 미의 여신은 누구인가?,ko,-0.816,0.0,0.4,1.0,1.792,0,2.376
korean_polar_373,전기적 위치 에너지는 전하량과 전위의 곱으로 나타내나요?,ko,-0.136,0.0,0.5,0.857,2.197,1,3.418
korean_polar_319,북학파를 중상학파라고도 하나요?,ko,-1.136,0.0,0.25,1.0,1.609,1,1.723
korean_content_271,2018년 장수말벌에 의해 사망한 사람은 몇 명인가?,ko,1.184,1.0,0.4,0.857,2.197,0,5.638
korean_content_1690,세이난 전쟁이 일어나게된 배경은 무엇인가?,ko,1.184,1.0,0.2,1.0,1.946,0,5.33
korean_content_9599,콘스탄티노폴리스 공방전의 승자는 누구인가?,ko,0.184,0.0,0.2,1.0,1.792,0,3.176
korean_polar_142,"무함마드 사후, 이슬람은 신도의 장로 중에서 교통(敎統)의 후계자인 칼리파를 선출하였나요?",ko,0.864,1.0,0.625,0.917,2.773,1,6.179
korean_polar_118,"유대교, 기독교, 그리고 이슬람교의 교리에서는 전지전능한 유일신이 세계를 창조했다고 주장하나요?",ko,1.864,0.0,0.333,0.9,2.639,1,5.736
korean_polar_250,적색편이는 물체가 내는 빛의 파장이 늘어나 보이는 현상인가요?,ko,1.864,1.0,0.333,0.875,2.303,1,6.375
korean_polar_180,구조 미치타카는 후지와라 씨의 지파 구조 가문인가요?,ko,-1.136,0.0,0.75,1.0,2.197,1,2.811
korean_polar_252,근육에 자극을 가하면 먼저 근섬유 막에 흥분이 생기나요?,ko,-1.136,0.0,1.0,0.875,2.303,1,3.042
korean_polar_197,오늘날의 법치주의 사상은 고대 그리스의 플라톤(Plato)의 법사상에 기원을 두고 있나요?,ko,0.864,0.0,0.75,0.75,2.708,1,5.072
korean_content_11420,왕건의 고향은 어디인가?,ko,-0.816,0.0,0.2,1.0,1.609,0,1.993
korean_content_4977,원자력발전소의 한해 평균 유지비용은 얼마인가?,ko,-0.816,0.0,0.2,1.0,1.946,0,2.33
