unique_id,text,language,type_original,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent,question_type
russian_polar_0,Полезно ли носить кварц?,ru,polar,-0.27,-0.48,1.0,0.167,0.75,1.792,4.615,0.127,1
russian_polar_1,Можно излечиться от наркотической зависимости полностью?,ru,polar,0.596,0.52,1.0,0.25,0.833,2.079,3.932,1.127,1
russian_polar_2,Сколько раз Ли́ля Ю́рьевна Брик была замужем?,ru,polar,0.73,-0.48,0.0,0.0,0.714,2.197,0.0,0.127,1
russian_polar_3,Михаи́л Алекса́ндрович Вру́бель был душевно больным человеком?,ru,polar,0.73,-0.48,0.0,0.0,0.857,2.197,0.0,0.127,1
russian_polar_4,Есть ли море в Южной Осетии?,ru,polar,0.196,0.52,0.0,0.333,0.667,2.079,0.0,0.127,1
russian_polar_5,Дэвид Марк Моррисси играл в театре?,ru,polar,0.196,-0.48,0.0,0.333,0.833,2.079,0.0,0.127,1
russian_polar_6,Выходит в Калмыкии газета на калмыцком языке на март 2019?,ru,polar,0.841,0.52,0.0,0.5,0.7,2.485,0.0,0.127,1
russian_polar_7,Нур Моха́ммад Тараки́ был убит?,ru,polar,0.396,-0.48,0.0,0.333,0.8,1.946,0.0,0.127,1
russian_polar_8,Были ли братья и сестра у Рюрика?,ru,polar,0.563,0.52,0.0,0.0,0.429,2.197,0.0,-0.873,1
russian_polar_9,Анну Каренину осуждали в обществе по роману «А́нна Каре́нина»?,ru,polar,0.146,0.52,0.0,0.5,0.778,2.565,0.0,0.127,1
russian_polar_10,Является ли Украи́нская правосла́вная це́рковь самой большой в Украине по количеству приверженцев?,ru,polar,0.578,0.52,0.0,0.5,0.667,2.639,0.0,0.127,1
russian_polar_11,Есть ли нефть в Удмуртии?,ru,polar,0.396,-0.48,0.0,0.5,0.6,1.946,0.0,0.127,1
russian_polar_12,Герма́нское гражда́нское уложе́ние было выдающимся достижением своего времени?,ru,polar,0.111,-0.48,0.0,0.0,0.75,2.303,0.0,0.127,1
russian_polar_13,Погиб польский президент при полете на годовщину Катынского расстрела?,ru,polar,0.146,1.52,0.0,0.333,0.778,2.398,0.0,0.127,1
russian_polar_14,Посещал ли Луи́ Пьер Альтюссе́р Россию?,ru,polar,0.596,-0.48,0.0,0.5,0.833,2.079,0.0,0.127,1
russian_polar_15,Женщины Византии имели равные права с мужчинами?,ru,polar,-0.104,0.52,0.0,0.333,0.857,2.197,0.0,0.127,1
russian_polar_16,Муаммар Кадда́фи посещал Россию?,ru,polar,-0.27,-0.48,0.0,0.333,1.0,1.792,0.0,0.127,1
russian_polar_17,Есть ли метров Казани?,ru,polar,-0.27,-0.48,0.0,0.333,0.75,1.792,0.0,0.127,1
russian_polar_18,Разновидность Паровоза О звали овечкой?,ru,polar,-0.104,-0.48,0.0,0.5,0.8,1.946,0.0,0.127,1
russian_polar_19,Хосров I провёл налоговую реформу в Иране?,ru,polar,0.23,-0.48,0.0,0.5,0.857,2.197,0.0,0.127,1
russian_polar_20,Бесконечна ли игра The Sims?,ru,polar,-0.354,0.52,0.0,0.0,0.4,1.946,0.0,-0.873,1
russian_polar_21,"Получила ли Элизабет Тейлор ""Оскар"" за роль Клеопатры?",ru,polar,1.111,-0.48,0.0,0.667,0.75,2.485,0.0,0.127,1
russian_polar_22,Была ли у Дми́трия-Мамо́нова своя художественная школа?,ru,polar,0.539,0.52,0.0,0.0,0.5,2.398,0.0,-0.873,1
russian_polar_23,Мог еврей быть коммунистом в СССР в 1980 годах?,ru,polar,0.396,0.52,1.0,0.333,0.667,2.398,3.932,1.127,1
russian_polar_24,Когда умер Ли Ха́рви О́свальд?,ru,polar,-0.354,-0.48,0.0,0.5,0.8,1.946,0.0,0.127,1
russian_polar_25,Гипертони́я - это наследственное заболевание?,ru,polar,0.73,-1.48,0.0,0.0,0.75,1.946,0.0,-0.873,1
russian_polar_26,Выигрывала ли когда-нибудь грэмми группа My Bloody Valentine?,ru,polar,0.396,0.52,0.0,0.667,0.5,2.303,0.0,0.127,1
russian_polar_27,Вавилон был центром держави Александра Македонского?,ru,polar,-0.404,0.52,0.0,0.0,0.833,2.079,0.0,0.127,1
russian_polar_28,Обязательна ли служба в армии Израиля для женщин?,ru,polar,0.539,0.52,0.0,0.0,0.625,2.303,0.0,-0.873,1
russian_polar_29,Кала́н занесен в Красную книгу России?,ru,polar,-0.004,-0.48,0.0,0.333,0.833,2.079,0.0,0.127,1
russian_polar_30,"Является ли ""турецкий ван"" естественной породой?",ru,polar,1.196,-0.48,0.0,0.5,0.833,2.303,0.0,0.127,1
