Filename	n_sentences	n_tokens	tokens_per_sent	char_per_tok	upos_dist_ADJ	upos_dist_ADP	upos_dist_ADV	upos_dist_AUX	upos_dist_CCONJ	upos_dist_DET	upos_dist_INTJ	upos_dist_NOUN	upos_dist_NUM	upos_dist_PART	upos_dist_PRON	upos_dist_PROPN	upos_dist_PUNCT	upos_dist_SCONJ	upos_dist_VERB	lexical_density	verbal_head_per_sent	verbal_root_perc	avg_verb_edges	verb_edges_dist_0	verb_edges_dist_1	verb_edges_dist_2	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_5	verb_edges_dist_6	avg_max_depth	avg_token_per_clause	avg_max_links_len	avg_links_len	max_links_len	avg_prepositional_chain_len	n_prepositional_chains	obj_pre	obj_post	subj_pre	subj_post	dep_dist_acl	dep_dist_advcl	dep_dist_advmod	dep_dist_amod	dep_dist_appos	dep_dist_aux	dep_dist_case	dep_dist_cc	dep_dist_ccomp	dep_dist_compound	dep_dist_conj	dep_dist_cop	dep_dist_csubj	dep_dist_dep	dep_dist_det	dep_dist_discourse	dep_dist_dislocated	dep_dist_fixed	dep_dist_flat	dep_dist_iobj	dep_dist_mark	dep_dist_nmod	dep_dist_nsubj	dep_dist_nummod	dep_dist_obj	dep_dist_obl	dep_dist_punct	dep_dist_root	dep_dist_xcomp	principal_proposition_dist	subordinate_proposition_dist	subordinate_post	subordinate_pre	avg_subordinate_chain_len	subordinate_dist_1	subordinate_dist_2
100_1.conllu	1	5	5.0	2.25	20.0	0	20.0	0	0	0	0	20.0	0	0	0	0	20.0	0	20.0	1.0	1.0	0.0	0.0	100.0	0	0	0	0	0	0	2.0	5.0	3.0	1.6666666666666667	3	0	0	0	0	100.0	0.0	20.0	0	20.0	0	0	0	0	0	0	0	0	0	20.0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.0	20.0	0	0.0	100.0	0.0	100.0	1.0	100.0	0
43_1.conllu	1	8	8.0	3.5714285714285716	0	0	12.5	0	0	0	0	37.5	0	0	0	0	12.5	12.5	25.0	0.8571428571428571	2.0	100.0	1.5	0	50.0	50.0	0	0	0	0	4.0	4.0	5.0	1.6666666666666667	5	0	0	100.0	0.0	100.0	0.0	12.5	12.5	0	0	0	0	0	0	12.5	12.5	0	0	0	0	0	0	0	0	0	0	0	0	12.5	0	12.5	0	12.5	12.5	0	50.0	50.0	0.0	100.0	1.0	100.0	0
32_1.conllu	1	16	16.0	2.933333333333333	12.5	0	6.25	0	12.5	0	0	25.0	0	0	12.5	0	6.25	6.25	18.75	0.6666666666666666	3.0	0.0	1.0	66.66666666666667	0	0	33.333333333333336	0	0	0	5.0	5.333333333333333	14.0	3.2142857142857144	14	0	0	100.0	0.0	100.0	0.0	18.75	0	0	6.25	0	0	0	0	6.25	6.25	12.5	0	0	6.25	0	0	6.25	0	0	6.25	0	6.25	6.25	0	6.25	0	6.25	6.25	0	0.0	100.0	0.0	100.0	1.0	100.0	0
200_1.conllu	1	11	11.0	3.2222222222222223	9.090909090909092	0	9.090909090909092	9.090909090909092	9.090909090909092	9.090909090909092	0	18.181818181818183	0	0	0	0	18.181818181818183	9.090909090909092	9.090909090909092	0.5555555555555556	1.0	0.0	2.0	0	0	100.0	0	0	0	0	4.0	11.0	7.0	2.125	7	0	0	0	0	100.0	0.0	0	0	9.090909090909092	9.090909090909092	0	9.090909090909092	0	0	9.090909090909092	0	9.090909090909092	0	0	0	9.090909090909092	0	0	0	0	0	0	9.090909090909092	9.090909090909092	0	0	0	18.181818181818183	9.090909090909092	0	0	0	0	0	0	0	0
112_1.conllu	1	16	16.0	2.7857142857142856	12.5	0	25.0	0	0	0	0	12.5	0	0	12.5	6.25	12.5	0	18.75	0.8571428571428571	3.0	0.0	1.3333333333333333	0	66.66666666666667	33.333333333333336	0	0	0	0	6.0	5.333333333333333	7.0	2.0	7	0	0	0	0	100.0	0.0	12.5	12.5	12.5	0	0	6.25	0	0	0	0	0	0	0	6.25	0	0	0	6.25	0	0	0	6.25	18.75	0	0	0	12.5	6.25	0	0.0	100.0	0.0	100.0	1.0	100.0	0
154_1.conllu	1	6	6.0	2.5	0	0	0	0	0	0	0	33.333333333333336	0	0	16.666666666666668	0	33.333333333333336	0	16.666666666666668	0.75	1.0	100.0	2.0	0	0	100.0	0	0	0	0	2.0	6.0	4.0	2.0	4	0	0	0	0	100.0	0.0	0	0	16.666666666666668	0	0	0	0	0	0	16.666666666666668	0	0	0	0	0	0	0	0	0	0	0	0	16.666666666666668	0	0	0	33.333333333333336	16.666666666666668	0	100.0	0.0	0	0	0	0	0
28_1.conllu	1	5	5.0	4.5	0	0	0	0	0	0	0	40.0	0	0	0	0	20.0	20.0	20.0	0.75	1.0	100.0	2.0	0	0	100.0	0	0	0	0	2.0	5.0	2.0	1.3333333333333333	2	0	0	0	0	100.0	0.0	0	0	0	0	0	0	0	0	0	20.0	0	0	0	0	0	0	0	0	0	0	0	0	20.0	0	0	0	20.0	20.0	20.0	100.0	0.0	0	0	0	0	0
113_1.conllu	1	9	9.0	3.375	0	0	33.333333333333336	0	0	0	0	22.22222222222222	0	0	0	11.11111111111111	11.11111111111111	0	22.22222222222222	1.0	2.0	100.0	2.0	0	50.0	0	50.0	0	0	0	3.0	4.5	4.0	2.0	4	0	0	100.0	0.0	100.0	0.0	11.11111111111111	11.11111111111111	22.22222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.11111111111111	11.11111111111111	0	11.11111111111111	0	11.11111111111111	11.11111111111111	0	50.0	50.0	0.0	100.0	1.0	100.0	0
115_1.conllu	1	17	17.0	3.142857142857143	0	5.882352941176471	11.764705882352942	0	0	5.882352941176471	0	29.41176470588235	0	0	0	5.882352941176471	17.647058823529413	5.882352941176471	17.647058823529413	0.7857142857142857	3.0	100.0	1.6666666666666667	33.333333333333336	33.333333333333336	0	0	33.333333333333336	0	0	3.0	5.666666666666667	11.0	2.923076923076923	11	0	0	100.0	0.0	0	0	5.882352941176471	11.764705882352942	5.882352941176471	0	5.882352941176471	5.882352941176471	5.882352941176471	0	0	11.764705882352942	5.882352941176471	0	0	0	5.882352941176471	0	0	5.882352941176471	0	0	0	0	0	0	5.882352941176471	0	17.647058823529413	5.882352941176471	0	50.0	50.0	0.0	100.0	1.0	100.0	0
121_1.conllu	1	5	5.0	3.5	0	0	20.0	0	0	0	0	0	20.0	0	0	20.0	20.0	0	20.0	0.75	1.0	100.0	1.0	0	100.0	0	0	0	0	0	3.0	5.0	1.0	1.0	1	0	0	100.0	0.0	0	0	0	20.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.0	0	0	20.0	0	20.0	20.0	0	100.0	0.0	0	0	0	0	0
123_1.conllu	1	6	6.0	2.4	16.666666666666668	0	0	0	0	0	0	16.666666666666668	0	0	33.333333333333336	0	16.666666666666668	0	16.666666666666668	0.6	1.0	100.0	2.0	0	0	100.0	0	0	0	0	2.0	6.0	4.0	2.0	4	0	0	100.0	0.0	0	0	0	0	0	16.666666666666668	0	0	0	0	0	16.666666666666668	0	0	0	0	0	0	16.666666666666668	0	0	0	0	0	0	0	16.666666666666668	0	16.666666666666668	16.666666666666668	0	100.0	0.0	0	0	0	0	0
