unique_id,text,language,avg_links_len,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score
en_polar_442,Can rabbits and chickens live together?,en,0.007,0.0,0.333,0.667,2.079,1,3.086
en_polar_302,Do you have a tel # for Mike?,en,-0.479,0.0,0.333,0.375,2.303,1,2.532
en_content_30,So does anyone know what the difference is?,en,-0.487,1.0,0.5,0.375,2.303,0,3.691
en_polar_526,I personally provided the request on four separate occasions and they claim there is a glitch in their systems ?,en,0.14,1.0,0.556,0.474,3.045,1,5.215
en_content_19,Who is artist Gunther Uecker;explain?,en,0.056,0.0,0.0,0.667,2.197,0,2.92
en_content_94,Can you recommend where these companies each fit within the new organization?,en,0.02,1.0,0.5,0.5,2.639,0,4.659
en_polar_459,In the United States?,en,-0.193,0.0,0.0,0.5,1.792,1,2.099
en_polar_472,and will these antibiotics help?,en,0.057,0.0,0.333,0.4,1.946,1,2.736
en_polar_455,Royal Caribbean or Carnival cruise?,en,-0.443,0.0,0.0,0.8,1.946,1,2.303
en_content_275,"My Snake's meal is TOO big, what can I do?",en,-0.244,0.0,0.333,0.455,2.639,0,3.183
en_content_132,Which do you prefer?,en,-0.344,0.0,0.333,0.25,1.792,0,2.031
en_content_335,"After you are elected in 2004, what will your memoirs say about you, what will the title be, and what will the main theme say?",en,0.864,1.0,0.722,0.28,3.401,0,6.267
en_content_3,why do you think i should get one of those?,en,-0.566,1.0,0.417,0.3,2.485,0,3.636
en_polar_73,surprise romantic cheap date night san francisco?,en,-0.36,0.0,0.0,1.0,2.197,1,2.837
en_content_352,"Your father never listens to me, what can I say?",en,-0.122,0.0,0.5,0.4,2.565,0,3.343
en_polar_401,And do you get charged for it?,en,-0.027,0.0,0.667,0.143,2.197,1,2.98
en_polar_496,2. Have we kept up with partial water changes?,en,0.182,0.0,0.667,0.444,2.485,1,3.778
en_content_37,what is a good slogan for an Argentinian restaurant?,en,-0.094,0.0,0.0,0.444,2.398,0,2.748
en_polar_347,Is there any cure for mouse poison?,en,-0.36,0.0,0.333,0.571,2.197,1,2.741
en_content_219,How do I take care of my newborn baby fish?,en,0.212,0.0,0.667,0.6,2.485,0,3.964
en_polar_464,Should I just settle and book on line?,en,-0.622,0.0,0.417,0.5,2.303,1,2.598
en_polar_341,my new OLYMPUS X940 DIGITAL CAMERA...?,en,0.807,0.0,0.0,0.833,2.197,1,3.837
en_content_116,What about 7:00 at the office or breakfast meeting at 7:00?,en,-0.244,0.0,0.0,0.273,2.565,0,2.594
en_content_61,Where can I go on a first date (adults)?,en,0.406,0.0,0.667,0.556,2.565,0,4.194
en_content_38,Which Compact System Camera Should I Get...?,en,-0.511,0.0,0.333,0.571,2.303,0,2.696
