unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
fi_polar_0,Onko ammatillinen uskottavuuteni noin pientä..?,finnish,polar,2.0,2.0,0,0,0.8,7,0.0,1.0
fi_polar_1,"- Opettaja, onko sulla olemassa koti?",finnish,polar,1.75,1.0,0,0,0.4,8,0,0.0
fi_polar_2,Eikö olekin kivaa?,finnish,polar,1.5,1.0,0,0,0.3333333333333333,4,0.0,1.0
fi_polar_3,Vai onko vaatekerrosten määrä asennekysymys?,finnish,polar,2.25,2.0,0,0,0.6,6,0.0,1.0
fi_polar_4,”Osaanko nauttia seksistä?”,finnish,polar,1.0,2.0,1.0,1.0,1.0,6,50.0,2.0
fi_polar_5,Osaavatko ihmiset lukea toistensa silmistä tällaista itseluottamusta?,finnish,polar,1.8333333333333333,3.0,1.0,2.0,0.8571428571428571,8,50.0,2.0
fi_polar_6,"Osaako mies ilmaista käytöksellään, että hän on varma taidoistaan tyydyttää nainen?",finnish,polar,1.9,5.0,1.5,1.6666666666666667,0.7272727272727273,13,75.0,4.0
fi_polar_7,Osaako nainen lukea miehen käytöksestä tämän?,finnish,polar,1.8,3.0,1.0,2.0,0.8333333333333334,7,50.0,2.0
fi_polar_8,"Entä viestivätkö naisen silmät miehelle, että ”uskon sinun kykyihisi, ota minut, saat minut hulluksi himosta?”",finnish,polar,2.5,4.0,1.0,2.75,0.7333333333333333,21,50.0,4.0
fi_polar_9,"Kahlaavatko he läpi elämän tietämättä, minkälaista seksiä itse haluavat, tai minkälaista seksiä kumppani haluaa, jos eivät osaa lukea sitä toistensa silmistä ja eleistä?",finnish,polar,2.8636363636363638,5.0,2.0,2.5,0.6521739130434783,27,80.0,6.0
fi_polar_10,"Voimmeko syyttää vanhempiamme siitä, ettemme ole seksuaalisesti kehittyneet vapaiksi, osaaviksi ja vastaanottavaisiksi?",finnish,polar,2.3333333333333335,5.0,1.0,2.5,0.5384615384615384,16,50.0,2.0
fi_polar_11,Sanoinko jo jotain tästä ravaamisesta? :D,finnish,polar,2.8,2.0,0,4.0,0.5,7,0.0,1.0
fi_polar_12,"Nää käy myös töihin, kuulostaako tutulta tää lemppariperustelu?",finnish,polar,1.8571428571428572,3.0,0,2.5,0.75,10,0.0,2.0
fi_polar_13,Tekeekö netti meistä tyhmiä?,finnish,polar,2.0,1.0,0,3.0,0.75,5,0.0,1.0
fi_polar_14,"Ovatko naiset siis todella mustasukkaisia toisistaan, vaan yrittävätkö he vain selvitä kuolaavien käpyaivojensa kanssa minimaalisella häpeän määrällä?",finnish,polar,2.125,4.0,1.0,2.0,0.7058823529411765,19,66.66666666666667,4.0
fi_polar_15,Mutta uskaltaako se mennä yksin jossain metroasemalla poistamaan oksennukseensa sammuneen nistin?,finnish,polar,1.8,5.0,1.5,2.0,0.7272727272727273,12,75.0,4.0
fi_polar_16,"PIKKUVAIMO: Jos me voitetaan tämä, niin saadaanko varmasti mitali?",finnish,polar,2.5,3.0,1.0,3.5,0.6666666666666666,12,100.0,2.0
fi_polar_17,PIKKUVAIMO: Saadaanko sitten varmasti pronssia?,finnish,polar,2.0,2.0,0,3.0,1.0,7,0,1.0
fi_polar_18,"(DE) Arvoisa puhemies, voisitteko pyytää hakemaan teknikon?",finnish,polar,2.1666666666666665,2.0,1.0,2.0,0.8571428571428571,11,50.0,2.0
fi_polar_19,Annammeko tämän jatkua sanomatta mitään?,finnish,polar,1.75,2.0,1.0,1.3333333333333333,0.6,6,66.66666666666667,3.0
fi_polar_20,"Mielestäni tämä keskustelu tiivistyy seuraavaan kysymykseen: uskommeko, että Göteborgin pöytäkirja oli paras tulos, jonka jäsenvaltioiden voidaan odottaa realistisesti saavuttavan?",finnish,polar,2.611111111111111,6.0,3.0,2.0,0.7368421052631579,23,75.0,5.0
fi_polar_21,Oliko Helsingissä tehty päätös sittenkin hätiköity?,finnish,polar,2.0,3.0,1.0,2.0,0.8333333333333334,7,50.0,2.0
fi_polar_22,"Muistatko sinä ne kerrat, kun lahkeet olivat polviin asti märät kauppareissun jäljiltä?",finnish,polar,2.727272727272727,4.0,1.0,2.0,0.5833333333333334,14,50.0,2.0
fi_polar_23,"Luulitko sinä, että kiinnostuisin Jonesta, kiinnostuisin niin, että kävelisin hänen kanssaan teidän vierellänne?",finnish,polar,1.75,6.0,1.5,2.25,0.46153846153846156,17,75.0,4.0
fi_polar_24,"Palasin, kaipasitko minua?",finnish,polar,1.5,2.0,0,1.0,0.6666666666666666,5,0.0,2.0
fi_polar_25,Tarvitsevatko ne jotain?,finnish,polar,1.5,1.0,0,2.0,0.3333333333333333,4,0.0,1.0
fi_polar_26,Pitäisikö niistä olla jotenkin erityisen huolissaan juuri siksi?,finnish,polar,2.5714285714285716,2.0,0,0,0.625,9,0.0,1.0
fi_polar_27,Olenko minä se väärin pukeutunut?,finnish,polar,2.5,1.0,0,4.0,0.4,6,0.0,1.0
fi_polar_28,"Vai voiko tosiaan pitää paikkansa, että minun neljäs olohuoneeni, jonne tulen arki-iltana juomaan teetä ja pelaamaan lautapelejä kavereiden kanssa, on jollekin laittautumisen, aloittelun ja jatkojen väliin jäävä bilepaikka?",finnish,polar,5.074074074074074,7.0,2.0,2.6,0.6428571428571429,33,80.0,6.0
fi_polar_29,Pitäisikö minun mennä sisälle johonkin taloista?,finnish,polar,1.4,2.0,0,2.0,0.3333333333333333,7,0.0,1.0
fi_polar_30,Toisiko Se tällä kertaa mukanaan siunauksen vai tuhon?,finnish,polar,2.4285714285714284,3.0,0,4.0,0.625,9,0.0,1.0
fi_polar_31,"Kääntäisikö Se mahtavan Ahterinsa Nielun kansalle, ja siunaisi sitä ruskealla sukkulalla ja kultaisella sateella, vai laskisiko Se alas kauhistuttavan Kätensä mukanaan sininen kaikentuhoava tulva?",finnish,polar,3.0869565217391304,4.0,0,4.333333333333333,0.7083333333333334,27,0.0,3.0
fi_polar_32,Tässäkö se muka oli?,finnish,polar,2.0,1.0,0,0,0.25,5,0.0,1.0
fi_polar_33,Mutta sopeutuivatko ne Marsin olosuhteisiin?,finnish,polar,1.5,2.0,0,3.0,0.6,6,0.0,1.0
fi_polar_34,Vai oliko se tanga-naisia?,finnish,polar,2.0,1.0,0,0,0.25,5,0.0,1.0
fi_polar_35,Menikö se ylös vai alas?,finnish,polar,1.5,3.0,0,2.0,0.6,6,0.0,1.0
fi_polar_36,Urheiluosastolle vai ulko-ovelle?,finnish,polar,1.5,2.0,0,0,0.6666666666666666,4,0,0.0
fi_polar_37,Hetken hän tuijotti alas (kuolemaan?) ja mietti onko tämä koko paska vaivan arvoista.,finnish,polar,2.5833333333333335,4.0,1.0,3.0,0.6923076923076923,17,50.0,3.0
fi_polar_38,"""Eikö ole kaunis päivä?""",finnish,polar,1.3333333333333333,2.0,0,1.0,0.75,7,0.0,1.0
fi_polar_39,Oliko tämä unta vai todellisuutta?,finnish,polar,1.5,2.0,0,0,0.4,6,0.0,1.0
fi_polar_40,Onko sulla joku toinen?,finnish,polar,1.3333333333333333,2.0,0,0,0.0,5,0,0.0
fi_polar_41,- Jos minä lähen nyt pois enkä tuu enää koskaan takas nii lähettekö isin mukaan vai jäättekö äidin luo?,finnish,polar,2.1176470588235294,4.0,1.0,3.25,0.6666666666666666,20,50.0,4.0
fi_polar_42,Pitäisikö heidän nyt oikeasti ryhtyä keksimään joitain ihan uusia huippujuttuja?,finnish,polar,2.2222222222222223,4.0,1.0,2.5,0.7,11,50.0,2.0
fi_polar_43,– Semmoisen paperisenko?,finnish,polar,1.0,1.0,0,0,1.0,4,0,0.0
fi_polar_44,- Eikö se ole selvää?  parrakas ryöväri ärähti.,finnish,polar,2.0,3.0,0,1.0,0.5714285714285714,10,0.0,2.0
fi_polar_45,- Piilotitko veneen hyvin?  Juho kysyi.,finnish,polar,2.25,2.0,0,2.0,1.0,8,0.0,2.0
fi_polar_46,- Haluatteko tupakkia?,finnish,polar,1.0,1.0,0,1.0,1.0,4,0.0,1.0
fi_polar_47,Vai haluavatko kruunun miehet viedä ne veroina?,finnish,polar,1.6666666666666667,2.0,1.0,2.5,0.7142857142857143,8,50.0,2.0
fi_polar_48,Entä olinko jo ostanut jotain jouluruokia?,finnish,polar,1.8,2.0,0,3.0,0.6666666666666666,7,0.0,1.0
fi_polar_49,Onko sinulla töitä?,finnish,polar,1.0,1.0,0,0,0.3333333333333333,4,0,0.0
fi_polar_50,Onko tämän asian tiimoilta tullut teille valituksia?,finnish,polar,1.8333333333333333,2.0,0,3.0,0.42857142857142855,8,0.0,1.0
fi_polar_51,Ja sinäkö olet edelleen varma että se oli vahinko?,finnish,polar,2.5,2.0,1.0,0,0.3333333333333333,10,50.0,2.0
fi_polar_52,Porvoostako he tulevat?,finnish,polar,1.5,1.0,0,2.0,0.6666666666666666,4,0.0,1.0
fi_polar_53,Onko Granfeltilta tilattu tutkimustulos vai tutkimustyö?,finnish,polar,1.4,3.0,0,2.0,0.6666666666666666,7,0.0,1.0
fi_polar_54,Ettäkö kaikki kylähulluiksi?,finnish,polar,1.0,1.0,0,0,0.3333333333333333,4,0,0.0
fi_polar_55,Tulevatko he Porvoosta?,finnish,polar,1.5,1.0,0,2.0,0.6666666666666666,4,0.0,1.0
fi_polar_56,Miks ei ne pane lapselle nimeksi Mikko?,finnish,polar,2.0,1.0,0,5.0,0.7142857142857143,8,0.0,1.0
fi_polar_57,Suostutteko keskustapuolueen uudeksi puheenjohtajaksi?,finnish,polar,2.0,2.0,0,1.0,1.0,5,0.0,1.0
fi_polar_58,Söitkö sinä jo?,finnish,polar,1.5,1.0,0,2.0,0.6666666666666666,4,0.0,1.0
fi_polar_59,Taruako lienee vai totta?,finnish,polar,1.6666666666666667,2.0,0,0,0.5,5,0.0,1.0
fi_polar_60,Leikitäänkö nyt kotia?,finnish,polar,1.5,1.0,0,2.0,1.0,4,0.0,1.0
fi_polar_61,Onko enkeli tyttö vai poika?,finnish,polar,1.5,2.0,0,0,0.6,6,0.0,1.0
fi_polar_62,Tulisiko tästä yhtään mitään?,finnish,polar,1.6666666666666667,2.0,0,2.0,0.5,5,0.0,1.0
fi_polar_63,Vieläkö Bosniaan pystyy antamaan avustusta?,finnish,polar,1.5,2.0,1.0,2.0,1.0,6,50.0,2.0
fi_polar_64,Tuleeko hän varmasti?,finnish,polar,1.5,1.0,0,2.0,0.6666666666666666,4,0.0,1.0
fi_polar_65,annetaanko koneiden jyskyttää puoliteholla kunnes teknikko on lennätetty paikalle?,finnish,polar,2.0,3.0,2.0,2.6666666666666665,0.7777777777777778,10,66.66666666666667,3.0
fi_polar_66,"Onko henkilöstä annettu etsintäkuulutus, koska hänellä on laiton ase?",finnish,polar,1.75,3.0,0,4.0,0.5555555555555556,11,0.0,1.0
fi_polar_67,Onko sinne pitkä matka?,finnish,polar,2.0,2.0,0,1.0,1.0,5,0.0,1.0
fi_polar_68,Voiko pukua käyttää häissä tai lakkiaisissa?,finnish,polar,1.4,3.0,0,2.0,0.6666666666666666,7,0.0,1.0
fi_polar_69,Voiko äiti olla omin päin ottanut sen käyttöönsä?,finnish,polar,2.5714285714285716,2.0,0,4.0,0.625,9,0.0,1.0
