unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
ja_content_0,犯人は一体誰なのか?,japanese,content,-0.56,2.00,0.00,0.00,0.29,2.20,0.00,1.00
ja_content_1,どうするか?,japanese,content,-1.39,1.00,0.00,0.40,0.67,1.61,0.00,1.00
ja_content_2,"飲んで頭痛とか出たら,どうしたらいいんですか?",japanese,content,-0.16,3.00,2.00,0.47,0.36,2.83,4.21,3.00
ja_content_3,また、目標についてどんなイメージをお持ちでしょうか。,japanese,content,0.42,3.00,1.00,0.50,0.42,2.71,3.93,2.00
ja_content_4,責任者は誰ですか?,japanese,content,-0.99,2.00,0.00,0.00,0.33,2.08,0.00,1.00
ja_content_5,ぜひ立ち寄ってみてはいかがでしょうか?,japanese,content,-0.14,3.00,1.00,0.40,0.44,2.40,4.62,2.00
ja_content_6,これがどれだけすごいことなのか。,japanese,content,-0.52,3.00,0.00,0.00,0.22,2.40,0.00,1.00
ja_content_7,毎日のことですからなんとか解決していきたいと日々努力していらっしゃるのではないでしょうか。,japanese,content,0.61,4.00,1.33,0.50,0.28,3.30,4.39,5.00
ja_content_8,これ以上何を望むというのか?,japanese,content,-0.77,3.00,1.00,0.60,0.33,2.40,3.93,2.00
ja_content_9,民間に運営を任せてはいかがでしょうか。,japanese,content,-0.50,3.00,1.00,0.80,0.40,2.48,4.62,1.00
ja_content_10,その審査ではどのような資料と基準で許可されたのでしょうか。,japanese,content,0.14,4.00,1.00,0.80,0.28,3.00,3.93,2.00
ja_content_11,このことに澤田氏はどう弁明するのだろうか?,japanese,content,-0.39,2.00,0.00,1.00,0.42,2.64,0.00,1.00
ja_content_12,ではどのような行動によって「細かい男」だと思われるのでしょうか。,japanese,content,0.78,3.00,1.00,0.50,0.33,3.09,4.33,4.00
ja_content_13,いったいどんな話になったのでしょうか。,japanese,content,-0.39,2.00,0.00,0.80,0.33,2.40,0.00,1.00
ja_content_14,"なのに,どうして住民が説明会を拒否しているなんて建築指導課に報告するんですか?",japanese,content,1.15,3.00,1.00,0.67,0.40,3.33,4.21,3.00
ja_content_15,「12星座別キーワード」では、あなたがどんな人か?,japanese,content,0.24,2.00,0.00,0.00,0.42,2.83,0.00,0.00
ja_content_16,日中間の首脳会談や、民間交流でも停止しているものがあるが、どう手をつけていくのか,japanese,content,-0.35,7.00,1.00,0.40,0.54,3.37,4.39,5.00
ja_content_17,"で,どんな顔だった?",japanese,content,-0.64,1.00,0.00,0.00,0.20,2.08,0.00,1.00
