unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,n_tokens,question_type,complexity_score
id_polar_209,Ingin menikmati foto di layar yang lebih besar?,id,-0.527,0.638,0.0,0.167,2.303,1,2.581
id_polar_219,Apakah hubungan Rado Habeahan dan Intan berlangsung dengan mulus?,id,0.346,0.638,0.0,0.667,2.485,1,4.136
id_content_116,- Apa yang Disebut Berpikir?,id,-0.544,-1.226,2.0,0.2,1.946,0,2.376
id_polar_108,"Ia bertanya, “Bisakah kita membuat sebuah mobil mewah terbaik di dunia?” Pertanyaan Eiji ini membuat Toyota memulai sebuah proyek super - rahasia yang diberi kode F1 (“Flagship” (Unggulan) + “No. 1 vehicle” (Mobil No. 1)).",id,0.813,6.638,1.333,0.4,3.989,1,13.173
id_content_144,"Pada saat itu, ia mempertanyakan apa arti MASOVU?",id,-0.449,-0.226,0.0,0.6,2.398,0,2.323
id_content_180,"Lalu, mengapa para pengembang menggunakan nama ``Catfiz''?",id,0.289,-1.226,0.0,0.8,2.485,0,2.348
id_polar_213,Konstankah interval PR?,id,-0.765,-1.362,0.0,0.0,1.792,1,-0.335
id_polar_40,``Apakah engkau memperhatikan hamba-Ku Ayub?,id,-0.598,-1.362,0.0,0.5,2.303,1,0.843
id_polar_39,Apakah yang engkau serukan kepada kami?,id,-0.265,-0.362,1.0,0.5,2.197,1,3.07
id_content_149,Namun apa yang terjadi?,id,-0.544,-1.226,1.0,0.2,1.792,0,1.222
id_content_221,"Jika aku tidak menangis untuknya, lalu siapa lagi?",id,0.122,-1.226,0.0,1.0,2.485,0,2.381
id_content_3,Siapakah sebenarnya gadis yang mirip si Cemong?,id,-0.021,-0.226,0.0,0.0,2.303,0,2.056
id_content_111,"Sekarang, siapa yang menolak Partai Komunis ini?",id,-0.378,-0.226,1.0,0.4,2.303,0,3.099
id_polar_98,Apa urusan NU?,id,-1.098,-1.362,0.0,0.0,1.609,1,-0.851
id_content_131,Sampai kapankah Aladin sanggup mempertahankan lampu ajaib tersebut di tangannya?,id,-0.06,-1.226,0.0,1.0,2.639,0,2.353
id_polar_84,Apakah Azzam mampu menyelamatkan rumah tangga Husna dan Ilyas?,id,-0.432,0.638,0.0,0.5,2.485,1,3.191
id_polar_4,Apa nama lembaga yang akan melayani radio-radio ini?,id,-0.384,-0.362,1.0,0.333,2.303,1,2.89
id_content_269,Kan kamu yang bilang? - Bukankah kamu yang bilang demikian?,id,0.122,-0.226,1.0,0.3,2.639,0,3.835
id_polar_178,"Pergilah masak segera, apa digaduhkan masak nasi ransom?",id,-0.348,-0.362,1.0,0.333,2.485,1,3.108
id_content_123,"Kenapa marah, kenapa murka?",id,-0.211,-1.226,0.0,0.3,1.946,0,0.809
id_polar_235,"Bisakah Superboy mendapati cinta, menyembuhkan penyakit adiknya dan sekaligus menyelamatkan jakarta dari kejahatan?",id,-0.17,0.638,0.0,0.556,2.89,1,3.914
id_polar_206,"Lalu, ia juga mengasuh siaran kuis lain seperti Herkent u deze melodie?",id,-0.28,0.638,0.0,0.0,2.708,1,3.066
