unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,question_type,complexity_score
ru_content_196,Как можно купить это?,ru,-1.045,-0.955,1.0,0.25,0.75,0,0.0
ru_content_478,Единственными насущными вопросами были: как противостоять влиянию ночи?,ru,-0.474,0.045,0.0,0.333,0.875,0,0.779
ru_polar_134,"Мне отправляют антидепрессант, будут ли в сдэк проверять содержимое?",ru,0.211,-0.603,0.0,0.6,0.556,1,0.764
ru_content_684,Что это и как от него избавиться?,ru,0.621,0.045,0.0,0.5,0.286,0,1.452
ru_polar_121,"В интернете это написано, но правда ли это?",ru,-0.021,-0.603,0.0,0.6,0.375,1,0.351
ru_polar_162,"Подскажите, у кошки болит лапа, хромает, есть ли на снимке отклонения?",ru,0.236,0.397,0.0,0.4,0.727,1,1.76
ru_content_621,Что помогло Гарри получить зелье Удачи?,ru,-0.845,0.045,1.0,0.333,0.833,0,1.366
ru_content_473,"Во время первого раза почти все даже взрослые женщины обычно не испытывают оргазм, что уж говорить о 13 летней?",ru,0.177,0.045,0.0,0.667,0.579,0,1.468
ru_content_162,А как же защита персональных данных?,ru,-0.645,0.045,0.0,0.0,0.667,0,0.067
ru_polar_188,И есть ли у вас знакомые?,ru,-0.164,-1.603,0.0,0.8,0.333,1,-0.634
ru_polar_16,Отмечались ли случаи заражения бешенством от белки?,ru,-0.664,0.397,0.0,0.4,0.714,1,0.847
ru_polar_52,"Подскажите, будут ли проблемы с этим, или сейчас можно спокойно съездить туда-назад без всякий самоизоляций?",ru,0.236,0.397,1.0,0.533,0.562,1,2.728
ru_polar_59,"Могут ли у меня отобрать гражданство, если буду более года отсутвовать?",ru,0.836,-0.603,1.0,0.467,0.545,1,2.245
ru_content_377,И почему друзей разрешается иметь только до десяти тысяч включительно?,ru,0.066,0.045,1.0,0.417,0.6,0,2.128
ru_polar_136,"Если просто разбавить водой, останется ли цвет на одежде?",ru,-0.289,-1.603,1.0,0.7,0.556,1,0.364
ru_content_371,"Вот теперь, спустя ещё месяц стояния в шкафу, мне стало интересно: ""А что собственно за субстанция у меня поселилась?""",ru,0.955,2.045,0.0,0.5,0.526,0,4.026
ru_content_111,А что вы могли бы посоветовать для нормализации стула?,ru,-0.17,0.045,1.0,0.417,0.444,0,1.736
ru_polar_46,"И видел ли хоть кто-то, что кого-то не пускают из-за температуры?",ru,0.136,-0.603,1.0,0.8,0.273,1,1.606
ru_content_579,Женщинам ? а тетки от 49 сидят как думаете? на них высок спрос....,ru,0.955,1.045,0.0,0.5,0.583,0,3.083
ru_polar_61,Хватит ли мне 250 тысеч тенге переехать в вам?,ru,0.211,-0.603,1.0,0.5,0.444,1,1.552
ru_content_178,Солнце и море - что ещё надо для хорошего настроения?,ru,0.205,0.045,0.0,0.5,0.667,0,1.417
ru_content_137,"Щемит сердце,частичное онемение левого мизинца,потоотделение при еде или движении,если лежу то сердце как бы стучит в голове -мне 49лет -куда обратиться и что это может быть?",ru,1.61,1.045,1.0,0.472,0.633,0,4.76
ru_polar_113,Законно ли то что они мне прислали?,ru,0.002,-0.603,1.0,0.6,0.286,1,1.285
ru_polar_144,Будет ли это работать?,ru,-0.164,-2.603,0.0,0.4,0.25,1,-2.117
ru_polar_44,Летал ли кто-то с такой температурой недавно?,ru,0.336,-0.603,0.0,0.6,0.429,1,0.762
ru_polar_94,"Если азиат плохо видеть, может ли он щурится чтобы лучше видеть?",ru,-0.164,-0.603,1.5,0.5,0.636,1,1.869
ru_content_388,У кого остались скрины этих видео или сами видео?,ru,-0.295,0.045,0.0,0.333,0.444,0,0.527
ru_content_505,Что может быть причиной этого и как исправить?,ru,-0.045,-0.955,1.0,0.417,0.5,0,0.917
ru_content_544,Что привлекает в Ученом как в человеке каждую из них?,ru,0.288,0.045,0.0,0.667,0.3,0,1.3
ru_content_432,Как мне с ней себя вести?,ru,0.555,-0.955,0.0,0.667,0.333,0,0.6
ru_content_132,"Почему считаете, что молока стало меньше и малыш не наедается?",ru,0.177,0.045,1.0,0.5,0.6,0,2.322
ru_polar_18,Используете ли пустышку?,ru,-0.664,-2.603,0.0,0.4,0.667,1,-2.2
ru_polar_75,"Хочу поменять его на что-то чёрное, стоит ли?",ru,-0.021,-0.603,1.0,0.333,0.5,1,1.209
ru_content_86,Но почему он не слышал ее раньше?,ru,0.121,-1.955,0.0,1.0,0.429,0,-0.405
ru_polar_64,Аоезда скорые или автобусы идут ли?,ru,-0.164,-0.603,0.0,0.4,0.667,1,0.3
ru_polar_114,И могу ли я подать заявление в прокуратуру ?,ru,-0.593,0.397,1.0,0.5,0.5,1,1.804
ru_content_361,А сам ботинок из другого материала кто подскажет?,ru,-0.331,0.045,0.0,0.167,0.375,0,0.256
ru_polar_106,Можно ли копать чермет с металлоискателем не нарушая закон?,ru,-0.414,0.397,2.0,0.4,0.667,1,3.05
ru_polar_92,Можно ли как-то сделать её чёрной?,ru,-0.564,-1.603,1.0,0.5,0.667,1,0.0
ru_polar_165,Нужно ли сохранять такие цветы на зиму или выбрасывать?,ru,0.086,-0.603,1.0,0.4,0.556,1,1.439
ru_polar_76,Пальто предназначено на осеннюю погоду до -10 Выглядит ли оно красиво?,ru,0.199,-0.603,0.0,0.6,0.5,1,0.696
