unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
english_content_0,When did the art deco movement begin?,english,content,0.69,3.00,0.00,0.33,0.71,2.20,0.00,1.00
english_content_1,When was quantum field theory developed?,english,content,0.25,3.00,0.00,0.50,0.83,2.08,0.00,1.00
english_content_2,What was the highest value of the yen in 2018?,english,content,0.08,3.00,0.00,0.00,0.30,2.48,0.00,1.00
english_content_3,Where were the first dinosaur bones discovered?,english,content,0.85,2.00,0.00,0.50,0.71,2.20,0.00,1.00
english_content_4,Who was the first Nobel prize winner for Literature?,english,content,0.23,3.00,0.00,0.00,0.56,2.40,0.00,1.00
english_content_5,When did construction begin on the Sporthotel Pontresina?,english,content,0.14,2.00,0.00,0.50,0.62,2.30,0.00,1.00
english_content_6,How many people visit Mecca each year?,english,content,-0.81,3.00,0.00,0.50,0.86,2.20,0.00,1.00
english_content_7,How long does a philosophy degree take?,english,content,0.19,2.00,0.00,0.33,0.71,2.20,0.00,1.00
english_content_8,How long were the Still Game episodes?,english,content,-0.15,3.00,0.00,0.00,0.71,2.20,0.00,1.00
english_content_9,How many refugees escaped to the US from the Holocaust?,english,content,-0.15,3.00,0.00,0.50,0.60,2.48,0.00,1.00
english_content_10,What is London known for?,english,content,0.35,2.00,0.00,0.50,0.40,1.95,0.00,1.00
english_content_11,What city has the highest population density in the U.S.?,english,content,-0.15,3.00,0.00,0.33,0.60,2.48,0.00,1.00
english_content_12,How many spidermans are there?,english,content,-1.15,3.00,0.00,0.00,0.60,1.95,0.00,0.00
english_content_13,When was Surfers Paradise established in Australia?,english,content,-0.15,2.00,0.00,0.67,0.71,2.20,0.00,1.00
english_content_14,What other games have IO Interactive made?,english,content,-0.15,2.00,0.00,0.33,0.71,2.20,0.00,1.00
english_content_15,When is the dialectical method used?,english,content,0.45,2.00,0.00,0.50,0.67,2.08,0.00,1.00
english_content_16,Who invented Hangul?,english,content,-1.15,1.00,0.00,0.33,0.67,1.61,0.00,1.00
english_content_17,What do Grasshoppers eat?,english,content,-0.15,1.00,0.00,0.33,0.50,1.79,0.00,1.00
english_content_18,What is the number one industry in the state of Guanajuato?,english,content,-0.05,4.00,0.00,0.00,0.36,2.56,0.00,1.00
english_content_19,How large is the Kerman province of southeastern Iran?,english,content,-0.27,3.00,0.00,0.00,0.67,2.40,0.00,1.00
english_content_20,When was Guitar Hero Live first released?,english,content,0.52,3.00,0.00,0.67,0.86,2.20,0.00,1.00
english_content_21,How much did the Chicago Central Area Transit Plan cost?,english,content,0.96,3.00,0.00,0.33,0.80,2.48,0.00,1.00
english_content_22,When were bluebonnets named the state flower of Texas?,english,content,-0.27,3.00,0.00,0.67,0.67,2.40,0.00,1.00
english_content_23,What is the largest organization of professional soccer?,english,content,-0.15,3.00,0.00,0.00,0.50,2.30,0.00,1.00
english_content_24,Was there a male Pink Power Ranger?,english,content,0.69,2.00,0.00,0.33,0.71,2.20,0.00,1.00
english_content_25,How many countries are in the Arab League?,english,content,0.28,3.00,0.00,0.00,0.62,2.30,0.00,0.00
english_content_26,What is the strongest photographic camera lense in existence?,english,content,0.35,3.00,0.00,0.00,0.56,2.40,0.00,1.00
english_content_27,Who created the series Clannad?,english,content,-0.40,2.00,0.00,0.33,0.60,1.95,0.00,1.00
english_content_28,Where was Euclid born?,english,content,-0.15,1.00,0.00,0.50,0.75,1.79,0.00,1.00
english_content_29,What are the main ethical theories in ethics?,english,content,-0.00,3.00,0.00,0.00,0.50,2.30,0.00,1.00
english_content_30,When was the USS Taylor built?,english,content,0.45,2.00,0.00,0.50,0.67,2.08,0.00,1.00
english_content_31,How many Americans suffer from acid reflux disease?,english,content,-0.43,3.00,0.00,0.33,0.88,2.30,0.00,1.00
english_content_32,"Who leads the United Nations Educational, Scientific and Cultural Organization?",english,content,1.96,4.00,0.00,0.33,0.70,2.56,0.00,1.00
english_content_33,Who is considered the founder of botany?,english,content,-0.65,3.00,0.00,0.50,0.43,2.20,0.00,1.00
english_content_34,What was the largest population of the Aztecs?,english,content,-0.15,3.00,0.00,0.00,0.38,2.30,0.00,1.00
english_content_35,What's the difference between man-slaughter and homicide?,english,content,-0.02,4.00,0.00,0.00,0.44,2.48,0.00,1.00
english_content_36,How many people have gotten sick from the Armley asbestos disaster?,english,content,-0.15,4.00,0.00,0.33,0.73,2.56,0.00,1.00
english_content_37,How much do Software designers make?,english,content,-0.15,2.00,0.00,0.33,0.83,2.08,0.00,1.00
english_content_38,What is the largest laurel forest area?,english,content,0.52,3.00,0.00,0.00,0.57,2.20,0.00,1.00
english_content_39,Who is the tallest human?,english,content,-0.15,2.00,0.00,0.00,0.40,1.95,0.00,1.00
