sentence_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent
1,berapakah jenis ras yang ada didunia?,indonesian,content,1.5,2.0,2.0,1.0,0.7142857142857143,8,100.0,2.0
2,Dari manakah asal Dr. H. Shofwan Karim Elha?,indonesian,content,1.625,5.0,0,0,0.6666666666666666,12,0,0.0
3,siapakah pastur/ketua Ibadah pertama GBI KA?,indonesian,content,1.5714285714285714,4.0,0,0,0.75,9,0,0.0
4,Kapan Makoto Haruno lahir ?,indonesian,content,2.0,2.0,0,2.0,1.0,5,0.0,1.0
5,dimanakah Dr. Ernest François Eugène Douwes Dekker meninggal?,indonesian,content,2.875,6.0,0,2.0,0.8888888888888888,11,0.0,1.0
6,Siapa arsitek Balai Kota Seoul?,indonesian,content,1.0,4.0,0,0,0.8,6,0,0.0
7,Kapan Red Hot Chili Peppers mulai menjadi pemusik?,indonesian,content,2.0,4.0,1.0,2.0,1.0,9,50.0,2.0
8,Kapan PBB mulai terbentuk ?,indonesian,content,1.3333333333333333,1.0,1.0,1.5,1.0,5,50.0,2.0
9,Bisakah kambing hidup di daerah kutub?,indonesian,content,1.6666666666666667,2.0,0,3.0,0.5714285714285714,8,0.0,1.0
10,dimanakah Gaius Julius Caesar Augustus dilahirkan?,indonesian,content,2.3333333333333335,4.0,0,2.0,0.8571428571428571,8,0.0,1.0
11,Dimana James Hepburn meninggal?,indonesian,content,2.0,2.0,0,2.0,0.75,5,0.0,1.0
12,berapakah penyebab terjadi nya Pirai ?,indonesian,content,1.6,2.0,0,4.0,0.6666666666666666,7,0.0,1.0
13,siapakah orang tua Raden Ayu Srimulat?,indonesian,content,1.3333333333333333,4.0,0,0,0.7142857142857143,8,0,0.0
14,Di manakah letak Samudra Atlantik?,indonesian,content,1.6,2.0,0,0,0.5,7,0,0.0
15,Kapan Yahoo dilancarkan menjadi mesin pencari?,indonesian,content,1.2,3.0,1.0,2.0,1.0,7,50.0,2.0
16,Kapankah Alkitab Kristen pertama kali diturunkan ?,indonesian,content,2.3333333333333335,2.0,0,3.0,0.8571428571428571,8,0.0,1.0
17,Dimana Jamie Richard Vardy lahir?,indonesian,content,2.25,3.0,0,2.0,1.0,6,0.0,1.0
18,siapakah orang tua John Fitzgerald Kennedy?,indonesian,content,1.3333333333333333,4.0,0,0,0.7142857142857143,8,0,0.0
19,siapakah orang tua Dr. Rui Maria de Araújo?,indonesian,content,1.375,6.0,0,0,0.7777777777777778,11,0,0.0
20,Kapan sistem demokrasi mulai diterapkan di Italia ?,indonesian,content,1.6666666666666667,3.0,1.0,2.0,0.8571428571428571,8,50.0,2.0
21,Siapa yang menciptakan komputer ?,indonesian,content,1.3333333333333333,2.0,1.0,2.0,0.5,5,100.0,1.0
22,Siapa yang mengembangkan video game Pokémon pertama kali ?,indonesian,content,1.5714285714285714,4.0,1.0,2.0,0.75,9,100.0,1.0
23,Berapa jumlah karakter anime Naruto?,indonesian,content,1.0,3.0,0,0,1.0,6,0,0.0
24,berapakah luas pulau Flores?,indonesian,content,1.25,2.0,0,0,0.8,6,0,0.0
25,berapakah jumlah negara bagian di Amerika ?,indonesian,content,1.6666666666666667,2.0,0,0,0.7142857142857143,8,0,0.0
26,Berapa lama Pemberontakan Heij berlangsung ?,indonesian,content,2.5,2.0,0,3.0,1.0,6,0.0,1.0
27,Berapa jumlah korban Operasi Gagak?,indonesian,content,1.0,3.0,0,0,1.0,6,0,0.0
