unique_id,text,language,type,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens
ar_polar_0,هل تتعمق الأزمة السياسية والاقتصادية في لبنان؟,arabic,polar,1.7142857142857142,4.0,0,1.0,0.625,9
ar_polar_1,هل دفعت الخلافات العائلية الشيخ إلى الانتحار؟,arabic,polar,2.0,2.0,0,4.0,0.7142857142857143,8
ar_polar_2,رئيس الجمعية موافق وقسم هام من الاعضاء رافضون والاختلاف محوره هذه المرة قضية التطبيع وتداعياتها المعقدة المحمولة على اجنحة متعددة بين السياسي والثقافي والفكري والعلمي مشدودة الى الاشكال الحارق الوحيد: هل نقبل باسرائيل ام نصمد على خط القطيعة؟,arabic,polar,2.630434782608696,11.0,0,0,0.5957446808510638,49
ar_polar_3, هل حدد القانون عدد القضاة؟,arabic,polar,1.25,2.0,0,3.0,0.8,7
ar_polar_4, هل سيكون القضاة عراقيين؟,arabic,polar,1.5,1.0,0,3.0,0.6,7
ar_polar_5, هل تم تعيين القضاة؟,arabic,polar,1.0,2.0,0,2.0,0.75,6
ar_polar_6, هل ستكون أنت ضمن القضاة باعتبارك قاضياً وعضواً في مجلس الحكم؟,arabic,polar,2.2142857142857144,3.0,0,5.0,0.4666666666666667,17
ar_polar_7, هل سيقف صدام حسين في قصف الاتهام؟,arabic,polar,1.7142857142857142,2.0,0,3.0,0.25,10
ar_polar_8, هل تتوقع أن يحكم صدام حسين بالإعدام؟,arabic,polar,1.7142857142857142,3.0,0,2.0,0.25,10
ar_polar_9, هل ستشارك الأمم المتحدة في محاكمات صدام حسين وبقية أعضاء النظام السابق؟,arabic,polar,1.4615384615384615,6.0,0,3.0,0.5714285714285714,16
ar_polar_10, هل زرتم أنتم أو أي من القضاة صدام حسين أو أياً من أعضاء نظامه؟,arabic,polar,1.3571428571428572,8.0,0,2.0,0.4,17
ar_polar_11,ما دام لا خلاف بين أميركا وسوريا حول لبنان هل يُعقل أن يراهن مسيحيون على واشنطن؟,arabic,polar,2.1875,5.0,1.0,1.6666666666666667,0.35294117647058826,18
ar_polar_12,"هل هناك في هذه ""اللحظة"" مشروع تغييري آخر في المنطقة؟",arabic,polar,3.3333333333333335,2.0,0,0,0.4,13
ar_polar_13,"هل لا تزال ""الوطنية العربية"" قادرة على الخروج من رجعيتها الحالية كمجرد قوة دفاع عن اوضاع قائمة مفلسة... لكي يكون ممكنا مواجهة السياسة الاميركية بما هو قادر على كسر وحدانية مشروعها التغييري؟",arabic,polar,2.2857142857142856,8.0,1.0,4.0,0.4722222222222222,42
ar_polar_14,"ولولا قوة شخصية الريحاني، وفرضه نفسه ""بطريركا"" على وسطه وبيئته، لكان غرق في تفاهات الناس العاديين الذين خشيهم جبران (وهو على حق) في رسالته الى ذلك الـ ""منصور"" صديقه (هل من يعرف من هو؟).",arabic,polar,3.4444444444444446,10.0,1.0,2.75,0.34782608695652173,58
ar_polar_15,وأبدى شيخ الأزهر دهشته ممن يقولون إنه لا يؤمن بالرأي الآخر وقال: إن بابي مفتوح يدخله العامل والشحات وإنني قلت لمكتبي: لا تمنعوا أحداً من الدخول، وقال ساخراً من هؤلاء: هل هناك حرية رأي أكثر من ذلك؟,arabic,polar,3.1,8.0,2.0,2.6666666666666665,0.45098039215686275,56
ar_polar_16,وقال للمذيع بلغة عتاب: هل فهمت كلامي ولا لسه؟,arabic,polar,2.230769230769231,4.0,1.0,3.0,0.42857142857142855,16
ar_polar_17,هل تشهد سيناء حرباً جديدة بين مصر وإسرائيل؟,arabic,polar,1.5,5.0,0,2.0,0.6666666666666666,10
ar_polar_18, احتمالات الحرب ولكن هل يمكن أن تجازف إسرائيل بشن حرب ضد مصر برغم السلام الموقع بينهما ووجود سفارة إسرائيلية في القاهرة؟,arabic,polar,2.16,6.0,1.0,3.0,0.5769230769230769,29
ar_polar_19,"يقول بال: ""لحسن الحظ, قال أحدهم في سوني أستراليا: 'بالمناسبة, هل لاحظتم هذا؟'"".",arabic,polar,2.7333333333333334,4.0,2.0,3.0,0.5625,26
ar_polar_20,هل بات حقهم الإلهي بارتداء عباءة أفضل فريقٍ في العالم غير مضمون؟,arabic,polar,4.0,6.0,0,3.0,0.6428571428571429,15
ar_polar_21,هل المسلسل الثاني ناجحٌ حتى الآن؟,arabic,polar,1.8,2.0,0,0,0.6666666666666666,7
ar_polar_22,هل تقرع المنبه الخاص بك؟,arabic,polar,1.2,4.0,0,2.0,0.5,7
ar_polar_23,هل يسمح للعاملين بإبقاء أغراض دينية على مكاتبهم؟,arabic,polar,1.7,3.0,0,3.0,0.5454545454545454,12
