unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,lexical_density,n_tokens,question_type,complexity_score
ja_content_9,民間に運営を任せてはいかがでしょうか。,ja,-0.505,-0.39,1.0,0.4,2.485,0,2.99
ja_content_33,幸いなことに、ソニー・オーストラリアにいた誰かは、「おい、ところで、君たちはこれに気づいたかい？」という様子だった、とポールは言った。,ja,1.665,1.61,1.333,0.314,3.807,0,8.729
ja_polar_24,"きちんと説明し,堂々と市長として頑張ったらいいじゃないですか。",ja,0.655,-0.273,1.0,0.312,2.944,1,4.638
ja_polar_9,警察は摘発しないのか?,ja,-0.045,-1.273,0.0,0.286,2.197,1,1.165
ja_polar_27,"彼が誠実であれ不誠実であれ,摂理を出た以上,摂理とからめる必要があるのでしょうか?",ja,0.561,1.727,1.0,0.522,3.296,1,7.106
ja_polar_35,未来の英雄?,ja,-0.712,-1.273,0.0,0.667,1.609,1,0.291
ja_content_14,"なのに,どうして住民が説明会を拒否しているなんて建築指導課に報告するんですか?",ja,1.148,-0.39,1.0,0.4,3.332,0,5.49
ja_content_8,これ以上何を望むというのか?,ja,-0.769,-0.39,1.0,0.333,2.398,0,2.572
ja_content_16,日中間の首脳会談や、民間交流でも停止しているものがあるが、どう手をつけていくのか,ja,-0.354,3.61,1.0,0.538,3.367,0,8.161
ja_content_10,その審査ではどのような資料と基準で許可されたのでしょうか。,ja,0.136,0.61,1.0,0.278,2.996,0,5.02
ja_content_39,民間企業において宗教的信念に関する発言を妨げる危険のある制限は何であるか？,ja,-0.203,4.61,1.0,0.545,3.178,0,9.13
ja_polar_7,1議席で連立するか?,ja,-0.812,-1.273,0.0,0.333,2.079,1,0.327
ja_polar_38,"特に個人ページに関して言えば,今後ユビキタス社会が進んでいけば,リアルの世界の行動タイムラインに集約されていくんじゃないでしょうか。",ja,0.97,0.727,1.25,0.5,3.638,1,7.085
