unique_id,text,language,avg_links_len,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,question_type,complexity_score
en_content_152,What do I need to do?,en,-0.144,1.0,0.333,0.333,2.079,0,3.601
en_polar_80,you live in NZ and you eat McDonalds ice cream?,en,-0.093,0.0,0.5,0.545,2.565,1,3.517
ar_content_3,فإذن أين يكمن الخلاف؟!,ar,-0.305,0.0,0.6,0.6,2.079,0,2.974
ko_polar_48,그런데 과연 기본 가격만으로 재정 조건을 충족시킬 수 있을까?,ko,0.335,0.0,0.833,0.889,2.398,1,4.455
fi_content_18,Miksi meidän pitäisi sitten osata olla niin vapaita seksuaalisesti?,fi,0.004,1.0,0.8,0.667,2.398,0,4.869
ko_content_84,그러면 소설 속에서 적극적 주인공이 필요없다면 어떻게 전형성을 통해 작품의 주제를 이끌어 낼 수 있을까?,ko,0.513,1.0,0.0,0.8,2.833,0,5.146
ar_content_40,ما معنى هذا الكلام؟,ar,-0.722,0.0,0.0,0.5,1.792,0,1.57
ko_content_67,"그럼, 이 종자돈 300만 원을 어떻게 활용하면 좋을 것인가?",ko,-0.076,1.0,0.0,0.556,2.485,0,3.965
en_polar_302,Do you have a tel # for Mike?,en,-0.479,0.0,0.333,0.375,2.303,1,2.532
ko_content_140,그런데 이 여인이 존재라는 속성을 갖지 않는다면 어떻게 되겠습니까?,ko,-0.076,1.0,0.208,0.667,2.398,0,4.197
ru_polar_12,Подскажите нужно ли обращаться за помощью?,ru,-0.764,1.0,0.2,0.667,2.079,1,3.182
en_polar_464,Should I just settle and book on line?,en,-0.622,0.0,0.417,0.5,2.303,1,2.598
id_polar_251,"Engkau telah berzinah dengan banyak kekasih, dan mau kembali kepada-Ku?",id,0.002,0.0,0.417,0.364,2.639,1,3.422
en_polar_472,and will these antibiotics help?,en,0.057,0.0,0.333,0.4,1.946,1,2.736
fi_content_44,Miten sitä enää jaksaa?,fi,-0.121,0.0,0.6,1.0,1.792,0,3.271
ja_polar_40,最高裁と大マスコミはネット表現の敵ですか?,ja,-0.484,0.0,0.0,0.583,2.639,1,2.738
ja_content_22,"自分たちの会員であるホメオパシー信者の活動の中で人が一人亡くなっているのに,“HOMOEOPATHYYES”とは,日本ホメオパシー医学協会は,いったい,どういう神経をしているのでしょうか。",ja,0.709,1.0,0.233,0.575,3.871,0,6.388
ru_polar_64,Аоезда скорые или автобусы идут ли?,ru,-0.164,0.0,0.4,0.667,2.079,1,2.982
ru_polar_191,Будем ли мы вместе несмотря на запрет?,ru,-0.164,0.0,0.0,0.429,2.197,1,2.462
id_content_255,Yaksa: Siapakah yang benar-benar berbahagia?,id,0.122,1.0,0.4,0.5,2.197,0,4.219
ar_content_11, ما هي التهم التي ستوجه إلى صدام حسين وأعضاء قيادته؟,ar,-0.389,1.0,0.6,0.308,2.773,0,4.292
fi_content_61,"Jos roolit ovat toisinpäin, ajattelee ""Mitä vittua?""",fi,-0.287,1.0,0.4,0.571,2.485,0,4.169
ru_polar_164,"Если мне будет мастурбировать чувак, пока я буду смотреть на нюдесы его девушки, будет ли он считаться куколдом?",ru,0.365,1.0,0.8,0.389,3.091,1,5.645
ko_polar_71,그대가 왕인 나에게 복종하기를 거부하는 것은 그대가 자기자신을 너무 과신하고 있기 때문이 아니겠는가?,ko,0.043,1.0,0.278,0.692,2.708,1,4.721
ja_polar_63,またはそれは高価な基準または前払関税なのか？,ja,0.711,0.0,0.0,0.286,2.773,1,3.77
en_content_262,What could be the issue and can I try some home remedies first?,en,0.156,0.0,0.667,0.385,2.708,0,3.916
id_content_246,"Jadi Abah Buyut sendiri merupakan sebuah misteri terpisah, darimana beliau belajar Maenpo ini, apakah hasil perenungan sendiri atau ada yang mengajari?",id,0.17,1.0,0.44,0.591,3.258,0,5.459
