unique_id,text,language,type_original,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,lexical_density,n_tokens,subordinate_proposition_dist,verbal_head_per_sent,question_type
japanese_content_731,魔法戦記リリカルなのはForce のジャンルは何？,ja,content,0.338,-0.081,1.0,0.0,0.455,2.565,4.615,0.391,0
japanese_content_5872,ライフプランナーという呼称を考案したのは誰,ja,content,0.22,0.919,1.0,0.333,0.417,2.565,3.932,1.391,0
japanese_content_3265,エルナンド・デ・ソトがアメリカに到着したのはいつ,ja,content,0.402,-0.081,1.0,0.667,0.333,2.565,4.615,0.391,0
japanese_content_15,日本でニュータウンの建設が始まったのはいつ？,ja,content,0.338,0.919,1.0,0.667,0.364,2.565,4.615,0.391,0
japanese_content_1815,ノストランド・アベニュー線の最北端の駅は何,ja,content,0.129,-0.081,0.0,0.0,0.583,2.565,0.0,-0.609,0
japanese_content_5864,スティーブ・ジャクソン・ゲームズ社の創始者はだれ？,ja,content,0.338,-1.081,0.0,0.0,0.545,2.565,0.0,-0.609,0
japanese_content_5499,ゲルマン人にキリスト教が持ち込まれたのはいつ,ja,content,0.402,-0.081,1.0,0.667,0.417,2.565,4.615,0.391,0
japanese_content_1762,鑑定士という職業が誕生したのはいつ,ja,content,0.22,1.919,1.0,0.25,0.417,2.565,4.615,1.391,0
japanese_content_3095,チャップ・ブックの執筆に初めて取り掛かったのは誰,ja,content,-0.053,-0.081,0.0,0.833,0.417,2.565,0.0,0.391,0
japanese_content_2280,アフリカで2018年度一番ＧＤＰが高かった国はどこ,ja,content,0.311,0.919,0.0,0.0,0.5,2.565,0.0,-0.609,0
japanese_content_3652,オン・ボード・ダイアグノーシスを開発したのは誰,ja,content,0.584,-1.081,0.0,0.667,0.333,2.565,0.0,0.391,0
japanese_content_5206,農林水産省直轄ダムはで最大のものはなに,ja,content,0.402,-0.081,0.0,0.0,0.667,2.565,0.0,-0.609,0
japanese_content_1174,初めて黒人俳優を起用したハリウッド映画は何？,ja,content,-0.062,0.919,1.0,0.333,0.545,2.565,4.615,0.391,0
japanese_content_4161,アメリカ陸軍航空教育研究センターの初代所長は誰,ja,content,0.402,-1.081,0.0,0.0,0.75,2.565,0.0,-0.609,0
japanese_content_3445,ロバート・マリオン・ラフォレット・シニアの出身はどこ？,ja,content,0.738,-0.081,0.0,0.0,0.455,2.565,0.0,-0.609,0
japanese_content_2853,氷河期の最盛期の人間の祖先は何？,ja,content,-0.462,1.919,0.0,0.0,0.545,2.565,0.0,-0.609,0
japanese_content_2577,中国で初めてオリンピックが開催されたのはいつ,ja,content,1.038,-0.081,1.0,0.833,0.333,2.565,4.615,0.391,0
japanese_content_3812,バーモント州に初めて人類が到達したのはいつ,ja,content,0.584,-0.081,1.0,0.833,0.417,2.565,4.615,0.391,0
japanese_content_1438,ビデオ判定を初めて採用したスポーツ競技は何？,ja,content,-0.262,0.919,1.0,0.333,0.545,2.565,4.615,0.391,0
japanese_content_2028,ビーナス・エボニー・スタール・ウィリアムズのデビュー戦は何,ja,content,0.674,-1.081,0.0,0.0,0.5,2.565,0.0,-0.609,0
japanese_content_4556,リパンティトランの戦いでメキシコ軍を率いたのは誰,ja,content,0.129,-0.081,0.0,0.833,0.417,2.565,0.0,0.391,0
japanese_content_800,リトアニアの国旗の赤色が象徴することは何？,ja,content,-0.462,2.919,1.0,0.167,0.455,2.565,4.615,0.391,0
japanese_content_2968,偏向報道という言葉が誕生したのはいつ,ja,content,0.22,1.919,1.0,0.25,0.417,2.565,4.615,1.391,0
japanese_content_3825,那須川 天心がプロに転向したのはいつ,ja,content,0.402,-0.081,1.0,0.667,0.417,2.565,4.615,0.391,0
japanese_content_1399,リステリア・モノサイトゲネスを発見したのは誰？,ja,content,0.438,-0.081,1.0,0.5,0.364,2.565,4.615,0.391,0
japanese_content_3529,アメリカ合衆国が設立されはのはいつ？,ja,content,0.738,-0.081,1.0,0.667,0.364,2.565,4.615,0.391,0
japanese_content_2377,電車が日本で初めて導入されたのはいつ,ja,content,0.947,-0.081,1.0,0.833,0.333,2.565,4.615,0.391,0
japanese_content_5582,コロラド州に初めて到達したヨーロッパ人は誰？,ja,content,-0.262,0.919,1.0,0.333,0.545,2.565,4.615,0.391,0
japanese_content_4195,ムハンマド・ビン・ラーシド・アール・マクトゥームの出身階級は何,ja,content,0.674,-1.081,0.0,0.0,0.5,2.565,0.0,-0.609,0
japanese_content_100,「宇宙戦艦ヤマトシリーズ」の考案者は誰？,ja,content,0.038,-0.081,0.0,0.0,0.667,2.565,0.0,-0.609,0
