experiment_id,language,task,layer_index,hidden_size,dropout,learning_rate,metric,value
1,ar,question_type,2,128,0.01,1e-3,loss,0.702898097038269
1,ar,question_type,2,128,0.01,1e-3,accuracy,0.7922077922077922
1,ar,question_type,2,128,0.01,1e-3,f1,0.7333333333333333
1,ar,question_type,2,128,0.01,1e-3,precision,0.5789473684210527
1,ar,question_type,2,128,0.01,1e-3,recall,1.0
2,ar,question_type,2,128,0.01,1e-4,loss,0.702898097038269
2,ar,question_type,2,128,0.01,1e-4,accuracy,0.7922077922077922
2,ar,question_type,2,128,0.01,1e-4,f1,0.7333333333333333
2,ar,question_type,2,128,0.01,1e-4,precision,0.5789473684210527
2,ar,question_type,2,128,0.01,1e-4,recall,1.0
3,ar,question_type,2,128,0.05,1e-3,loss,0.6940243482589722
3,ar,question_type,2,128,0.05,1e-3,accuracy,0.8311688311688312
3,ar,question_type,2,128,0.05,1e-3,f1,0.7719298245614035
3,ar,question_type,2,128,0.05,1e-3,precision,0.6285714285714286
3,ar,question_type,2,128,0.05,1e-3,recall,1.0
4,ar,question_type,2,128,0.05,1e-4,loss,0.6940243482589722
4,ar,question_type,2,128,0.05,1e-4,accuracy,0.8311688311688312
4,ar,question_type,2,128,0.05,1e-4,f1,0.7719298245614035
4,ar,question_type,2,128,0.05,1e-4,precision,0.6285714285714286
4,ar,question_type,2,128,0.05,1e-4,recall,1.0
5,ar,question_type,2,128,0.1,1e-3,loss,0.6942811012268066
5,ar,question_type,2,128,0.1,1e-3,accuracy,0.8311688311688312
5,ar,question_type,2,128,0.1,1e-3,f1,0.7719298245614035
5,ar,question_type,2,128,0.1,1e-3,precision,0.6285714285714286
5,ar,question_type,2,128,0.1,1e-3,recall,1.0
6,ar,question_type,2,128,0.1,1e-4,loss,0.6942811012268066
6,ar,question_type,2,128,0.1,1e-4,accuracy,0.8311688311688312
6,ar,question_type,2,128,0.1,1e-4,f1,0.7719298245614035
6,ar,question_type,2,128,0.1,1e-4,precision,0.6285714285714286
6,ar,question_type,2,128,0.1,1e-4,recall,1.0
7,ar,question_type,2,128,0.2,1e-3,loss,0.7556346416473388
7,ar,question_type,2,128,0.2,1e-3,accuracy,0.7012987012987013
7,ar,question_type,2,128,0.2,1e-3,f1,0.6567164179104478
7,ar,question_type,2,128,0.2,1e-3,precision,0.4888888888888889
7,ar,question_type,2,128,0.2,1e-3,recall,1.0
8,ar,question_type,2,128,0.2,1e-4,loss,0.7556346416473388
8,ar,question_type,2,128,0.2,1e-4,accuracy,0.7012987012987013
8,ar,question_type,2,128,0.2,1e-4,f1,0.6567164179104478
8,ar,question_type,2,128,0.2,1e-4,precision,0.4888888888888889
